Flight Information:
Launch Date:            	      	                       	Monday, 14 December 2020	     	                   	          	Launch Time: 	     	            	03:00:10 	       	     	End of Ascent:	     	         	01:40:49
Station name:           	      	                       	                        	     	                   	          	Serialnumber:	     	            	20028086
Ground values:
Pressure:               	      	                       	1021.1 hPa              	     	                   	          	Temperature: 	     	            	7.9 °C   	       	     	Humidity:     	     	         	96 %
Wind Direction:         	      	                       	0 °                     	     	                   	          	Wind Speed:  	     	            	0 m/s    	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	      	                       	-73.160 °               	     	                   	          	Latitude:    	     	            	-39.236 °	       	     	Altitude:     	     	         	3 m
Staff:
Company:                	      	                       	
Operator:               	      	                       	                        	     	                   	          	
Events:
Highest Point:          	      	                       	7.5 hPa                 	     	                   	          	33388 m
Tropopauses:            	      	                       	1.: 204.7 hPa           	     	                   	          	             	     	            	
Max Winds:              	      	                       	1.: 218.1 hPa           	     	                   	          	2.: 11.4 hPa 	     	            	
Remarks:

Profile Data:
Time                    	P     	T                      	Hu                      	Ws   	Wd                 	Long.     	Lat.         	Alt  	Geopot      	MRI      	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range   	D
[sec]                   	[hPa] 	[°C]                   	[%]                     	[m/s]	[°]                	[°]       	[°]          	[m]  	[m]         	         	       	[°C] 	[°C]          	[m/s]	[°]      	[°]     	[m]     	[kg/m3]
0                       	1021.1	7.9                    	96                      	0.0  	000                	-73.160400	90.000000    	315  	315         	335.922  	286.467	7.3  	9.0           	-    	-64.7    	000     	11489221	1.265910
1                       	1022.9	8.3                    	95                      	0.1  	303                	-73.160406	81.359168    	300  	300         	333.682  	286.566	7.6  	9.4           	-14.9	-60.4    	360     	11041424	1.266526
2                       	1024.8	8.6                    	95                      	0.1  	303                	-73.160413	72.718335    	285  	285         	331.459  	286.667	7.9  	9.7           	-14.9	-56.0    	360     	10531099	1.267145
3                       	1026.6	9.0                    	94                      	0.2  	303                	-73.160419	64.077503    	270  	270         	329.221  	286.768	8.1  	10.1          	-14.9	-51.7    	360     	9961392 	1.267766
4                       	1028.5	9.4                    	94                      	0.2  	303                	-73.160426	55.436671    	256  	256         	326.984  	286.870	8.4  	10.5          	-14.9	-47.4    	360     	9335788 	1.268390
5                       	1030.3	9.7                    	93                      	0.3  	303                	-73.160432	46.795839    	241  	241         	324.747  	286.973	8.7  	10.9          	-14.9	-43.0    	360     	8658049 	1.269016
6                       	1032.2	10.1                   	93                      	0.3  	303                	-73.160438	38.155006    	226  	226         	322.527  	287.076	9.0  	11.3          	-14.9	-38.7    	360     	7932162 	1.269645
7                       	1034.0	10.4                   	92                      	0.4  	303                	-73.160445	29.514174    	211  	211         	320.408  	287.297	9.2  	11.6          	-14.9	-34.4    	360     	7162291 	1.270783
8                       	1035.8	10.4                   	92                      	0.5  	303                	-73.160451	20.873342    	196  	196         	318.468  	287.696	9.1  	11.6          	-14.9	-30.0    	360     	6352734 	1.272706
9                       	1037.7	10.5                   	91                      	0.5  	303                	-73.160458	12.232509    	181  	181         	316.543  	288.095	9.1  	11.7          	-14.9	-25.7    	360     	5507901 	1.274633
10                      	1039.6	10.6                   	90                      	0.6  	303                	-73.160464	3.591677     	166  	166         	314.604  	288.495	9.1  	11.8          	-14.9	-21.4    	360     	4632301 	1.276562
11                      	1041.4	10.7                   	90                      	0.6  	303                	-73.160470	-5.049155    	151  	151         	312.665  	288.895	9.1  	11.9          	-14.9	-17.1    	360     	3730541 	1.278494
12                      	1043.3	10.7                   	89                      	0.7  	303                	-73.160477	-13.689988   	137  	137         	310.727  	289.296	9.0  	11.9          	-14.9	-12.8    	360     	2807339 	1.280430
13                      	1044.1	10.8                   	89                      	0.7  	303                	-73.160483	-22.330820   	122  	122         	308.508  	289.401	9.0  	12.0          	-14.9	-8.4     	360     	1867540 	1.281034
14                      	1044.8	10.9                   	88                      	0.8  	303                	-73.160490	-30.971652   	107  	107         	306.273  	289.506	9.0  	12.1          	-14.9	-4.1     	360     	916128  	1.281639
15                      	1045.6	11.0                   	87                      	0.9  	303                	-73.160494	-39.236538   	92   	92          	304.039  	289.611	9.0  	12.2          	-14.9	77.6     	204     	91      	1.282244
16                      	1046.4	11.1                   	87                      	0.9  	303                	-73.160450	-39.236537   	88   	88          	303.563  	289.716	9.0  	12.2          	-3.7 	77.9     	194     	87      	1.282850
17                      	1047.2	11.1                   	86                      	1.0  	303                	-73.160407	-39.236536   	94   	94          	304.532  	289.821	8.9  	12.3          	5.5  	79.0     	182     	93      	1.283456
18                      	1047.9	11.2                   	86                      	1.0  	303                	-73.160363	-39.236534   	99   	99          	305.516  	289.926	8.9  	12.4          	5.5  	79.6     	170     	98      	1.284063
19                      	1047.3	11.3                   	85                      	1.1  	303                	-73.160320	-39.236533   	105  	105         	306.083  	289.629	8.9  	12.5          	5.5  	79.6     	158     	104     	1.282862
20                      	1046.6	11.3                   	84                      	1.1  	303                	-73.160276	-39.236532   	110  	110         	306.700  	289.368	8.8  	12.5          	5.5  	79.3     	148     	110     	1.281810
