Flight Information:
Launch Date:            	      	                       	Monday, 14 December 2020	     	                       	          	Launch Time: 	     	            	04:01:43 	       	     	End of Ascent:	     	         	01:43:23
Station name:           	      	                       	                        	     	                       	          	Serialnumber:	     	            	20028060
Ground values:
Pressure:               	      	                       	1020.9 hPa              	     	                       	          	Temperature: 	     	            	7.5 ?C   	       	     	Humidity:     	     	         	97 %
Wind Direction:         	      	                       	117 ?                   	     	                       	          	Wind Speed:  	     	            	1 m/s    	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	      	                       	-73.160 ?               	     	                       	          	Latitude:    	     	            	-39.236 ?	       	     	Altitude:     	     	         	3 m
Staff:
Company:                	      	                       	
Operator:               	      	                       	                        	     	                       	          	
Events:
Highest Point:          	      	                       	6.3 hPa                 	     	                       	          	34323 m
Tropopauses:            	      	                       	1.: 190.8 hPa           	     	                       	          	2.: 73.2 hPa 	     	            	
Max Winds:              	      	                       	1.: 222.7 hPa           	     	                       	          	2.: 11.3 hPa 	     	            	
Remarks:

Profile Data:
Time                    	P     	T                      	Hu                      	Ws   	Wd                     	Long.     	Lat.         	Alt  	Geopot      	MRI      	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range	D
[sec]                   	[hPa] 	[?C]                   	[%]                     	[m/s]	[?]                    	[?]       	[?]          	[m]  	[m]         	         	       	[?C] 	[?C]          	[m/s]	[?]      	[?]     	[m]  	[kg/m3]
0                       	1020.9	7.5                    	97                      	0.7  	117                    	-73.160485	-39.236339   	3    	3           	287.344  	286.873	7.1  	8.5           	0.0  	39.2     	180     	0    	1.267466
1                       	1020.3	8.0                    	96                      	0.7  	116                    	-73.160487	-39.236355   	8    	8           	287.366  	286.125	7.3  	9.1           	4.9  	67.9     	185     	6    	1.264487
2                       	1019.7	8.5                    	94                      	0.8  	114                    	-73.160488	-39.236370   	13   	13          	287.406  	285.380	7.6  	9.6           	4.9  	69.3     	185     	11   	1.261519
3                       	1019.1	9.0                    	93                      	0.8  	111                    	-73.160490	-39.236386   	18   	18          	287.433  	284.638	7.9  	10.1          	4.9  	69.7     	185     	16   	1.258562
4                       	1018.5	9.5                    	91                      	0.9  	107                    	-73.160492	-39.236402   	23   	23          	287.479  	283.899	8.1  	10.6          	4.9  	69.9     	185     	21   	1.255615
5                       	1017.9	10.0                   	90                      	0.9  	100                    	-73.160494	-39.236417   	28   	28          	287.512  	283.163	8.4  	11.1          	4.9  	70.0     	185     	27   	1.252680
6                       	1017.3	10.5                   	88                      	1.0  	089                    	-73.160496	-39.236433   	33   	33          	287.548  	282.430	8.6  	11.6          	4.9  	70.1     	185     	32   	1.249755
7                       	1016.7	10.6                   	87                      	1.0  	067                    	-73.160498	-39.236448   	38   	38          	287.948  	282.045	8.5  	11.8          	4.9  	70.2     	185     	37   	1.248349
8                       	1016.1	10.7                   	86                      	1.0  	031                    	-73.160500	-39.236464   	43   	43          	288.459  	281.786	8.5  	11.9          	4.9  	70.2     	185     	42   	1.247317
9                       	1015.5	10.7                   	86                      	1.1  	359                    	-73.160502	-39.236480   	47   	47          	288.986  	281.544	8.5  	11.9          	4.9  	70.2     	185     	47   	1.246287
10                      	1014.9	10.8                   	86                      	1.1  	341                    	-73.160504	-39.236495   	52   	52          	289.530  	281.303	8.5  	12.0          	4.9  	70.3     	185     	53   	1.245257
11                      	1014.3	10.9                   	86                      	1.2  	332                    	-73.160506	-39.236511   	57   	57          	290.058  	281.061	8.6  	12.1          	4.9  	70.3     	185     	58   	1.244228
12                      	1013.6	10.9                   	85                      	1.2  	327                    	-73.160508	-39.236527   	62   	62          	290.601  	280.820	8.6  	12.1          	4.9  	70.3     	185     	63   	1.243200
13                      	1013.0	11.0                   	85                      	1.2  	323                    	-73.160510	-39.236542   	67   	67          	291.121  	280.571	8.6  	12.2          	4.9  	70.3     	185     	68   	1.242134
14                      	1012.4	11.1                   	85                      	1.3  	321                    	-73.160512	-39.236558   	72   	72          	291.688  	280.321	8.6  	12.3          	5.2  	70.4     	185     	74   	1.241069
15                      	1011.8	11.1                   	85                      	1.3  	319                    	-73.160477	-39.236571   	78   	78          	292.271  	280.072	8.7  	12.3          	5.3  	70.8     	178     	79   	1.240004
16                      	1011.1	11.2                   	84                      	1.4  	318                    	-73.160434	-39.236584   	83   	83          	292.854  	279.823	8.7  	12.4          	5.3  	70.8     	171     	85   	1.238941
17                      	1010.5	11.3                   	84                      	1.4  	317                    	-73.160391	-39.236597   	88   	88          	293.422  	279.574	8.7  	12.5          	5.3  	70.6     	164     	91   	1.237879
