Flight Information:
Launch Date:            	      	                       	Monday, 14 December 2020	        	                       	          	Launch Time: 	       	            	01:01:14  	       	     	End of Ascent:	     	         	02:27:48
Station name:           	      	                       	                        	        	                       	          	Serialnumber:	       	            	20028067
Ground values:
Pressure:               	      	                       	1020.3 hPa              	        	                       	          	Temperature: 	       	            	9.5 ?C    	       	     	Humidity:     	     	         	95 %
Wind Direction:         	      	                       	0 ?                     	        	                       	          	Wind Speed:  	       	            	0 m/s     	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	      	                       	-73.160 ?               	        	                       	          	Latitude:    	       	            	-39.236 ? 	       	     	Altitude:     	     	         	3 m
Staff:
Company:                	      	                       	
Operator:               	      	                       	                        	        	                       	          	
Events:
Highest Point:          	      	                       	4.6 hPa                 	        	                       	          	36696 m
Tropopauses:            	      	                       	1.: 205.5 hPa           	        	                       	          	2.: 75.9 hPa 	       	            	
Max Winds:              	      	                       	1.: 237.9 hPa           	        	                       	          	             	       	            	
Remarks:

Profile Data:
Time                    	P     	T                      	Hu                      	Ws      	Wd                     	Long.     	Lat.         	Alt    	Geopot      	MRI       	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range  	D
[sec]                   	[hPa] 	[?C]                   	[%]                     	[m/s]   	[?]                    	[?]       	[?]          	[m]    	[m]         	          	       	[?C] 	[?C]          	[m/s]	[?]      	[?]     	[m]    	[kg/m3]
0                       	1020.3	9.5                    	95                      	0.0     	000                    	-73.160437	-39.236344   	3      	3           	285.024   	284.553	8.7  	10.7          	0.0  	39.2     	180     	0      	1.257758
1                       	1019.8	9.7                    	93                      	0.1     	346                    	-73.160441	-39.236373   	7      	7           	285.254   	284.139	8.7  	10.9          	4.1  	50.5     	185     	6      	1.256245
2                       	1019.3	9.9                    	92                      	0.2     	346                    	-73.160444	-39.236403   	11     	11          	285.484   	283.726	8.7  	11.1          	4.1  	51.0     	185     	11     	1.254734
3                       	1018.8	10.1                   	90                      	0.3     	346                    	-73.160447	-39.236432   	15     	15          	285.715   	283.313	8.6  	11.3          	4.1  	51.1     	185     	16     	1.253226
4                       	1018.3	10.3                   	89                      	0.4     	346                    	-73.160451	-39.236461   	19     	19          	285.947   	282.901	8.6  	11.5          	4.1  	51.2     	185     	21     	1.251720
5                       	1017.8	10.5                   	87                      	0.5     	346                    	-73.160454	-39.236490   	24     	24          	286.180   	282.490	8.5  	11.7          	4.1  	51.3     	185     	27     	1.250217
6                       	1017.3	10.7                   	86                      	0.6     	346                    	-73.160458	-39.236520   	28     	28          	286.413   	282.080	8.4  	11.9          	4.1  	51.3     	185     	32     	1.248716
7                       	1016.8	10.8                   	84                      	0.8     	346                    	-73.160461	-39.236549   	32     	32          	286.753   	281.777	8.3  	12.0          	4.1  	51.3     	185     	37     	1.247682
8                       	1016.3	10.8                   	84                      	0.9     	346                    	-73.160465	-39.236578   	36     	36          	287.202   	281.597	8.3  	12.0          	4.1  	51.3     	185     	42     	1.246926
9                       	1015.8	10.9                   	84                      	1.0     	346                    	-73.160468	-39.236607   	40     	40          	287.668   	281.419	8.3  	12.0          	4.1  	51.3     	185     	48     	1.246170
10                      	1015.3	10.9                   	84                      	1.1     	346                    	-73.160471	-39.236637   	44     	44          	288.134   	281.241	8.3  	12.1          	4.1  	51.3     	185     	53     	1.245414
11                      	1014.8	10.9                   	84                      	1.2     	346                    	-73.160475	-39.236666   	48     	48          	288.599   	281.063	8.3  	12.1          	4.1  	51.3     	185     	58     	1.244659
12                      	1014.3	11.0                   	83                      	1.3     	346                    	-73.160478	-39.236695   	52     	52          	289.065   	280.886	8.3  	12.1          	4.1  	51.3     	185     	63     	1.243905
13                      	1013.8	11.0                   	83                      	1.4     	346                    	-73.160482	-39.236724   	56     	56          	289.530   	280.707	8.3  	12.2          	4.1  	51.4     	185     	69     	1.243145
14                      	1013.3	11.0                   	83                      	1.5     	346                    	-73.160485	-39.236754   	60     	60          	289.995   	280.528	8.3  	12.2          	4.1  	51.4     	185     	74     	1.242385
15                      	1012.8	11.1                   	83                      	1.6     	346                    	-73.160489	-39.236783   	64     	64          	290.460   	280.349	8.3  	12.2          	4.1  	51.4     	185     	79     	1.241626
16                      	1012.3	11.1                   	83                      	1.7     	346                    	-73.160491	-39.236812   	69     	69          	290.925   	280.170	8.3  	12.3          	4.1  	51.4     	185     	84     	1.240867
17                      	1011.8	11.1                   	82                      	1.8     	346                    	-73.160451	-39.236835   	73     	73          	291.390   	279.992	8.3  	12.3          	4.1  	51.9     	181     	89     	1.240109
18                      	1011.3	11.2                   	82                      	1.9     	346                    	-73.160411	-39.236858   	77     	77          	291.902   	279.813	8.3  	12.3          	4.3  	52.3     	178     	94     	1.239351
19                      	1010.8	11.2                   	82                      	2.1     	346                    	-73.160371	-39.236881   	81     	81          	292.393   	279.629	8.3  	12.4          	4.3  	52.5     	175     	99     	1.238566
20                      	1010.3	11.2                   	82                      	2.2     	346                    	-73.160331	-39.236904   	86     	86          	292.895   	279.456	8.3  	12.4          	4.3  	52.7     	172     	104    	1.237819
21                      	1009.7	11.2                   	82                      	2.3     	346                    	-73.160290	-39.236927   	90     	90          	293.405   	279.291	8.3  	12.4          	4.3  	52.7     	169     	110    	1.237092
22                      	1009.2	11.3                   	82                      	2.4     	346                    	-73.160250	-39.236950   	94     	94          	293.931   	279.126	8.3  	12.4          	4.3  	52.8     	167     	115    	1.236365
23                      	1008.7	11.3                   	82                      	2.5     	346                    	-73.160210	-39.236973   	99     	99          	294.441   	278.961	8.3  	12.5          	4.3  	52.8     	164     	120    	1.235639
24                      	1008.2	11.3                   	82                      	2.6     	346                    	-73.160170	-39.236996   	103    	103         	294.952   	278.796	8.3  	12.5          	4.3  	52.7     	162     	126    	1.234913
25                      	1007.6	11.3                   	82                      	2.7     	346                    	-73.160130	-39.237019   	107    	107         	295.462   	278.632	8.3  	12.5          	4.3  	52.6     	161     	132    	1.234187
26                      	1007.1	11.3                   	82                      	2.8     	346                    	-73.160090	-39.237042   	112    	112         	295.989   	278.467	8.3  	12.5          	4.3  	52.5     	159     	137    	1.233462
27                      	1006.6	11.4                   	82                      	2.9     	346                    	-73.160050	-39.237065   	116    	116         	296.499   	278.303	8.3  	12.5          	4.3  	52.4     	157     	143    	1.232738
28                      	1006.1	11.4                   	81                      	3.0     	346                    	-73.160010	-39.237088   	120    	120         	297.010   	278.139	8.3  	12.6          	4.3  	52.3     	156     	149    	1.232014
29                      	1005.6	11.4                   	81                      	3.1     	346                    	-73.159969	-39.237111   	125    	125         	297.521   	277.974	8.3  	12.6          	4.3  	52.2     	155     	154    	1.231290
30                      	1005.0	11.4                   	81                      	3.2     	346                    	-73.159929	-39.237134   	129    	129         	298.048   	277.810	8.4  	12.6          	4.3  	52.1     	154     	160    	1.230567
31                      	1004.5	11.4                   	81                      	3.3     	344                    	-73.159889	-39.237157   	133    	133         	298.559   	277.646	8.4  	12.6          	4.3  	51.9     	152     	166    	1.229845
32                      	1004.0	11.5                   	81                      	3.4     	341                    	-73.159849	-39.237180   	138    	137         	299.070   	277.483	8.4  	12.6          	4.3  	51.8     	151     	172    	1.229122
33                      	1003.5	11.5                   	81                      	3.5     	338                    	-73.159809	-39.237203   	142    	142         	299.605   	277.327	8.4  	12.7          	4.3  	51.7     	150     	177    	1.228436
34                      	1003.0	11.5                   	81                      	3.6     	335                    	-73.159769	-39.237226   	146    	146         	300.151   	277.198	8.3  	12.6          	4.3  	51.5     	150     	183    	1.227872
35                      	1002.4	11.4                   	81                      	3.6     	332                    	-73.159729	-39.237249   	151    	150         	300.697   	277.069	8.3  	12.6          	4.3  	51.4     	149     	189    	1.227308
36                      	1001.9	11.4                   	81                      	3.7     	329                    	-73.159689	-39.237272   	155    	155         	301.243   	276.940	8.3  	12.6          	4.3  	51.3     	148     	195    	1.226745
37                      	1001.4	11.4                   	81                      	3.8     	326                    	-73.159648	-39.237295   	159    	159         	301.805   	276.811	8.3  	12.6          	4.3  	51.2     	147     	201    	1.226182
38                      	1000.9	11.4                   	81                      	3.9     	324                    	-73.159608	-39.237318   	164    	163         	302.352   	276.682	8.2  	12.6          	4.3  	51.1     	147     	207    	1.225619
39                      	1000.4	11.4                   	81                      	4.0     	321                    	-73.159568	-39.237341   	168    	168         	302.898   	276.553	8.2  	12.5          	4.3  	50.9     	146     	213    	1.225056
40                      	999.9 	11.4                   	81                      	4.0     	319                    	-73.159528	-39.237364   	172    	172         	303.445   	276.425	8.2  	12.5          	4.3  	50.8     	145     	219    	1.224494
41                      	999.3 	11.3                   	81                      	4.1     	316                    	-73.159488	-39.237387   	177    	176         	304.007   	276.296	8.1  	12.5          	4.3  	50.7     	145     	225    	1.223932
42                      	998.8 	11.3                   	80                      	4.2     	314                    	-73.159448	-39.237410   	181    	181         	304.553   	276.168	8.1  	12.5          	4.3  	50.6     	144     	230    	1.223370
43                      	998.3 	11.3                   	80                      	4.3     	311                    	-73.159408	-39.237433   	185    	185         	305.096   	276.036	8.1  	12.5          	4.3  	50.5     	144     	236    	1.222793
44                      	997.8 	11.3                   	80                      	4.4     	309                    	-73.159368	-39.237456   	189    	189         	305.639   	275.904	8.0  	12.5          	4.3  	50.4     	143     	242    	1.222215
45                      	997.2 	11.3                   	80                      	4.4     	307                    	-73.159327	-39.237479   	194    	194         	306.198   	275.772	8.0  	12.4          	4.3  	50.3     	143     	248    	1.221638
46                      	996.7 	11.3                   	80                      	4.5     	305                    	-73.159281	-39.237500   	198    	198         	306.741   	275.640	8.0  	12.4          	4.4  	50.2     	142     	254    	1.221062
47                      	996.2 	11.2                   	80                      	4.6     	303                    	-73.159218	-39.237515   	203    	203         	307.362   	275.522	7.9  	12.4          	4.6  	50.1     	141     	261    	1.220546
48                      	995.7 	11.2                   	80                      	4.7     	302                    	-73.159156	-39.237531   	207    	207         	307.971   	275.410	7.9  	12.3          	4.6  	49.9     	140     	268    	1.220049
49                      	995.1 	11.2                   	80                      	4.7     	300                    	-73.159093	-39.237547   	212    	212         	308.575   	275.291	7.8  	12.3          	4.6  	49.8     	139     	274    	1.219523
50                      	994.6 	11.1                   	80                      	4.8     	298                    	-73.159031	-39.237562   	217    	217         	309.178   	275.172	7.8  	12.3          	4.6  	49.6     	138     	281    	1.218998
51                      	994.0 	11.1                   	80                      	4.9     	297                    	-73.158968	-39.237578   	221    	221         	309.797   	275.053	7.7  	12.2          	4.6  	49.5     	137     	288    	1.218473
52                      	993.5 	11.1                   	80                      	5.0     	295                    	-73.158906	-39.237594   	226    	226         	310.400   	274.934	7.7  	12.2          	4.6  	49.3     	136     	294    	1.217948
53                      	992.9 	11.0                   	80                      	5.1     	294                    	-73.158843	-39.237609   	231    	230         	311.004   	274.815	7.7  	12.2          	4.6  	49.2     	136     	301    	1.217424
54                      	992.4 	11.0                   	80                      	5.1     	292                    	-73.158781	-39.237625   	235    	235         	311.607   	274.696	7.6  	12.1          	4.6  	49.0     	135     	308    	1.216899
55                      	991.8 	11.0                   	80                      	5.2     	291                    	-73.158718	-39.237641   	240    	240         	312.226   	274.578	7.6  	12.1          	4.6  	48.9     	134     	315    	1.216375
56                      	991.3 	10.9                   	79                      	5.3     	290                    	-73.158656	-39.237656   	244    	244         	312.830   	274.459	7.5  	12.0          	4.6  	48.7     	134     	322    	1.215851
57                      	990.7 	10.9                   	79                      	5.4     	289                    	-73.158594	-39.237672   	249    	249         	313.433   	274.340	7.5  	12.0          	4.6  	48.6     	133     	328    	1.215327
58                      	990.2 	10.8                   	79                      	5.5     	288                    	-73.158531	-39.237687   	254    	254         	314.037   	274.222	7.4  	12.0          	4.6  	48.5     	132     	335    	1.214803
59                      	989.6 	10.8                   	79                      	5.5     	287                    	-73.158469	-39.237703   	258    	258         	314.656   	274.103	7.4  	11.9          	4.6  	48.3     	132     	342    	1.214279
60                      	989.1 	10.8                   	79                      	5.6     	286                    	-73.158406	-39.237719   	263    	263         	315.261   	273.985	7.3  	11.9          	4.6  	48.2     	131     	349    	1.213758
61                      	988.5 	10.7                   	79                      	5.6     	286                    	-73.158344	-39.237734   	268    	267         	315.870   	273.873	7.3  	11.9          	4.6  	48.1     	131     	356    	1.213240
62                      	988.0 	10.7                   	79                      	5.6     	286                    	-73.158281	-39.237750   	272    	272         	316.480   	273.760	7.3  	11.8          	4.6  	47.9     	130     	363    	1.212722
63                      	987.4 	10.7                   	79                      	5.6     	286                    	-73.158219	-39.237766   	277    	277         	317.105   	273.647	7.3  	11.8          	4.6  	47.8     	130     	370    	1.212204
64                      	986.9 	10.6                   	79                      	5.6     	286                    	-73.158156	-39.237781   	281    	281         	317.714   	273.535	7.2  	11.7          	4.6  	47.7     	129     	377    	1.211687
65                      	986.3 	10.6                   	79                      	5.6     	286                    	-73.158094	-39.237797   	286    	286         	318.324   	273.422	7.2  	11.7          	4.6  	47.6     	129     	384    	1.211170
66                      	985.8 	10.6                   	79                      	5.6     	286                    	-73.158031	-39.237813   	291    	291         	318.934   	273.309	7.2  	11.7          	4.6  	47.4     	128     	391    	1.210653
67                      	985.2 	10.5                   	80                      	5.6     	286                    	-73.157969	-39.237828   	295    	295         	319.559   	273.197	7.1  	11.6          	4.6  	47.3     	128     	398    	1.210136
68                      	984.7 	10.5                   	80                      	5.6     	287                    	-73.157906	-39.237844   	300    	300         	320.169   	273.084	7.1  	11.6          	4.6  	47.2     	127     	405    	1.209619
69                      	984.1 	10.5                   	80                      	5.7     	287                    	-73.157844	-39.237860   	305    	304         	320.778   	272.972	7.1  	11.6          	4.6  	47.1     	127     	412    	1.209102
70                      	983.6 	10.4                   	80                      	5.7     	287                    	-73.157782	-39.237875   	309    	309         	321.388   	272.859	7.1  	11.5          	4.6  	47.0     	127     	419    	1.208586
71                      	983.1 	10.4                   	80                      	5.7     	287                    	-73.157719	-39.237891   	314    	314         	322.014   	272.747	7.0  	11.5          	4.6  	46.9     	126     	426    	1.208070
72                      	982.5 	10.3                   	80                      	5.7     	287                    	-73.157657	-39.237907   	318    	318         	322.623   	272.635	7.0  	11.4          	4.6  	46.8     	126     	433    	1.207554
73                      	982.0 	10.3                   	80                      	5.7     	287                    	-73.157594	-39.237922   	323    	323         	323.235   	272.524	7.0  	11.4          	4.6  	46.7     	126     	440    	1.207043
74                      	981.4 	10.3                   	80                      	5.7     	287                    	-73.157532	-39.237938   	328    	327         	323.850   	272.416	6.9  	11.4          	4.6  	46.6     	125     	447    	1.206546
75                      	980.9 	10.2                   	80                      	5.7     	287                    	-73.157469	-39.237953   	332    	332         	324.481   	272.310	6.9  	11.3          	4.6  	46.5     	125     	454    	1.206050
76                      	980.3 	10.2                   	80                      	5.7     	287                    	-73.157407	-39.237969   	337    	337         	325.097   	272.204	6.9  	11.3          	4.6  	46.4     	125     	461    	1.205555
77                      	979.8 	10.2                   	80                      	5.7     	288                    	-73.157343	-39.237984   	342    	341         	325.713   	272.097	6.9  	11.2          	4.6  	46.3     	124     	468    	1.205060
78                      	979.3 	10.1                   	80                      	5.7     	288                    	-73.157275	-39.237997   	346    	346         	326.297   	271.991	6.8  	11.2          	4.4  	46.2     	124     	476    	1.204565
79                      	978.7 	10.1                   	80                      	5.7     	288                    	-73.157207	-39.238010   	350    	350         	326.887   	271.890	6.8  	11.2          	4.4  	46.1     	124     	483    	1.204091
80                      	978.2 	10.0                   	80                      	5.7     	288                    	-73.157140	-39.238023   	355    	355         	327.476   	271.788	6.8  	11.1          	4.4  	46.0     	123     	490    	1.203618
81                      	977.7 	10.0                   	80                      	5.7     	288                    	-73.157072	-39.238035   	359    	359         	328.082   	271.687	6.8  	11.1          	4.4  	45.8     	123     	497    	1.203145
82                      	977.2 	10.0                   	80                      	5.7     	288                    	-73.157004	-39.238048   	364    	363         	328.671   	271.586	6.7  	11.0          	4.4  	45.7     	123     	504    	1.202673
83                      	976.7 	9.9                    	80                      	5.7     	288                    	-73.156936	-39.238061   	368    	368         	329.261   	271.485	6.7  	11.0          	4.4  	45.6     	122     	511    	1.202200
