Flight Information:
Launch Date:            	      	                       	Monday, 14 December 2020	     	                        	          	Launch Time: 	     	            	06:00:11 	       	     	End of Ascent:	     	         	02:01:18
Station name:           	      	                       	                        	     	                        	          	Serialnumber:	     	            	20027522
Ground values:
Pressure:               	      	                       	1010.5 hPa              	     	                        	          	Temperature: 	     	            	10.6 °C  	       	     	Humidity:     	     	         	92 %
Wind Direction:         	      	                       	0 °                     	     	                        	          	Wind Speed:  	     	            	0 m/s    	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	      	                       	-73.160 °               	     	                        	          	Latitude:    	     	            	-39.236 °	       	     	Altitude:     	     	         	3 m
Staff:
Company:                	      	                       	
Operator:               	      	                       	                        	     	                        	          	
Events:
Highest Point:          	      	                       	5.1 hPa                 	     	                        	          	36058 m
Tropopauses:            	      	                       	1.: 204.6 hPa           	     	                        	          	2.: 142.0 hPa	     	            	
Max Winds:              	      	                       	1.: 232.2 hPa           	     	                        	          	2.: 14.2 hPa 	     	            	
Remarks:

Profile Data:
Time                    	P     	T                      	Hu                      	Ws   	Wd                      	Long.     	Lat.         	Alt  	Geopot      	MRI      	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range   	D
[sec]                   	[hPa] 	[°C]                   	[%]                     	[m/s]	[°]                     	[°]       	[°]          	[m]  	[m]         	         	       	[°C] 	[°C]          	[m/s]	[°]      	[°]     	[m]     	[kg/m3]
0                       	1010.5	10.6                   	92                      	0.0  	000                     	-73.160410	90.000000    	315  	315         	330.069  	280.614	9.4  	11.8          	-    	-64.7    	000     	11489216	1.240848
1                       	1012.5	10.7                   	91                      	0.1  	311                     	-73.160405	81.263999    	299  	299         	327.938  	281.074	9.3  	11.9          	-16.5	-60.3    	000     	11036132	1.243047
2                       	1014.5	10.7                   	91                      	0.1  	311                     	-73.160399	72.527998    	282  	282         	325.808  	281.534	9.3  	12.0          	-16.5	-56.0    	000     	10519168	1.245251
3                       	1016.5	10.8                   	90                      	0.2  	311                     	-73.160394	63.791998    	266  	266         	323.680  	281.996	9.2  	12.0          	-16.5	-51.6    	000     	9941584 	1.247458
4                       	1018.5	10.8                   	90                      	0.3  	311                     	-73.160389	55.055997    	249  	249         	321.552  	282.459	9.2  	12.1          	-16.5	-47.2    	000     	9306987 	1.249670
5                       	1020.5	10.9                   	89                      	0.3  	311                     	-73.160383	46.319996    	233  	233         	319.425  	282.922	9.1  	12.1          	-16.5	-42.8    	000     	8619277 	1.251885
6                       	1022.6	10.9                   	88                      	0.4  	311                     	-73.160378	37.583995    	216  	216         	317.314  	283.387	9.1  	12.2          	-16.5	-38.4    	000     	7882584 	1.254104
7                       	1024.6	11.0                   	88                      	0.5  	311                     	-73.160372	28.847994    	200  	200         	315.238  	283.900	9.0  	12.2          	-16.5	-34.0    	000     	7101218 	1.256529
8                       	1026.6	11.0                   	88                      	0.5  	311                     	-73.160367	20.111993    	183  	183         	313.210  	284.463	9.0  	12.2          	-16.5	-29.7    	000     	6279632 	1.259034
