Flight Information:
Launch Date:            	      	                       	Monday, 14 December 2020	     	                        	          	Launch Time: 	     	            	09:00:03  	          	        	End of Ascent:	     	         	01:52:44
Station name:           	      	                       	OKSTATE USRI            	     	                        	          	Serialnumber:	     	            	20027511
Ground values:
Pressure:               	      	                       	1017.3 hPa              	     	                        	          	Temperature: 	     	            	10.9 ?C   	          	        	Humidity:     	     	         	99 %
Wind Direction:         	      	                       	314 ?                   	     	                        	          	Wind Speed:  	     	            	1 m/s     	          	        	Cloud group:  	     	         	9////
Position:
Longitude:              	      	                       	-73.161 ?               	     	                        	          	Latitude:    	     	            	-39.236 ? 	          	        	Altitude:     	     	         	3 m
Staff:
Company:                	      	                       	
Operator:               	      	                       	                        	     	                        	          	
Events:
Highest Point:          	      	                       	5.9 hPa                 	     	                        	          	34862 m
Tropopauses:            	      	                       	1.: 209.6 hPa           	     	                        	          	2.: 113.7 hPa	     	            	
Max Winds:              	      	                       	1.: 199.2 hPa           	     	                        	          	2.: 12.7 hPa 	     	            	
Remarks:

Profile Data:
Time                    	P     	T                      	Hu                      	Ws   	Wd                      	Long.     	Lat.         	Alt  	Geopot      	MRI       	RI        	Dewp.   	Virt. Temp    	Rs   	Elevation	Azimuth 	Range 	D
[sec]                   	[hPa] 	[?C]                   	[%]                     	[m/s]	[?]                     	[?]       	[?]          	[m]  	[m]         	          	          	[?C]    	[?C]          	[m/s]	[?]      	[?]     	[m]   	[kg/m3]
0                       	1017.3	10.9                   	99                      	1.1  	314                     	-73.160530	-39.236394   	3    	3           	282.965   	282.494   	10.7    	12.3          	0.0  	39.2     	180     	0     	1.247879
2                       	1016.3	10.9                   	98                      	1.5  	325                     	-73.160515	-39.236512   	11   	11          	283.980   	282.222   	10.6    	12.2          	4.1  	32.0     	175     	16    	1.246769
4                       	1015.3	10.8                   	98                      	1.9  	331                     	-73.160501	-39.236631   	20   	20          	285.011   	281.950   	10.5    	12.2          	4.1  	32.0     	175     	32    	1.245660
6                       	1014.3	10.8                   	97                      	2.3  	335                     	-73.160487	-39.236750   	28   	28          	286.027   	281.678   	10.4    	12.2          	4.1  	31.9     	175     	47    	1.244552
8                       	1013.3	10.8                   	97                      	2.7  	338                     	-73.160473	-39.236868   	36   	36          	287.079   	281.427   	10.3    	12.1          	4.1  	32.0     	175     	63    	1.243464
10                      	1012.2	10.7                   	97                      	3.1  	340                     	-73.160458	-39.236987   	44   	44          	288.127   	281.188   	10.3    	12.1          	4.1  	31.9     	175     	78    	1.242403
12                      	1011.2	10.7                   	97                      	3.5  	342                     	-73.160444	-39.237106   	53   	53          	289.333   	280.949   	10.2    	12.0          	4.6  	32.4     	175     	95    	1.241344
14                      	1009.9	10.6                   	97                      	3.9  	343                     	-73.160430	-39.237225   	64   	64          	290.693   	280.645   	10.1    	11.9          	5.3  	33.4     	175     	111   	1.239990
16                      	1008.6	10.6                   	97                      	4.3  	345                     	-73.160365	-39.237357   	75   	75          	292.038   	280.342   	10.1    	11.9          	5.3  	33.6     	172     	130   	1.238637
