Flight Information:
Launch Date:            	      	                       	Sunday, 13 December 2020	        	                       	          	Launch Time: 	       	            	16:01:15  	       	     	End of Ascent:	     	         	02:03:26
Station name:           	      	                       	                        	        	                       	          	Serialnumber:	       	            	20028091
Ground values:
Pressure:               	      	                       	1025.2 hPa              	        	                       	          	Temperature: 	       	            	16.6 ?C   	       	     	Humidity:     	     	         	62 %
Wind Direction:         	      	                       	198 ?                   	        	                       	          	Wind Speed:  	       	            	2 m/s     	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	      	                       	-73.160 ?               	        	                       	          	Latitude:    	       	            	-39.236 ? 	       	     	Altitude:     	     	         	3 m
Staff:
Company:                	      	                       	
Operator:               	      	                       	                        	        	                       	          	
Events:
Highest Point:          	      	                       	6.4 hPa                 	        	                       	          	34242 m
Tropopauses:            	      	                       	1.: 212.1 hPa           	        	                       	          	2.: 98.6 hPa 	       	            	
Max Winds:              	      	                       	1.: 251.8 hPa           	        	                       	          	             	       	            	
Remarks:

Profile Data:
Time                    	P     	T                      	Hu                      	Ws      	Wd                     	Long.     	Lat.         	Alt    	Geopot      	MRI       	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range  	D
[sec]                   	[hPa] 	[?C]                   	[%]                     	[m/s]   	[?]                    	[?]       	[?]          	[m]    	[m]         	          	       	[?C] 	[?C]          	[m/s]	[?]      	[?]     	[m]    	[kg/m3]
0                       	1025.2	16.6                   	62                      	2.4     	198                    	-73.160377	-39.236131   	3      	3           	277.792   	277.321	9.3  	17.9          	0.0  	39.2     	180     	0      	1.232830
1                       	1024.5	16.2                   	62                      	2.4     	201                    	-73.160350	-39.236139   	9      	9           	278.908   	277.495	8.9  	17.4          	6.0  	67.0     	118     	7      	1.233606
2                       	1023.8	15.8                   	62                      	2.5     	203                    	-73.160322	-39.236147   	15     	15          	280.024   	277.669	8.5  	17.0          	6.0  	67.1     	114     	13     	1.234385
3                       	1023.0	15.4                   	62                      	2.5     	205                    	-73.160295	-39.236155   	21     	21          	281.141   	277.844	8.1  	16.6          	6.0  	67.1     	113     	20     	1.235167
4                       	1022.3	15.1                   	61                      	2.6     	208                    	-73.160267	-39.236163   	27     	27          	282.259   	278.020	7.7  	16.2          	6.0  	67.2     	112     	26     	1.235952
5                       	1021.6	14.7                   	61                      	2.6     	210                    	-73.160240	-39.236171   	33     	33          	283.377   	278.196	7.3  	15.8          	6.0  	67.2     	112     	33     	1.236739
6                       	1020.9	14.3                   	61                      	2.7     	213                    	-73.160213	-39.236179   	39     	39          	284.447   	278.324	7.0  	15.4          	6.0  	67.2     	112     	39     	1.237311
7                       	1020.1	14.2                   	61                      	2.7     	215                    	-73.160185	-39.236187   	45     	45          	285.277   	278.228	6.8  	15.3          	6.0  	67.1     	112     	46     	1.236897
8                       	1019.4	14.1                   	61                      	2.8     	217                    	-73.160158	-39.236195   	51     	51          	286.136   	278.144	6.8  	15.2          	6.0  	67.1     	111     	52     	1.236483
9                       	1018.7	14.0                   	61                      	2.8     	220                    	-73.160130	-39.236203   	57     	57          	286.994   	278.061	6.7  	15.1          	6.0  	67.1     	111     	59     	1.236070
10                      	1018.0	13.9                   	61                      	2.9     	222                    	-73.160103	-39.236211   	63     	63          	287.853   	277.978	6.6  	14.9          	6.0  	67.1     	111     	65     	1.235656
11                      	1017.2	13.8                   	62                      	2.9     	224                    	-73.160076	-39.236219   	69     	69          	288.712   	277.894	6.6  	14.8          	6.0  	67.1     	111     	72     	1.235243
12                      	1016.5	13.7                   	62                      	3.0     	226                    	-73.160048	-39.236227   	75     	75          	289.571   	277.811	6.5  	14.7          	6.0  	67.1     	111     	78     	1.234831
13                      	1015.7	13.6                   	62                      	3.0     	228                    	-73.160021	-39.236235   	81     	81          	290.411   	277.710	6.4  	14.6          	6.0  	67.1     	111     	85     	1.234336
14                      	1014.9	13.5                   	62                      	3.1     	230                    	-73.159993	-39.236243   	87     	87          	291.283   	277.608	6.4  	14.5          	6.2  	67.2     	111     	92     	1.233842
15                      	1014.2	13.4                   	62                      	3.1     	232                    	-73.159962	-39.236246   	94     	94          	292.249   	277.507	6.3  	14.4          	6.8  	67.3     	110     	99     	1.233348
16                      	1013.4	13.3                   	62                      	3.2     	234                    	-73.159910	-39.236231   	101    	101         	293.200   	277.406	6.2  	14.3          	6.8  	66.8     	106     	106    	1.232854
17                      	1012.6	13.1                   	62                      	3.2     	236                    	-73.159859	-39.236215   	107    	107         	294.167   	277.305	6.2  	14.2          	6.8  	66.4     	102     	114    	1.232361
18                      	1011.8	13.0                   	63                      	3.2     	237                    	-73.159807	-39.236200   	114    	114         	295.115   	277.201	6.1  	14.0          	6.8  	65.9     	099     	122    	1.231854
19                      	1011.0	13.0                   	63                      	3.3     	239                    	-73.159756	-39.236184   	121    	121         	296.027   	277.046	6.1  	14.0          	6.8  	65.5     	097     	130    	1.231121
20                      	1010.2	12.9                   	63                      	3.3     	240                    	-73.159705	-39.236168   	128    	128         	296.943   	276.894	6.1  	13.9          	6.8  	65.0     	094     	138    	1.230388
21                      	1009.4	12.9                   	63                      	3.4     	242                    	-73.159653	-39.236153   	134    	134         	297.848   	276.747	6.1  	13.9          	6.8  	64.6     	093     	146    	1.229656
22                      	1008.5	12.8                   	64                      	3.4     	243                    	-73.159602	-39.236137   	141    	141         	298.768   	276.599	6.1  	13.8          	6.8  	64.2     	091     	154    	1.228925
23                      	1007.7	12.7                   	64                      	3.5     	245                    	-73.159551	-39.236122   	148    	148         	299.688   	276.452	6.1  	13.8          	6.8  	63.8     	089     	162    	1.228193
24                      	1006.9	12.7                   	64                      	3.5     	246                    	-73.159499	-39.236106   	155    	155         	300.593   	276.305	6.1  	13.7          	6.8  	63.5     	088     	170    	1.227463
25                      	1006.1	12.6                   	65                      	3.6     	247                    	-73.159448	-39.236091   	162    	161         	301.514   	276.158	6.1  	13.6          	6.8  	63.2     	087     	178    	1.226731
26                      	1005.3	12.6                   	65                      	3.6     	248                    	-73.159396	-39.236075   	168    	168         	302.434   	276.011	6.2  	13.6          	6.8  	62.9     	086     	186    	1.226000
27                      	1004.5	12.5                   	65                      	3.7     	249                    	-73.159345	-39.236059   	175    	175         	303.339   	275.864	6.2  	13.5          	6.8  	62.6     	085     	194    	1.225270
28                      	1003.7	12.4                   	66                      	3.7     	251                    	-73.159294	-39.236044   	182    	182         	304.260   	275.717	6.2  	13.5          	6.8  	62.3     	084     	202    	1.224540
29                      	1002.9	12.4                   	66                      	3.7     	252                    	-73.159242	-39.236028   	189    	188         	305.181   	275.571	6.2  	13.4          	6.8  	62.1     	084     	210    	1.223810
30                      	1002.1	12.3                   	66                      	3.8     	253                    	-73.159191	-39.236013   	195    	195         	306.086   	275.424	6.2  	13.3          	6.8  	61.8     	083     	219    	1.223081
31                      	1001.3	12.3                   	66                      	3.9     	252                    	-73.159140	-39.235997   	202    	202         	307.006   	275.276	6.2  	13.3          	6.8  	61.6     	082     	227    	1.222347
32                      	1000.5	12.2                   	67                      	3.9     	252                    	-73.159088	-39.235982   	209    	209         	307.909   	275.128	6.2  	13.2          	6.8  	61.4     	082     	235    	1.221610
33                      	999.7 	12.1                   	67                      	4.0     	252                    	-73.159037	-39.235966   	216    	216         	308.829   	274.980	6.2  	13.2          	6.8  	61.2     	081     	243    	1.220873
34                      	998.8 	12.1                   	67                      	4.0     	251                    	-73.158985	-39.235950   	222    	222         	309.748   	274.831	6.3  	13.1          	6.8  	61.0     	081     	251    	1.220136
35                      	998.0 	12.0                   	68                      	4.1     	251                    	-73.158934	-39.235935   	229    	229         	310.651   	274.682	6.3  	13.1          	6.8  	60.8     	080     	259    	1.219400
36                      	997.2 	12.0                   	68                      	4.1     	251                    	-73.158883	-39.235919   	236    	236         	311.570   	274.534	6.3  	13.0          	6.8  	60.7     	080     	268    	1.218665
