Flight Information:
Launch Date:            	      	                       	Monday, 14 December 2020	     	                        	          	Launch Time: 	     	            	15:41:08 	       	     	End of Ascent:	     	         	01:28:58
Station name:           	      	                       	                        	     	                        	          	Serialnumber:	     	            	20027299
Ground values:
Pressure:               	      	                       	1018.5 hPa              	     	                        	          	Temperature: 	     	            	15.9 ?C  	       	     	Humidity:     	     	         	75 %
Wind Direction:         	      	                       	279 ?                   	     	                        	          	Wind Speed:  	     	            	1 m/s    	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	      	                       	-73.160 ?               	     	                        	          	Latitude:    	     	            	-39.236 ?	       	     	Altitude:     	     	         	3 m
Staff:
Company:                	      	                       	
Operator:               	      	                       	                        	     	                        	          	
Events:
Highest Point:          	      	                       	8.3 hPa                 	     	                        	          	32484 m
Tropopauses:            	      	                       	1.: 221.9 hPa           	     	                        	          	2.: 126.5 hPa	     	            	
Max Winds:              	      	                       	1.: 232.5 hPa           	     	                        	          	             	     	            	
Remarks:

Profile Data:
Time                    	P     	T                      	Hu                      	Ws   	Wd                      	Long.     	Lat.         	Alt  	Geopot      	MRI      	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range	D
[sec]                   	[hPa] 	[?C]                   	[%]                     	[m/s]	[?]                     	[?]       	[?]          	[m]  	[m]         	         	       	[?C] 	[?C]          	[m/s]	[?]      	[?]     	[m]  	[kg/m3]
0                       	1018.5	15.9                   	75                      	0.8  	279                     	-73.160474	-39.236335   	3    	3           	277.252  	276.781	11.5 	17.4          	0.0  	39.2     	180     	0    	1.227739
1                       	1017.6	15.5                   	73                      	1.0  	268                     	-73.160377	-39.236262   	11   	11          	278.511  	276.862	10.7 	16.9          	7.5  	34.5     	047     	14   	1.228427
2                       	1016.7	15.1                   	71                      	1.2  	260                     	-73.160281	-39.236189   	18   	18          	279.755  	276.944	9.9  	16.4          	7.5  	33.5     	046     	28   	1.229118
3                       	1015.8	14.7                   	70                      	1.4  	254                     	-73.160185	-39.236116   	25   	25          	281.015  	277.027	9.2  	15.9          	7.5  	33.3     	046     	41   	1.229811
4                       	1014.9	14.2                   	68                      	1.6  	250                     	-73.160088	-39.236043   	33   	33          	282.259  	277.109	8.4  	15.4          	7.5  	33.1     	046     	55   	1.230508
5                       	1014.0	13.8                   	66                      	1.8  	247                     	-73.159992	-39.235971   	40   	40          	283.519  	277.192	7.6  	14.9          	7.5  	33.1     	046     	69   	1.231208
6                       	1013.1	13.4                   	64                      	2.0  	244                     	-73.159896	-39.235898   	48   	48          	284.780  	277.275	6.8  	14.5          	7.5  	33.1     	046     	83   	1.231910
7                       	1012.2	13.2                   	62                      	2.2  	242                     	-73.159799	-39.235825   	55   	55          	285.834  	277.167	6.2  	14.2          	7.5  	33.0     	046     	96   	1.231777
8                       	1011.3	13.1                   	62                      	2.4  	240                     	-73.159703	-39.235752   	63   	63          	286.796  	276.952	6.1  	14.1          	7.5  	33.0     	046     	110  	1.230858
9                       	1010.4	13.1                   	62                      	2.6  	239                     	-73.159607	-39.235679   	70   	70          	287.770  	276.749	6.0  	14.1          	7.5  	33.0     	046     	124  	1.229940
10                      	1009.5	13.1                   	62                      	2.8  	237                     	-73.159511	-39.235607   	78   	78          	288.728  	276.545	6.0  	14.1          	7.5  	32.9     	046     	138  	1.229023
