Flight Information:
Launch Date:            	      	                       	Sunday, 13 December 2020	        	                        	          	Launch Time: 	       	            	16:01:15  	       	     	End of Ascent:	     	         	02:03:26
Station name:           	      	                       	                        	        	                        	          	Serialnumber:	       	            	20028091
Ground values:
Pressure:               	      	                       	1025.1 hPa              	        	                        	          	Temperature: 	       	            	15.9 °C   	       	     	Humidity:     	     	         	59 %
Wind Direction:         	      	                       	220 °                   	        	                        	          	Wind Speed:  	       	            	2 m/s     	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	      	                       	-73.160 °               	        	                        	          	Latitude:    	       	            	-39.236 ° 	       	     	Altitude:     	     	         	3 m
Staff:
Company:                	      	                       	
Operator:               	      	                       	                        	        	                        	          	
Events:
Highest Point:          	      	                       	6.4 hPa                 	        	                        	          	34242 m
Tropopauses:            	      	                       	1.: 211.8 hPa           	        	                        	          	2.: 99.6 hPa 	       	            	
Max Winds:              	      	                       	1.: 251.8 hPa           	        	                        	          	             	       	            	
Remarks:

Profile Data:
Time                    	P     	T                      	Hu                      	Ws      	Wd                      	Long.     	Lat.         	Alt    	Geopot      	MRI       	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range  	D
[sec]                   	[hPa] 	[°C]                   	[%]                     	[m/s]   	[°]                     	[°]       	[°]          	[m]    	[m]         	          	       	[°C] 	[°C]          	[m/s]	[°]      	[°]     	[m]    	[kg/m3]
0                       	1025.1	15.9                   	59                      	1.5     	220                     	-73.160380	-39.236240   	3      	3           	278.309   	277.838	7.9  	17.0          	0.0  	39.2     	180     	0      	1.235695
1                       	1024.4	15.6                   	59                      	1.6     	223                     	-73.160352	-39.236241   	9      	9           	279.386   	277.973	7.7  	16.7          	6.0  	69.0     	100     	7      	1.236215
2                       	1023.7	15.3                   	60                      	1.7     	225                     	-73.160325	-39.236241   	15     	15          	280.464   	278.109	7.5  	16.4          	6.0  	68.7     	096     	13     	1.236737
3                       	1023.0	14.9                   	60                      	1.7     	227                     	-73.160297	-39.236242   	21     	21          	281.542   	278.245	7.2  	16.0          	6.0  	68.6     	095     	20     	1.237260
4                       	1022.3	14.6                   	60                      	1.8     	229                     	-73.160270	-39.236243   	27     	27          	282.621   	278.382	7.0  	15.7          	6.0  	68.5     	094     	26     	1.237785
5                       	1021.6	14.3                   	61                      	1.9     	231                     	-73.160242	-39.236243   	33     	33          	283.700   	278.519	6.8  	15.3          	6.0  	68.5     	093     	33     	1.238312
6                       	1020.9	14.0                   	61                      	2.0     	233                     	-73.160214	-39.236244   	39     	39          	284.780   	278.657	6.6  	15.0          	6.0  	68.5     	093     	39     	1.238841
7                       	1020.1	13.8                   	61                      	2.0     	234                     	-73.160187	-39.236244   	45     	45          	285.669   	278.620	6.5  	14.9          	6.0  	68.4     	093     	45     	1.238600
8                       	1019.4	13.7                   	61                      	2.1     	236                     	-73.160159	-39.236245   	51     	51          	286.500   	278.509	6.4  	14.8          	6.0  	68.4     	093     	52     	1.238067
9                       	1018.7	13.7                   	61                      	2.2     	237                     	-73.160132	-39.236246   	57     	57          	287.332   	278.398	6.4  	14.7          	6.0  	68.4     	093     	58     	1.237535
10                      	1018.0	13.6                   	62                      	2.3     	238                     	-73.160104	-39.236246   	63     	63          	288.163   	278.288	6.4  	14.6          	6.0  	68.4     	093     	65     	1.237004
11                      	1017.2	13.5                   	62                      	2.3     	239                     	-73.160076	-39.236247   	69     	69          	288.995   	278.177	6.3  	14.5          	6.0  	68.4     	092     	71     	1.236472
12                      	1016.5	13.4                   	62                      	2.4     	241                     	-73.160049	-39.236248   	75     	75          	289.826   	278.067	6.3  	14.4          	6.0  	68.4     	092     	78     	1.235941
13                      	1015.7	13.3                   	62                      	2.5     	242                     	-73.160021	-39.236248   	81     	81          	290.639   	277.938	6.2  	14.4          	6.0  	68.4     	092     	84     	1.235328
14                      	1014.9	13.3                   	62                      	2.6     	243                     	-73.159994	-39.236249   	87     	87          	291.484   	277.810	6.2  	14.3          	6.2  	68.4     	092     	91     	1.234715
15                      	1014.2	13.2                   	62                      	2.7     	244                     	-73.159962	-39.236246   	94     	94          	292.423   	277.681	6.1  	14.2          	6.8  	68.4     	092     	98     	1.234103
16                      	1013.4	13.1                   	62                      	2.7     	244                     	-73.159910	-39.236231   	101    	101         	293.347   	277.553	6.1  	14.1          	6.8  	67.5     	089     	106    	1.233491
17                      	1012.6	13.0                   	63                      	2.8     	245                     	-73.159859	-39.236215   	107    	107         	294.286   	277.424	6.1  	14.0          	6.8  	66.7     	087     	114    	1.232879
18                      	1011.8	12.9                   	63                      	2.9     	246                     	-73.159807	-39.236200   	114    	114         	295.210   	277.296	6.0  	13.9          	6.8  	66.0     	085     	122    	1.232268
19                      	1011.0	12.9                   	63                      	3.0     	247                     	-73.159756	-39.236184   	121    	121         	296.142   	277.160	6.0  	13.9          	6.8  	65.4     	084     	130    	1.231623
20                      	1010.2	12.8                   	63                      	3.0     	247                     	-73.159705	-39.236168   	128    	128         	297.061   	277.012	6.0  	13.8          	6.8  	64.8     	083     	138    	1.230904
21                      	1009.4	12.7                   	63                      	3.1     	248                     	-73.159653	-39.236153   	134    	134         	297.962   	276.862	6.0  	13.7          	6.8  	64.3     	082     	146    	1.230159
