Flight Information:
Launch Date:            	      	                       	Monday, 14 December 2020	     	                        	          	Launch Time: 	     	            	21:31:14  	          	        	End of Ascent:	     	         	01:52:49
Station name:           	      	                       	                        	     	                        	          	Serialnumber:	     	            	20026378
Ground values:
Pressure:               	      	                       	1020.2 hPa              	     	                        	          	Temperature: 	     	            	10.6 °C   	          	        	Humidity:     	     	         	79 %
Wind Direction:         	      	                       	345 °                   	     	                        	          	Wind Speed:  	     	            	1 m/s     	          	        	Cloud group:  	     	         	9////
Position:
Longitude:              	      	                       	-73.160 °               	     	                        	          	Latitude:    	     	            	-39.236 ° 	          	        	Altitude:     	     	         	3 m
Staff:
Company:                	      	                       	
Operator:               	      	                       	                        	     	                        	          	
Events:
Highest Point:          	      	                       	5.7 hPa                 	     	                        	          	34934 m
Tropopauses:            	      	                       	1.: 206.0 hPa           	     	                        	          	2.: 124.3 hPa	     	            	
Max Winds:              	      	                       	1.: 278.4 hPa           	     	                        	          	             	     	            	
Remarks:

Profile Data:
Time                    	P     	T                      	Hu                      	Ws   	Wd                      	Long.     	Lat.         	Alt  	Geopot      	MRI       	RI        	Dewp.   	Virt. Temp    	Rs   	Elevation	Azimuth 	Range	D
[sec]                   	[hPa] 	[°C]                   	[%]                     	[m/s]	[°]                     	[°]       	[°]          	[m]  	[m]         	          	          	[°C]    	[°C]          	[m/s]	[°]      	[°]     	[m]  	[kg/m3]
0                       	1020.2	10.6                   	79                      	0.5  	345                     	-73.160470	-39.236347   	3    	3           	283.135   	282.664   	7.1     	11.7          	0.0  	39.2     	180     	0    	1.252759
1                       	1019.7	10.7                   	78                      	0.7  	322                     	-73.160443	-39.236322   	8    	8           	283.576   	282.398   	7.0     	11.7          	4.5  	54.8     	044     	6    	1.251751
2                       	1019.1	10.8                   	77                      	0.9  	290                     	-73.160416	-39.236296   	12   	12          	284.017   	282.133   	6.9     	11.8          	4.5  	52.9     	042     	12   	1.250743
3                       	1018.6	10.8                   	76                      	1.0  	265                     	-73.160389	-39.236271   	17   	17          	284.458   	281.867   	6.9     	11.9          	4.5  	52.2     	041     	17   	1.249737
4                       	1018.0	10.9                   	76                      	1.2  	250                     	-73.160361	-39.236246   	21   	21          	284.899   	281.602   	6.8     	11.9          	4.5  	51.9     	041     	23   	1.248731
5                       	1017.5	11.0                   	75                      	1.4  	241                     	-73.160334	-39.236220   	26   	26          	285.341   	281.337   	6.7     	12.0          	4.5  	51.7     	041     	29   	1.247726
6                       	1016.9	11.1                   	74                      	1.6  	236                     	-73.160307	-39.236195   	30   	30          	285.783   	281.073   	6.6     	12.1          	4.5  	51.6     	041     	35   	1.246723
7                       	1016.4	11.1                   	73                      	1.8  	232                     	-73.160280	-39.236170   	35   	35          	286.254   	280.837   	6.5     	12.1          	4.5  	51.5     	040     	41   	1.245846
8                       	1015.8	11.1                   	73                      	2.0  	229                     	-73.160253	-39.236145   	39   	39          	286.782   	280.659   	6.4     	12.1          	4.5  	51.4     	040     	46   	1.245129
9                       	1015.3	11.1                   	72                      	2.1  	227                     	-73.160226	-39.236119   	44   	44          	287.317   	280.487   	6.4     	12.1          	4.5  	51.4     	040     	52   	1.244412
10                      	1014.7	11.1                   	72                      	2.3  	226                     	-73.160198	-39.236094   	48   	48          	287.851   	280.315   	6.3     	12.1          	4.5  	51.3     	040     	58   	1.243696
11                      	1014.2	11.1                   	72                      	2.5  	224                     	-73.160171	-39.236069   	53   	53          	288.386   	280.143   	6.3     	12.2          	4.5  	51.3     	040     	64   	1.242980
12                      	1013.6	11.2                   	72                      	2.7  	223                     	-73.160144	-39.236044   	57   	57          	288.921   	279.972   	6.2     	12.2          	4.5  	51.2     	040     	70   	1.242265
13                      	1013.1	11.2                   	71                      	2.9  	223                     	-73.160117	-39.236018   	62   	62          	289.455   	279.800   	6.2     	12.2          	4.5  	51.2     	040     	75   	1.241549
14                      	1012.5	11.2                   	71                      	3.0  	222                     	-73.160090	-39.235993   	66   	66          	289.990   	279.628   	6.1     	12.2          	4.5  	51.2     	040     	81   	1.240834
15                      	1012.0	11.2                   	71                      	3.2  	221                     	-73.160046	-39.235950   	71   	70          	290.525   	279.457   	6.1     	12.2          	4.5  	50.0     	040     	89   	1.240120
16                      	1011.4	11.2                   	71                      	3.4  	221                     	-73.159989	-39.235891   	75   	75          	291.060   	279.285   	6.1     	12.2          	4.5  	48.0     	040     	97   	1.239405
17                      	1010.9	11.2                   	70                      	3.6  	220                     	-73.159931	-39.235832   	80   	79          	291.595   	279.114   	6.0     	12.2          	4.5  	46.3     	039     	106  	1.238692
18                      	1010.4	11.2                   	70                      	3.8  	220                     	-73.159873	-39.235773   	84   	84          	292.130   	278.942   	6.0     	12.2          	4.5  	44.9     	039     	115  	1.237978
19                      	1009.8	11.2                   	70                      	4.0  	219                     	-73.159815	-39.235714   	89   	89          	292.665   	278.771   	5.9     	12.2          	4.5  	43.6     	039     	124  	1.237263
20                      	1009.3	11.2                   	70                      	4.1  	219                     	-73.159757	-39.235655   	93   	93          	293.211   	278.610   	5.9     	12.2          	4.5  	42.6     	039     	133  	1.236594
21                      	1008.7	11.2                   	69                      	4.3  	219                     	-73.159699	-39.235595   	98   	98          	293.789   	278.466   	5.8     	12.2          	4.5  	41.7     	039     	143  	1.235979
22                      	1008.2	11.2                   	69                      	4.5  	219                     	-73.159641	-39.235536   	102  	102         	294.351   	278.321   	5.8     	12.2          	4.5  	40.9     	039     	152  	1.235365
23                      	1007.6	11.2                   	69                      	4.7  	218                     	-73.159583	-39.235477   	107  	107         	294.913   	278.177   	5.7     	12.2          	4.5  	40.2     	039     	161  	1.234751
24                      	1007.1	11.2                   	69                      	4.9  	218                     	-73.159525	-39.235418   	111  	111         	295.475   	278.032   	5.7     	12.2          	4.5  	39.6     	038     	170  	1.234138
25                      	1006.5	11.2                   	69                      	5.0  	218                     	-73.159468	-39.235359   	116  	116         	296.037   	277.888   	5.6     	12.1          	4.5  	39.0     	038     	179  	1.233524
26                      	1006.0	11.2                   	68                      	5.2  	218                     	-73.159410	-39.235300   	120  	120         	296.599   	277.743   	5.6     	12.1          	4.5  	38.5     	038     	189  	1.232911
27                      	1005.4	11.1                   	68                      	5.4  	218                     	-73.159352	-39.235241   	125  	125         	297.177   	277.599   	5.5     	12.1          	4.5  	38.0     	038     	198  	1.232299
28                      	1004.9	11.1                   	68                      	5.5  	217                     	-73.159294	-39.235182   	129  	129         	297.739   	277.455   	5.5     	12.1          	4.5  	37.6     	038     	207  	1.231686
29                      	1004.4	11.1                   	68                      	5.7  	217                     	-73.159236	-39.235122   	134  	134         	298.302   	277.311   	5.4     	12.1          	4.5  	37.2     	038     	217  	1.231074
30                      	1003.8	11.1                   	68                      	6.0  	217                     	-73.159178	-39.235063   	138  	138         	298.864   	277.167   	5.4     	12.1          	4.5  	36.9     	038     	226  	1.230462
31                      	1003.3	11.1                   	68                      	6.1  	217                     	-73.159120	-39.235004   	143  	143         	299.426   	277.022   	5.3     	12.0          	4.5  	36.5     	038     	235  	1.229851
32                      	1002.7	11.1                   	67                      	6.2  	217                     	-73.159062	-39.234945   	147  	147         	299.989   	276.878   	5.3     	12.0          	4.5  	36.2     	038     	244  	1.229239
33                      	1002.2	11.1                   	67                      	6.3  	218                     	-73.159004	-39.234886   	152  	152         	300.567   	276.735   	5.2     	12.0          	4.5  	36.0     	038     	254  	1.228630
34                      	1001.7	11.0                   	67                      	6.4  	218                     	-73.158947	-39.234827   	156  	156         	301.165   	276.626   	5.2     	12.0          	4.5  	35.7     	038     	263  	1.228150
35                      	1001.1	11.0                   	67                      	6.5  	218                     	-73.158889	-39.234768   	161  	161         	301.764   	276.519   	5.1     	11.9          	4.5  	35.5     	038     	272  	1.227671
36                      	1000.6	10.9                   	67                      	6.6  	218                     	-73.158831	-39.234709   	165  	165         	302.363   	276.411   	5.1     	11.9          	4.5  	35.2     	038     	282  	1.227192
37                      	1000.0	10.9                   	67                      	6.7  	218                     	-73.158773	-39.234649   	170  	170         	302.963   	276.304   	5.0     	11.8          	4.5  	35.0     	038     	291  	1.226712
38                      	999.5 	10.9                   	67                      	6.8  	218                     	-73.158715	-39.234590   	174  	174         	303.562   	276.197   	5.0     	11.8          	4.5  	34.8     	038     	300  	1.226233
39                      	998.9 	10.8                   	67                      	6.9  	218                     	-73.158657	-39.234531   	179  	179         	304.177   	276.089   	4.9     	11.7          	4.5  	34.6     	038     	310  	1.225754
40                      	998.4 	10.8                   	67                      	7.0  	218                     	-73.158599	-39.234472   	183  	183         	304.776   	275.982   	4.9     	11.7          	4.5  	34.5     	038     	319  	1.225275
41                      	997.9 	10.7                   	67                      	7.1  	219                     	-73.158541	-39.234413   	188  	188         	305.375   	275.875   	4.8     	11.7          	4.5  	34.3     	038     	329  	1.224796
42                      	997.3 	10.7                   	67                      	7.2  	219                     	-73.158483	-39.234354   	192  	192         	305.974   	275.768   	4.8     	11.6          	4.5  	34.1     	038     	338  	1.224318
43                      	996.8 	10.6                   	67                      	7.3  	219                     	-73.158425	-39.234295   	197  	197         	306.570   	275.657   	4.8     	11.6          	4.5  	34.0     	038     	347  	1.223825
44                      	996.2 	10.6                   	67                      	7.4  	219                     	-73.158368	-39.234236   	201  	201         	307.166   	275.547   	4.7     	11.5          	4.5  	33.9     	038     	357  	1.223332
45                      	995.7 	10.6                   	67                      	7.5  	219                     	-73.158310	-39.234176   	206  	206         	307.778   	275.436   	4.7     	11.5          	4.5  	33.7     	038     	366  	1.222839
46                      	995.1 	10.5                   	67                      	7.5  	219                     	-73.158247	-39.234116   	211  	211         	308.390   	275.326   	4.6     	11.4          	4.6  	33.6     	038     	376  	1.222346
47                      	994.6 	10.5                   	67                      	7.6  	219                     	-73.158178	-39.234053   	215  	215         	309.020   	275.218   	4.6     	11.4          	4.8  	33.4     	038     	386  	1.221857
48                      	994.0 	10.4                   	67                      	7.7  	219                     	-73.158110	-39.233991   	220  	220         	309.670   	275.114   	4.5     	11.3          	4.8  	33.3     	038     	396  	1.221371
49                      	993.5 	10.4                   	67                      	7.8  	219                     	-73.158041	-39.233928   	225  	225         	310.299   	275.006   	4.5     	11.3          	4.8  	33.1     	038     	406  	1.220863
50                      	992.9 	10.3                   	67                      	7.9  	219                     	-73.157973	-39.233866   	230  	230         	310.944   	274.897   	4.5     	11.2          	4.8  	33.0     	038     	417  	1.220356
51                      	992.3 	10.3                   	67                      	8.0  	219                     	-73.157904	-39.233803   	234  	234         	311.590   	274.789   	4.5     	11.2          	4.8  	32.9     	038     	427  	1.219849
52                      	991.8 	10.2                   	67                      	8.1  	219                     	-73.157836	-39.233741   	239  	239         	312.219   	274.681   	4.4     	11.2          	4.8  	32.7     	038     	437  	1.219342
53                      	991.2 	10.2                   	67                      	8.2  	220                     	-73.157767	-39.233678   	244  	244         	312.865   	274.572   	4.4     	11.1          	4.8  	32.6     	038     	447  	1.218836
54                      	990.6 	10.2                   	67                      	8.3  	220                     	-73.157699	-39.233616   	249  	249         	313.494   	274.464   	4.4     	11.1          	4.8  	32.5     	038     	458  	1.218329
55                      	990.1 	10.1                   	67                      	8.4  	220                     	-73.157630	-39.233553   	253  	253         	314.140   	274.356   	4.4     	11.0          	4.8  	32.4     	038     	468  	1.217823
56                      	989.5 	10.1                   	67                      	8.5  	220                     	-73.157562	-39.233491   	258  	258         	314.769   	274.247   	4.3     	11.0          	4.8  	32.3     	038     	478  	1.217316
57                      	988.9 	10.0                   	68                      	8.6  	220                     	-73.157493	-39.233428   	263  	263         	315.415   	274.139   	4.3     	10.9          	4.8  	32.2     	038     	488  	1.216810
58                      	988.4 	10.0                   	68                      	8.7  	220                     	-73.157425	-39.233366   	268  	268         	316.044   	274.031   	4.3     	10.9          	4.8  	32.1     	038     	499  	1.216304
59                      	987.8 	9.9                    	68                      	8.8  	220                     	-73.157356	-39.233303   	272  	272         	316.690   	273.923   	4.3     	10.8          	4.8  	32.0     	039     	509  	1.215798
60                      	987.2 	9.9                    	68                      	8.9  	220                     	-73.157288	-39.233241   	277  	277         	317.335   	273.815   	4.2     	10.8          	4.8  	31.9     	039     	519  	1.215292
61                      	986.7 	9.9                    	68                      	9.0  	220                     	-73.157219	-39.233178   	282  	282         	317.963   	273.704   	4.2     	10.7          	4.8  	31.8     	039     	529  	1.214780
62                      	986.1 	9.8                    	68                      	9.0  	220                     	-73.157151	-39.233116   	287  	287         	318.606   	273.594   	4.2     	10.7          	4.8  	31.8     	039     	540  	1.214269
63                      	985.5 	9.8                    	68                      	9.0  	220                     	-73.157082	-39.233053   	291  	291         	319.233   	273.483   	4.1     	10.7          	4.8  	31.7     	039     	550  	1.213758
64                      	985.0 	9.7                    	68                      	9.0  	220                     	-73.157014	-39.232991   	296  	296         	319.876   	273.373   	4.1     	10.6          	4.8  	31.6     	039     	560  	1.213246
65                      	984.4 	9.7                    	68                      	9.1  	220                     	-73.156945	-39.232928   	301  	301         	320.504   	273.263   	4.1     	10.6          	4.8  	31.5     	039     	570  	1.212736
66                      	983.8 	9.6                    	68                      	9.1  	219                     	-73.156877	-39.232866   	306  	306         	321.147   	273.152   	4.1     	10.5          	4.8  	31.5     	039     	581  	1.212225
67                      	983.3 	9.6                    	68                      	9.1  	219                     	-73.156808	-39.232803   	310  	310         	321.775   	273.042   	4.0     	10.5          	4.8  	31.4     	039     	591  	1.211714
68                      	982.7 	9.6                    	68                      	9.1  	219                     	-73.156740	-39.232741   	315  	315         	322.418   	272.931   	4.0     	10.4          	4.8  	31.3     	039     	601  	1.211203
69                      	982.2 	9.5                    	68                      	9.2  	219                     	-73.156672	-39.232678   	320  	320         	323.061   	272.821   	4.0     	10.4          	4.8  	31.3     	039     	611  	1.210693
70                      	981.6 	9.5                    	68                      	9.2  	219                     	-73.156603	-39.232616   	325  	325         	323.689   	272.711   	3.9     	10.4          	4.8  	31.2     	039     	622  	1.210183
71                      	981.0 	9.4                    	68                      	9.2  	219                     	-73.156535	-39.232553   	330  	329         	324.332   	272.601   	3.9     	10.3          	4.8  	31.1     	039     	632  	1.209673
72                      	980.5 	9.4                    	68                      	9.2  	219                     	-73.156466	-39.232491   	334  	334         	324.960   	272.491   	3.9     	10.3          	4.8  	31.1     	039     	642  	1.209163
73                      	979.9 	9.3                    	68                      	9.2  	219                     	-73.156398	-39.232428   	339  	339         	325.605   	272.382   	3.8     	10.2          	4.8  	31.0     	039     	652  	1.208659
