Flight Information:
Launch Date:            	      	                       	Tuesday, 15 December 2020	     	                       	          	Launch Time: 	     	            	05:31:33 	       	     	End of Ascent:	     	         	02:00:10
Station name:           	      	                       	OKSTATE USRI             	     	                       	          	Serialnumber:	     	            	20027942
Ground values:
Pressure:               	      	                       	1021.3 hPa               	     	                       	          	Temperature: 	     	            	8.8 ?C   	       	     	Humidity:     	     	         	91 %
Wind Direction:         	      	                       	127 ?                    	     	                       	          	Wind Speed:  	     	            	1 m/s    	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	      	                       	-73.160 ?                	     	                       	          	Latitude:    	     	            	-39.236 ?	       	     	Altitude:     	     	         	3 m
Staff:
Company:                	      	                       	
Operator:               	      	                       	                         	     	                       	          	
Events:
Highest Point:          	      	                       	7.6 hPa                  	     	                       	          	33038 m
Tropopauses:            	      	                       	1.: 200.8 hPa            	     	                       	          	2.: 72.6 hPa 	     	            	
Max Winds:              	      	                       	1.: 257.1 hPa            	     	                       	          	             	     	            	
Remarks:

Profile Data:
Time                    	P     	T                      	Hu                       	Ws   	Wd                     	Long.     	Lat.         	Alt  	Geopot      	MRI      	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range 	D
[sec]                   	[hPa] 	[?C]                   	[%]                      	[m/s]	[?]                    	[?]       	[?]          	[m]  	[m]         	         	       	[?C] 	[?C]          	[m/s]	[?]      	[?]     	[m]   	[kg/m3]
0                       	1021.3	8.8                    	91                       	0.5  	127                    	-73.160395	-39.236305   	3    	3           	285.829  	285.358	7.4  	9.9           	0.0  	39.2     	180     	0     	1.262116
2                       	1020.1	9.1                    	91                       	0.7  	129                    	-73.160468	-39.236269   	13   	13          	286.703  	284.678	7.7  	10.2          	5.0  	54.5     	299     	13    	1.259136
4                       	1018.9	9.5                    	91                       	1.0  	130                    	-73.160542	-39.236234   	23   	23          	287.595  	284.000	8.0  	10.6          	5.0  	53.9     	301     	25    	1.256164
6                       	1017.6	9.8                    	91                       	1.2  	131                    	-73.160615	-39.236198   	33   	33          	288.473  	283.323	8.3  	10.9          	5.0  	53.6     	301     	37    	1.253202
8                       	1016.4	9.9                    	89                       	1.4  	132                    	-73.160689	-39.236163   	43   	43          	289.510  	282.791	8.2  	11.1          	5.0  	53.5     	301     	50    	1.251106
10                      	1015.2	10.0                   	87                       	1.7  	132                    	-73.160763	-39.236127   	53   	53          	290.561  	282.287	8.0  	11.1          	5.0  	53.4     	301     	62    	1.249246
12                      	1014.0	10.1                   	86                       	1.9  	132                    	-73.160836	-39.236092   	63   	63          	291.628  	281.784	7.8  	11.2          	5.0  	53.3     	301     	75    	1.247389
14                      	1012.8	10.2                   	84                       	2.1  	132                    	-73.160910	-39.236057   	73   	73          	292.683  	281.285	7.5  	11.3          	5.0  	53.3     	301     	87    	1.245548
16                      	1011.6	10.3                   	82                       	2.4  	132                    	-73.160983	-39.236021   	83   	83          	293.739  	280.786	7.3  	11.3          	5.0  	53.2     	302     	100   	1.243709
18                      	1010.4	10.3                   	80                       	2.6  	133                    	-73.161071	-39.235966   	92   	92          	294.779  	280.288	7.0  	11.4          	4.9  	52.3     	303     	113   	1.241874
20                      	1009.3	10.4                   	78                       	2.8  	133                    	-73.161159	-39.235911   	101  	101         	295.731  	279.874	6.8  	11.4          	4.3  	51.2     	303     	126   	1.240367
22                      	1008.3	10.4                   	78                       	3.1  	133                    	-73.161247	-39.235856   	110  	110         	296.809  	279.586	6.6  	11.4          	4.3  	50.4     	304     	139   	1.239220
24                      	1007.2	10.3                   	77                       	3.3  	133                    	-73.161334	-39.235801   	118  	118         	297.886  	279.298	6.4  	11.3          	4.3  	49.6     	304     	152   	1.238074
26                      	1006.2	10.3                   	76                       	3.5  	133                    	-73.161422	-39.235746   	127  	127         	298.964  	279.009	6.3  	11.3          	4.3  	49.0     	305     	165   	1.236928
28                      	1005.1	10.3                   	75                       	3.8  	133                    	-73.161510	-39.235691   	136  	136         	300.042  	278.721	6.1  	11.3          	4.3  	48.5     	305     	178   	1.235784
30                      	1004.1	10.2                   	75                       	4.0  	133                    	-73.161597	-39.235636   	145  	144         	301.120  	278.434	5.9  	11.2          	4.3  	48.1     	305     	191   	1.234641
32                      	1003.0	10.2                   	74                       	4.0  	133                    	-73.161685	-39.235581   	153  	153         	302.198  	278.146	5.7  	11.2          	4.3  	47.7     	306     	204   	1.233498
34                      	1002.0	10.1                   	73                       	4.1  	133                    	-73.161773	-39.235526   	162  	162         	303.305  	277.887	5.6  	11.1          	4.3  	47.3     	306     	217   	1.232437
36                      	1000.9	10.1                   	73                       	4.1  	134                    	-73.161861	-39.235471   	171  	171         	304.437  	277.652	5.5  	11.0          	4.3  	47.0     	306     	230   	1.231435
38                      	999.9 	10.0                   	73                       	4.2  	134                    	-73.161948	-39.235416   	179  	179         	305.568  	277.418	5.4  	11.0          	4.3  	46.7     	306     	243   	1.230433
40                      	998.9 	9.9                    	73                       	4.2  	134                    	-73.162036	-39.235361   	188  	188         	306.700  	277.184	5.2  	10.9          	4.3  	46.5     	306     	256   	1.229432
42                      	997.8 	9.9                    	72                       	4.2  	134                    	-73.162124	-39.235306   	197  	197         	307.832  	276.950	5.1  	10.8          	4.3  	46.2     	307     	269   	1.228432
