Flight Information:
Launch Date:            	      	                       	Sunday, 13 December 2020	     	                       	          	Launch Time: 	     	            	17:59:56 	       	     	End of Ascent:	     	         	01:37:57
Station name:           	      	                       	                        	     	                       	          	Serialnumber:	     	            	20028048
Ground values:
Pressure:               	      	                       	1024.5 hPa              	     	                       	          	Temperature: 	     	            	16.8 °C  	       	     	Humidity:     	     	         	58 %
Wind Direction:         	      	                       	198 °                   	     	                       	          	Wind Speed:  	     	            	5 m/s    	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	      	                       	-73.160 °               	     	                       	          	Latitude:    	     	            	-39.236 °	       	     	Altitude:     	     	         	3 m
Staff:
Company:                	      	                       	
Operator:               	      	                       	                        	     	                       	          	
Events:
Highest Point:          	      	                       	10.8 hPa                	     	                       	          	30718 m
Tropopauses:            	      	                       	1.: 202.7 hPa           	     	                       	          	2.: 98.5 hPa 	     	            	
Max Winds:              	      	                       	1.: 292.5 hPa           	     	                       	          	             	     	            	
Remarks:

Profile Data:
Time                    	P     	T                      	Hu                      	Ws   	Wd                     	Long.     	Lat.         	Alt  	Geopot      	MRI      	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range	D
[sec]                   	[hPa] 	[°C]                   	[%]                     	[m/s]	[°]                    	[°]       	[°]          	[m]  	[m]         	         	       	[°C] 	[°C]          	[m/s]	[°]      	[°]     	[m]  	[kg/m3]
0                       	1024.5	16.8                   	58                      	4.9  	198                    	-73.160400	-39.236410   	3    	3           	277.234  	276.763	8.5  	18.0          	0.0  	39.2     	180     	0    	1.231139
1                       	1023.5	16.7                   	58                      	4.9  	200                    	-73.160259	-39.236324   	12   	11          	278.454  	276.649	8.5  	17.8          	8.5  	30.0     	053     	18   	1.230524
2                       	1022.5	16.5                   	59                      	5.0  	201                    	-73.160118	-39.236238   	20   	20          	279.659  	276.535	8.5  	17.7          	8.5  	29.3     	052     	35   	1.229909
3                       	1021.5	16.4                   	59                      	5.1  	203                    	-73.159977	-39.236153   	28   	28          	280.881  	276.422	8.5  	17.6          	8.5  	29.1     	052     	53   	1.229295
4                       	1020.4	16.2                   	60                      	5.1  	204                    	-73.159836	-39.236067   	37   	37          	282.086  	276.308	8.4  	17.4          	8.5  	29.0     	052     	70   	1.228682
5                       	1019.4	16.1                   	60                      	5.2  	206                    	-73.159696	-39.235981   	45   	45          	283.307  	276.195	8.4  	17.3          	8.5  	28.9     	052     	88   	1.228070
6                       	1018.4	15.9                   	61                      	5.3  	207                    	-73.159555	-39.235895   	54   	54          	284.513  	276.082	8.4  	17.1          	8.5  	28.9     	052     	106  	1.227458
7                       	1017.4	15.8                   	61                      	5.3  	209                    	-73.159414	-39.235809   	62   	62          	285.734  	275.969	8.4  	17.0          	8.5  	28.9     	052     	123  	1.226843
8                       	1016.4	15.7                   	61                      	5.4  	210                    	-73.159273	-39.235723   	71   	71          	286.925  	275.841	8.3  	16.8          	8.5  	28.8     	052     	141  	1.226228
