Flight Information:
Launch Date:            	      	                        	Tuesday, 15 December 2020	     	                       	          	Launch Time: 	     	            	09:37:12  	          	        	End of Ascent:	     	         	02:02:24
Station name:           	      	                        	                         	     	                       	          	Serialnumber:	     	            	20027941
Ground values:
Pressure:               	      	                        	1021.6 hPa               	     	                       	          	Temperature: 	     	            	13.4 °C   	          	        	Humidity:     	     	         	61 %
Wind Direction:         	      	                        	142 °                    	     	                       	          	Wind Speed:  	     	            	2 m/s     	          	        	Cloud group:  	     	         	9////
Position:
Longitude:              	      	                        	-73.160 °                	     	                       	          	Latitude:    	     	            	-39.236 ° 	          	        	Altitude:     	     	         	3 m
Staff:
Company:                	      	                        	
Operator:               	      	                        	                         	     	                       	          	
Events:
Highest Point:          	      	                        	49.8 hPa                 	     	                       	          	20729 m
Tropopauses:            	      	                        	1.: 178.1 hPa            	     	                       	          	2.: 87.4 hPa 	     	            	
Max Winds:              	      	                        	1.: 237.2 hPa            	     	                       	          	             	     	            	
Remarks:

Profile Data:
Time                    	P     	T                       	Hu                       	Ws   	Wd                     	Long.     	Lat.         	Alt  	Geopot      	MRI       	RI        	Dewp.   	Virt. Temp    	Rs   	Elevation	Azimuth 	Range 	D
[sec]                   	[hPa] 	[°C]                    	[%]                      	[m/s]	[°]                    	[°]       	[°]          	[m]  	[m]         	          	          	[°C]    	[°C]          	[m/s]	[°]      	[°]     	[m]   	[kg/m3]
0                       	1021.6	13.4                    	61                       	2.1  	142                    	-73.160461	-39.236353   	3    	3           	279.899   	279.428   	6.1     	14.4          	0.0  	39.2     	180     	0     	1.242220
1                       	1021.3	13.2                    	59                       	2.3  	141                    	-73.160546	-39.236314   	5    	5           	280.257   	279.456   	5.5     	14.2          	2.1  	16.0     	298     	9     	1.242657
2                       	1021.1	13.1                    	58                       	2.5  	139                    	-73.160631	-39.236275   	7    	7           	280.629   	279.483   	4.9     	14.0          	2.1  	15.2     	299     	18    	1.243094
3                       	1020.8	12.9                    	56                       	2.7  	138                    	-73.160717	-39.236236   	9    	9           	280.986   	279.511   	4.4     	13.8          	2.1  	14.8     	300     	26    	1.243532
4                       	1020.6	12.7                    	55                       	2.9  	138                    	-73.160802	-39.236197   	12   	12          	281.344   	279.538   	3.8     	13.6          	2.1  	14.5     	300     	35    	1.243971
5                       	1020.3	12.5                    	53                       	3.1  	137                    	-73.160887	-39.236159   	14   	14          	281.716   	279.565   	3.2     	13.3          	2.1  	14.5     	300     	44    	1.244410
6                       	1020.0	12.4                    	51                       	3.3  	136                    	-73.160973	-39.236120   	16   	16          	282.073   	279.593   	2.6     	13.1          	2.1  	14.4     	300     	53    	1.244850
7                       	1019.8	12.2                    	50                       	3.5  	136                    	-73.161058	-39.236081   	18   	18          	282.402   	279.592   	2.1     	13.0          	2.1  	14.3     	300     	61    	1.245147
8                       	1019.5	12.2                    	50                       	3.7  	135                    	-73.161143	-39.236042   	20   	20          	282.735   	279.595   	2.2     	12.9          	2.1  	14.3     	300     	70    	1.245069
9                       	1019.3	12.1                    	51                       	3.9  	135                    	-73.161229	-39.236003   	22   	22          	283.083   	279.598   	2.2     	12.9          	2.1  	14.3     	300     	79    	1.244991
10                      	1019.0	12.1                    	51                       	4.1  	134                    	-73.161314	-39.235965   	24   	24          	283.416   	279.601   	2.3     	12.8          	2.1  	14.2     	300     	88    	1.244914
11                      	1018.8	12.0                    	52                       	4.3  	134                    	-73.161400	-39.235926   	26   	26          	283.749   	279.604   	2.4     	12.8          	2.1  	14.2     	300     	97    	1.244836
