Flight Information:
Launch Date:            	      	                        	Sunday, 13 December 2020	     	                       	          	Launch Time: 	     	            	19:00:30  	          	        	End of Ascent:	     	         	01:32:00
Station name:           	      	                        	                        	     	                       	          	Serialnumber:	     	            	20028090
Ground values:
Pressure:               	      	                        	1024.2 hPa              	     	                       	          	Temperature: 	     	            	16.4 °C   	          	        	Humidity:     	     	         	56 %
Wind Direction:         	      	                        	173 °                   	     	                       	          	Wind Speed:  	     	            	0 m/s     	          	        	Cloud group:  	     	         	9////
Position:
Longitude:              	      	                        	-73.161 °               	     	                       	          	Latitude:    	     	            	-39.236 ° 	          	        	Altitude:     	     	         	3 m
Staff:
Company:                	      	                        	
Operator:               	      	                        	                        	     	                       	          	
Events:
Highest Point:          	      	                        	38.9 hPa                	     	                       	          	22339 m
Tropopauses:            	      	                        	1.: 211.3 hPa           	     	                       	          	2.: 98.0 hPa 	     	            	
Max Winds:              	      	                        	1.: 188.0 hPa           	     	                       	          	             	     	            	
Remarks:

Profile Data:
Time                    	P     	T                       	Hu                      	Ws   	Wd                     	Long.     	Lat.         	Alt  	Geopot      	MRI       	RI        	Dewp.   	Virt. Temp    	Rs   	Elevation	Azimuth 	Range 	D
[sec]                   	[hPa] 	[°C]                    	[%]                     	[m/s]	[°]                    	[°]       	[°]          	[m]  	[m]         	          	          	[°C]    	[°C]          	[m/s]	[°]      	[°]     	[m]   	[kg/m3]
0                       	1024.2	16.4                    	56                      	0.4  	173                    	-73.160400	-39.236200   	3    	3           	277.450   	276.979   	7.6     	17.5          	0.0  	1.7      	067     	10    	1.232478
1                       	1023.7	16.0                    	55                      	0.6  	198                    	-73.160343	-39.236193   	7    	7           	278.280   	277.228   	7.0     	17.1          	3.7  	14.8     	072     	16    	1.233704
2                       	1023.3	15.6                    	55                      	0.8  	213                    	-73.160286	-39.236187   	11   	11          	279.126   	277.477   	6.5     	16.6          	3.7  	21.2     	074     	22    	1.234934
3                       	1022.8	15.2                    	54                      	1.0  	221                    	-73.160230	-39.236180   	14   	14          	279.957   	277.728   	5.9     	16.1          	3.7  	24.7     	075     	28    	1.236168
4                       	1022.4	14.7                    	53                      	1.3  	227                    	-73.160173	-39.236173   	18   	18          	280.805   	277.979   	5.3     	15.7          	3.7  	27.1     	076     	34    	1.237405
5                       	1021.9	14.3                    	52                      	1.5  	230                    	-73.160116	-39.236167   	22   	22          	281.637   	278.230   	4.8     	15.2          	3.7  	28.6     	077     	40    	1.238646
6                       	1021.5	13.9                    	52                      	1.7  	233                    	-73.160059	-39.236160   	25   	25          	282.470   	278.482   	4.2     	14.8          	3.7  	29.7     	078     	46    	1.239891
7                       	1021.0	13.7                    	51                      	1.9  	235                    	-73.160002	-39.236153   	29   	29          	283.092   	278.508   	3.9     	14.6          	3.7  	30.6     	078     	52    	1.240056
8                       	1020.6	13.7                    	52                      	2.1  	236                    	-73.159946	-39.236147   	33   	33          	283.599   	278.434   	4.0     	14.6          	3.7  	31.3     	078     	58    	1.239678
9                       	1020.1	13.7                    	52                      	2.3  	238                    	-73.159889	-39.236140   	37   	37          	284.122   	278.360   	4.0     	14.5          	3.7  	31.9     	079     	64    	1.239301
10                      	1019.7	13.6                    	52                      	2.5  	239                    	-73.159832	-39.236133   	40   	40          	284.629   	278.286   	4.0     	14.5          	3.7  	32.3     	079     	71    	1.238923
11                      	1019.2	13.6                    	52                      	2.7  	239                    	-73.159775	-39.236127   	44   	44          	285.136   	278.212   	4.0     	14.5          	3.7  	32.6     	079     	77    	1.238546
12                      	1018.8	13.5                    	53                      	3.0  	240                    	-73.159718	-39.236120   	48   	48          	285.659   	278.138   	4.0     	14.4          	3.7  	33.0     	079     	83    	1.238169
13                      	1018.3	13.5                    	53                      	3.2  	241                    	-73.159662	-39.236113   	52   	52          	286.166   	278.065   	4.1     	14.4          	3.7  	33.3     	079     	89    	1.237792
14                      	1017.9	13.5                    	53                      	3.4  	241                    	-73.159605	-39.236107   	55   	55          	286.673   	277.991   	4.1     	14.3          	3.7  	33.5     	080     	95    	1.237415
15                      	1017.4	13.4                    	53                      	3.6  	242                    	-73.159546	-39.236097   	59   	59          	287.196   	277.917   	4.1     	14.3          	3.7  	33.7     	079     	102   	1.237039
16                      	1017.0	13.4                    	53                      	3.8  	242                    	-73.159470	-39.236058   	63   	63          	287.703   	277.844   	4.1     	14.3          	3.7  	33.2     	078     	110   	1.236663
17                      	1016.5	13.3                    	54                      	4.0  	242                    	-73.159394	-39.236020   	67   	67          	288.211   	277.770   	4.1     	14.2          	3.7  	32.7     	076     	118   	1.236286
18                      	1016.1	13.3                    	54                      	4.2  	243                    	-73.159318	-39.235982   	70   	70          	288.734   	277.697   	4.2     	14.2          	3.7  	32.4     	075     	126   	1.235910
19                      	1015.6	13.3                    	54                      	4.4  	243                    	-73.159242	-39.235944   	74   	74          	289.242   	277.624   	4.2     	14.1          	3.7  	32.0     	073     	135   	1.235535
20                      	1015.2	13.2                    	54                      	4.7  	243                    	-73.159166	-39.235906   	78   	78          	289.738   	277.539   	4.2     	14.1          	3.7  	31.6     	072     	143   	1.235118
21                      	1014.7	13.2                    	54                      	4.9  	243                    	-73.159090	-39.235868   	81   	81          	290.230   	277.450   	4.2     	14.1          	3.7  	31.3     	072     	151   	1.234678
22                      	1014.3	13.2                    	55                      	5.1  	244                    	-73.159015	-39.235830   	85   	85          	290.721   	277.360   	4.2     	14.1          	3.7  	31.1     	071     	160   	1.234239
23                      	1013.8	13.2                    	55                      	5.3  	244                    	-73.158939	-39.235792   	89   	89          	291.228   	277.271   	4.3     	14.0          	3.7  	30.8     	070     	168   	1.233800
24                      	1013.4	13.1                    	55                      	5.5  	244                    	-73.158863	-39.235754   	93   	93          	291.720   	277.182   	4.3     	14.0          	3.7  	30.6     	069     	177   	1.233361
25                      	1012.9	13.1                    	55                      	5.7  	244                    	-73.158787	-39.235716   	96   	96          	292.211   	277.092   	4.3     	14.0          	3.7  	30.4     	069     	185   	1.232922
26                      	1012.5	13.1                    	55                      	5.9  	244                    	-73.158711	-39.235678   	100  	100         	292.703   	277.003   	4.3     	14.0          	3.7  	30.2     	068     	194   	1.232484
27                      	1012.0	13.1                    	55                      	6.1  	244                    	-73.158635	-39.235640   	104  	104         	293.210   	276.914   	4.4     	14.0          	3.7  	30.0     	068     	202   	1.232045
28                      	1011.6	13.0                    	56                      	6.3  	245                    	-73.158559	-39.235601   	108  	107         	293.702   	276.824   	4.4     	13.9          	3.7  	29.9     	067     	211   	1.231606
29                      	1011.1	13.0                    	56                      	6.6  	245                    	-73.158483	-39.235563   	111  	111         	294.194   	276.735   	4.4     	13.9          	3.7  	29.7     	067     	219   	1.231168
30                      	1010.7	13.0                    	56                      	6.8  	245                    	-73.158407	-39.235525   	115  	115         	294.685   	276.646   	4.4     	13.9          	3.7  	29.5     	066     	228   	1.230730
31                      	1010.2	13.0                    	56                      	6.8  	244                    	-73.158331	-39.235487   	119  	119         	295.177   	276.557   	4.4     	13.9          	3.7  	29.4     	066     	236   	1.230292
32                      	1009.8	12.9                    	56                      	6.8  	244                    	-73.158255	-39.235449   	122  	122         	295.684   	276.468   	4.5     	13.8          	3.7  	29.3     	066     	245   	1.229853
33                      	1009.4	12.9                    	56                      	6.9  	243                    	-73.158179	-39.235411   	126  	126         	296.176   	276.379   	4.5     	13.8          	3.7  	29.2     	066     	253   	1.229421
34                      	1008.9	12.9                    	57                      	6.9  	243                    	-73.158104	-39.235373   	130  	130         	296.673   	276.294   	4.5     	13.8          	3.7  	29.0     	065     	262   	1.229012
35                      	1008.5	12.8                    	57                      	6.9  	242                    	-73.158028	-39.235335   	134  	133         	297.169   	276.209   	4.5     	13.8          	3.7  	28.9     	065     	270   	1.228602
36                      	1008.0	12.8                    	57                      	6.9  	242                    	-73.157952	-39.235297   	137  	137         	297.681   	276.125   	4.5     	13.7          	3.7  	28.9     	065     	279   	1.228193
37                      	1007.6	12.8                    	57                      	7.0  	241                    	-73.157876	-39.235259   	141  	141         	298.177   	276.040   	4.5     	13.7          	3.7  	28.8     	064     	287   	1.227784
38                      	1007.1	12.8                    	57                      	7.0  	241                    	-73.157800	-39.235221   	145  	145         	298.673   	275.956   	4.5     	13.7          	3.7  	28.7     	064     	296   	1.227374
39                      	1006.7	12.7                    	57                      	7.0  	241                    	-73.157724	-39.235182   	148  	148         	299.170   	275.871   	4.5     	13.6          	3.7  	28.6     	064     	305   	1.226965
40                      	1006.2	12.7                    	57                      	7.0  	240                    	-73.157648	-39.235144   	152  	152         	299.666   	275.787   	4.5     	13.6          	3.7  	28.5     	064     	313   	1.226556
41                      	1005.8	12.7                    	57                      	7.1  	240                    	-73.157572	-39.235106   	156  	156         	300.178   	275.702   	4.5     	13.6          	3.7  	28.4     	064     	322   	1.226148
42                      	1005.3	12.6                    	58                      	7.1  	239                    	-73.157496	-39.235068   	160  	160         	300.675   	275.618   	4.5     	13.5          	3.7  	28.4     	064     	330   	1.225739
43                      	1004.8	12.6                    	58                      	7.1  	239                    	-73.157420	-39.235030   	163  	163         	301.148   	275.509   	4.5     	13.5          	3.7  	28.3     	063     	339   	1.225224
44                      	1004.3	12.6                    	58                      	7.1  	238                    	-73.157344	-39.234992   	167  	167         	301.620   	275.401   	4.5     	13.5          	3.7  	28.2     	063     	348   	1.224708
45                      	1003.7	12.5                    	58                      	7.2  	238                    	-73.157269	-39.234954   	171  	171         	302.093   	275.293   	4.5     	13.4          	3.7  	28.1     	063     	356   	1.224193
46                      	1003.2	12.5                    	58                      	7.2  	237                    	-73.157196	-39.234915   	176  	176         	302.768   	275.184   	4.5     	13.4          	5.0  	28.3     	063     	365   	1.223679
47                      	1002.7	12.5                    	58                      	7.2  	237                    	-73.157125	-39.234877   	181  	181         	303.507   	275.090   	4.5     	13.4          	5.3  	28.5     	063     	374   	1.223244
48                      	1002.1	12.4                    	58                      	7.3  	237                    	-73.157054	-39.234838   	186  	186         	304.250   	275.001   	4.4     	13.3          	5.3  	28.6     	063     	383   	1.222825
49                      	1001.5	12.3                    	58                      	7.3  	236                    	-73.156983	-39.234799   	192  	192         	304.965   	274.884   	4.4     	13.2          	5.3  	28.8     	062     	392   	1.222283
50                      	1000.9	12.3                    	58                      	7.3  	236                    	-73.156912	-39.234761   	197  	197         	305.680   	274.767   	4.4     	13.2          	5.3  	28.9     	062     	401   	1.221742
51                      	1000.2	12.2                    	58                      	7.4  	235                    	-73.156840	-39.234722   	202  	202         	306.396   	274.650   	4.3     	13.1          	5.3  	29.1     	062     	410   	1.221201
52                      	999.6 	12.2                    	58                      	7.4  	235                    	-73.156769	-39.234683   	208  	207         	307.111   	274.533   	4.3     	13.1          	5.3  	29.2     	062     	420   	1.220660
53                      	999.0 	12.1                    	59                      	7.4  	235                    	-73.156698	-39.234644   	213  	213         	307.826   	274.417   	4.3     	13.0          	5.3  	29.4     	062     	429   	1.220119
54                      	998.4 	12.1                    	59                      	7.5  	234                    	-73.156627	-39.234606   	218  	218         	308.542   	274.300   	4.2     	13.0          	5.3  	29.5     	062     	438   	1.219578
55                      	997.7 	12.0                    	59                      	7.5  	234                    	-73.156556	-39.234567   	223  	223         	309.257   	274.183   	4.2     	12.9          	5.3  	29.6     	062     	447   	1.219037
56                      	997.1 	12.0                    	59                      	7.5  	233                    	-73.156485	-39.234528   	229  	229         	309.957   	274.067   	4.2     	12.9          	5.3  	29.7     	061     	456   	1.218497
57                      	996.5 	11.9                    	59                      	7.6  	233                    	-73.156413	-39.234490   	234  	234         	310.672   	273.950   	4.1     	12.8          	5.3  	29.8     	061     	465   	1.217956
58                      	995.8 	11.9                    	59                      	7.6  	233                    	-73.156342	-39.234451   	239  	239         	311.388   	273.833   	4.1     	12.7          	5.3  	29.9     	061     	474   	1.217416
59                      	995.2 	11.8                    	59                      	7.6  	232                    	-73.156271	-39.234412   	245  	244         	312.103   	273.717   	4.0     	12.7          	5.3  	30.0     	061     	483   	1.216876
60                      	994.6 	11.8                    	59                      	7.7  	232                    	-73.156200	-39.234373   	250  	250         	312.822   	273.603   	4.0     	12.6          	5.3  	30.1     	061     	492   	1.216334
61                      	993.9 	11.7                    	59                      	7.7  	232                    	-73.156129	-39.234335   	255  	255         	313.539   	273.488   	4.0     	12.6          	5.3  	30.2     	061     	501   	1.215786
62                      	993.3 	11.7                    	59                      	7.7  	232                    	-73.156058	-39.234296   	260  	260         	314.256   	273.373   	4.0     	12.5          	5.3  	30.3     	061     	511   	1.215239
63                      	992.7 	11.6                    	59                      	7.7  	232                    	-73.155986	-39.234257   	266  	266         	314.973   	273.258   	4.0     	12.5          	5.3  	30.4     	061     	520   	1.214692
64                      	992.1 	11.5                    	60                      	7.7  	233                    	-73.155915	-39.234219   	271  	271         	315.690   	273.143   	4.0     	12.4          	5.3  	30.5     	061     	529   	1.214145
65                      	991.4 	11.5                    	60                      	7.7  	233                    	-73.155844	-39.234180   	276  	276         	316.408   	273.029   	3.9     	12.4          	5.3  	30.6     	060     	538   	1.213598
66                      	990.8 	11.4                    	60                      	7.7  	233                    	-73.155773	-39.234141   	282  	281         	317.125   	272.914   	3.9     	12.3          	5.3  	30.7     	060     	547   	1.213052
67                      	990.2 	11.4                    	60                      	7.7  	233                    	-73.155702	-39.234102   	287  	287         	317.843   	272.799   	3.9     	12.3          	5.3  	30.7     	060     	556   	1.212505
68                      	989.6 	11.3                    	60                      	7.7  	233                    	-73.155630	-39.234064   	292  	292         	318.560   	272.685   	3.9     	12.2          	5.3  	30.8     	060     	565   	1.211959
69                      	988.9 	11.3                    	60                      	7.7  	234                    	-73.155559	-39.234025   	298  	297         	319.277   	272.570   	3.9     	12.2          	5.3  	30.9     	060     	574   	1.211413
70                      	988.3 	11.2                    	60                      	7.8  	234                    	-73.155488	-39.233986   	303  	303         	319.995   	272.455   	3.8     	12.1          	5.3  	30.9     	060     	584   	1.210867
71                      	987.7 	11.2                    	60                      	7.8  	234                    	-73.155417	-39.233948   	308  	308         	320.712   	272.341   	3.8     	12.1          	5.3  	31.0     	060     	593   	1.210321
72                      	987.1 	11.1                    	61                      	7.8  	234                    	-73.155346	-39.233909   	313  	313         	321.430   	272.226   	3.8     	12.0          	5.3  	31.1     	060     	602   	1.209776
73                      	986.4 	11.1                    	61                      	7.8  	234                    	-73.155275	-39.233870   	319  	319         	322.151   	272.115   	3.8     	12.0          	5.3  	31.1     	060     	611   	1.209239
74                      	985.8 	11.0                    	61                      	7.8  	234                    	-73.155203	-39.233831   	324  	324         	322.863   	272.011   	3.8     	11.9          	5.3  	31.2     	060     	620   	1.208728
75                      	985.2 	11.0                    	61                      	7.8  	235                    	-73.155132	-39.233793   	329  	329         	323.591   	271.907   	3.8     	11.8          	5.3  	31.3     	060     	629   	1.208220
76                      	984.6 	10.9                    	61                      	7.8  	235                    	-73.155062	-39.233753   	335  	334         	324.319   	271.803   	3.8     	11.8          	5.3  	31.3     	060     	638   	1.207712
77                      	984.0 	10.8                    	61                      	7.8  	235                    	-73.154994	-39.233710   	340  	339         	325.016   	271.699   	3.7     	11.7          	5.1  	31.4     	059     	647   	1.207204
78                      	983.3 	10.8                    	62                      	7.8  	235                    	-73.154926	-39.233666   	345  	345         	325.729   	271.596   	3.7     	11.7          	5.1  	31.4     	059     	656   	1.206697
79                      	982.7 	10.7                    	62                      	7.8  	235                    	-73.154858	-39.233623   	350  	350         	326.430   	271.495   	3.7     	11.6          	5.1  	31.4     	059     	666   	1.206204
80                      	982.1 	10.7                    	62                      	7.9  	236                    	-73.154790	-39.233579   	355  	355         	327.130   	271.395   	3.7     	11.5          	5.1  	31.5     	059     	675   	1.205712
81                      	981.5 	10.6                    	62                      	7.9  	236                    	-73.154722	-39.233536   	360  	360         	327.830   	271.295   	3.7     	11.5          	5.1  	31.5     	059     	684   	1.205219
82                      	980.9 	10.6                    	62                      	7.9  	236                    	-73.154654	-39.233492   	365  	365         	328.547   	271.195   	3.7     	11.4          	5.1  	31.6     	059     	693   	1.204727
83                      	980.3 	10.5                    	62                      	7.9  	236                    	-73.154586	-39.233449   	370  	370         	329.247   	271.094   	3.7     	11.4          	5.1  	31.6     	059     	702   	1.204235
84                      	979.7 	10.4                    	63                      	7.9  	236                    	-73.154518	-39.233406   	376  	375         	329.948   	270.994   	3.6     	11.3          	5.1  	31.6     	059     	711   	1.203744
85                      	979.1 	10.4                    	63                      	7.9  	236                    	-73.154450	-39.233362   	381  	380         	330.648   	270.894   	3.6     	11.2          	5.1  	31.7     	059     	720   	1.203252
86                      	978.5 	10.3                    	63                      	7.9  	237                    	-73.154383	-39.233319   	386  	386         	331.364   	270.794   	3.6     	11.2          	5.1  	31.7     	059     	729   	1.202760
87                      	977.9 	10.3                    	63                      	7.9  	237                    	-73.154315	-39.233275   	391  	391         	332.059   	270.687   	3.6     	11.1          	5.1  	31.7     	058     	738   	1.202255
88                      	977.3 	10.2                    	63                      	7.9  	237                    	-73.154247	-39.233232   	396  	396         	332.750   	270.578   	3.6     	11.1          	5.1  	31.8     	058     	747   	1.201735
89                      	976.7 	10.2                    	63                      	8.0  	237                    	-73.154179	-39.233188   	401  	401         	333.457   	270.468   	3.5     	11.0          	5.1  	31.8     	058     	756   	1.201215
