Flight Information:
Launch Date:            	      	                       	Tuesday, 15 December 2020	     	                        	          	Launch Time: 	     	            	12:32:55 	       	     	End of Ascent:	     	         	01:44:16
Station name:           	      	                       	                         	     	                        	          	Serialnumber:	     	            	20028087
Ground values:
Pressure:               	      	                       	1020.9 hPa               	     	                        	          	Temperature: 	     	            	16.3 °C  	       	     	Humidity:     	     	         	54 %
Wind Direction:         	      	                       	206 °                    	     	                        	          	Wind Speed:  	     	            	3 m/s    	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	      	                       	-73.160 °                	     	                        	          	Latitude:    	     	            	-39.236 °	       	     	Altitude:     	     	         	3 m
Staff:
Company:                	      	                       	
Operator:               	      	                       	                         	     	                        	          	
Events:
Highest Point:          	      	                       	7.0 hPa                  	     	                        	          	33639 m
Tropopauses:            	      	                       	1.: 194.3 hPa            	     	                        	          	2.: 110.8 hPa	     	            	
Max Winds:              	      	                       	1.: 168.4 hPa            	     	                        	          	             	     	            	
Remarks:

Profile Data:
Time                    	P     	T                      	Hu                       	Ws   	Wd                      	Long.     	Lat.         	Alt  	Geopot      	MRI      	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range	D
[sec]                   	[hPa] 	[°C]                   	[%]                      	[m/s]	[°]                     	[°]       	[°]          	[m]  	[m]         	         	       	[°C] 	[°C]          	[m/s]	[°]      	[°]     	[m]  	[kg/m3]
0                       	1020.9	16.3                   	54                       	2.6  	206                     	-73.160419	-39.236351   	3    	3           	276.573  	276.102	7.0  	17.4          	0.0  	39.2     	180     	0    	1.228932
1                       	1020.0	16.2                   	53                       	2.8  	208                     	-73.160311	-39.236274   	10   	10          	277.582  	275.965	6.6  	17.2          	7.3  	31.4     	049     	15   	1.228504
2                       	1019.2	16.0                   	52                       	3.0  	210                     	-73.160203	-39.236197   	18   	18          	278.592  	275.828	6.2  	17.0          	7.3  	30.7     	048     	29   	1.228076
3                       	1018.3	15.9                   	51                       	3.3  	212                     	-73.160095	-39.236119   	25   	25          	279.585  	275.692	5.8  	16.8          	7.3  	30.3     	048     	44   	1.227649
4                       	1017.4	15.7                   	50                       	3.5  	213                     	-73.159987	-39.236042   	32   	32          	280.595  	275.555	5.4  	16.7          	7.3  	30.2     	048     	58   	1.227222
5                       	1016.5	15.6                   	49                       	3.8  	214                     	-73.159879	-39.235965   	39   	39          	281.604  	275.418	4.9  	16.5          	7.3  	30.2     	048     	73   	1.226796
6                       	1015.7	15.4                   	48                       	4.0  	215                     	-73.159770	-39.235888   	47   	47          	282.613  	275.282	4.5  	16.3          	7.3  	30.1     	048     	88   	1.226371
7                       	1014.8	15.3                   	47                       	4.2  	216                     	-73.159662	-39.235810   	54   	54          	283.607  	275.145	4.1  	16.2          	7.3  	30.1     	048     	102  	1.225942
8                       	1013.9	15.1                   	48                       	4.5  	217                     	-73.159554	-39.235733   	61   	61          	284.681  	275.072	4.1  	16.0          	7.3  	30.0     	048     	117  	1.225514
9                       	1013.1	15.0                   	48                       	4.7  	218                     	-73.159446	-39.235656   	69   	68          	285.754  	274.999	4.1  	15.9          	7.3  	30.0     	048     	131  	1.225086
10                      	1012.2	14.8                   	48                       	4.9  	218                     	-73.159338	-39.235578   	76   	76          	286.827  	274.926	4.1  	15.7          	7.3  	30.0     	048     	146  	1.224659
11                      	1011.3	14.7                   	49                       	5.2  	219                     	-73.159230	-39.235501   	83   	83          	287.885  	274.854	4.1  	15.6          	7.3  	30.0     	048     	161  	1.224233
12                      	1010.4	14.5                   	49                       	5.4  	220                     	-73.159122	-39.235424   	90   	90          	288.958  	274.781	4.1  	15.4          	7.3  	30.0     	048     	175  	1.223806
13                      	1009.6	14.4                   	50                       	5.7  	220                     	-73.159014	-39.235347   	98   	98          	290.032  	274.708	4.1  	15.3          	7.3  	30.0     	048     	190  	1.223378
14                      	1008.7	14.2                   	50                       	5.8  	221                     	-73.158906	-39.235269   	105  	105         	291.105  	274.636	4.1  	15.1          	7.3  	30.0     	048     	205  	1.222950
15                      	1007.8	14.1                   	51                       	6.1  	221                     	-73.158810	-39.235196   	112  	112         	292.163  	274.563	4.1  	15.0          	7.3  	30.1     	047     	218  	1.222522
16                      	1007.0	13.9                   	51                       	6.3  	222                     	-73.158736	-39.235127   	119  	119         	293.236  	274.490	4.0  	14.8          	7.3  	30.4     	047     	230  	1.222095
17                      	1006.1	13.8                   	52                       	6.5  	222                     	-73.158662	-39.235059   	127  	127         	294.310  	274.418	4.0  	14.7          	7.3  	30.7     	047     	243  	1.221668
18                      	1005.2	13.7                   	52                       	6.8  	222                     	-73.158587	-39.234991   	134  	134         	295.384  	274.346	4.0  	14.5          	7.3  	31.0     	046     	255  	1.221241
19                      	1004.6	13.5                   	53                       	7.0  	223                     	-73.158513	-39.234923   	141  	141         	296.516  	274.348	4.0  	14.4          	7.3  	31.2     	046     	267  	1.221149
