Flight Information:
Launch Date:            	      	                       	Sunday, 13 December 2020	     	                   	          	Launch Time: 	     	            	22:00:45 	       	     	End of Ascent:	     	         	01:03:13
Station name:           	      	                       	                        	     	                   	          	Serialnumber:	     	            	20027742
Ground values:
Pressure:               	      	                       	1023.2 hPa              	     	                   	          	Temperature: 	     	            	14.4 ?C  	       	     	Humidity:     	     	         	61 %
Wind Direction:         	      	                       	209 ?                   	     	                   	          	Wind Speed:  	     	            	5 m/s    	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	      	                       	-73.161 ?               	     	                   	          	Latitude:    	     	            	-39.236 ?	       	     	Altitude:     	     	         	3 m
Staff:
Company:                	      	                       	
Operator:               	      	                       	                        	     	                   	          	
Events:
Highest Point:          	      	                       	67.8 hPa                	     	                   	          	18796 m
Tropopauses:            	      	                       	1.: 187.9 hPa           	     	                   	          	             	     	            	
Max Winds:              	      	                       	1.: 183.8 hPa           	     	                   	          	             	     	            	
Remarks:

Profile Data:
Time                    	P     	T                      	Hu                      	Ws   	Wd                 	Long.     	Lat.         	Alt  	Geopot      	MRI      	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range	D
[sec]                   	[hPa] 	[?C]                   	[%]                     	[m/s]	[?]                	[?]       	[?]          	[m]  	[m]         	         	       	[?C] 	[?C]          	[m/s]	[?]      	[?]     	[m]  	[kg/m3]
0                       	1023.2	14.4                   	61                      	5.2  	209                	-73.160545	-39.236217   	3    	3           	279.350  	278.879	7.0  	15.5          	0.0  	39.2     	180     	0    	1.239839
1                       	1022.5	14.3                   	61                      	5.2  	210                	-73.160495	-39.236209   	9    	9           	280.223  	278.841	7.0  	15.3          	5.8  	54.6     	083     	7    	1.239558
2                       	1021.8	14.1                   	62                      	5.2  	211                	-73.160445	-39.236201   	15   	15          	281.112  	278.804	7.0  	15.2          	5.8  	54.0     	081     	15   	1.239278
3                       	1021.1	14.0                   	62                      	5.2  	212                	-73.160395	-39.236194   	21   	21          	281.985  	278.767	7.0  	15.1          	5.8  	53.6     	080     	22   	1.238998
4                       	1020.4	13.9                   	63                      	5.3  	214                	-73.160345	-39.236186   	26   	26          	282.859  	278.729	7.0  	14.9          	5.8  	53.4     	080     	29   	1.238718
5                       	1019.7	13.7                   	63                      	5.3  	215                	-73.160295	-39.236178   	32   	32          	283.748  	278.692	6.9  	14.8          	5.8  	53.4     	079     	37   	1.238438
6                       	1019.0	13.6                   	64                      	5.3  	216                	-73.160245	-39.236170   	38   	38          	284.622  	278.656	6.9  	14.7          	5.8  	53.3     	079     	44   	1.238159
7                       	1018.3	13.5                   	64                      	5.3  	217                	-73.160195	-39.236162   	44   	44          	285.440  	278.563	7.0  	14.6          	5.8  	53.2     	079     	51   	1.237649
8                       	1017.6	13.5                   	64                      	5.3  	218                	-73.160145	-39.236154   	50   	50          	286.241  	278.438	6.9  	14.5          	5.8  	53.2     	079     	59   	1.237076
