Time [mm:ss]	T [°C]	U [%r H]    	Tu Cap [°C]
00:01.0     	--    	57.0        	
00:01.0     	--    	0x06 -51.907	
00:01.9     	--    	57.1        	--
00:02.5     	18.55 	60.1        	18.89
00:03.4     	18.54 	61.3        	18.89
00:04.3     	18.57 	61.1        	18.90
00:05.2     	18.49 	61.0        	18.90
00:06.0     	18.30 	61.3        	18.90
00:06.9     	18.14 	61.5        	18.91
00:07.9     	18.04 	61.6        	18.91
00:09.4     	17.94 	61.7        	18.91
00:09.6     	17.80 	61.9        	18.90
00:10.5     	17.76 	61.9        	18.89
00:11.5     	17.68 	62.0        	18.89
00:12.4     	17.63 	62.5        	18.88
00:13.3     	17.69 	62.7        	18.87
00:14.1     	17.86 	62.5        	18.86
00:15.0     	18.03 	62.2        	18.86
00:15.9     	17.92 	62.2        	18.85
00:16.8     	17.90 	61.8        	18.84
00:17.7     	18.06 	61.4        	18.83
00:18.6     	18.22 	61.0        	18.82
00:19.5     	18.20 	61.4        	18.82
00:20.4     	18.09 	61.4        	18.81
00:21.3     	18.24 	61.0        	18.80
00:22.1     	18.35 	60.9        	18.80
00:23.0     	18.26 	61.3        	18.80
00:24.1     	18.06 	61.8        	18.80
00:24.9     	17.87 	62.0        	18.79
00:25.8     	17.88 	62.0        	18.79
00:26.7     	18.01 	61.8        	18.78
00:27.6     	18.16 	61.5        	18.77
00:28.5     	18.23 	61.5        	18.77
00:29.4     	18.13 	61.6        	18.77
00:30.2     	18.01 	61.5        	18.76
00:31.1     	18.02 	61.6        	18.76
00:32.0     	18.00 	61.6        	18.75
00:32.9     	18.15 	61.5        	18.75
00:33.8     	18.29 	61.2        	18.75
00:34.7     	18.33 	61.2        	18.74
00:35.6     	18.34 	61.2        	18.74
00:36.5     	18.43 	61.0        	18.74
00:37.5     	18.51 	60.8        	18.75
00:38.3     	18.57 	60.6        	18.75
00:39.2     	18.66 	60.8        	18.75
00:40.1     	18.75 	60.5        	18.76
00:41.0     	18.83 	60.1        	18.77
00:41.9     	18.91 	59.8        	18.78
00:42.8     	18.95 	59.7        	18.78
00:43.7     	18.98 	59.6        	18.79
00:44.6     	19.03 	59.5        	18.80
00:45.5     	19.06 	59.4        	18.81
00:46.3     	19.10 	59.2        	18.82
00:47.2     	19.13 	59.1        	18.83
00:48.1     	19.14 	59.1        	18.84
00:49.0     	19.16 	59.0        	18.86
00:49.9     	19.16 	59.0        	18.87
00:50.9     	19.12 	59.2        	18.88
00:51.8     	19.09 	59.2        	18.90
00:52.7     	19.06 	59.4        	18.91
00:53.6     	19.04 	59.2        	18.92
00:54.4     	19.06 	59.1        	18.93
00:55.3     	19.03 	59.1        	18.95
00:56.3     	18.96 	59.5        	18.96
00:57.1     	18.87 	59.9        	18.97
00:58.0     	18.86 	60.1        	18.98
00:58.9     	18.80 	60.0        	18.99
00:59.8     	18.67 	60.3        	19.00
01:00.7     	18.41 	60.8        	19.00
01:01.6     	18.40 	60.8        	19.01
01:02.4     	18.34 	61.2        	19.01
01:03.4     	18.30 	61.4        	19.01
