Time [mm:ss]	T [°C]   	U [%r H]	Tu Cap [°C]
87:17.9     	--       	--      	-59.18
87:17.9     	0x46 4518	        	
87:18.3     	-60.88   	7.0     	-59.20
87:19.2     	-60.91   	7.0     	-59.23
87:20.1     	-60.95   	6.9     	-59.25
87:21.0     	-60.99   	6.9     	-59.28
87:21.9     	-61.03   	6.9     	-59.31
87:22.8     	-61.07   	6.9     	-59.34
87:23.7     	-61.11   	6.9     	-59.36
87:24.6     	-61.16   	6.9     	-59.39
87:25.4     	-61.20   	6.9     	-59.41
87:26.3     	-61.24   	6.9     	-59.44
87:27.2     	-61.28   	6.9     	-59.47
87:28.1     	-61.32   	6.9     	-59.50
87:29.0     	-61.36   	6.9     	-59.52
87:29.9     	-61.41   	6.9     	-59.56
87:31.1     	-61.45   	6.9     	-59.59
87:31.8     	-61.49   	6.9     	-59.61
87:32.7     	-61.52   	6.9     	-59.64
87:33.5     	-61.55   	6.9     	-59.68
87:34.4     	-61.58   	6.9     	-59.71
87:35.3     	-61.60   	6.8     	-59.73
87:36.2     	-61.64   	6.8     	-59.76
87:37.1     	-61.67   	6.8     	-59.79
87:38.0     	-61.70   	6.8     	-59.82
87:38.9     	-61.74   	6.8     	-59.85
87:39.8     	-61.78   	6.8     	-59.88
87:40.7     	-61.82   	6.8     	-59.92
87:41.5     	-61.85   	6.8     	-59.95
87:42.4     	-61.88   	6.8     	-59.99
87:43.3     	-61.92   	6.7     	-60.02
87:44.3     	-61.95   	6.7     	-60.05
87:45.2     	-61.98   	6.7     	-60.08
87:46.1     	-62.02   	6.7     	-60.11
87:47.0     	-62.04   	6.7     	-60.14
87:47.9     	-62.04   	6.6     	-60.17
87:48.8     	-62.04   	6.6     	-60.20
87:49.6     	-62.01   	6.5     	-60.23
87:50.5     	-61.92   	6.4     	-60.26
87:51.4     	-61.84   	6.3     	-60.28
87:52.3     	-61.78   	6.2     	-60.31
87:53.2     	-61.68   	6.1     	-60.33
87:54.1     	-61.58   	6.0     	-60.35
87:55.0     	-61.50   	5.9     	-60.37
87:55.9     	-61.44   	5.9     	-60.39
87:56.8     	-61.40   	5.8     	-60.40
87:57.6     	-61.37   	5.7     	-60.42
87:58.6     	-61.35   	5.7     	-60.43
87:59.6     	-61.34   	5.7     	-60.44
88:00.4     	-61.34   	5.7     	-60.45
88:01.3     	-61.33   	5.6     	-60.46
88:02.2     	-61.32   	5.6     	-60.47
88:03.1     	-61.31   	5.6     	-60.47
88:04.0     	-61.29   	5.6     	-60.48
88:04.9     	-61.27   	5.5     	-60.48
88:05.7     	-61.23   	5.5     	-60.49
88:06.6     	-61.18   	5.5     	-60.49
88:07.6     	-61.13   	5.4     	-60.49
