Flight Information:
Launch Date:            	      	                       	Sunday, 13 December 2020	        	                   	          	Launch Time: 	       	            	22:01:17  	          	        	End of Ascent:	     	         	01:53:44
Station name:           	      	                       	                        	        	                   	          	Serialnumber:	       	            	20028064
Ground values:
Pressure:               	      	                       	1021.7 hPa              	        	                   	          	Temperature: 	       	            	9.1 °C    	          	        	Humidity:     	     	         	92 %
Wind Direction:         	      	                       	0 °                     	        	                   	          	Wind Speed:  	       	            	0 m/s     	          	        	Cloud group:  	     	         	9////
Position:
Longitude:              	      	                       	-73.160 °               	        	                   	          	Latitude:    	       	            	-39.236 ° 	          	        	Altitude:     	     	         	3 m
Staff:
Company:                	      	                       	
Operator:               	      	                       	                        	        	                   	          	
Events:
Highest Point:          	      	                       	5.8 hPa                 	        	                   	          	35035 m
Tropopauses:            	      	                       	1.: 193.7 hPa           	        	                   	          	             	       	            	
Max Winds:              	      	                       	1.: 363.4 hPa           	        	                   	          	2.: 7.2 hPa  	       	            	
Remarks:

Profile Data:
Time                    	P     	T                      	Hu                      	Ws      	Wd                 	Long.     	Lat.         	Alt    	Geopot      	MRI       	RI        	Dewp.   	Virt. Temp    	Rs   	Elevation	Azimuth 	Range  	D
[sec]                   	[hPa] 	[°C]                   	[%]                     	[m/s]   	[°]                	[°]       	[°]          	[m]    	[m]         	          	          	[°C]    	[°C]          	[m/s]	[°]      	[°]     	[m]    	[kg/m3]
0                       	1021.7	9.1                    	92                      	0.0     	000                	-73.160438	-39.236305   	3      	3           	285.678   	285.207   	7.9     	10.2          	0.0  	39.2     	180     	0      	1.261268
1                       	1021.1	9.4                    	91                      	0.1     	310                	-73.160436	-39.236325   	8      	8           	285.964   	284.693   	8.1     	10.5          	5.1  	63.9     	176     	6      	1.259151
2                       	1020.4	9.7                    	91                      	0.1     	310                	-73.160433	-39.236346   	13     	13          	286.252   	284.179   	8.2     	10.8          	5.1  	64.9     	175     	12     	1.257039
3                       	1019.8	10.0                   	90                      	0.2     	310                	-73.160431	-39.236366   	18     	18          	286.541   	283.667   	8.4     	11.2          	5.1  	65.2     	175     	17     	1.254932
4                       	1019.2	10.3                   	89                      	0.3     	310                	-73.160429	-39.236387   	23     	23          	286.831   	283.157   	8.6     	11.5          	5.1  	65.4     	175     	23     	1.252829
5                       	1018.6	10.6                   	88                      	0.4     	310                	-73.160426	-39.236407   	29     	29          	287.122   	282.647   	8.8     	11.8          	5.1  	65.5     	175     	28     	1.250732
6                       	1017.9	10.9                   	88                      	0.4     	310                	-73.160424	-39.236428   	34     	34          	287.414   	282.139   	8.9     	12.1          	5.1  	65.6     	175     	34     	1.248639
7                       	1017.3	11.1                   	87                      	0.5     	310                	-73.160422	-39.236448   	39     	39          	287.822   	281.746   	9.0     	12.3          	5.1  	65.6     	175     	40     	1.247049
8                       	1016.7	11.1                   	86                      	0.6     	310                	-73.160419	-39.236469   	44     	44          	288.382   	281.505   	9.0     	12.4          	5.1  	65.7     	175     	45     	1.246087
