Time [mm:ss]	T [°C]	U [%r H]     	Tu Cap [°C]
105:35.8    	--    	3.2          	
105:35.8    	-54.32	0x47 -12.5000	
105:36.5    	-56.10	3.2          	-54.33
105:37.3    	-56.12	3.2          	-54.34
105:38.2    	-55.72	3.0          	-54.35
105:39.1    	-56.14	3.2          	-54.36
105:40.0    	-55.71	3.0          	-54.37
105:40.9    	-55.70	3.0          	-54.38
105:41.8    	-56.10	3.1          	-54.39
105:42.7    	-56.10	3.1          	-54.40
105:43.6    	-56.10	3.1          	-54.41
105:44.5    	-56.10	3.1          	-54.42
105:45.4    	-56.10	3.0          	-54.43
105:46.3    	-56.11	3.0          	-54.44
105:47.2    	-56.11	3.0          	-54.45
105:48.1    	-55.71	2.9          	-54.46
105:49.0    	-56.12	3.0          	-54.47
105:49.9    	-56.12	3.0          	-54.48
105:50.7    	-56.12	3.0          	-54.49
105:51.6    	-56.12	3.0          	-54.50
105:52.5    	-56.12	2.9          	-54.51
105:53.5    	-56.12	2.9          	-54.52
105:54.4    	-56.13	2.9          	-54.53
105:55.3    	-56.13	2.9          	-54.54
105:56.2    	-56.14	2.9          	-54.55
105:57.1    	-56.14	2.9          	-54.56
105:58.0    	-56.15	2.9          	-54.57
105:58.8    	-56.15	2.9          	-54.58
105:59.7    	-56.16	2.9          	-54.59
106:00.6    	-56.16	2.9          	-54.59
106:01.5    	-56.17	2.8          	-54.60
106:02.4    	-56.18	2.8          	-54.61
106:03.3    	-56.19	2.8          	-54.62
106:04.1    	-56.20	2.8          	-54.63
106:05.1    	-56.22	2.8          	-54.64
106:06.1    	-56.23	2.8          	-54.65
106:06.9    	-56.25	2.8          	-54.65
106:07.8    	-56.25	2.8          	-54.66
106:08.7    	-56.23	2.8          	-54.67
106:09.6    	-56.20	2.7          	-54.68
106:10.5    	-56.17	2.7          	-54.68
106:11.4    	-56.15	2.7          	-54.68
106:12.2    	-56.12	2.7          	-54.70
106:13.1    	-56.10	2.7          	-54.71
106:14.1    	-56.08	2.6          	-54.71
106:15.0    	-56.06	2.6          	-54.72
106:15.9    	-56.04	2.6          	-54.72
106:16.8    	-55.61	2.5          	-54.73
106:17.6    	-55.58	2.5          	-54.73
106:18.6    	-55.55	2.4          	-54.74
106:19.5    	-55.52	2.4          	-54.74
106:20.3    	-55.91	2.5          	-54.74
106:21.2    	-55.90	2.5          	-54.74
106:22.1    	-55.89	2.5          	-54.75
106:23.0    	-55.89	2.5          	-54.75
106:23.9    	-55.89	2.5          	-54.75
106:24.9    	-55.90	2.5          	-54.75
106:25.7    	-55.91	2.5          	-54.76
106:26.6    	-55.92	2.5          	-54.76
