Flight Information:
Launch Date:            	      	                        	Monday, 14 December 2020	     	                   	          	Launch Time: 	     	            	03:00:10 	       	     	End of Ascent:	     	         	01:41:16
Station name:           	      	                        	OKSTATE USRI            	     	                   	          	Serialnumber:	     	            	20028086
Ground values:
Pressure:               	      	                        	1021.1 hPa              	     	                   	          	Temperature: 	     	            	7.9 ?C   	       	     	Humidity:     	     	         	96 %
Wind Direction:         	      	                        	0 ?                     	     	                   	          	Wind Speed:  	     	            	0 m/s    	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	      	                        	-73.160 ?               	     	                   	          	Latitude:    	     	            	-39.236 ?	       	     	Altitude:     	     	         	315 m
Staff:
Company:                	      	                        	
Operator:               	      	                        	                        	     	                   	          	
Events:
Highest Point:          	      	                        	7.3 hPa                 	     	                   	          	33564 m
Tropopauses:            	      	                        	1.: 204.7 hPa           	     	                   	          	             	     	            	
Max Winds:              	      	                        	1.: 218.1 hPa           	     	                   	          	2.: 11.4 hPa 	     	            	
Remarks:

Profile Data:
Time                    	P     	T                       	Hu                      	Ws   	Wd                 	Long.     	Lat.         	Alt  	Geopot      	MRI      	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range	D
[sec]                   	[hPa] 	[?C]                    	[%]                     	[m/s]	[?]                	[?]       	[?]          	[m]  	[m]         	         	       	[?C] 	[?C]          	[m/s]	[?]      	[?]     	[m]  	[kg/m3]
0                       	1021.1	7.9                     	96                      	0.0  	000                	-73.160400	-39.236377   	315  	315         	335.922  	286.467	7.3  	9.0           	0.0  	39.2     	180     	0    	1.265910
2                       	1020.9	8.6                     	95                      	0.3  	089                	-73.160413	-39.236399   	317  	317         	335.332  	285.594	7.9  	9.7           	0.9  	35.3     	202     	4    	1.262326
4                       	1020.7	9.4                     	94                      	0.7  	089                	-73.160426	-39.236420   	319  	319         	334.747  	284.727	8.4  	10.5          	0.9  	34.9     	203     	7    	1.258761
6                       	1020.4	10.1                    	93                      	1.0  	089                	-73.160438	-39.236442   	321  	320         	334.183  	283.864	9.0  	11.3          	0.9  	35.2     	204     	10   	1.255215
8                       	1020.2	10.4                    	92                      	1.4  	089                	-73.160451	-39.236463   	322  	322         	334.017  	283.416	9.1  	11.7          	0.9  	35.0     	204     	13   	1.253483
10                      	1020.0	10.6                    	90                      	1.7  	089                	-73.160464	-39.236485   	324  	324         	334.027  	283.143	9.1  	11.8          	0.9  	34.9     	204     	16   	1.252526
12                      	1019.8	10.7                    	89                      	2.1  	089                	-73.160477	-39.236506   	326  	326         	334.036  	282.870	9.1  	12.0          	0.9  	34.8     	204     	20   	1.251569
14                      	1019.5	10.9                    	88                      	2.4  	089                	-73.160490	-39.236528   	328  	328         	334.046  	282.597	9.0  	12.1          	0.9  	34.7     	204     	23   	1.250615
16                      	1019.3	11.1                    	87                      	2.8  	089                	-73.160450	-39.236537   	330  	330         	334.056  	282.325	9.0  	12.3          	0.9  	38.5     	194     	24   	1.249662
18                      	1019.1	11.2                    	86                      	3.1  	089                	-73.160363	-39.236534   	331  	331         	334.083  	282.053	8.9  	12.4          	0.9  	42.7     	170     	25   	1.248710
20                      	1018.9	11.3                    	84                      	3.5  	089                	-73.160276	-39.236532   	333  	333         	334.129  	281.816	8.8  	12.5          	0.9  	42.0     	149     	28   	1.247903
22                      	1018.7	11.3                    	84                      	3.8  	089                	-73.160189	-39.236530   	335  	335         	334.321  	281.726	8.7  	12.5          	0.9  	39.0     	134     	32   	1.247657
24                      	1018.4	11.3                    	83                      	4.2  	089                	-73.160103	-39.236527   	337  	337         	334.514  	281.636	8.5  	12.5          	0.9  	35.7     	124     	38   	1.247411
26                      	1018.2	11.3                    	82                      	4.5  	089                	-73.160016	-39.236525   	339  	339         	334.706  	281.546	8.4  	12.5          	0.9  	32.7     	117     	44   	1.247165
28                      	1018.0	11.3                    	81                      	4.9  	089                	-73.159929	-39.236522   	341  	340         	334.914  	281.456	8.3  	12.5          	0.9  	30.4     	112     	51   	1.246919
30                      	1017.8	11.3                    	81                      	5.2  	089                	-73.159842	-39.236520   	342  	342         	335.107  	281.365	8.1  	12.5          	0.9  	28.5     	109     	58   	1.246673
32                      	1017.6	11.3                    	80                      	5.2  	089                	-73.159755	-39.236518   	344  	344         	335.299  	281.275	8.0  	12.4          	0.9  	26.9     	106     	65   	1.246427
34                      	1017.3	11.3                    	79                      	5.2  	089                	-73.159668	-39.236515   	346  	346         	335.539  	281.233	7.8  	12.4          	0.9  	25.6     	104     	72   	1.246355
36                      	1017.1	11.2                    	79                      	5.1  	089                	-73.159581	-39.236513   	348  	348         	335.835  	281.246	7.7  	12.3          	0.9  	24.5     	102     	80   	1.246469
