Time [mm:ss]	T [°C]	U [%r H]    	Tu Cap [°C]
00:01.0     	--    	57.4        	
00:01.0     	--    	0x47 27.5500	
00:01.8     	--    	57.4        	--
00:02.7     	--    	57.4        	--
00:03.6     	--    	57.4        	--
00:04.5     	--    	57.4        	--
00:05.4     	--    	57.4        	--
00:06.3     	--    	57.3        	--
00:07.2     	--    	57.5        	--
00:07.9     	19.84 	61.2        	19.79
00:08.8     	19.84 	61.1        	19.79
00:09.7     	19.82 	61.2        	19.79
00:10.6     	19.84 	61.1        	19.79
00:11.5     	19.90 	61.0        	19.79
00:12.4     	19.95 	60.9        	19.79
00:13.2     	19.99 	60.8        	19.79
00:14.1     	20.03 	60.8        	19.79
00:15.0     	20.05 	60.7        	19.78
00:15.9     	20.05 	60.5        	19.80
00:16.8     	20.05 	60.5        	19.80
00:17.7     	20.04 	60.4        	19.80
00:18.6     	20.04 	60.4        	19.80
00:19.6     	20.06 	60.3        	19.80
00:20.5     	20.09 	60.2        	19.80
00:21.3     	20.09 	60.1        	19.83
00:22.2     	20.18 	60.0        	19.83
00:23.1     	20.17 	60.3        	19.82
00:24.0     	20.20 	60.0        	19.83
00:24.9     	20.27 	59.8        	19.86
00:25.8     	20.35 	59.9        	19.86
00:26.7     	20.42 	59.9        	19.87
00:27.6     	20.45 	59.6        	19.87
00:28.5     	20.48 	59.4        	19.88
00:29.3     	-92.02	100.0       	19.87
00:30.2     	20.53 	59.2        	19.91
00:31.2     	20.55 	59.0        	19.89
00:32.1     	20.62 	58.6        	19.90
00:33.0     	20.63 	58.7        	19.88
00:33.9     	20.68 	60.0        	19.88
00:34.8     	20.73 	60.1        	19.90
00:35.7     	20.83 	58.7        	19.92
00:36.6     	21.06 	58.2        	19.98
00:37.4     	21.13 	57.6        	19.97
00:38.3     	21.14 	57.2        	19.98
00:39.2     	21.28 	56.4        	20.02
00:40.1     	21.40 	56.0        	20.04
00:41.0     	21.68 	54.8        	20.06
00:41.9     	21.95 	53.9        	20.08
00:42.8     	22.18 	52.9        	20.11
00:43.7     	22.30 	52.3        	20.16
00:44.7     	22.28 	52.3        	20.20
00:45.5     	22.28 	52.2        	20.24
00:46.4     	22.20 	52.4        	20.27
00:47.3     	22.08 	52.7        	20.30
00:48.2     	22.03 	53.1        	20.34
00:49.1     	21.99 	54.0        	20.37
00:50.0     	21.96 	53.8        	20.40
00:50.9     	22.02 	53.3        	20.44
00:51.8     	22.13 	52.7        	20.47
00:52.7     	21.37 	52.8        	20.51
00:53.5     	19.02 	57.2        	20.52
00:54.4     	16.76 	64.0        	20.51
00:55.4     	14.92 	71.0        	20.47
00:56.2     	13.47 	76.7        	20.37
00:57.1     	12.28 	81.4        	20.22
00:58.1     	11.40 	85.7        	20.01
00:59.0     	10.66 	89.3        	19.79
00:59.9     	10.07 	92.3        	19.58
01:00.8     	9.65  	94.5        	19.35
01:01.6     	9.33  	96.0        	19.13
01:02.6     	9.08  	97.1        	18.94
01:03.4     	8.89  	97.7        	18.75
01:04.3     	8.75  	98.2        	18.57
01:05.2     	8.64  	98.8        	18.36
01:06.1     	8.54  	99.0        	18.17
01:07.0     	8.47  	99.2        	17.96
01:07.9     	8.43  	99.0        	17.73
01:08.8     	8.39  	98.7        	17.50
01:09.7     	8.37  	98.4        	17.30
01:10.6     	8.36  	98.1        	17.11
01:11.6     	8.36  	97.8        	16.93
01:12.4     	8.35  	97.6        	16.75
01:13.3     	8.32  	97.5        	16.58
01:14.2     	8.32  	97.3        	16.42
01:15.1     	8.31  	97.1        	16.26
01:16.0     	8.30  	97.0        	16.10
01:16.9     	8.28  	96.9        	15.95
01:17.8     	8.27  	96.8        	15.80
01:18.7     	8.28  	96.5        	15.65
01:19.6     	8.28  	96.5        	15.50
01:20.4     	8.30  	96.3        	15.35
01:21.3     	8.30  	96.2        	15.20
01:22.2     	8.31  	96.0        	15.06
01:23.1     	8.30  	95.9        	14.92
01:24.0     	8.30  	95.7        	14.78
01:25.0     	8.30  	95.6        	14.64
01:25.9     	8.30  	95.3        	14.51
01:26.8     	8.31  	95.2        	14.38
01:27.7     	8.31  	95.1        	14.25
01:28.5     	8.32  	94.9        	14.12
01:29.4     	8.34  	94.6        	14.00
01:30.3     	8.35  	94.4        	13.87
01:30.8     	8.36  	93.8        	13.87
01:31.2     	8.36  	95.0        	13.76
01:32.1     	8.36  	94.1        	13.64
01:33.0     	8.34  	94.0        	13.53
01:33.9     	8.32  	93.9        	13.42
01:34.8     	8.31  	93.7        	13.32
01:35.7     	8.30  	93.5        	13.22
01:36.5     	8.29  	93.4        	13.12
01:37.4     	8.29  	93.3        	13.03
01:38.3     	8.29  	93.2        	12.94
01:39.3     	8.28  	93.2        	12.85
01:40.2     	8.28  	93.2        	12.77
01:41.1     	8.27  	93.2        	12.69
01:42.0     	8.27  	93.1        	12.61
01:42.9     	8.27  	93.1        	12.53
01:43.8     	8.26  	93.1        	12.46
01:44.6     	8.26  	93.0        	12.39
01:45.5     	8.26  	93.0        	12.32
01:46.4     	8.26  	92.9        	12.25
01:47.3     	8.26  	92.8        	12.19
