Time [mm:ss]	T [°C]	U [%r H]	Tu Cap [°C]
00:00.7     	--    	60.0    	--
00:00.7     	      	        	
00:01.2     	--    	60.0    	--
00:02.1     	--    	60.0    	--
00:02.9     	--    	60.1    	--
00:03.8     	--    	60.1    	--
00:04.7     	--    	60.1    	--
00:05.7     	--    	60.1    	--
00:06.6     	--    	60.2    	--
00:07.5     	--    	60.2    	--
00:08.1     	16.60 	63.4    	18.18
00:09.0     	16.60 	70.5    	18.17
00:09.9     	16.60 	70.5    	18.16
00:10.8     	16.59 	70.5    	18.15
00:11.7     	16.59 	70.5    	18.14
00:12.6     	16.60 	70.5    	18.13
00:13.5     	16.60 	70.4    	18.12
00:15.3     	16.61 	70.5    	18.10
00:16.2     	16.61 	70.4    	18.09
00:17.0     	16.62 	70.4    	18.08
00:17.9     	16.62 	70.4    	18.07
00:18.9     	16.62 	70.4    	18.06
00:19.8     	16.62 	70.4    	18.05
00:20.7     	16.62 	70.3    	18.04
00:21.6     	16.62 	70.3    	18.03
00:22.4     	16.61 	70.4    	18.02
00:23.4     	16.61 	70.4    	18.01
00:24.3     	16.61 	70.4    	18.00
00:25.1     	16.60 	70.4    	17.99
00:26.0     	16.60 	70.4    	17.98
00:26.9     	16.59 	70.4    	17.97
00:28.0     	16.59 	70.4    	17.96
00:28.7     	16.58 	70.5    	17.95
00:29.6     	16.58 	70.5    	17.94
00:30.5     	16.58 	70.5    	17.93
00:31.4     	16.90 	69.4    	17.92
00:32.4     	17.29 	67.9    	17.92
00:33.2     	17.53 	66.9    	17.93
00:34.1     	17.83 	66.4    	17.93
00:34.8     	18.13 	66.0    	17.93
00:35.0     	18.15 	67.3    	17.94
00:35.9     	18.49 	68.1    	17.95
00:36.8     	18.72 	66.6    	17.97
00:37.7     	18.96 	63.7    	18.03
00:38.6     	19.19 	61.5    	18.09
00:39.5     	19.33 	61.1    	18.05
00:40.4     	19.66 	60.6    	18.10
00:41.3     	19.96 	60.2    	18.09
00:42.1     	20.16 	59.0    	18.12
00:43.0     	20.32 	57.9    	18.17
00:44.0     	20.54 	56.8    	18.22
00:44.8     	20.72 	55.9    	18.26
00:45.7     	20.85 	55.7    	18.30
00:46.7     	20.98 	56.2    	18.35
00:47.6     	21.14 	55.8    	18.42
00:48.5     	21.18 	57.5    	18.47
00:49.4     	21.29 	57.9    	18.51
00:50.2     	21.37 	58.3    	18.56
00:51.1     	21.38 	59.0    	18.60
00:52.0     	21.51 	58.9    	18.65
00:52.9     	21.58 	58.6    	18.70
00:53.8     	21.65 	58.6    	18.75
00:54.7     	21.73 	58.5    	18.79
00:55.6     	21.79 	58.6    	18.83
00:56.5     	21.84 	58.0    	18.88
00:57.4     	21.86 	57.9    	18.92
00:58.2     	21.91 	58.0    	18.97
00:59.1     	21.99 	57.7    	19.01
01:00.1     	21.97 	57.0    	19.06
01:01.0     	21.99 	56.8    	19.10
01:01.9     	22.07 	57.3    	19.14
01:02.8     	22.06 	57.2    	19.20
01:03.7     	22.03 	56.0    	19.24
01:04.6     	21.98 	54.9    	19.28
01:05.5     	21.92 	54.6    	19.32
01:06.3     	21.92 	53.9    	19.37
01:07.2     	22.01 	52.9    	19.39
01:08.1     	22.07 	52.4    	19.44
01:09.0     	22.14 	52.3    	19.50
01:09.9     	22.18 	52.3    	19.55
01:10.8     	22.23 	52.2    	19.59
01:11.7     	22.28 	52.0    	19.62
01:12.6     	22.31 	51.8    	19.67
01:13.6     	22.38 	51.2    	19.73
01:14.4     	22.34 	51.2    	19.80
01:15.3     	22.14 	52.2    	19.84
01:16.2     	22.01 	52.8    	19.88
01:17.1     	22.00 	52.9    	19.93
01:18.0     	22.04 	52.8    	19.97
01:18.9     	22.08 	52.8    	20.01
01:19.8     	22.10 	52.8    	20.04
01:20.7     	22.09 	52.9    	20.07
01:21.6     	22.02 	53.2    	20.11
01:22.4     	21.98 	53.4    	20.14
01:23.3     	21.96 	53.5    	20.18
01:24.3     	21.95 	53.5    	20.21
01:25.1     	21.96 	53.4    	20.24
01:26.0     	21.95 	53.4    	20.27
01:27.0     	21.93 	53.4    	20.29
01:27.9     	21.92 	53.5    	20.32
01:28.8     	21.92 	53.5    	20.35
01:29.7     	21.91 	53.5    	20.37
01:30.5     	21.92 	53.5    	20.39
01:31.4     	21.91 	53.5    	20.42
01:32.4     	21.90 	53.5    	20.44
01:33.2     	21.90 	53.5    	20.46
01:34.1     	21.90 	53.5    	20.48
01:35.0     	21.88 	53.5    	20.50
01:35.9     	21.87 	53.6    	20.51
01:36.8     	21.86 	53.6    	20.53
01:37.7     	21.86 	53.6    	20.55
01:38.5     	21.86 	53.5    	20.56
01:39.6     	21.87 	53.5    	20.58
01:40.5     	21.87 	53.5    	20.59
01:41.3     	21.86 	53.5    	20.61
01:42.2     	21.85 	53.5    	20.62
01:43.1     	21.84 	53.6    	20.64
01:44.0     	21.83 	53.6    	20.65
01:44.9     	21.82 	53.6    	20.66
01:45.8     	21.81 	53.7    	20.67
01:46.6     	21.80 	53.7    	20.69
01:47.6     	21.78 	53.8    	20.70
01:48.5     	21.75 	53.9    	20.71
01:49.3     	21.72 	53.9    	20.72
01:50.2     	21.66 	54.1    	20.74
01:51.1     	21.69 	54.2    	20.75
01:52.0     	21.77 	54.2    	20.76
01:53.0     	21.78 	54.2    	20.77
01:53.9     	21.79 	54.0    	20.79
01:54.8     	21.88 	53.6    	20.81
01:55.7     	22.10 	52.8    	20.81
01:56.6     	22.25 	52.2    	20.83
01:57.4     	22.20 	52.5    	20.86
01:58.3     	22.17 	52.4    	20.88
01:59.2     	22.11 	52.9    	20.91
02:00.1     	21.92 	52.2    	20.93
02:01.0     	21.25 	54.0    	20.94
02:01.9     	20.48 	54.5    	20.94
02:02.8     	18.11 	59.4    	20.92
02:03.7     	15.88 	66.8    	20.85
02:04.6     	13.92 	74.0    	20.61
02:05.4     	12.46 	79.8    	20.20
02:06.4     	11.47 	83.8    	19.85
02:07.3     	10.62 	87.8    	19.40
02:08.2     	9.89  	90.8    	19.15
02:09.1     	9.36  	93.5    	18.67
02:10.0     	8.97  	94.8    	18.29
02:10.9     	8.69  	95.6    	18.02
02:11.8     	8.49  	97.1    	17.65
02:12.7     	8.33  	97.1    	17.32
02:13.5     	8.20  	97.2    	16.99
02:14.4     	8.11  	97.1    	16.77
02:15.3     	8.08  	97.4    	16.55
02:16.2     	8.15  	96.9    	16.38
02:17.1     	8.16  	97.0    	16.22
02:18.0     	8.15  	96.9    	16.07
02:18.9     	8.16  	96.7    	15.93
02:19.9     	8.23  	96.2    	15.80
02:20.8     	8.22  	96.2    	15.93
02:21.6     	8.17  	98.3    	15.52
02:22.5     	8.11  	97.0    	15.38
02:23.4     	8.06  	97.2    	15.25
02:24.3     	8.01  	97.4    	15.11
02:25.2     	7.97  	97.7    	14.97
02:26.1     	7.94  	97.9    	14.84
02:27.0     	7.91  	98.0    	14.72
02:27.9     	7.89  	98.0    	14.58
02:28.8     	7.88  	98.0    	14.44
02:29.6     	7.87  	97.7    	14.31
02:30.5     	7.87  	97.6    	14.19
02:31.4     	7.86  	97.4    	14.07
02:32.3     	7.85  	97.3    	13.96
02:33.3     	7.84  	97.5    	13.84
02:34.2     	7.82  	97.5    	13.73
02:35.1     	7.81  	97.5    	13.62
02:36.0     	7.79  	97.6    	13.50
02:36.9     	7.78  	97.4    	13.39
02:37.7     	7.77  	97.3    	13.29
02:38.6     	7.76  	97.1    	13.19
02:39.5     	7.75  	96.9    	13.09
02:40.4     	7.75  	96.9    	12.99
02:41.3     	7.74  	96.8    	12.90
02:42.2     	7.74  	96.7    	12.81
02:43.1     	7.74  	96.7    	12.72
02:44.0     	7.74  	96.6    	12.63
02:44.9     	7.75  	96.5    	12.54
02:45.7     	7.75  	96.3    	12.45
02:46.8     	7.75  	96.2    	12.37
02:47.7     	7.76  	96.1    	12.28
02:48.5     	7.77  	96.0    	12.20
02:49.4     	7.78  	95.8    	12.12
02:50.3     	7.78  	95.7    	12.04
02:51.2     	7.78  	95.6    	11.97
02:52.1     	7.79  	95.6    	11.89
02:54.0     	7.78  	95.6    	11.89
02:54.8     	7.78  	--      	--
02:55.1     	7.78  	--      	--
02:56.2     	7.78  	94.7    	--
02:56.5     	7.78  	94.7    	--
02:58.3     	--    	94.7    	--
02:58.5     	--    	98.9    	11.37
02:59.8     	--    	103.1   	11.30
03:00.2     	7.85  	94.9    	11.23
03:01.1     	7.86  	94.7    	11.16
03:01.9     	7.87  	94.5    	11.08
03:02.8     	7.87  	94.8    	11.03
03:03.7     	7.96  	93.8    	10.97
03:04.6     	7.96  	93.7    	10.91
03:05.5     	7.95  	93.6    	10.85
03:06.4     	7.95  	93.6    	10.79
03:07.3     	7.95  	93.5    	10.73
03:08.2     	7.94  	93.4    	10.68
03:09.1     	7.93  	93.4    	10.62
03:09.9     	7.94  	93.4    	10.57
03:10.9     	7.94  	93.4    	10.52
03:11.8     	7.94  	93.5    	10.47
03:12.7     	7.94  	93.4    	10.42
03:14.0     	7.94  	93.4    	10.37
03:14.5     	7.94  	93.4    	10.32
03:15.4     	7.95  	93.4    	10.27
03:16.3     	7.95  	93.3    	10.22
03:17.2     	7.95  	93.3    	10.17
03:18.0     	7.95  	93.2    	10.13
03:18.9     	7.95  	93.1    	10.08
03:19.9     	7.96  	93.0    	10.04
03:20.7     	7.97  	92.9    	10.00
03:21.6     	7.97  	92.9    	9.96
03:22.5     	7.97  	92.7    	9.92
03:23.4     	7.98  	92.7    	9.88
03:24.4     	7.99  	92.6    	9.84
03:25.3     	7.99  	92.6    	9.80
