Flight Information:
Launch Date:            	      	                        	Monday, 14 December 2020	     	                        	          	Launch Time: 	     	            	06:00:11 	       	     	End of Ascent:	     	         	02:01:18
Station name:           	      	                        	OKSTATE USRI            	     	                        	          	Serialnumber:	     	            	20027522
Ground values:
Pressure:               	      	                        	1010.5 hPa              	     	                        	          	Temperature: 	     	            	10.6 ?C  	       	     	Humidity:     	     	         	92 %
Wind Direction:         	      	                        	0 ?                     	     	                        	          	Wind Speed:  	     	            	0 m/s    	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	      	                        	-73.160 ?               	     	                        	          	Latitude:    	     	            	-39.236 ?	       	     	Altitude:     	     	         	315 m
Staff:
Company:                	      	                        	
Operator:               	      	                        	                        	     	                        	          	
Events:
Highest Point:          	      	                        	5.1 hPa                 	     	                        	          	36062 m
Tropopauses:            	      	                        	1.: 204.5 hPa           	     	                        	          	2.: 141.9 hPa	     	            	
Max Winds:              	      	                        	1.: 259.5 hPa           	     	                        	          	2.: 14.2 hPa 	     	            	
Remarks:

Profile Data:
Time                    	P     	T                       	Hu                      	Ws   	Wd                      	Long.     	Lat.         	Alt  	Geopot      	MRI      	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range 	D
[sec]                   	[hPa] 	[?C]                    	[%]                     	[m/s]	[?]                     	[?]       	[?]          	[m]  	[m]         	         	       	[?C] 	[?C]          	[m/s]	[?]      	[?]     	[m]   	[kg/m3]
0                       	1010.5	10.6                    	92                      	0.0  	000                     	-73.160407	-39.236284   	315  	315         	330.069  	280.614	9.4  	11.8          	0.0  	39.2     	180     	0     	1.240848
2                       	1010.3	10.7                    	91                      	0.5  	128                     	-73.160397	-39.236318   	316  	316         	330.073  	280.398	9.3  	12.0          	0.7  	22.0     	168     	5     	1.240147
4                       	1010.2	10.8                    	90                      	0.9  	128                     	-73.160387	-39.236352   	318  	318         	330.093  	280.182	9.2  	12.1          	0.7  	21.6     	167     	9     	1.239446
6                       	1010.0	10.9                    	88                      	1.4  	128                     	-73.160376	-39.236385   	319  	319         	330.097  	279.967	9.1  	12.2          	0.7  	21.1     	167     	13    	1.238746
8                       	1009.8	11.0                    	88                      	1.9  	128                     	-73.160366	-39.236419   	321  	321         	330.227  	279.878	9.0  	12.2          	0.7  	20.8     	167     	17    	1.238441
10                      	1009.6	10.9                    	88                      	2.4  	128                     	-73.160355	-39.236453   	322  	322         	330.435  	279.850	9.1  	12.2          	0.7  	20.9     	167     	21    	1.238275
12                      	1009.5	10.9                    	88                      	2.8  	128                     	-73.160345	-39.236487   	324  	324         	330.628  	279.823	9.1  	12.2          	0.7  	20.7     	167     	25    	1.238110
14                      	1009.3	10.9                    	88                      	3.3  	128                     	-73.160335	-39.236521   	325  	325         	330.820  	279.795	9.1  	12.2          	0.7  	20.6     	167     	29    	1.237944
16                      	1009.1	10.9                    	89                      	3.8  	128                     	-73.160289	-39.236554   	327  	326         	331.028  	279.768	9.1  	12.1          	0.7  	20.2     	161     	34    	1.237779
18                      	1008.9	10.9                    	89                      	4.2  	128                     	-73.160219	-39.236588   	328  	328         	331.220  	279.740	9.1  	12.1          	0.7  	19.3     	155     	40    	1.237614
