Flight Information:
Launch Date:            	      	                       	Monday, 14 December 2020	     	                   	          	Launch Time: 	       	            	07:00:59  	          	        	End of Ascent:	     	         	00:55:59
Station name:           	      	                       	                        	     	                   	          	Serialnumber:	       	            	20027739
Ground values:
Pressure:               	      	                       	1018.5 hPa              	     	                   	          	Temperature: 	       	            	10.7 ?C   	          	        	Humidity:     	     	         	95 %
Wind Direction:         	      	                       	125 ?                   	     	                   	          	Wind Speed:  	       	            	1 m/s     	          	        	Cloud group:  	     	         	9////
Position:
Longitude:              	      	                       	-73.160 ?               	     	                   	          	Latitude:    	       	            	-39.236 ? 	          	        	Altitude:     	     	         	3 m
Staff:
Company:                	      	                       	
Operator:               	      	                       	                        	     	                   	          	
Events:
Highest Point:          	      	                       	91.6 hPa                	     	                   	          	16894 m
Tropopauses:            	      	                       	1.: 198.9 hPa           	     	                   	          	             	       	            	
Max Winds:              	      	                       	1.: 214.1 hPa           	     	                   	          	             	       	            	
Remarks:

Profile Data:
Time                    	P     	T                      	Hu                      	Ws   	Wd                 	Long.     	Lat.         	Alt    	Geopot      	MRI       	RI        	Dewp.   	Virt. Temp    	Rs   	Elevation	Azimuth 	Range  	D
[sec]                   	[hPa] 	[?C]                   	[%]                     	[m/s]	[?]                	[?]       	[?]          	[m]    	[m]         	          	          	[?C]    	[?C]          	[m/s]	[?]      	[?]     	[m]    	[kg/m3]
0                       	1018.5	10.7                   	95                      	0.5  	125                	-73.160448	-39.236358   	3      	3           	283.310   	282.839   	9.9     	12.0          	0.0  	39.2     	180     	0      	1.250231
1                       	1017.9	10.6                   	95                      	0.6  	110                	-73.160469	-39.236386   	8      	8           	283.925   	282.717   	9.8     	11.9          	4.7  	51.7     	207     	6      	1.249768
2                       	1017.4	10.6                   	94                      	0.7  	094                	-73.160490	-39.236415   	12     	12          	284.540   	282.594   	9.7     	11.9          	4.7  	52.0     	208     	12     	1.249305
3                       	1016.8	10.5                   	94                      	0.8  	078                	-73.160510	-39.236443   	17     	17          	285.156   	282.471   	9.6     	11.8          	4.7  	52.1     	209     	18     	1.248842
4                       	1016.2	10.5                   	93                      	0.9  	066                	-73.160531	-39.236472   	22     	22          	285.771   	282.348   	9.4     	11.7          	4.7  	52.2     	209     	24     	1.248379
5                       	1015.6	10.4                   	93                      	1.0  	057                	-73.160552	-39.236500   	27     	27          	286.401   	282.225   	9.3     	11.7          	4.7  	52.3     	209     	30     	1.247917
6                       	1015.1	10.4                   	92                      	1.2  	049                	-73.160573	-39.236528   	31     	31          	287.017   	282.103   	9.2     	11.6          	4.7  	52.3     	209     	36     	1.247455
7                       	1014.5	10.3                   	92                      	1.3  	044                	-73.160593	-39.236557   	36     	36          	287.617   	281.965   	9.1     	11.5          	4.7  	52.3     	209     	42     	1.246927
8                       	1013.9	10.3                   	92                      	1.4  	040                	-73.160614	-39.236585   	41     	41          	288.222   	281.832   	9.0     	11.5          	4.7  	52.3     	209     	48     	1.246347
9                       	1013.3	10.3                   	92                      	1.5  	037                	-73.160635	-39.236614   	45     	45          	288.831   	281.703   	9.0     	11.5          	4.7  	52.3     	209     	54     	1.245767
10                      	1012.8	10.2                   	92                      	1.6  	034                	-73.160656	-39.236642   	50     	50          	289.439   	281.574   	8.9     	11.5          	4.7  	52.3     	209     	60     	1.245188
11                      	1012.2	10.2                   	92                      	1.7  	032                	-73.160676	-39.236670   	55     	55          	290.048   	281.445   	8.9     	11.4          	4.7  	52.3     	209     	66     	1.244608
