Time [mm:ss]	T [°C]	U [%r H]    	Tu Cap [°C]
00:00.6     	--    	63.0        	
00:00.6     	--    	0x06 -46.612	
00:01.4     	--    	63.1        	--
00:02.1     	17.32 	66.6        	18.47
00:03.0     	17.31 	71.9        	18.46
00:03.9     	17.31 	71.9        	18.45
00:04.7     	17.31 	71.9        	18.45
00:05.6     	17.32 	71.9        	18.44
00:06.5     	17.32 	71.9        	18.43
00:07.4     	17.32 	71.9        	18.43
00:08.3     	17.33 	71.9        	18.42
00:09.2     	17.33 	72.7        	18.35
00:10.1     	17.93 	70.7        	18.40
00:11.0     	18.37 	69.6        	18.41
00:12.0     	18.80 	68.2        	18.42
00:12.8     	19.15 	67.0        	18.43
00:13.7     	19.38 	66.1        	18.45
00:14.6     	19.53 	65.8        	18.46
00:15.5     	19.69 	65.4        	18.48
00:16.4     	19.87 	64.3        	18.51
00:17.3     	20.01 	63.6        	18.64
00:18.2     	20.46 	61.9        	18.74
00:19.1     	20.78 	61.1        	18.78
00:20.0     	21.68 	59.0        	18.82
00:20.8     	22.31 	56.8        	18.89
00:21.7     	22.74 	55.2        	18.96
00:22.6     	22.91 	54.5        	18.97
00:23.5     	23.16 	53.3        	19.02
00:24.5     	23.26 	52.9        	19.10
00:25.4     	23.28 	52.8        	19.09
00:26.3     	23.35 	52.5        	19.16
00:27.2     	23.20 	51.5        	19.25
00:28.1     	22.52 	54.1        	19.33
00:28.9     	20.29 	59.6        	19.38
00:29.8     	18.26 	65.2        	19.42
00:30.7     	16.42 	72.0        	19.42
00:31.6     	15.00 	78.3        	19.41
00:32.5     	13.92 	83.7        	19.37
00:33.4     	13.13 	87.4        	19.41
00:34.3     	12.57 	90.6        	19.31
00:35.2     	12.02 	93.6        	19.19
00:36.1     	11.61 	95.6        	19.07
00:36.9     	11.27 	97.4        	18.94
00:37.9     	11.11 	98.4        	18.80
00:38.8     	10.93 	98.8        	18.69
00:39.7     	10.83 	99.5        	18.56
00:40.6     	10.75 	99.8        	18.43
00:41.5     	10.66 	100.0       	18.24
00:42.4     	10.60 	99.3        	18.10
00:43.3     	10.58 	98.9        	17.95
00:43.9     	10.56 	98.5        	17.95
00:44.2     	10.54 	99.4        	17.79
00:45.0     	10.56 	98.6        	17.58
00:45.9     	10.66 	97.5        	17.38
00:46.8     	10.62 	97.0        	17.21
00:47.7     	10.61 	96.7        	17.06
00:48.6     	10.63 	96.5        	16.92
00:49.5     	10.64 	96.2        	16.80
00:50.4     	10.62 	96.3        	16.66
00:51.4     	10.61 	96.3        	16.54
00:52.3     	10.58 	96.3        	16.41
00:53.1     	10.54 	96.3        	16.28
00:54.0     	10.51 	96.4        	16.16
00:55.0     	10.48 	96.3        	16.04
00:55.8     	10.46 	96.4        	15.93
00:56.7     	10.45 	96.3        	15.83
00:57.6     	10.44 	96.4        	15.72
00:58.5     	10.43 	96.4        	15.62
00:59.4     	10.42 	96.3        	15.51
01:00.3     	10.42 	96.2        	15.41
01:01.1     	10.41 	96.1        	15.31
01:02.0     	10.41 	95.9        	15.21
01:03.0     	10.40 	95.8        	15.11
01:03.8     	10.40 	95.7        	15.02
01:04.8     	10.40 	95.6        	14.93
01:05.7     	10.39 	95.6        	14.84
01:06.6     	10.40 	95.6        	14.75
01:07.5     	10.39 	95.5        	14.66
01:08.4     	10.39 	95.3        	14.57
01:09.2     	10.39 	95.3        	14.49
01:10.2     	10.38 	95.3        	14.40
01:11.1     	10.38 	95.2        	14.31
01:11.9     	10.39 	95.2        	14.22
01:12.8     	10.39 	95.1        	14.14
01:13.7     	10.39 	94.9        	14.07
01:14.6     	10.38 	94.8        	14.00
01:15.5     	10.38 	94.8        	13.92
01:16.4     	10.38 	94.9        	13.86
01:17.2     	10.38 	94.9        	13.79
01:18.2     	10.38 	94.9        	13.72
01:19.2     	10.39 	95.0        	13.65
01:20.0     	10.40 	94.9        	13.59
01:20.9     	10.42 	95.0        	13.53
01:21.8     	10.43 	95.0        	13.47
01:22.7     	10.43 	94.7        	13.41
01:23.6     	10.42 	94.4        	13.36
01:24.5     	10.41 	94.3        	13.31
01:25.4     	10.40 	94.2        	13.26
01:26.3     	10.48 	93.7        	13.21
01:27.2     	10.47 	93.6        	13.16
01:28.0     	10.48 	93.7        	13.11
01:28.9     	10.48 	93.7        	13.06
01:29.8     	10.48 	93.6        	13.01
01:30.7     	10.47 	93.6        	12.97
01:31.6     	10.47 	93.7        	12.92
01:32.6     	10.47 	93.5        	12.87
01:33.5     	10.47 	93.4        	12.83
01:34.4     	10.46 	93.3        	12.79
01:35.3     	10.46 	93.1        	12.76
01:36.1     	10.46 	93.1        	12.72
01:37.0     	10.46 	92.9        	12.68
01:37.9     	10.46 	92.7        	12.65
01:38.8     	10.46 	92.7        	12.61
01:39.7     	10.45 	92.7        	12.58
01:40.6     	10.44 	92.6        	12.55
01:41.5     	10.44 	92.6        	12.51
01:42.4     	10.43 	92.7        	12.48
01:43.3     	10.43 	92.7        	12.45
01:44.4     	10.43 	92.9        	12.42
