Flight Information:
Launch Date:            	      	                       	Monday, 14 December 2020	     	                        	          	Launch Time: 	     	            	04:01:17  	          	        	End of Ascent:	     	         	01:37:23
Station name:           	      	                       	                        	     	                        	          	Serialnumber:	     	            	20027424
Ground values:
Pressure:               	      	                       	1018.8 hPa              	     	                        	          	Temperature: 	     	            	10.8 ?C   	          	        	Humidity:     	     	         	97 %
Wind Direction:         	      	                       	291 ?                   	     	                        	          	Wind Speed:  	     	            	1 m/s     	          	        	Cloud group:  	     	         	9////
Position:
Longitude:              	      	                       	-73.160 ?               	     	                        	          	Latitude:    	     	            	-39.236 ? 	          	        	Altitude:     	     	         	1283 m
Staff:
Company:                	      	                       	
Operator:               	      	                       	                        	     	                        	          	
Events:
Highest Point:          	      	                       	10.1 hPa                	     	                        	          	32178 m
Tropopauses:            	      	                       	1.: 247.7 hPa           	     	                        	          	2.: 130.9 hPa	     	            	
Max Winds:              	      	                       	1.: 243.6 hPa           	     	                        	          	2.: 14.4 hPa 	     	            	
Remarks:

Profile Data:
Time                    	P     	T                      	Hu                      	Ws   	Wd                      	Long.     	Lat.         	Alt  	Geopot      	MRI       	RI        	Dewp.   	Virt. Temp    	Rs   	Elevation	Azimuth 	Range 	D
[sec]                   	[hPa] 	[?C]                   	[%]                     	[m/s]	[?]                     	[?]       	[?]          	[m]  	[m]         	          	          	[?C]    	[?C]          	[m/s]	[?]      	[?]     	[m]   	[kg/m3]
0                       	1018.8	10.8                   	97                      	1.3  	291                     	-73.160445	-39.236336   	1283 	1283        	484.344   	282.913   	10.3    	12.1          	0.0  	39.2     	180     	0     	1.250159
1                       	1018.9	10.8                   	97                      	1.3  	291                     	-73.160448	-39.236374   	1282 	1282        	484.297   	282.960   	10.3    	12.1          	-0.6 	-3.7     	183     	5     	1.250346
2                       	1018.9	10.8                   	97                      	1.3  	291                     	-73.160451	-39.236413   	1282 	1282        	484.249   	283.007   	10.3    	12.1          	-0.6 	-5.8     	183     	9     	1.250533
3                       	1019.0	10.7                   	97                      	1.2  	291                     	-73.160453	-39.236451   	1281 	1281        	484.202   	283.054   	10.3    	12.1          	-0.6 	-6.5     	183     	13    	1.250720
4                       	1019.1	10.7                   	97                      	1.2  	291                     	-73.160456	-39.236489   	1281 	1281        	484.155   	283.101   	10.3    	12.0          	-0.6 	-6.9     	183     	18    	1.250908
5                       	1019.2	10.7                   	98                      	1.2  	291                     	-73.160459	-39.236527   	1280 	1280        	484.108   	283.148   	10.3    	12.0          	-0.6 	-7.1     	183     	22    	1.251095
6                       	1019.2	10.7                   	98                      	1.2  	291                     	-73.160462	-39.236566   	1279 	1279        	484.061   	283.195   	10.3    	12.0          	-0.6 	-7.3     	183     	26    	1.251283
7                       	1019.3	10.6                   	98                      	1.1  	291                     	-73.160465	-39.236604   	1279 	1279        	484.017   	283.246   	10.3    	12.0          	-0.6 	-7.4     	183     	30    	1.251485
8                       	1019.4	10.6                   	98                      	1.1  	291                     	-73.160468	-39.236642   	1278 	1278        	483.975   	283.298   	10.3    	11.9          	-0.6 	-7.4     	183     	35    	1.251711
9                       	1019.5	10.6                   	98                      	1.1  	291                     	-73.160471	-39.236680   	1278 	1278        	483.932   	283.348   	10.2    	11.9          	-0.6 	-7.5     	183     	39    	1.251938
10                      	1019.5	10.6                   	98                      	1.1  	291                     	-73.160473	-39.236719   	1277 	1277        	483.888   	283.399   	10.2    	11.9          	-0.6 	-7.6     	183     	43    	1.252164
11                      	1019.6	10.5                   	98                      	1.1  	291                     	-73.160476	-39.236757   	1276 	1276        	483.845   	283.450   	10.2    	11.8          	-0.6 	-7.6     	183     	48    	1.252391
12                      	1019.7	10.5                   	98                      	1.0  	291                     	-73.160479	-39.236795   	1276 	1276        	483.801   	283.500   	10.1    	11.8          	-0.6 	-7.6     	183     	52    	1.252617
13                      	1019.8	10.5                   	98                      	1.0  	291                     	-73.160482	-39.236834   	1275 	1275        	483.758   	283.551   	10.1    	11.8          	-0.6 	-7.7     	183     	56    	1.252844
14                      	1019.8	10.4                   	98                      	1.0  	291                     	-73.160485	-39.236872   	1275 	1275        	483.698   	283.602   	10.1    	11.7          	-0.6 	-7.8     	183     	61    	1.253071
15                      	1019.9	10.4                   	98                      	1.0  	291                     	-73.160488	-39.236910   	1274 	1274        	483.655   	283.653   	10.0    	11.7          	-0.6 	-7.8     	183     	65    	1.253297
16                      	1020.0	10.4                   	98                      	1.0  	291                     	-73.160482	-39.236954   	1273 	1273        	483.612   	283.703   	10.0    	11.7          	-0.6 	-7.8     	183     	70    	1.253524
17                      	1020.1	10.3                   	98                      	0.9  	291                     	-73.160468	-39.237003   	1273 	1273        	483.568   	283.754   	10.0    	11.6          	-0.6 	-7.7     	182     	75    	1.253751
18                      	1020.1	10.3                   	98                      	0.9  	291                     	-73.160453	-39.237052   	1272 	1272        	483.525   	283.805   	9.9     	11.6          	-0.6 	-7.6     	181     	81    	1.253978
19                      	1020.2	10.3                   	98                      	0.9  	291                     	-73.160439	-39.237100   	1272 	1272        	483.481   	283.856   	9.9     	11.6          	-0.6 	-7.5     	180     	86    	1.254205
20                      	1020.3	10.2                   	98                      	0.9  	291                     	-73.160425	-39.237149   	1271 	1271        	483.441   	283.910   	9.9     	11.5          	-0.6 	-7.4     	179     	91    	1.254432
21                      	1020.4	10.2                   	98                      	0.8  	291                     	-73.160411	-39.237198   	1270 	1270        	483.384   	283.947   	9.9     	11.5          	-0.6 	-7.3     	178     	97    	1.254580
22                      	1020.4	10.2                   	98                      	0.8  	291                     	-73.160397	-39.237247   	1270 	1270        	483.326   	283.983   	9.9     	11.5          	-0.6 	-7.3     	178     	102   	1.254724
23                      	1020.5	10.2                   	98                      	0.8  	291                     	-73.160382	-39.237296   	1269 	1269        	483.268   	284.019   	9.9     	11.5          	-0.6 	-7.2     	177     	108   	1.254868
24                      	1020.6	10.2                   	98                      	0.8  	291                     	-73.160368	-39.237345   	1269 	1268        	483.210   	284.056   	9.9     	11.5          	-0.6 	-7.2     	177     	113   	1.255012
25                      	1020.7	10.2                   	98                      	0.8  	291                     	-73.160354	-39.237394   	1268 	1268        	483.152   	284.092   	9.9     	11.5          	-0.6 	-7.1     	176     	119   	1.255157
26                      	1020.7	10.2                   	98                      	0.7  	291                     	-73.160340	-39.237443   	1267 	1267        	483.095   	284.129   	9.9     	11.5          	-0.6 	-7.1     	176     	125   	1.255301
