Time [mm:ss]	T [°C]	U [%r H]  	Tu Cap [°C]
00:00.7     	--    	52.3      	
00:00.7     	--    	0x51 29990	
00:01.7     	--    	52.5      	--
00:02.5     	--    	52.7      	--
00:03.5     	--    	52.8      	--
00:04.4     	--    	52.9      	--
00:05.0     	23.77 	57.3      	23.57
00:05.9     	23.85 	56.3      	23.56
00:06.8     	23.89 	56.3      	23.56
00:07.7     	23.91 	56.3      	23.56
00:08.5     	23.94 	56.2      	23.57
00:09.4     	23.99 	56.2      	23.58
00:10.3     	24.07 	56.1      	23.59
00:11.2     	24.18 	56.0      	23.59
00:12.1     	24.32 	56.1      	23.57
00:13.1     	24.49 	56.3      	23.57
00:14.0     	24.65 	56.7      	23.58
00:14.9     	24.72 	56.6      	23.59
00:15.8     	24.73 	56.3      	23.60
00:16.6     	24.67 	55.8      	23.62
00:17.5     	24.67 	55.7      	23.68
00:18.4     	24.63 	56.0      	23.67
00:19.3     	24.68 	56.6      	23.71
00:20.2     	24.89 	56.4      	23.70
00:21.1     	25.08 	55.2      	23.73
00:22.0     	25.24 	54.5      	23.72
00:22.9     	25.49 	53.3      	23.75
00:23.9     	25.98 	51.3      	23.81
00:24.7     	25.79 	51.6      	23.83
00:25.6     	25.55 	52.2      	23.84
00:26.5     	25.48 	51.7      	23.89
00:27.4     	23.34 	55.5      	23.91
00:28.3     	20.55 	62.4      	23.87
00:29.2     	18.26 	70.0      	23.83
00:30.0     	16.26 	78.1      	23.79
00:30.7     	18.26 	86.3      	23.79
00:30.9     	14.77 	85.3      	23.63
00:31.8     	13.85 	89.1      	23.48
00:32.7     	13.18 	92.5      	23.30
00:33.6     	12.56 	95.8      	23.10
00:34.6     	12.11 	98.1      	22.88
00:35.5     	11.81 	99.5      	22.62
00:36.4     	11.55 	100.0     	22.36
00:37.3     	11.34 	100.0     	22.14
00:38.1     	11.21 	100.0     	21.88
00:39.0     	11.12 	100.0     	21.62
00:39.9     	11.04 	100.0     	21.37
00:40.8     	10.99 	100.0     	21.08
00:41.7     	10.95 	100.0     	20.77
00:42.6     	10.93 	100.0     	20.51
00:43.5     	11.18 	99.7      	20.25
00:44.4     	11.30 	98.9      	20.05
00:45.4     	11.31 	99.5      	19.85
00:46.2     	11.33 	99.6      	19.66
00:47.1     	11.36 	99.1      	19.46
00:48.0     	11.37 	98.7      	19.27
00:48.9     	11.35 	98.8      	19.10
00:49.8     	11.32 	99.0      	18.92
00:50.7     	11.28 	98.8      	18.75
00:51.5     	11.20 	98.4      	18.57
00:52.4     	11.14 	98.3      	18.38
00:53.4     	11.09 	98.7      	18.21
00:54.2     	11.04 	98.9      	18.03
00:55.1     	11.02 	98.5      	17.82
