Time [mm:ss]	T [°C]	U [%r H]	Tu Cap [°C]
00:00.6     	--    	61.9    	
00:00.6     	--    	        	
00:01.4     	--    	61.9    	--
00:02.3     	--    	61.8    	--
00:03.0     	21.73 	66.2    	20.65
00:03.9     	21.84 	61.4    	20.67
00:04.7     	21.89 	61.2    	20.68
00:05.6     	21.93 	61.1    	20.69
00:06.6     	21.97 	61.2    	20.71
00:07.5     	22.02 	61.1    	20.72
00:08.4     	22.01 	61.2    	20.74
00:09.3     	22.03 	61.3    	20.76
00:10.1     	21.77 	61.9    	20.76
00:11.1     	21.59 	62.4    	20.80
00:12.0     	21.49 	62.5    	20.84
00:12.8     	21.30 	62.7    	20.88
00:13.7     	21.30 	63.0    	20.86
00:14.6     	21.34 	62.9    	20.88
00:15.5     	21.24 	63.3    	20.88
00:16.4     	21.27 	63.0    	20.88
00:17.3     	21.28 	62.9    	20.90
00:18.2     	21.30 	62.8    	20.90
00:19.2     	21.18 	63.2    	20.91
00:20.1     	21.18 	63.2    	20.91
00:20.9     	21.15 	63.4    	20.92
00:21.8     	21.16 	63.3    	20.93
00:22.7     	21.13 	63.3    	20.97
00:23.6     	21.27 	63.0    	20.99
00:24.5     	21.35 	62.7    	21.05
00:25.4     	21.54 	62.9    	21.04
00:26.3     	21.48 	63.1    	20.98
00:27.2     	21.53 	62.9    	21.00
00:28.1     	21.72 	62.0    	21.00
00:28.9     	21.85 	61.3    	21.02
00:29.8     	21.88 	61.1    	21.04
00:30.7     	22.14 	60.1    	21.06
00:31.6     	22.47 	59.0    	21.07
00:32.5     	22.69 	58.4    	21.10
00:33.5     	22.83 	58.0    	21.13
00:34.4     	23.25 	56.7    	21.16
00:35.3     	23.44 	56.2    	21.21
00:36.2     	23.23 	56.7    	21.28
00:37.0     	23.45 	57.5    	21.31
00:37.9     	23.50 	57.4    	21.35
00:38.8     	23.43 	56.8    	21.32
00:39.7     	21.46 	59.9    	21.30
00:40.6     	19.04 	67.3    	21.29
00:41.5     	17.10 	75.2    	21.24
00:42.4     	15.64 	81.8    	21.17
00:43.3     	14.46 	87.8    	21.08
00:44.2     	13.53 	92.6    	20.98
00:45.0     	12.88 	96.2    	20.85
00:45.9     	12.42 	98.8    	20.67
00:46.9     	12.08 	100.0   	20.47
00:47.8     	11.87 	100.0   	20.27
00:48.7     	11.72 	100.0   	20.07
00:49.6     	11.61 	100.0   	19.78
00:50.5     	11.62 	100.0   	19.56
00:51.4     	11.62 	100.0   	19.36
00:52.3     	11.63 	100.0   	19.17
00:53.1     	11.61 	100.0   	18.98
00:54.0     	11.56 	100.0   	18.74
00:54.9     	11.50 	99.7    	18.52
00:55.8     	11.47 	99.5    	18.32
00:57.2     	11.44 	99.4    	18.12
00:57.4     	11.44 	99.4    	18.12
00:57.6     	11.42 	100.0   	18.01
00:58.5     	11.40 	99.2    	17.86
00:59.4     	11.38 	99.0    	17.72
01:00.4     	11.37 	99.0    	17.58
01:01.2     	11.36 	98.9    	17.44
01:02.1     	11.36 	98.9    	17.31
01:03.0     	11.37 	98.8    	17.18
01:03.9     	11.37 	98.6    	17.05
01:04.8     	11.37 	98.5    	16.93
01:05.7     	11.37 	98.3    	16.81
01:06.6     	11.37 	98.2    	16.69
01:07.5     	11.39 	98.2    	16.56
01:08.4     	11.40 	98.1    	16.45
01:09.2     	11.40 	97.9    	16.33
01:10.1     	11.40 	97.7    	16.23
01:11.0     	11.39 	97.8    	16.12
01:11.9     	11.40 	97.6    	16.02
01:12.8     	11.42 	97.3    	15.93
01:13.8     	11.42 	97.2    	15.84
01:14.7     	11.42 	97.0    	15.75
01:15.6     	11.42 	96.9    	15.66
01:16.5     	11.41 	96.9    	15.58
01:17.3     	11.40 	96.9    	15.50
01:18.2     	11.38 	97.1    	15.42
01:19.1     	11.40 	97.0    	15.34
01:20.0     	11.40 	96.9    	15.26
01:20.9     	11.39 	96.7    	15.19
01:21.8     	11.39 	96.6    	15.11
01:22.7     	11.40 	96.4    	15.05
01:23.6     	11.40 	96.4    	14.98
01:24.5     	11.39 	96.5    	14.91
01:25.3     	11.38 	96.6    	14.84
01:27.3     	11.38 	95.6    	14.76
01:28.0     	11.38 	94.7    	14.76
01:29.0     	11.35 	97.7    	14.58
01:30.1     	11.32 	96.3    	14.52
01:30.8     	11.35 	96.2    	14.46
01:31.7     	11.35 	96.5    	14.40
01:32.8     	11.35 	96.1    	14.35
01:33.4     	11.34 	96.1    	14.29
01:35.0     	11.33 	96.1    	14.23
01:35.3     	11.40 	96.0    	14.17
01:36.1     	11.42 	95.5    	14.09
01:37.0     	11.42 	95.3    	14.04
01:37.9     	11.42 	95.2    	13.99
01:38.8     	11.42 	95.1    	13.94
01:39.7     	11.42 	95.0    	13.89
01:40.6     	11.42 	95.0    	13.85
01:41.5     	11.41 	95.0    	13.80
01:42.5     	11.41 	95.0    	13.76
01:43.4     	11.41 	94.9    	13.71
01:44.2     	11.42 	94.7    	13.67
01:45.1     	11.41 	94.7    	13.63
01:46.0     	11.41 	94.6    	13.59
01:46.9     	11.40 	94.6    	13.55
01:47.8     	11.40 	94.6    	13.52
01:49.1     	11.39 	94.6    	13.48
01:49.6     	11.38 	94.6    	13.45
01:50.5     	11.38 	94.6    	13.41
01:51.4     	11.37 	94.6    	13.38
