Time [mm:ss]	T [°C] 	U [%r H]    	Tu Cap [°C]
00:00.7     	--     	66.8        	
00:00.7     	--     	0x47 30.9700	
00:01.5     	--     	66.8        	--
00:02.4     	--     	66.7        	--
00:03.3     	--     	66.7        	--
00:04.2     	--     	66.7        	--
00:05.1     	--     	66.7        	--
00:06.0     	--     	66.7        	--
00:06.8     	--     	66.7        	--
00:07.6     	19.82  	70.9        	20.40
00:08.5     	19.79  	73.7        	20.38
00:09.4     	19.77  	73.6        	20.39
00:10.3     	19.79  	73.5        	20.39
00:11.2     	19.84  	73.2        	20.39
00:12.1     	19.91  	72.9        	20.39
00:12.9     	19.95  	72.8        	20.38
00:13.8     	19.96  	72.7        	20.38
00:14.8     	19.89  	73.1        	20.37
00:15.6     	19.78  	73.6        	20.36
00:16.5     	19.71  	74.1        	20.37
00:17.4     	19.68  	74.6        	20.38
00:18.3     	19.74  	74.7        	20.40
00:19.2     	19.91  	74.8        	20.39
00:20.1     	20.19  	74.0        	20.39
00:21.0     	20.42  	72.4        	20.39
00:22.0     	20.56  	71.0        	20.39
00:22.9     	20.72  	69.7        	20.36
00:23.7     	20.93  	68.5        	20.38
00:24.6     	21.38  	66.8        	20.39
00:25.5     	21.65  	65.5        	20.41
00:26.4     	21.76  	65.5        	20.43
00:27.3     	21.80  	66.1        	20.44
00:28.2     	21.95  	66.0        	20.48
00:29.0     	20.97  	68.5        	20.50
00:30.0     	19.38  	73.4        	20.50
00:30.8     	18.00  	78.6        	20.49
00:31.7     	17.06  	82.8        	20.46
00:32.7     	16.22  	86.7        	20.41
00:33.6     	15.54  	90.0        	20.32
00:34.5     	14.95  	93.0        	20.22
00:35.4     	14.57  	95.1        	20.12
00:36.3     	14.27  	96.7        	20.01
00:37.1     	14.04  	97.7        	19.89
00:38.0     	13.89  	98.4        	19.77
00:39.0     	13.78  	98.6        	19.60
00:39.8     	13.72  	98.8        	19.47
00:40.7     	13.65  	98.5        	19.31
00:41.6     	13.59  	98.5        	19.16
