Time [mm:ss]	T [°C]	U [%r H]    	Tu Cap [°C]
00:00.9     	--    	62.8        	
00:00.9     	--    	0x06 -15.925	
00:01.8     	--    	62.9        	--
00:03.1     	--    	63.1        	--
00:03.4     	20.43 	67.3        	20.89
00:04.2     	20.63 	68.6        	20.89
00:05.1     	20.68 	68.5        	20.90
00:06.0     	20.61 	68.6        	20.90
00:06.9     	20.49 	69.0        	20.91
00:07.8     	20.50 	68.8        	20.91
00:08.7     	20.45 	69.1        	20.91
00:09.7     	20.48 	69.2        	20.92
00:10.6     	20.37 	69.7        	20.92
00:11.5     	20.29 	69.9        	20.92
00:12.3     	20.15 	70.4        	20.92
00:13.2     	20.10 	70.5        	20.93
00:14.8     	20.05 	70.6        	20.93
00:15.0     	19.85 	71.5        	20.93
00:15.9     	19.75 	71.9        	20.92
00:16.8     	19.88 	71.2        	20.93
00:17.7     	20.00 	70.7        	20.93
00:18.6     	19.93 	71.0        	20.92
00:19.5     	19.83 	71.5        	20.92
00:20.3     	19.87 	71.4        	20.92
00:21.2     	20.12 	70.3        	20.92
00:22.1     	20.32 	69.4        	20.93
00:23.1     	20.65 	68.1        	20.93
00:24.0     	20.88 	67.3        	20.94
00:24.9     	20.68 	68.0        	20.92
00:25.8     	20.86 	67.8        	20.91
00:26.7     	21.04 	67.7        	20.91
00:26.9     	21.04 	67.7        	--
00:27.2     	--    	--          	--
00:27.4     	--    	--          	--
00:27.7     	--    	--          	--
00:27.9     	--    	--          	--
00:28.1     	--    	--          	20.94
00:29.2     	20.68 	--          	20.96
00:29.4     	21.71 	65.9        	20.99
00:30.3     	21.78 	66.1        	21.00
00:31.2     	21.81 	67.0        	21.01
00:32.1     	21.92 	66.7        	21.03
00:33.0     	22.01 	65.5        	21.04
00:33.9     	22.08 	65.0        	21.06
00:34.8     	22.10 	66.3        	21.11
00:35.7     	22.19 	64.5        	21.13
00:36.7     	22.19 	63.7        	21.14
00:37.5     	22.17 	63.4        	21.16
00:38.5     	22.06 	63.5        	21.15
00:39.4     	22.05 	63.5        	21.16
00:40.2     	21.94 	63.8        	21.18
00:41.1     	21.89 	64.0        	21.19
00:42.0     	21.91 	64.2        	21.21
00:42.9     	21.88 	64.5        	21.22
00:43.8     	21.94 	64.7        	21.23
00:44.7     	22.00 	64.4        	21.25
00:45.5     	21.99 	64.2        	21.26
00:46.5     	21.95 	64.4        	21.28
00:47.4     	21.93 	64.9        	21.29
00:48.2     	21.86 	65.3        	21.30
00:49.1     	21.80 	65.8        	21.32
00:50.1     	21.80 	65.6        	21.33
00:51.0     	21.79 	65.6        	21.34
00:51.9     	21.78 	65.6        	21.35
00:52.8     	21.80 	65.5        	21.36
00:53.7     	21.88 	65.2        	21.37
00:54.6     	22.00 	65.0        	21.38
00:55.5     	22.06 	64.9        	21.40
00:56.3     	22.22 	64.1        	21.41
00:57.2     	22.22 	63.7        	21.43
00:58.1     	22.16 	63.8        	21.43
00:59.0     	22.15 	63.6        	21.47
00:59.9     	22.02 	64.1        	21.47
01:00.8     	20.94 	67.2        	21.45
01:01.7     	19.24 	73.3        	21.45
01:02.6     	17.91 	79.5        	21.42
01:03.5     	16.91 	84.4        	21.39
01:04.4     	16.08 	88.4        	21.34
01:05.3     	15.44 	91.8        	21.28
01:06.2     	14.89 	94.8        	21.22
01:07.1     	14.54 	96.7        	21.13
01:08.0     	14.30 	97.8        	21.02
01:08.9     	14.16 	98.3        	20.89
01:09.8     	14.08 	99.0        	20.64
01:10.7     	13.99 	98.3        	20.53
01:11.6     	13.93 	98.4        	20.37
01:12.4     	13.90 	98.3        	20.16
01:13.3     	13.85 	97.6        	19.92
01:14.2     	13.77 	97.5        	19.71
01:15.1     	13.74 	97.3        	19.51
01:16.0     	13.72 	96.9        	19.27
01:16.9     	13.71 	96.6        	19.05
01:17.9     	13.69 	96.2        	18.84
01:18.8     	13.67 	96.0        	18.62
01:19.7     	13.62 	96.3        	18.41
01:20.5     	13.59 	95.8        	18.24
01:21.4     	13.58 	95.6        	18.06
01:22.3     	13.56 	95.3        	17.90
01:23.2     	13.56 	95.0        	17.73
01:24.1     	13.56 	94.8        	17.58
01:25.0     	13.56 	94.6        	17.43
01:25.9     	13.56 	94.4        	17.30
01:26.8     	13.60 	94.0        	17.20
01:27.7     	13.60 	93.9        	17.08
01:28.5     	13.60 	93.8        	16.97
01:29.4     	13.60 	93.6        	16.87
01:30.4     	13.60 	93.5        	16.77
01:31.3     	13.62 	93.6        	16.67
01:32.2     	13.63 	93.4        	16.58
01:33.1     	13.63 	93.2        	16.49
01:34.0     	13.64 	92.9        	16.40
01:34.9     	13.65 	93.0        	16.31
01:35.8     	13.65 	92.7        	16.23
01:36.6     	13.66 	92.4        	16.16
