Flight Information:
Launch Date:            	      	                       	Monday, 14 December 2020	     	                        	          	Launch Time: 	     	            	10:01:15 	       	     	End of Ascent:	     	         	01:47:18
Station name:           	      	                       	                        	     	                        	          	Serialnumber:	     	            	20027527
Ground values:
Pressure:               	      	                       	1016.3 hPa              	     	                        	          	Temperature: 	     	            	13.8 ?C  	       	     	Humidity:     	     	         	98 %
Wind Direction:         	      	                       	295 ?                   	     	                        	          	Wind Speed:  	     	            	1 m/s    	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	      	                       	-73.160 ?               	     	                        	          	Latitude:    	     	            	-39.236 ?	       	     	Altitude:     	     	         	3 m
Staff:
Company:                	      	                       	
Operator:               	      	                       	                        	     	                        	          	
Events:
Highest Point:          	      	                       	8.1 hPa                 	     	                        	          	32654 m
Tropopauses:            	      	                       	1.: 204.1 hPa           	     	                        	          	2.: 102.3 hPa	     	            	
Max Winds:              	      	                       	1.: 210.5 hPa           	     	                        	          	             	     	            	
Remarks:

Profile Data:
Time                    	P     	T                      	Hu                      	Ws   	Wd                      	Long.     	Lat.         	Alt  	Geopot      	MRI      	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range 	D
[sec]                   	[hPa] 	[?C]                   	[%]                     	[m/s]	[?]                     	[?]       	[?]          	[m]  	[m]         	         	       	[?C] 	[?C]          	[m/s]	[?]      	[?]     	[m]   	[kg/m3]
0                       	1016.3	13.8                   	98                      	1.0  	295                     	-73.160464	-39.236376   	3    	3           	279.749  	279.278	13.5 	15.5          	0.0  	39.2     	180     	0     	1.234053
1                       	1015.8	13.7                   	97                      	1.2  	289                     	-73.160402	-39.236371   	7    	7           	280.282  	279.183	13.3 	15.4          	4.0  	38.9     	088     	7     	1.233772
2                       	1015.3	13.7                   	96                      	1.3  	284                     	-73.160340	-39.236366   	11   	11          	280.800  	279.088	13.1 	15.3          	4.0  	37.5     	086     	13    	1.233491
3                       	1014.9	13.6                   	96                      	1.5  	280                     	-73.160279	-39.236362   	15   	15          	281.333  	278.994	12.9 	15.2          	4.0  	37.3     	086     	20    	1.233210
4                       	1014.4	13.5                   	95                      	1.7  	277                     	-73.160217	-39.236357   	19   	19          	281.866  	278.899	12.7 	15.1          	4.0  	37.2     	085     	27    	1.232930
5                       	1013.9	13.5                   	94                      	1.8  	274                     	-73.160155	-39.236352   	23   	23          	282.400  	278.804	12.5 	15.0          	4.0  	37.1     	085     	33    	1.232649
6                       	1013.4	13.4                   	93                      	2.0  	272                     	-73.160094	-39.236348   	27   	27          	282.917  	278.710	12.4 	14.9          	4.0  	36.9     	085     	40    	1.232369
7                       	1013.0	13.3                   	93                      	2.1  	271                     	-73.160032	-39.236343   	31   	31          	283.435  	278.599	12.2 	14.9          	4.0  	36.9     	085     	47    	1.232006
8                       	1012.5	13.3                   	93                      	2.3  	269                     	-73.159970	-39.236338   	35   	35          	283.977  	278.513	12.2 	14.8          	4.0  	36.9     	085     	53    	1.231601
