Time [mm:ss]	T [°C]	U [%r H]    	Tu Cap [°C]
00:01.5     	--    	60.2        	
00:01.5     	--    	0x06 -24.506	
00:02.3     	--    	59.8        	--
00:03.0     	23.07 	64.5        	23.50
00:03.9     	23.04 	66.8        	23.50
00:04.8     	23.05 	67.1        	23.50
00:05.7     	23.19 	66.7        	23.50
00:06.7     	23.18 	67.0        	23.50
00:07.5     	23.18 	67.2        	23.50
00:08.4     	23.16 	67.5        	23.50
00:09.3     	23.15 	67.6        	23.50
00:10.2     	23.14 	67.8        	23.50
00:11.1     	23.12 	68.1        	23.50
00:12.0     	23.11 	68.2        	23.50
00:12.9     	23.11 	68.2        	23.50
00:13.8     	23.08 	68.2        	23.50
00:14.7     	23.05 	68.2        	23.50
00:15.5     	23.03 	68.2        	23.50
00:16.4     	23.10 	67.9        	23.50
00:17.4     	23.08 	67.9        	23.50
00:18.3     	23.04 	68.1        	23.50
00:19.2     	22.97 	68.3        	23.49
00:20.1     	22.89 	68.5        	23.49
00:20.9     	22.90 	68.5        	23.49
00:21.8     	22.92 	68.5        	23.49
00:22.7     	22.94 	68.5        	23.49
00:23.6     	22.99 	68.2        	23.49
00:24.5     	23.02 	67.9        	23.48
00:25.4     	23.06 	67.6        	23.48
00:26.3     	23.08 	67.4        	23.48
00:27.2     	23.07 	66.9        	23.48
00:28.2     	23.05 	66.9        	23.48
00:29.0     	23.01 	67.2        	23.47
00:29.9     	22.95 	67.3        	23.47
00:30.8     	22.91 	67.4        	23.47
00:31.9     	22.88 	67.3        	23.46
00:32.6     	22.95 	67.2        	23.46
00:33.5     	22.95 	66.9        	23.46
00:34.4     	22.95 	66.7        	23.45
00:35.3     	22.94 	66.9        	23.45
00:36.2     	22.91 	67.3        	23.44
00:37.1     	22.86 	67.6        	23.44
00:37.9     	22.80 	68.2        	23.48
00:38.9     	23.09 	67.9        	23.48
00:39.8     	23.41 	68.5        	23.48
00:40.7     	23.62 	68.3        	23.48
00:41.6     	23.83 	68.1        	23.49
00:41.8     	23.83 	70.1        	23.48
00:42.5     	23.93 	70.2        	23.47
00:43.3     	24.08 	69.4        	23.48
00:44.3     	24.21 	69.6        	23.50
00:45.2     	24.34 	69.9        	23.51
00:46.0     	24.44 	69.5        	23.52
00:46.9     	24.60 	68.8        	23.56
00:47.8     	24.71 	68.3        	23.57
00:48.7     	24.77 	67.3        	23.59
00:49.7     	24.82 	66.1        	23.60
00:50.6     	24.81 	64.9        	23.62
00:51.4     	24.82 	64.8        	23.64
00:52.3     	24.82 	64.9        	23.65
00:53.2     	24.75 	65.1        	23.65
00:54.1     	24.72 	64.7        	23.67
00:55.0     	24.72 	65.3        	23.69
00:55.9     	24.85 	64.8        	23.77
00:56.8     	24.90 	64.8        	23.77
00:57.7     	24.95 	64.7        	23.79
00:58.6     	24.90 	65.0        	23.78
00:59.4     	24.89 	64.9        	23.81
01:00.3     	24.97 	64.0        	23.89
01:01.8     	25.06 	65.0        	23.98
01:02.2     	24.86 	64.2        	23.88
01:03.1     	24.80 	63.1        	23.90
01:04.0     	24.66 	62.3        	23.91
01:04.8     	24.63 	61.9        	23.92
01:05.7     	24.65 	61.5        	23.96
01:06.7     	24.64 	61.7        	23.94
01:07.5     	24.54 	62.0        	23.98
01:08.4     	24.31 	62.5        	23.95
01:09.3     	23.48 	63.3        	23.96
01:10.2     	21.68 	67.6        	23.93
01:11.1     	20.31 	72.2        	23.90
01:12.1     	18.91 	78.1        	23.84
01:12.9     	17.86 	82.8        	23.77
01:13.8     	17.13 	86.5        	23.66
01:14.7     	16.58 	89.3        	23.52
01:15.6     	16.11 	91.6        	23.37
01:16.5     	15.49 	93.7        	23.19
01:17.4     	15.03 	95.7        	23.00
01:18.3     	14.69 	97.2        	22.78
01:19.2     	14.51 	97.9        	22.61
01:20.1     	14.39 	98.7        	22.42
01:20.9     	14.30 	98.7        	22.21
01:21.8     	14.22 	98.5        	22.00
01:22.8     	14.14 	98.5        	21.80
01:23.7     	14.07 	99.0        	21.52
01:24.6     	13.95 	99.6        	21.31
01:25.5     	13.93 	99.6        	21.11
01:26.3     	13.91 	99.6        	20.90
01:27.2     	13.88 	99.4        	20.70
01:28.2     	13.88 	99.3        	20.49
