Flight Information:
Launch Date:            	      	                       	Monday, 14 December 2020	     	                        	          	Launch Time: 	     	            	14:59:02 	       	     	End of Ascent:	     	         	01:12:46
Station name:           	      	                       	                        	     	                        	          	Serialnumber:	     	            	20028078
Ground values:
Pressure:               	      	                       	1016.4 hPa              	     	                        	          	Temperature: 	     	            	14.3 °C  	       	     	Humidity:     	     	         	98 %
Wind Direction:         	      	                       	290 °                   	     	                        	          	Wind Speed:  	     	            	1 m/s    	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	      	                       	-73.160 °               	     	                        	          	Latitude:    	     	            	-39.236 °	       	     	Altitude:     	     	         	3 m
Staff:
Company:                	      	                       	
Operator:               	      	                       	                        	     	                        	          	
Events:
Highest Point:          	      	                       	36.2 hPa                	     	                        	          	22731 m
Tropopauses:            	      	                       	1.: 210.4 hPa           	     	                        	          	2.: 101.5 hPa	     	            	
Max Winds:              	      	                       	1.: 230.7 hPa           	     	                        	          	             	     	            	
Remarks:

Profile Data:
Time                    	P     	T                      	Hu                      	Ws   	Wd                      	Long.     	Lat.         	Alt  	Geopot      	MRI      	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range 	D
[sec]                   	[hPa] 	[°C]                   	[%]                     	[m/s]	[°]                     	[°]       	[°]          	[m]  	[m]         	         	       	[°C] 	[°C]          	[m/s]	[°]      	[°]     	[m]   	[kg/m3]
0                       	1016.4	14.3                   	98                      	1.0  	290                     	-73.160480	-39.236270   	3    	3           	279.282  	278.811	14.0 	16.0          	0.0  	39.2     	180     	0     	1.232028
1                       	1015.9	14.2                   	97                      	1.2  	284                     	-73.160411	-39.236267   	7    	7           	279.920  	278.774	13.7 	15.8          	4.3  	37.6     	090     	8     	1.232041
2                       	1015.4	14.0                   	96                      	1.4  	280                     	-73.160341	-39.236264   	12   	12          	280.541  	278.736	13.4 	15.6          	4.3  	36.3     	089     	15    	1.232055
3                       	1014.9	13.9                   	95                      	1.6  	277                     	-73.160272	-39.236261   	16   	16          	281.179  	278.698	13.1 	15.5          	4.3  	36.1     	088     	22    	1.232069
4                       	1014.3	13.7                   	94                      	1.8  	275                     	-73.160203	-39.236258   	20   	20          	281.816  	278.660	12.8 	15.3          	4.3  	36.0     	088     	30    	1.232084
5                       	1013.8	13.6                   	93                      	2.1  	273                     	-73.160134	-39.236255   	24   	24          	282.453  	278.623	12.4 	15.1          	4.3  	35.9     	087     	37    	1.232098
6                       	1013.3	13.4                   	92                      	2.3  	271                     	-73.160064	-39.236252   	29   	29          	283.075  	278.585	12.1 	14.9          	4.3  	35.8     	087     	44    	1.232114
7                       	1012.8	13.3                   	91                      	2.5  	270                     	-73.159995	-39.236249   	33   	33          	283.632  	278.466	11.9 	14.8          	4.3  	35.8     	087     	52    	1.231777
8                       	1012.3	13.3                   	91                      	2.7  	269                     	-73.159926	-39.236246   	37   	37          	284.189  	278.349	11.8 	14.8          	4.3  	35.8     	087     	59    	1.231298
