Time [mm:ss]	T [°C]	U [%r H]	Tu Cap [°C]
00:00.9     	--    	--      	--
00:00.9     	      	        	
00:01.3     	--    	63.0    	--
00:02.2     	--    	63.2    	--
00:03.1     	--    	63.3    	--
00:04.0     	--    	63.3    	--
00:04.7     	22.14 	68.0    	22.17
00:05.5     	22.17 	67.9    	22.17
00:06.5     	22.21 	67.7    	22.17
00:07.4     	22.24 	67.6    	22.17
00:08.3     	22.27 	67.6    	22.18
00:09.2     	22.32 	68.7    	22.19
00:10.1     	22.64 	69.1    	22.19
00:11.0     	22.76 	68.6    	22.20
00:11.9     	22.80 	68.4    	22.20
00:12.8     	22.85 	68.2    	22.20
00:13.6     	22.92 	68.2    	22.21
00:14.5     	22.96 	69.5    	22.21
00:15.4     	23.14 	69.1    	22.26
00:16.3     	23.30 	68.0    	22.29
00:17.2     	23.40 	67.9    	22.34
00:18.1     	23.47 	67.9    	22.30
00:19.0     	23.53 	66.2    	22.33
00:20.0     	23.57 	65.1    	22.34
00:20.9     	23.68 	64.5    	22.34
00:21.7     	23.73 	64.2    	22.36
00:22.6     	23.94 	63.7    	22.39
00:23.5     	24.08 	63.5    	22.43
00:24.4     	24.17 	63.3    	22.47
00:25.3     	24.29 	63.6    	22.49
00:26.2     	24.38 	63.5    	22.52
00:27.1     	24.49 	66.9    	22.56
00:28.0     	24.68 	66.4    	22.60
00:28.9     	24.81 	65.0    	22.64
00:29.7     	24.92 	63.7    	22.67
00:30.6     	25.05 	62.7    	22.71
00:31.5     	25.19 	61.9    	22.74
00:32.5     	25.31 	61.2    	22.78
00:33.4     	25.43 	60.6    	22.81
00:34.3     	25.58 	59.8    	22.85
00:35.2     	25.59 	60.3    	22.87
00:36.1     	25.60 	61.2    	22.92
00:37.0     	25.57 	59.7    	22.97
00:37.8     	25.52 	59.3    	23.02
00:38.7     	25.33 	59.7    	23.06
00:39.7     	24.95 	60.1    	23.10
00:40.5     	24.68 	61.0    	23.13
00:41.4     	24.43 	62.3    	23.17
00:42.3     	24.30 	63.5    	23.22
00:43.2     	24.13 	64.5    	23.19
00:44.1     	24.08 	64.5    	23.25
00:45.0     	24.04 	64.6    	23.28
00:45.9     	23.90 	65.2    	23.29
00:46.8     	23.87 	65.1    	23.32
00:47.7     	23.56 	65.0    	23.34
00:48.6     	23.06 	65.8    	23.35
00:49.5     	22.83 	66.6    	23.35
00:50.4     	22.58 	67.5    	23.35
00:51.3     	22.43 	68.0    	23.35
00:52.2     	22.16 	69.0    	23.32
00:53.1     	22.04 	69.1    	23.31
00:53.9     	21.73 	70.2    	23.30
00:54.8     	21.44 	71.0    	23.29
00:55.8     	21.18 	71.9    	23.28
00:56.7     	20.97 	72.6    	23.26
00:57.5     	20.87 	73.0    	23.24
00:58.4     	20.80 	73.3    	23.22
00:59.4     	20.72 	73.6    	23.20
01:00.3     	20.70 	73.8    	23.18
01:01.2     	20.65 	74.1    	23.16
01:02.1     	20.50 	74.4    	23.13
01:03.0     	20.41 	74.6    	23.10
01:03.9     	20.35 	74.8    	23.07
01:04.8     	20.20 	75.3    	23.04
01:05.6     	20.08 	75.6    	23.01
01:06.5     	20.02 	75.8    	22.98
01:07.4     	19.95 	76.2    	22.95
01:08.3     	19.90 	76.3    	22.92
01:09.2     	19.91 	76.3    	22.89
01:10.1     	19.91 	76.3    	22.85
01:11.0     	19.95 	76.2    	22.82
01:11.9     	20.04 	75.9    	22.79
01:12.8     	20.19 	75.2    	22.75
01:14.4     	20.35 	74.6    	22.72
01:14.6     	20.44 	74.7    	22.69
01:15.5     	20.51 	74.3    	22.67
01:16.4     	20.44 	74.6    	22.64
01:17.3     	20.54 	74.1    	22.61
01:18.2     	20.69 	73.5    	22.59
01:19.1     	20.76 	73.4    	22.56
01:20.0     	20.87 	72.9    	22.54
01:20.9     	20.95 	72.6    	22.52
01:21.7     	21.06 	72.1    	22.50
01:22.6     	20.90 	72.6    	22.48
01:23.5     	20.89 	72.5    	22.46
01:24.4     	20.92 	72.5    	22.44
01:25.3     	20.78 	73.0    	22.42
01:26.2     	20.57 	73.6    	22.39
01:27.2     	20.53 	73.7    	22.38
01:28.1     	20.59 	73.5    	22.36
01:29.0     	20.71 	73.8    	22.34
01:29.8     	20.91 	73.6    	22.32
01:30.7     	21.16 	73.2    	22.31
01:31.7     	21.40 	72.4    	22.30
01:32.5     	21.58 	71.9    	22.28
01:33.4     	21.71 	71.2    	22.28
01:34.3     	21.83 	70.8    	22.27
01:35.2     	21.93 	70.2    	22.28
01:36.1     	22.03 	69.7    	22.28
01:37.0     	22.05 	69.6    	22.27
01:37.8     	21.84 	70.1    	22.26
01:38.7     	21.65 	70.5    	22.27
01:39.7     	21.52 	70.9    	22.27
01:40.5     	21.45 	71.1    	22.25
01:41.5     	21.53 	70.7    	22.24
01:42.4     	21.53 	70.8    	22.24
01:43.3     	21.34 	71.6    	22.23
01:44.2     	21.20 	71.8    	22.22
01:45.1     	21.07 	72.2    	22.21
01:45.9     	21.09 	72.2    	22.20
01:46.9     	20.98 	72.6    	22.19
01:47.8     	20.90 	72.7    	22.18
01:48.6     	20.74 	73.2    	22.17
01:49.5     	20.67 	73.3    	22.16
01:50.4     	20.57 	73.7    	22.14
01:51.3     	20.55 	73.6    	22.13
01:52.2     	20.55 	73.7    	22.12
01:53.1     	20.54 	73.8    	22.11
01:54.0     	20.52 	73.9    	22.09
01:55.0     	20.44 	74.1    	22.08
01:55.9     	20.40 	74.2    	22.06
01:56.7     	20.31 	74.4    	22.05
01:57.6     	20.12 	75.0    	22.03
01:58.5     	20.08 	75.0    	22.01
01:59.4     	20.10 	74.9    	22.00
02:00.3     	20.09 	75.1    	21.98
02:01.2     	20.13 	75.1    	21.96
02:02.0     	20.11 	75.1    	21.94
02:02.9     	20.11 	75.0    	21.93
02:03.8     	20.11 	75.0    	21.91
02:04.7     	20.13 	74.9    	21.90
02:05.6     	20.08 	75.1    	21.88
02:06.5     	20.03 	75.4    	21.86
02:07.5     	19.96 	75.5    	21.85
02:08.4     	20.09 	74.9    	21.83
02:09.3     	20.00 	75.2    	21.81
02:10.1     	19.93 	75.2    	21.79
02:11.1     	19.79 	75.7    	21.77
02:12.0     	19.77 	75.8    	21.75
02:12.8     	19.73 	75.9    	21.73
02:13.7     	19.80 	75.6    	21.71
02:14.6     	19.84 	75.5    	21.69
02:15.5     	19.93 	75.2    	21.67
02:16.4     	20.00 	75.1    	21.65
02:17.3     	20.08 	74.8    	21.63
02:18.2     	20.12 	74.7    	21.61
02:19.0     	20.19 	74.4    	21.59
02:20.0     	20.07 	74.8    	21.57
02:20.8     	19.97 	75.0    	21.56
02:21.8     	19.92 	75.1    	21.54
02:22.7     	19.88 	75.3    	21.52
02:23.6     	19.89 	75.2    	21.50
02:24.5     	19.91 	75.2    	21.48
02:25.4     	19.90 	75.2    	21.46
02:26.3     	19.81 	75.5    	21.44
02:27.2     	19.77 	75.6    	21.42
02:28.1     	19.77 	75.6    	21.40
02:28.9     	19.85 	75.3    	21.38
02:29.8     	19.98 	74.8    	21.36
02:30.7     	20.07 	74.6    	21.35
02:31.6     	20.18 	74.2    	21.33
02:32.5     	20.39 	73.5    	21.31
02:33.4     	20.39 	73.6    	21.30
02:34.3     	20.28 	73.9    	21.28
02:35.3     	20.16 	74.1    	21.27
02:36.2     	20.13 	74.1    	21.26
