Time [mm:ss]	T [°C]	U [%r H]	Tu Cap [°C]
00:00.6     	--    	--      	--
00:00.6     	      	        	
00:00.9     	--    	60.1    	--
00:01.8     	--    	60.1    	--
00:02.8     	--    	60.1    	--
00:03.4     	23.05 	64.6    	22.93
00:04.3     	23.06 	64.1    	22.93
00:05.2     	23.05 	64.2    	22.93
00:06.1     	23.04 	64.2    	22.94
00:07.0     	23.02 	64.3    	22.94
00:07.9     	23.01 	64.4    	22.94
00:08.8     	23.00 	64.5    	22.94
00:09.7     	22.98 	64.5    	22.94
00:10.6     	22.95 	64.6    	22.95
00:11.4     	22.93 	64.7    	22.95
00:12.4     	22.91 	64.8    	22.95
00:13.3     	22.89 	64.9    	22.95
00:14.2     	22.87 	64.9    	22.95
00:15.1     	22.86 	64.9    	22.95
00:16.0     	22.84 	64.9    	22.95
00:16.9     	22.83 	64.9    	22.95
00:17.8     	22.82 	64.9    	22.96
00:18.7     	22.82 	64.9    	22.96
00:19.5     	22.83 	64.9    	22.95
00:20.4     	22.82 	65.3    	22.96
00:21.3     	22.85 	65.3    	22.98
00:22.2     	22.93 	66.0    	22.98
00:23.2     	23.03 	66.8    	22.98
00:24.1     	23.20 	67.0    	22.99
00:25.0     	23.31 	67.9    	23.00
00:25.9     	23.45 	68.5    	23.02
00:26.8     	23.51 	68.7    	23.02
00:27.6     	23.55 	65.2    	23.09
00:28.5     	23.48 	64.1    	23.11
00:29.4     	23.55 	64.9    	23.13
00:30.3     	23.53 	65.1    	23.16
00:30.9     	23.51 	65.4    	23.16
00:31.2     	23.54 	65.1    	23.15
00:32.1     	23.57 	64.9    	23.17
00:32.9     	23.58 	64.8    	23.19
00:33.8     	23.57 	64.8    	23.21
00:34.8     	23.34 	65.1    	23.11
00:35.7     	23.27 	64.9    	23.13
00:36.6     	23.23 	64.7    	23.15
00:37.5     	23.21 	63.9    	23.15
00:38.4     	23.22 	62.7    	23.16
00:39.3     	23.22 	62.3    	23.17
00:40.2     	23.23 	62.7    	23.18
00:41.0     	23.27 	62.5    	23.18
00:41.9     	22.96 	62.3    	23.17
00:42.8     	21.95 	63.9    	23.12
00:43.7     	20.83 	66.4    	23.06
00:44.6     	19.18 	72.1    	22.85
00:45.5     	17.61 	78.6    	22.60
00:46.5     	16.61 	83.3    	22.37
00:47.4     	15.97 	86.3    	22.16
00:48.3     	15.56 	88.4    	21.94
00:49.1     	15.07 	90.4    	21.76
00:50.0     	14.68 	92.4    	21.56
00:50.9     	14.35 	94.6    	21.32
00:51.8     	14.07 	95.9    	21.13
00:52.7     	13.86 	96.5    	20.95
00:53.6     	13.72 	97.1    	20.77
00:54.5     	13.59 	97.7    	20.59
00:55.4     	13.49 	98.2    	20.41
00:56.3     	13.42 	98.1    	20.19
00:57.2     	13.33 	98.0    	19.93
00:58.1     	13.28 	97.7    	19.73
00:59.0     	13.25 	97.6    	19.55
00:59.9     	13.22 	97.6    	19.35
01:00.8     	13.20 	97.8    	19.17
01:01.7     	13.20 	97.8    	19.00
01:02.5     	13.18 	97.3    	18.83
01:03.5     	13.16 	97.0    	18.66
01:04.4     	13.15 	96.9    	18.50
01:05.3     	13.16 	96.7    	18.35
01:06.1     	13.17 	96.5    	18.19
01:07.0     	13.19 	96.3    	18.06
01:08.0     	13.19 	96.2    	17.92
01:08.9     	13.18 	96.0    	17.79
01:09.8     	13.16 	95.9    	17.67
01:10.7     	13.15 	95.8    	17.54
01:11.5     	13.14 	95.7    	17.43
01:12.4     	13.13 	95.6    	17.32
01:13.3     	13.12 	95.4    	17.21
01:14.2     	13.11 	95.3    	17.11
01:15.1     	13.11 	95.2    	17.01
01:16.5     	13.11 	95.1    	16.91
01:16.9     	13.11 	95.6    	16.81
01:17.7     	13.11 	94.9    	16.71
01:18.8     	13.10 	94.9    	16.61
01:19.6     	13.10 	94.9    	16.51
01:20.5     	13.11 	94.9    	16.40
01:21.4     	13.12 	95.0    	16.29
01:22.3     	13.14 	94.8    	16.18
01:23.2     	13.15 	94.8    	16.06
01:24.1     	13.16 	95.0    	15.93
01:24.9     	13.17 	94.4    	15.82
01:25.8     	13.12 	93.3    	15.71
01:26.7     	13.09 	93.3    	15.61
01:27.6     	13.08 	93.2    	15.51
01:28.5     	13.06 	92.8    	15.42
01:29.5     	13.05 	92.8    	15.34
01:30.4     	13.03 	92.7    	15.27
01:31.3     	13.02 	92.6    	15.19
01:32.2     	13.01 	92.5    	15.13
01:33.0     	13.00 	92.7    	15.06
01:33.9     	13.00 	93.0    	14.99
01:34.8     	12.99 	92.8    	14.91
01:36.4     	12.99 	92.6    	14.84
01:36.6     	13.01 	93.2    	14.76
01:37.5     	13.00 	92.6    	14.69
01:38.4     	12.99 	92.5    	14.62
