Time [mm:ss]	T [°C]	U [%r H]	Tu Cap [°C]
00:00.6     	--    	--      	--
00:00.6     	      	        	
00:01.1     	--    	60.7    	--
00:01.9     	--    	60.7    	--
00:02.9     	--    	60.7    	--
00:03.5     	22.09 	65.1    	22.48
00:04.5     	22.09 	66.7    	22.48
00:05.4     	22.09 	66.7    	22.48
00:06.3     	22.09 	66.7    	22.48
00:07.2     	22.09 	66.8    	22.48
00:08.0     	22.08 	66.8    	22.48
00:08.9     	22.08 	66.8    	22.48
00:09.9     	22.08 	66.8    	22.48
00:10.7     	22.08 	66.8    	22.48
00:11.6     	22.08 	66.9    	22.49
00:12.5     	22.08 	66.9    	22.49
00:13.4     	22.08 	66.9    	22.49
00:14.3     	22.08 	66.9    	22.49
00:15.2     	22.09 	66.9    	22.49
00:16.0     	22.09 	66.8    	22.49
00:17.0     	22.09 	66.8    	22.49
00:18.0     	22.10 	66.8    	22.49
00:18.8     	22.10 	66.8    	22.49
00:19.7     	22.10 	66.8    	22.49
00:20.6     	22.10 	66.7    	22.49
00:21.5     	22.10 	66.7    	22.50
00:22.4     	22.10 	66.7    	22.50
00:23.3     	22.10 	66.7    	22.50
00:24.1     	22.10 	66.7    	22.50
00:25.1     	22.10 	66.7    	22.50
00:26.0     	22.11 	66.7    	22.50
00:26.8     	22.11 	66.7    	22.50
00:27.7     	22.11 	66.7    	22.50
00:28.6     	22.11 	66.7    	22.50
00:29.5     	22.09 	66.7    	22.50
00:30.5     	22.08 	66.8    	22.50
00:31.4     	22.06 	66.9    	22.50
00:32.3     	22.05 	67.0    	22.51
00:33.2     	22.04 	67.1    	22.51
00:34.1     	22.03 	67.1    	22.51
00:34.9     	22.03 	67.1    	22.51
00:35.8     	22.03 	67.1    	22.51
00:36.7     	22.03 	67.1    	22.52
00:37.6     	22.02 	67.1    	22.52
00:38.5     	22.02 	67.1    	22.52
00:39.4     	22.02 	67.1    	22.52
00:40.3     	22.02 	67.1    	22.52
00:41.2     	22.01 	67.1    	22.52
00:42.1     	22.01 	67.1    	22.52
00:42.9     	22.01 	67.1    	22.52
00:43.9     	22.00 	66.9    	22.52
00:44.8     	21.96 	66.8    	22.52
00:45.7     	21.90 	66.8    	22.52
00:46.6     	21.83 	66.9    	22.52
00:47.5     	21.79 	67.0    	22.52
00:48.4     	21.77 	67.2    	22.51
00:49.3     	21.76 	67.3    	22.51
00:50.2     	21.74 	67.4    	22.51
00:51.0     	21.72 	67.5    	22.51
00:51.9     	21.70 	67.7    	22.51
00:52.8     	21.71 	67.7    	22.50
00:53.7     	21.86 	68.0    	22.52
00:54.6     	21.91 	68.1    	22.48
00:55.5     	21.93 	67.8    	22.49
00:56.5     	21.97 	67.7    	22.49
00:57.4     	21.97 	67.8    	22.48
00:58.3     	21.99 	67.6    	22.48
00:59.1     	22.06 	67.1    	22.56
01:00.0     	22.13 	67.6    	22.64
01:00.3     	22.13 	67.5    	22.54
01:00.9     	22.19 	66.8    	22.53
01:01.8     	22.23 	66.8    	22.53
01:02.7     	22.25 	66.7    	22.53
01:03.6     	22.29 	66.6    	22.53
01:04.5     	22.32 	66.4    	22.54
01:05.4     	22.39 	66.0    	22.57
01:06.3     	22.41 	66.1    	22.57
01:07.1     	22.41 	66.0    	22.53
01:08.0     	22.49 	65.5    	22.55
01:08.9     	22.52 	65.4    	22.55
01:09.9     	22.66 	64.7    	22.56
01:10.8     	22.77 	64.3    	22.56
01:11.7     	22.90 	63.8    	22.58
01:12.6     	22.94 	63.5    	22.57
01:13.5     	22.99 	64.2    	22.61
01:14.4     	23.10 	63.7    	22.60
01:15.2     	23.12 	62.9    	22.62
01:16.1     	23.24 	62.1    	22.64
01:17.0     	23.37 	61.6    	22.67
01:17.9     	23.47 	61.2    	22.69
01:18.8     	23.73 	60.1    	22.71
01:20.1     	23.99 	59.1    	22.74
01:20.6     	23.93 	59.7    	22.79
01:21.6     	24.03 	59.3    	22.80
01:22.5     	23.15 	61.4    	22.79
01:23.3     	22.33 	64.4    	22.79
01:24.2     	21.72 	66.6    	22.79
01:25.1     	21.05 	68.5    	22.80
01:26.0     	20.28 	71.2    	22.76
01:26.9     	19.25 	76.4    	22.66
01:27.8     	18.37 	82.0    	22.61
01:28.7     	17.68 	83.2    	22.54
01:29.6     	16.76 	82.5    	22.43
01:30.5     	16.19 	83.4    	22.29
01:31.3     	15.65 	83.7    	22.10
01:32.2     	15.42 	87.3    	21.96
01:33.1     	15.32 	87.9    	21.82
01:34.0     	15.13 	85.5    	21.64
01:34.9     	14.87 	85.0    	21.45
01:35.9     	14.78 	86.3    	21.26
01:36.8     	14.87 	88.2    	21.09
01:37.7     	15.00 	89.0    	20.91
01:38.6     	15.12 	87.8    	20.75
