Time [mm:ss]	T [°C]	U [%r H]	Tu Cap [°C]
00:00.6     	--    	--      	--
00:00.6     	      	        	
00:01.0     	--    	60.4    	--
00:01.7     	21.42 	64.3    	22.21
00:02.6     	21.43 	67.5    	22.21
00:03.5     	21.41 	67.5    	22.20
00:04.4     	21.41 	67.4    	22.19
00:05.3     	21.41 	67.4    	22.14
00:06.2     	21.37 	67.5    	22.17
00:07.7     	21.34 	67.5    	22.20
00:08.6     	21.34 	67.4    	22.20
00:09.0     	--    	67.4    	--
00:09.3     	--    	--      	--
00:09.4     	--    	--      	--
00:09.6     	--    	--      	--
00:10.4     	--    	--      	--
00:10.6     	--    	--      	--
00:10.8     	--    	--      	--
00:11.2     	21.41 	--      	--
00:11.9     	21.44 	--      	22.14
00:12.5     	21.44 	--      	22.11
00:13.0     	--    	--      	22.11
00:13.4     	--    	--      	22.14
00:14.1     	21.41 	--      	22.14
00:15.0     	21.41 	--      	22.14
00:15.7     	21.41 	--      	22.14
00:16.3     	21.41 	--      	22.14
00:17.9     	21.41 	--      	--
00:18.3     	21.41 	--      	--
00:19.3     	--    	--      	--
00:19.9     	--    	--      	--
00:20.1     	--    	67.2    	--
00:22.8     	--    	66.9    	--
00:24.2     	--    	66.9    	--
00:26.7     	--    	67.2    	--
02:06.8     	--    	76.5    	17.01
02:07.5     	15.83 	85.7    	11.89
02:08.4     	15.90 	78.4    	17.02
02:09.5     	15.96 	79.7    	17.02
02:10.1     	15.95 	79.6    	17.01
02:11.0     	15.89 	78.4    	17.00
02:11.9     	15.77 	77.9    	16.98
02:12.8     	15.64 	77.4    	16.96
02:13.7     	15.55 	77.4    	16.95
02:14.6     	15.51 	77.6    	16.95
02:15.5     	15.54 	78.4    	16.94
02:16.4     	15.46 	78.3    	16.93
02:17.2     	15.43 	78.1    	16.94
02:18.1     	15.53 	78.5    	16.95
02:19.1     	15.63 	78.7    	16.97
02:20.0     	15.65 	78.5    	16.99
02:20.9     	15.60 	77.6    	17.02
02:21.8     	15.63 	77.1    	17.04
02:22.7     	15.70 	77.2    	17.08
02:23.6     	15.80 	79.4    	17.11
02:24.5     	15.86 	79.4    	17.15
02:25.3     	15.90 	79.1    	17.18
02:26.3     	15.85 	78.6    	17.21
02:27.2     	15.91 	78.7    	17.24
02:28.0     	15.99 	78.9    	17.27
02:28.9     	16.08 	79.2    	17.30
02:29.8     	16.24 	80.5    	17.34
02:30.7     	16.43 	80.0    	17.37
02:31.6     	16.39 	78.9    	17.40
02:32.5     	16.55 	79.2    	17.44
02:33.5     	16.57 	78.9    	17.48
02:34.4     	16.52 	78.6    	17.51
02:35.3     	16.50 	78.7    	17.55
02:36.1     	16.39 	78.2    	17.59
02:37.0     	16.26 	78.0    	17.63
02:37.9     	16.27 	78.8    	17.67
02:38.8     	16.32 	79.2    	17.70
02:39.7     	16.25 	79.6    	17.72
02:40.6     	16.30 	80.5    	17.75
02:41.5     	16.55 	81.0    	17.77
02:42.4     	16.45 	80.1    	17.79
02:43.3     	16.40 	79.3    	17.81
02:44.1     	16.40 	79.5    	17.82
02:45.0     	16.42 	80.3    	17.82
02:46.4     	16.43 	81.1    	17.83
02:46.8     	16.24 	79.9    	17.82
02:47.8     	16.01 	78.6    	17.77
02:48.7     	15.96 	79.1    	17.75
02:50.5     	16.25 	82.0    	17.75
02:51.4     	16.62 	81.8    	17.75
02:52.2     	16.64 	80.4    	17.74
02:53.1     	16.56 	79.8    	17.73
02:54.0     	16.24 	78.5    	17.72
02:54.9     	15.91 	78.0    	17.71
02:55.8     	15.77 	78.4    	17.70
02:56.7     	15.81 	79.9    	17.70
02:57.6     	16.04 	81.0    	17.72
02:58.5     	16.04 	78.6    	17.71
02:59.4     	15.79 	77.6    	17.71
03:00.2     	15.66 	77.2    	17.71
03:01.2     	15.61 	77.3    	17.71
03:02.1     	15.57 	77.0    	17.67
03:03.0     	15.56 	77.5    	17.63
03:03.9     	15.72 	78.9    	17.64
03:04.8     	15.98 	81.0    	17.67
03:05.7     	16.12 	80.5    	17.71
03:06.6     	16.21 	79.5    	17.74
03:07.5     	16.36 	79.1    	17.79
03:08.3     	16.51 	78.3    	17.83
03:09.2     	16.46 	77.8    	17.87
03:10.1     	16.47 	77.8    	17.91
03:11.0     	16.55 	78.1    	17.95
03:11.9     	16.61 	78.1    	18.00
03:12.8     	16.70 	78.6    	18.05
03:13.7     	16.90 	79.2    	18.10
03:14.7     	17.02 	78.7    	18.15
03:15.6     	17.03 	78.4    	18.20
03:16.4     	17.14 	78.6    	18.26
03:17.3     	17.27 	78.6    	18.32
03:18.2     	17.36 	78.4    	18.37
03:19.1     	17.31 	78.3    	18.43
03:20.0     	17.44 	78.8    	18.49
