Time [mm:ss]	T [°C]	U [%r H]	Tu Cap [°C]
00:00.7     	--    	--      	--
00:00.7     	      	        	
00:01.1     	--    	56.0    	--
00:02.1     	--    	56.1    	--
00:03.0     	--    	56.1    	--
00:03.9     	--    	56.2    	--
00:04.8     	--    	56.2    	--
00:05.4     	21.23 	60.1    	21.84
00:06.3     	21.21 	62.6    	21.84
00:07.2     	21.18 	62.8    	21.84
00:08.1     	21.16 	62.8    	21.84
00:09.1     	21.15 	62.9    	21.83
00:10.0     	21.15 	62.8    	21.83
00:10.9     	21.14 	62.7    	21.83
00:11.7     	21.14 	62.7    	21.83
00:12.6     	21.14 	62.7    	21.83
00:13.5     	21.17 	62.7    	21.82
00:14.4     	21.19 	62.6    	21.82
00:15.3     	21.20 	62.6    	21.82
00:16.2     	21.22 	62.6    	21.89
00:17.0     	21.29 	62.9    	21.86
00:17.9     	21.59 	63.7    	21.88
00:18.8     	21.75 	62.7    	21.85
00:19.8     	21.76 	62.1    	21.84
00:20.7     	21.80 	61.4    	21.85
00:21.6     	21.85 	61.1    	21.85
00:22.5     	21.88 	61.0    	21.86
00:23.4     	21.90 	61.0    	21.86
00:24.3     	21.94 	61.2    	21.86
00:25.1     	21.97 	61.1    	21.95
00:26.0     	22.13 	60.9    	21.97
00:26.9     	22.19 	60.4    	22.00
00:27.8     	22.08 	60.0    	21.96
00:28.7     	21.67 	61.5    	21.88
00:29.6     	21.70 	60.9    	21.82
00:30.4     	21.69 	60.7    	21.86
00:31.5     	21.67 	61.1    	21.81
00:32.4     	21.53 	61.4    	21.81
00:33.2     	21.45 	61.6    	21.82
00:34.1     	21.41 	61.7    	21.82
00:35.0     	21.37 	61.8    	21.82
00:35.9     	21.32 	62.0    	21.83
00:36.8     	21.38 	61.8    	21.91
00:37.7     	21.32 	62.3    	21.91
00:38.5     	21.27 	62.5    	21.92
00:39.4     	21.22 	62.7    	21.92
00:40.3     	21.19 	62.8    	21.92
00:41.3     	21.17 	62.9    	21.92
00:42.2     	21.14 	63.0    	21.92
00:43.1     	21.12 	63.1    	21.92
00:44.0     	21.10 	63.2    	21.92
00:44.9     	21.08 	63.3    	21.92
00:45.8     	21.07 	63.4    	21.92
00:46.6     	21.06 	63.4    	21.92
00:47.5     	21.05 	63.4    	21.92
