Time [mm:ss]	T [°C]	U [%r H]	Tu Cap [°C]
00:00.8     	--    	--      	--
00:00.8     	      	        	
00:01.2     	--    	53.8    	--
00:02.1     	--    	53.7    	--
00:03.0     	--    	53.7    	--
00:03.9     	--    	53.7    	--
00:04.8     	--    	53.7    	--
00:05.7     	--    	53.6    	--
00:06.7     	--    	53.5    	--
00:07.3     	18.05 	56.6    	18.20
00:08.2     	18.05 	57.2    	18.20
00:09.1     	18.03 	57.3    	18.21
00:10.0     	18.02 	57.4    	18.21
00:10.8     	18.00 	57.5    	18.21
00:11.7     	17.99 	57.6    	18.21
00:12.7     	17.99 	57.6    	18.21
00:13.5     	18.00 	57.6    	18.21
00:14.4     	18.01 	57.6    	18.21
00:15.3     	18.02 	57.6    	18.21
00:16.2     	18.04 	57.5    	18.21
00:17.1     	18.06 	57.5    	18.21
00:18.0     	18.07 	57.4    	18.21
00:18.9     	18.07 	57.2    	18.21
00:19.8     	18.09 	57.1    	18.22
00:20.8     	18.12 	57.1    	18.22
00:21.6     	18.14 	57.1    	18.22
00:22.5     	18.14 	57.3    	18.22
00:23.4     	18.13 	57.4    	18.22
00:24.3     	18.13 	57.5    	18.22
00:25.2     	18.14 	57.5    	18.22
00:26.1     	18.13 	57.6    	18.22
00:26.9     	18.11 	57.7    	18.22
00:27.8     	18.10 	57.7    	18.22
00:28.7     	18.11 	57.7    	18.22
00:29.6     	18.11 	57.7    	18.22
00:30.5     	18.11 	57.6    	18.22
00:31.5     	18.12 	57.6    	18.22
00:32.4     	18.12 	57.5    	18.22
00:33.3     	18.13 	57.4    	18.22
00:34.2     	18.13 	57.4    	18.22
00:35.0     	18.14 	57.4    	18.22
00:35.9     	18.14 	57.4    	18.22
00:36.8     	18.16 	57.3    	18.22
00:37.7     	18.16 	57.2    	18.23
00:38.6     	18.15 	57.3    	18.23
00:39.5     	18.14 	57.4    	18.23
00:40.4     	18.13 	57.5    	18.23
00:41.3     	18.12 	57.6    	18.23
00:42.2     	18.11 	57.8    	18.23
00:43.0     	18.11 	57.8    	18.23
00:43.9     	18.10 	57.9    	18.23
00:44.9     	18.09 	58.0    	18.23
00:45.8     	18.09 	58.0    	18.23
00:46.7     	18.08 	58.0    	18.24
00:47.6     	18.08 	58.0    	18.24
00:48.5     	18.08 	57.9    	18.24
00:49.4     	18.09 	57.8    	18.24
00:50.3     	18.10 	57.7    	18.24
00:51.1     	18.11 	57.6    	18.24
00:52.0     	18.12 	57.5    	18.24
00:53.0     	18.18 	57.5    	18.25
00:53.8     	18.35 	60.0    	18.27
00:54.7     	18.46 	59.8    	18.27
00:55.6     	18.61 	59.1    	18.28
00:56.5     	18.63 	58.3    	18.29
00:57.4     	18.61 	57.8    	18.30
00:58.3     	18.59 	57.4    	18.31
00:59.3     	18.58 	57.1    	18.32
01:00.2     	18.56 	56.9    	18.32
01:01.1     	18.52 	56.9    	18.33
01:01.9     	18.49 	56.9    	18.34
01:02.8     	18.46 	56.9    	18.35
01:03.7     	18.43 	56.9    	18.36
01:04.6     	18.41 	56.9    	18.37
01:05.5     	18.39 	56.9    	18.37
01:06.4     	18.37 	56.9    	18.38
01:07.2     	18.35 	56.9    	18.38
01:08.1     	18.34 	57.0    	18.39
01:09.1     	18.32 	58.6    	18.40
01:10.0     	18.32 	58.5    	18.40
01:10.9     	18.27 	57.8    	18.40
01:11.8     	18.22 	57.9    	18.41
01:12.7     	18.19 	58.6    	18.42
01:13.6     	18.20 	58.0    	18.42
01:14.5     	18.19 	58.7    	18.43
01:15.3     	18.17 	58.6    	18.43
01:16.2     	18.16 	58.5    	18.43
01:17.1     	18.17 	58.5    	18.44
01:18.0     	18.18 	58.4    	18.44
01:18.9     	18.19 	58.2    	18.45
01:19.8     	18.20 	58.1    	18.45
01:20.7     	18.21 	58.0    	18.46
01:21.6     	18.20 	58.2    	18.46
01:22.5     	18.18 	58.2    	18.46
01:23.4     	18.20 	58.2    	18.46
01:24.3     	18.32 	59.1    	18.53
01:25.2     	18.47 	58.9    	18.55
01:26.1     	18.56 	58.3    	18.54
01:27.0     	18.62 	57.1    	18.51
01:27.9     	18.73 	56.3    	18.51
01:28.8     	18.82 	56.7    	18.51
01:29.7     	18.75 	56.1    	18.52
01:30.6     	18.83 	55.8    	18.54
01:31.4     	18.93 	55.3    	18.55
01:32.3     	19.07 	54.7    	18.57
01:33.3     	19.16 	54.3    	18.58
01:34.1     	19.29 	53.0    	18.61
01:35.0     	19.40 	52.7    	18.62
01:35.9     	19.19 	53.3    	18.64
01:36.9     	18.63 	53.7    	18.66
01:37.8     	18.19 	54.4    	18.68
01:38.7     	17.89 	55.3    	18.69
01:39.6     	17.55 	55.1    	18.70
01:40.5     	17.23 	57.6    	18.70
01:41.4     	17.19 	60.9    	18.70
01:42.0     	17.15 	64.2    	18.70
01:42.2     	17.01 	59.8    	--
01:42.9     	17.19 	58.7    	--
01:43.1     	16.68 	59.7    	18.64
01:44.0     	16.38 	59.7    	18.60
01:44.9     	16.01 	57.7    	18.55
01:45.8     	15.81 	58.7    	18.45
01:46.7     	15.55 	58.5    	18.40
01:47.5     	15.39 	59.0    	18.34
01:48.5     	15.39 	60.2    	18.28
01:49.5     	15.43 	60.4    	18.23
01:50.3     	15.48 	61.1    	18.18
01:51.2     	15.80 	63.2    	18.15
01:52.1     	15.84 	61.2    	18.13
01:53.0     	15.82 	60.1    	18.10
01:53.9     	15.94 	61.9    	18.08
01:54.8     	16.10 	63.0    	18.06
