Time [mm:ss]	T [°C]	U [%r H]	Tu Cap [°C]
00:00.8     	--    	--      	--
00:00.8     	      	        	
00:01.3     	--    	58.8    	--
00:02.2     	--    	58.7    	--
00:03.1     	--    	58.5    	--
00:03.9     	--    	58.3    	--
00:04.8     	--    	58.1    	--
00:05.5     	19.59 	61.5    	20.09
00:06.4     	19.58 	63.7    	20.10
00:07.4     	19.62 	63.6    	20.10
00:08.3     	19.67 	63.5    	20.10
00:09.2     	19.71 	63.5    	20.09
00:10.0     	19.71 	63.4    	20.09
00:10.9     	19.73 	63.3    	20.10
00:11.9     	19.74 	63.3    	20.08
00:12.7     	19.70 	63.5    	20.07
00:13.6     	19.71 	63.4    	20.06
00:14.5     	19.69 	63.5    	20.06
00:15.4     	19.65 	63.7    	20.10
00:16.3     	19.69 	64.1    	20.10
00:17.2     	19.88 	64.0    	20.10
00:18.0     	20.01 	63.9    	20.10
00:19.0     	20.05 	63.7    	20.10
00:19.9     	20.08 	63.6    	20.11
00:20.8     	20.04 	63.6    	20.09
00:21.7     	20.04 	63.4    	20.09
00:22.6     	20.05 	63.2    	20.10
00:23.5     	20.19 	64.3    	20.14
00:24.4     	20.51 	62.2    	20.13
00:25.3     	20.43 	61.8    	20.13
00:26.2     	20.40 	61.6    	20.14
00:27.1     	20.37 	61.5    	20.14
00:28.0     	20.29 	61.5    	20.16
00:28.8     	20.25 	61.0    	20.14
00:29.7     	20.17 	60.5    	20.16
00:30.6     	20.13 	59.7    	20.16
00:31.5     	20.04 	59.7    	20.16
00:32.4     	19.05 	62.8    	20.16
00:33.3     	18.45 	65.3    	20.15
00:34.2     	17.86 	66.1    	20.10
00:35.2     	16.80 	67.9    	19.94
00:36.1     	15.77 	70.3    	19.82
00:36.9     	15.18 	72.5    	19.71
00:37.8     	14.86 	73.7    	19.58
00:38.7     	14.73 	74.3    	19.45
00:39.6     	14.65 	74.7    	19.31
00:40.5     	14.56 	74.3    	19.18
00:41.4     	14.49 	74.5    	19.03
00:42.3     	14.49 	74.5    	18.91
00:43.2     	14.55 	74.3    	18.78
00:44.1     	14.58 	74.0    	18.66
00:44.9     	14.64 	74.2    	18.56
00:45.8     	14.85 	76.8    	18.47
00:46.7     	15.16 	75.4    	18.35
00:47.6     	15.40 	76.7    	18.25
00:48.6     	15.57 	76.6    	18.17
00:49.5     	15.55 	74.0    	18.08
00:50.4     	15.41 	73.3    	17.99
00:51.3     	15.33 	72.4    	17.90
00:52.2     	15.13 	71.5    	17.80
00:53.0     	15.13 	73.1    	17.71
00:54.0     	15.19 	74.3    	17.63
00:54.8     	15.38 	74.8    	17.55
00:55.7     	15.43 	73.2    	17.47
00:56.6     	15.43 	73.2    	17.39
00:57.5     	15.39 	74.3    	17.31
00:58.4     	15.36 	71.8    	17.24
00:59.3     	15.12 	71.4    	17.16
01:00.2     	15.02 	71.6    	17.08
01:01.0     	15.01 	72.6    	17.01
01:01.9     	15.16 	73.9    	16.96
01:02.9     	15.27 	73.7    	16.91
01:03.8     	15.35 	73.8    	16.88
01:04.7     	15.63 	73.1    	16.85
01:05.6     	15.80 	71.9    	16.82
01:06.5     	15.87 	70.7    	16.85
01:07.4     	15.78 	69.4    	16.76
01:08.3     	15.72 	69.4    	16.74
01:09.2     	15.73 	70.1    	16.73
01:10.1     	15.72 	69.6    	16.73
01:11.0     	15.57 	69.9    	16.73
01:11.8     	15.81 	71.6    	16.73
01:12.7     	15.82 	71.2    	16.74
01:13.6     	15.99 	71.7    	16.74
01:14.5     	16.18 	70.1    	16.75
01:15.4     	16.13 	69.9    	16.74
01:16.4     	16.05 	68.9    	16.75
01:17.3     	15.97 	68.7    	16.77
01:18.2     	16.11 	70.8    	16.79
01:19.1     	16.11 	70.5    	16.80
01:19.9     	15.69 	69.2    	16.81
01:20.8     	15.41 	70.7    	16.81
01:21.7     	15.40 	71.3    	16.81
01:22.6     	15.13 	71.5    	16.79
01:23.5     	15.07 	72.2    	16.77
01:24.4     	15.05 	73.0    	16.76
01:25.3     	15.15 	73.1    	16.74
01:26.2     	14.93 	73.2    	16.70
01:27.1     	14.89 	72.5    	16.64
01:27.9     	14.70 	72.1    	16.59
01:28.8     	14.68 	73.2    	16.55
01:29.7     	14.80 	74.0    	16.50
01:30.7     	14.98 	74.2    	16.46
01:31.6     	14.97 	73.3    	16.42
01:32.5     	14.99 	73.3    	16.37
01:33.4     	14.86 	73.4    	16.32
01:34.3     	15.01 	74.2    	16.28
01:35.2     	14.98 	73.2    	16.24
01:36.0     	15.05 	73.5    	16.22
01:36.9     	15.21 	74.5    	16.21
01:37.8     	15.19 	72.4    	16.19
01:38.7     	15.06 	71.4    	16.17
01:39.6     	14.87 	70.9    	16.15
01:40.5     	14.87 	71.2    	16.14
01:41.4     	14.91 	71.4    	16.13
01:42.3     	14.90 	71.4    	16.11
01:43.3     	14.88 	71.2    	16.10
01:44.1     	14.92 	71.8    	16.08
01:45.0     	15.07 	72.9    	16.08
01:45.9     	15.39 	73.3    	16.07
01:46.8     	15.54 	71.8    	16.07
01:47.7     	15.64 	70.0    	16.05
01:48.6     	15.63 	69.6    	16.05
01:49.5     	15.62 	70.5    	16.06
01:50.4     	15.77 	73.3    	16.09
01:51.3     	15.87 	70.7    	16.10
01:52.1     	15.71 	69.4    	16.11
01:53.0     	15.56 	68.9    	16.12
01:54.0     	15.40 	69.1    	16.13
01:54.8     	15.40 	69.3    	16.14
01:55.5     	15.25 	71.1    	16.14
