Time [mm:ss]	T [°C] 	U [%r H]	Tu Cap [°C]
00:00.6     	--     	55.3    	
00:00.6     	--     	0x48 0  	
00:01.4     	--     	55.3    	--
00:02.3     	--     	55.2    	--
00:03.2     	--     	55.2    	--
00:04.1     	--     	55.2    	--
00:05.0     	--     	55.2    	--
00:05.8     	--     	55.2    	--
00:06.6     	18.71  	58.6    	19.48
00:07.5     	18.70  	61.6    	19.48
00:08.4     	18.69  	61.7    	19.48
00:09.3     	18.70  	61.6    	19.48
00:10.2     	18.70  	61.6    	19.47
00:11.1     	18.70  	61.6    	19.47
00:11.9     	18.70  	61.7    	19.47
00:12.8     	18.70  	61.7    	19.47
00:13.7     	18.69  	61.8    	19.47
00:14.6     	18.67  	61.9    	19.47
00:15.5     	18.65  	61.9    	19.47
00:16.4     	18.64  	61.9    	19.47
00:17.3     	18.64  	61.9    	19.47
00:18.2     	18.63  	61.9    	19.47
00:19.2     	18.66  	61.8    	19.47
00:20.0     	18.70  	61.7    	19.47
00:20.9     	18.74  	61.6    	19.47
00:21.8     	18.77  	61.5    	19.47
00:22.7     	18.80  	61.4    	19.47
00:23.6     	18.82  	61.4    	19.47
00:24.5     	18.82  	61.4    	19.47
00:25.4     	18.82  	61.4    	19.47
00:26.3     	18.81  	61.4    	19.48
00:27.2     	18.84  	61.3    	19.48
00:28.0     	18.87  	61.2    	19.48
00:28.9     	18.86  	61.2    	19.46
00:29.8     	18.95  	61.0    	19.48
00:30.8     	19.13  	62.1    	19.48
00:31.7     	19.28  	61.8    	19.49
00:32.6     	19.38  	61.1    	19.50
00:33.5     	19.41  	60.7    	19.51
00:34.4     	19.45  	60.4    	19.53
00:35.3     	19.47  	60.2    	19.53
00:36.1     	19.52  	60.0    	19.54
00:37.0     	19.56  	59.7    	19.54
00:37.9     	19.57  	59.7    	19.53
00:38.8     	19.60  	59.5    	19.54
00:39.7     	19.62  	59.3    	19.54
00:40.6     	19.62  	59.3    	19.55
00:41.5     	19.62  	59.2    	19.55
00:42.4     	19.69  	59.1    	19.56
00:43.4     	19.68  	59.4    	19.57
00:44.2     	19.69  	59.6    	19.60
00:45.1     	19.75  	59.0    	19.64
00:46.0     	19.77  	59.3    	19.61
00:46.9     	19.80  	58.9    	19.62
00:47.8     	19.79  	58.8    	19.64
00:48.7     	19.70  	59.2    	19.65
00:49.6     	19.62  	59.5    	19.66
00:50.5     	19.53  	59.5    	19.67
00:51.4     	19.44  	59.0    	19.67
00:52.2     	19.41  	59.0    	19.67
00:53.1     	19.45  	58.8    	19.67
00:54.0     	19.38  	59.2    	19.69
00:54.9     	19.45  	58.8    	19.69
00:55.8     	18.63  	60.7    	19.67
00:56.8     	17.76  	62.1    	19.64
00:57.7     	16.95  	63.4    	19.49
00:58.6     	16.15  	66.3    	19.31
00:59.5     	15.49  	67.2    	19.03
01:00.3     	14.93  	67.8    	18.77
01:01.2     	14.67  	68.2    	18.56
01:02.1     	14.49  	68.5    	18.38
01:03.0     	14.50  	69.2    	18.25
01:03.9     	14.50  	68.6    	18.14
01:04.8     	14.43  	68.9    	18.07
01:05.7     	14.40  	69.4    	17.99
01:06.6     	14.41  	70.0    	17.91
01:07.5     	14.61  	71.0    	17.83
01:08.3     	14.80  	71.4    	17.75
01:09.2     	14.90  	70.2    	17.66
01:10.3     	14.83  	70.0    	17.56
01:11.1     	14.88  	70.2    	17.48
01:12.0     	14.98  	71.2    	17.41
01:12.9     	14.99  	70.9    	17.33
01:13.8     	15.06  	70.9    	17.26
01:14.7     	14.95  	70.5    	17.18
01:15.6     	14.83  	70.6    	17.11
01:16.4     	14.75  	71.7    	17.02
01:17.3     	14.81  	72.6    	16.95
01:18.3     	14.82  	72.2    	16.89
01:19.1     	14.86  	71.9    	16.82
01:20.0     	14.82  	71.5    	16.74
01:20.9     	14.70  	71.9    	16.67
01:21.8     	14.66  	71.1    	16.56
01:22.7     	14.52  	71.0    	16.46
01:23.7     	14.46  	71.5    	16.35
01:24.6     	14.59  	71.4    	16.28
01:25.5     	14.45  	70.5    	16.19
01:26.4     	14.37  	70.3    	16.11
01:27.2     	14.33  	70.5    	16.02
01:28.1     	14.33  	70.5    	15.94
01:29.0     	14.37  	70.7    	15.85
01:29.9     	14.38  	71.0    	15.78
01:30.8     	14.57  	72.8    	15.73
01:31.7     	14.57  	70.7    	15.68
01:32.6     	14.60  	71.5    	15.65
01:33.5     	14.76  	71.4    	15.63
01:34.4     	14.77  	70.7    	15.61
01:35.2     	14.77  	69.9    	15.59
01:36.1     	14.72  	70.4    	15.57
01:37.1     	14.82  	70.5    	15.55
01:38.0     	14.88  	69.9    	15.53
01:38.9     	14.73  	69.4    	15.51
01:39.8     	14.61  	69.3    	15.50
01:40.6     	14.63  	69.8    	15.48
01:41.5     	14.68  	70.3    	15.47
01:42.4     	14.71  	70.0    	15.46
01:43.3     	14.72  	69.8    	15.45
01:44.2     	14.84  	70.4    	15.45
01:45.1     	14.88  	70.4    	15.44
01:46.0     	14.90  	70.0    	15.44
01:46.9     	14.94  	70.5    	15.44
01:47.8     	14.96  	71.2    	15.44
01:48.6     	14.88  	70.0    	15.42
01:49.6     	14.71  	69.5    	15.41
01:50.6     	14.58  	69.7    	15.40
01:51.4     	14.52  	69.9    	15.37
01:52.3     	14.44  	69.4    	15.36
01:53.2     	14.38  	69.3    	15.35
01:54.1     	14.36  	69.3    	15.34
01:55.0     	14.32  	69.4    	15.31
01:55.9     	14.34  	70.0    	15.29
01:56.7     	14.42  	70.4    	15.27
01:57.7     	14.45  	70.4    	15.25
01:58.6     	14.36  	70.7    	15.21
01:59.4     	14.32  	70.7    	15.18
02:00.3     	14.26  	69.7    	15.14
02:01.2     	14.22  	70.3    	15.11
02:02.1     	14.24  	70.2    	15.08
02:03.0     	14.25  	70.1    	15.04
02:04.0     	14.19  	69.2    	15.00
02:04.9     	14.22  	69.4    	14.97
02:05.8     	14.20  	69.2    	14.93
02:06.7     	14.18  	69.3    	14.90
02:07.5     	14.13  	69.1    	14.87
02:08.4     	14.10  	69.0    	14.85
02:09.3     	14.08  	68.9    	14.83
02:10.2     	14.05  	68.7    	14.81
02:11.1     	14.06  	68.7    	14.80
02:12.0     	14.07  	68.8    	14.79
02:12.9     	14.11  	69.3    	14.78
02:13.8     	14.21  	69.6    	14.77
02:14.7     	14.35  	70.0    	14.78
02:15.5     	14.41  	70.3    	14.78
02:16.4     	14.43  	70.3    	14.78
02:17.4     	14.43  	69.9    	14.79
02:18.3     	14.39  	69.5    	14.78
02:19.2     	14.39  	69.7    	14.79
02:20.1     	14.42  	69.6    	14.79
02:21.0     	14.35  	69.8    	14.78
02:21.9     	14.36  	70.6    	14.79
02:22.8     	14.40  	70.8    	14.79
02:23.6     	14.39  	69.8    	14.78
02:24.5     	14.30  	69.2    	14.78
02:25.4     	14.29  	69.0    	14.78
02:26.3     	14.29  	68.8    	14.78
02:27.2     	14.33  	69.2    	14.79
02:28.1     	14.42  	70.3    	14.80
02:29.0     	14.46  	69.8    	14.80
02:29.9     	14.47  	69.4    	14.81
02:30.9     	14.52  	69.5    	14.82
02:31.7     	14.62  	69.9    	14.83
02:32.6     	14.58  	69.1    	14.84
02:33.5     	14.57  	68.7    	14.85
02:34.4     	14.50  	68.7    	14.86
02:35.3     	14.50  	69.5    	14.86
02:36.2     	14.59  	69.8    	14.87
02:37.1     	14.62  	69.9    	14.88
02:38.0     	14.64  	69.8    	14.89
02:38.9     	14.72  	70.5    	14.91
02:39.8     	14.79  	70.6    	14.92
02:40.6     	14.88  	70.9    	14.94
02:41.6     	14.79  	70.2    	14.96
02:42.5     	14.67  	70.0    	14.97
02:43.3     	14.61  	69.9    	14.98
02:44.2     	14.55  	69.3    	14.98
02:45.2     	14.46  	69.4    	14.97
02:46.1     	14.44  	69.1    	14.98
02:47.0     	14.45  	69.3    	14.98
02:47.9     	14.46  	69.4    	14.98
02:48.8     	14.37  	69.6    	14.96
02:49.7     	14.39  	70.0    	14.96
02:50.6     	14.32  	70.3    	14.95
02:51.4     	14.44  	70.7    	14.94
02:52.3     	14.51  	69.9    	14.93
02:53.2     	14.68  	70.4    	14.94
02:54.1     	14.84  	69.9    	14.94
02:55.0     	14.82  	68.9    	14.97
02:55.9     	14.75  	68.4    	14.98
02:56.8     	14.70  	68.7    	14.99
02:57.7     	14.63  	68.4    	15.00
02:58.7     	14.72  	68.9    	15.01
02:59.5     	14.64  	68.1    	15.02
03:00.4     	14.47  	67.8    	15.03
03:01.3     	14.49  	68.0    	15.03
03:02.2     	14.53  	67.9    	15.04
03:03.1     	14.61  	68.1    	15.05
03:04.0     	14.60  	68.0    	15.06
03:04.9     	14.55  	68.4    	15.06
03:05.8     	14.55  	68.8    	15.06
03:06.7     	14.68  	69.4    	15.07
03:07.5     	14.68  	69.6    	15.08
03:08.4     	14.75  	69.5    	15.09
03:09.3     	14.73  	69.7    	15.09
03:10.2     	14.55  	69.4    	15.09
03:11.1     	14.30  	69.2    	15.08
03:12.1     	14.13  	70.1    	15.05
03:13.0     	13.99  	70.4    	15.02
03:13.9     	13.98  	70.4    	14.97
03:14.8     	13.98  	70.5    	14.92
03:15.6     	14.02  	70.4    	14.87
03:16.5     	14.10  	70.6    	14.83
03:17.4     	14.23  	70.7    	14.82
03:18.3     	14.39  	69.7    	14.81
03:19.2     	14.32  	69.4    	14.80
03:20.1     	14.23  	68.5    	14.80
03:21.0     	14.17  	68.4    	14.80
03:21.9     	14.11  	68.3    	14.79
03:22.8     	14.17  	69.0    	14.79
03:23.6     	14.29  	69.2    	14.79
03:24.5     	14.39  	70.3    	14.80
03:25.5     	14.54  	70.4    	14.81
03:26.4     	14.63  	70.3    	14.83
03:27.3     	14.75  	69.8    	14.84
03:28.2     	14.83  	69.5    	14.86
03:29.1     	14.87  	69.2    	14.89
03:30.0     	14.95  	70.0    	14.91
03:30.9     	15.00  	69.7    	14.94
03:31.7     	14.81  	68.4    	14.96
03:32.6     	14.67  	68.2    	14.97
03:33.6     	14.63  	68.6    	14.99
03:34.4     	14.56  	68.7    	15.00
03:35.3     	14.61  	69.6    	15.00
03:36.2     	14.60  	69.0    	15.00
03:37.1     	14.59  	68.8    	15.01
03:38.0     	14.56  	69.1    	15.01
03:39.0     	14.54  	69.1    	15.01
03:39.8     	14.53  	69.1    	15.02
03:40.8     	14.47  	69.1    	15.02
03:41.7     	14.50  	69.4    	15.02
03:42.5     	14.55  	69.8    	15.03
03:43.4     	14.66  	69.6    	15.04
03:44.3     	14.65  	70.1    	15.05
03:45.2     	14.72  	70.5    	15.05
03:46.1     	14.86  	71.0    	15.07
03:47.0     	14.79  	70.0    	15.08
03:47.8     	14.70  	71.1    	15.09
03:48.8     	14.75  	70.2    	15.09
03:49.7     	14.56  	70.0    	15.09
03:50.5     	14.52  	70.5    	15.09
03:51.4     	14.50  	70.6    	15.08
03:52.4     	14.53  	70.9    	15.08
03:53.3     	14.67  	72.1    	15.08
03:54.2     	14.83  	71.3    	15.09
03:55.1     	14.88  	70.8    	15.10
03:56.0     	14.98  	70.8    	15.11
03:56.9     	14.99  	70.5    	15.13
03:57.8     	14.96  	70.6    	15.15
03:58.6     	15.01  	70.5    	15.17
03:59.5     	14.96  	70.3    	15.19
04:00.4     	14.93  	70.5    	15.20
04:01.3     	15.06  	71.0    	15.22
04:02.2     	15.15  	71.6    	15.24
04:03.1     	15.19  	71.2    	15.26
04:04.0     	15.18  	71.9    	15.29
04:04.9     	15.25  	71.7    	15.31
04:05.9     	15.02  	71.3    	15.32
04:06.7     	14.83  	71.7    	15.32
04:07.6     	14.82  	72.3    	15.32
04:08.5     	14.66  	71.3    	15.31
04:09.4     	14.60  	71.0    	15.31
04:10.3     	14.55  	71.1    	15.30
04:11.2     	14.53  	70.9    	15.28
04:12.1     	14.40  	70.5    	15.26
04:13.0     	14.31  	70.4    	15.25
04:13.9     	14.28  	70.4    	15.24
04:14.7     	14.33  	70.2    	15.24
04:15.6     	14.34  	69.9    	15.24
04:16.5     	14.33  	70.0    	15.24
04:17.4     	14.33  	70.4    	15.24
04:18.3     	14.32  	71.1    	15.23
04:19.3     	14.31  	72.3    	15.23
04:20.2     	14.60  	73.7    	15.23
04:21.1     	14.64  	70.6    	15.22
04:22.0     	14.49  	70.4    	15.21
04:22.8     	14.62  	71.4    	15.20
