Flight Information:
Launch Date:            	      	                       	Monday, 14 December 2020	     	                        	          	Launch Time: 	     	            	18:29:19 	       	     	End of Ascent:	     	         	01:35:12
Station name:           	      	                       	                        	     	                        	          	Serialnumber:	     	            	20027470
Ground values:
Pressure:               	      	                       	1018.8 hPa              	     	                        	          	Temperature: 	     	            	13.9 °C  	       	     	Humidity:     	     	         	68 %
Wind Direction:         	      	                       	203 °                   	     	                        	          	Wind Speed:  	     	            	4 m/s    	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	      	                       	-73.161 °               	     	                        	          	Latitude:    	     	            	-39.236 °	       	     	Altitude:     	     	         	1283 m
Staff:
Company:                	      	                       	
Operator:               	      	                       	                        	     	                        	          	
Events:
Highest Point:          	      	                       	7.7 hPa                 	     	                        	          	34032 m
Tropopauses:            	      	                       	1.: 264.0 hPa           	     	                        	          	2.: 138.7 hPa	     	            	
Max Winds:              	      	                       	1.: 317.1 hPa           	     	                        	          	             	     	            	
Remarks:

Profile Data:
Time                    	P     	T                      	Hu                      	Ws   	Wd                      	Long.     	Lat.         	Alt  	Geopot      	MRI      	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range	D
[sec]                   	[hPa] 	[°C]                   	[%]                     	[m/s]	[°]                     	[°]       	[°]          	[m]  	[m]         	         	       	[°C] 	[°C]          	[m/s]	[°]      	[°]     	[m]  	[kg/m3]
0                       	1018.8	13.9                   	68                      	3.5  	203                     	-73.160508	-39.236357   	1283 	1283        	479.928  	278.497	8.1  	15.1          	0.0  	39.2     	180     	0    	1.236658
1                       	1018.9	13.6                   	68                      	3.4  	203                     	-73.160298	-39.236237   	1282 	1282        	480.079  	278.789	7.8  	14.8          	-0.9 	-1.5     	055     	22   	1.237968
2                       	1019.0	13.4                   	68                      	3.4  	203                     	-73.160088	-39.236118   	1281 	1281        	480.231  	279.083	7.5  	14.5          	-0.9 	-1.9     	054     	45   	1.239282
3                       	1019.1	13.1                   	68                      	3.3  	203                     	-73.159877	-39.235998   	1280 	1280        	480.383  	279.376	7.3  	14.2          	-0.9 	-2.0     	054     	67   	1.240597
4                       	1019.2	12.8                   	68                      	3.3  	203                     	-73.159667	-39.235879   	1279 	1279        	480.521  	279.671	7.0  	13.9          	-0.9 	-2.2     	054     	90   	1.241916
5                       	1019.4	12.5                   	67                      	3.2  	203                     	-73.159457	-39.235759   	1278 	1278        	480.674  	279.966	6.7  	13.6          	-0.9 	-2.2     	054     	112  	1.243236
6                       	1019.5	12.3                   	67                      	3.2  	203                     	-73.159247	-39.235640   	1278 	1278        	480.829  	280.261	6.4  	13.3          	-0.9 	-2.2     	054     	135  	1.244560
7                       	1019.6	12.1                   	67                      	3.1  	203                     	-73.159037	-39.235520   	1277 	1277        	480.847  	280.421	6.2  	13.1          	-0.9 	-2.2     	054     	157  	1.245289
8                       	1019.7	12.1                   	67                      	3.0  	203                     	-73.158826	-39.235400   	1276 	1276        	480.758  	280.473	6.2  	13.1          	-0.9 	-2.2     	054     	180  	1.245522
9                       	1019.8	12.1                   	67                      	3.0  	203                     	-73.158616	-39.235281   	1275 	1275        	480.669  	280.526	6.2  	13.1          	-0.9 	-2.2     	054     	202  	1.245756
10                      	1019.9	12.1                   	67                      	2.9  	203                     	-73.158406	-39.235161   	1274 	1274        	480.565  	280.579	6.2  	13.1          	-0.9 	-2.3     	054     	225  	1.245990
11                      	1020.0	12.0                   	67                      	2.9  	203                     	-73.158196	-39.235042   	1273 	1273        	480.477  	280.631	6.2  	13.0          	-0.9 	-2.3     	054     	247  	1.246223
12                      	1020.1	12.0                   	67                      	2.8  	203                     	-73.157986	-39.234922   	1272 	1272        	480.388  	280.684	6.1  	13.0          	-0.9 	-2.3     	054     	270  	1.246457
13                      	1020.3	12.0                   	67                      	2.7  	203                     	-73.157776	-39.234803   	1271 	1271        	480.299  	280.737	6.1  	13.0          	-0.9 	-2.3     	054     	292  	1.246691
14                      	1020.4	12.0                   	67                      	2.7  	203                     	-73.157565	-39.234683   	1270 	1270        	480.211  	280.789	6.1  	13.0          	-0.9 	-2.3     	054     	315  	1.246925
15                      	1020.5	12.0                   	67                      	2.6  	203                     	-73.157355	-39.234563   	1269 	1269        	480.122  	280.842	6.1  	12.9          	-0.9 	-2.3     	054     	337  	1.247159
16                      	1020.6	11.9                   	67                      	2.6  	203                     	-73.157234	-39.234485   	1268 	1268        	480.018  	280.895	6.1  	12.9          	-0.9 	-2.4     	054     	351  	1.247393
