Time [mm:ss]	T [°C]	U [%r H]  	Tu Cap [°C]
00:00.8     	--    	52.7      	
00:00.8     	--    	0x51 29990	
00:01.7     	--    	52.7      	--
00:02.6     	--    	52.6      	--
00:03.5     	--    	52.8      	--
00:04.3     	--    	53.1      	--
00:05.0     	18.47 	53.3      	--
00:06.1     	18.47 	53.3      	--
00:06.3     	18.47 	--        	--
00:07.3     	18.47 	--        	--
00:07.8     	18.47 	56.0      	--
00:08.4     	18.47 	58.9      	--
00:08.6     	18.69 	56.7      	19.12
00:09.5     	18.67 	58.4      	19.09
00:10.4     	18.68 	58.1      	19.09
00:11.2     	18.71 	57.9      	19.09
00:12.1     	18.74 	57.9      	19.09
00:13.0     	18.75 	57.7      	19.11
00:13.9     	18.74 	57.6      	19.12
00:14.8     	18.69 	57.6      	19.11
00:15.7     	18.65 	57.7      	19.12
00:16.5     	18.63 	57.7      	19.12
00:17.5     	18.55 	57.8      	19.10
00:18.4     	18.48 	57.6      	19.08
00:19.3     	17.73 	59.8      	19.07
00:20.2     	16.81 	62.9      	19.05
00:21.1     	16.12 	64.8      	19.01
00:22.0     	15.27 	67.4      	18.92
00:22.9     	14.64 	70.0      	18.83
00:23.8     	14.25 	71.9      	18.71
00:24.6     	14.01 	73.7      	18.55
00:25.5     	13.94 	73.7      	18.37
00:26.4     	13.89 	73.8      	18.21
00:27.3     	13.74 	72.2      	18.05
00:28.2     	13.70 	72.8      	17.92
00:29.1     	13.67 	72.4      	17.77
00:30.1     	13.63 	73.1      	17.62
00:31.0     	13.62 	73.1      	17.48
00:31.9     	13.62 	72.6      	17.35
00:32.7     	13.61 	72.4      	17.21
00:33.6     	13.61 	73.2      	17.07
00:34.5     	13.64 	73.7      	16.94
00:35.4     	13.76 	74.4      	16.80
00:36.3     	13.82 	73.7      	16.64
00:37.2     	13.85 	73.8      	16.51
00:38.1     	13.83 	73.2      	16.39
00:39.0     	13.81 	72.5      	16.26
00:39.9     	13.85 	72.7      	16.13
00:40.9     	13.89 	72.9      	16.00
00:41.7     	13.92 	72.5      	15.88
00:42.6     	13.89 	71.7      	15.77
00:43.5     	13.88 	72.3      	15.68
00:44.4     	13.85 	72.7      	15.61
00:45.3     	13.78 	71.5      	15.51
00:46.2     	13.69 	71.8      	15.42
00:47.0     	13.68 	72.2      	15.33
00:48.0     	13.69 	72.9      	15.26
00:48.8     	13.67 	73.0      	15.20
00:49.7     	13.66 	72.3      	15.12
00:50.7     	13.67 	72.0      	15.06
00:51.6     	13.65 	72.5      	15.00
00:52.5     	13.62 	72.7      	14.94
00:53.4     	13.64 	73.0      	14.89
00:54.3     	13.61 	72.4      	14.83
00:55.1     	13.61 	72.0      	14.78
00:56.0     	13.58 	71.8      	14.73
00:56.9     	13.58 	71.4      	14.67
00:57.8     	13.51 	72.0      	14.61
00:58.7     	13.52 	71.1      	14.54
00:59.6     	13.55 	70.6      	14.50
01:00.5     	13.55 	70.7      	14.46
01:01.3     	13.49 	71.7      	14.42
01:02.4     	13.51 	73.0      	14.38
01:03.2     	13.56 	72.9      	14.34
01:04.1     	13.61 	71.3      	14.30
01:05.0     	13.65 	70.9      	14.27
01:05.9     	13.67 	70.8      	14.25
01:06.8     	13.72 	71.1      	14.22
01:07.7     	13.76 	71.1      	14.19
01:08.5     	13.74 	70.4      	14.17
01:09.4     	13.74 	70.8      	14.15
01:10.3     	13.76 	71.0      	14.13
01:11.2     	13.76 	70.4      	14.11
01:12.1     	13.76 	70.7      	14.10
01:13.1     	13.84 	71.2      	14.08
01:14.0     	13.88 	71.2      	14.07
01:14.9     	13.88 	71.4      	14.06
01:15.8     	13.93 	72.0      	14.06
01:16.6     	13.96 	72.2      	14.05
01:17.5     	13.99 	72.4      	14.05
01:18.4     	13.99 	72.1      	14.06
01:19.3     	13.98 	71.7      	14.06
01:20.2     	13.94 	71.0      	14.06
01:21.1     	13.89 	70.6      	14.05
01:21.9     	13.86 	70.8      	14.05
01:22.9     	13.86 	70.8      	14.05
01:23.9     	13.83 	71.0      	14.04
01:24.7     	13.74 	69.9      	14.02
01:25.6     	13.69 	70.2      	14.00
01:26.5     	13.80 	70.1      	13.99
01:27.4     	13.76 	70.2      	13.98
01:28.3     	13.71 	70.0      	13.96
01:29.2     	13.71 	70.2      	13.95
01:30.0     	13.70 	70.3      	13.93
01:30.9     	13.68 	70.1      	13.92
01:31.9     	13.64 	69.9      	13.91
01:32.7     	13.64 	70.1      	13.89
01:33.6     	13.62 	70.3      	13.88
01:34.6     	13.60 	70.7      	13.86
01:35.5     	13.64 	70.8      	13.85
01:36.4     	13.65 	71.1      	13.84
01:37.3     	13.66 	70.2      	13.83
01:38.1     	13.67 	70.1      	13.82
01:39.0     	13.71 	70.8      	13.81
01:39.9     	13.76 	70.7      	13.80
01:40.8     	13.79 	70.6      	13.80
01:41.7     	13.80 	70.0      	13.80
01:42.6     	13.81 	70.1      	13.80
01:43.5     	13.83 	70.0      	13.80
01:44.4     	13.80 	69.6      	13.80
01:45.3     	13.80 	69.8      	13.80
01:46.2     	13.77 	70.3      	13.80
01:47.1     	13.77 	70.1      	13.80
01:48.0     	13.77 	70.7      	13.80
01:48.9     	13.83 	70.8      	13.80
01:49.8     	13.87 	70.6      	13.80
01:50.7     	13.88 	70.0      	13.80
01:51.6     	13.89 	70.5      	13.81
01:52.5     	13.90 	70.7      	13.81
01:53.4     	13.93 	70.5      	13.82
01:54.2     	13.90 	69.9      	13.82
01:55.1     	13.88 	69.7      	13.83
01:56.0     	13.89 	70.1      	13.83
01:57.0     	13.90 	70.7      	13.83
01:57.9     	13.92 	70.8      	13.84
01:58.8     	13.96 	70.8      	13.85
01:59.6     	13.98 	70.8      	13.85
02:00.5     	14.01 	71.2      	13.86
02:01.5     	13.99 	70.7      	13.87
02:02.3     	13.96 	70.9      	13.87
02:03.2     	13.99 	71.3      	13.88
02:04.1     	13.98 	70.7      	13.89
02:05.0     	13.96 	71.2      	13.89
02:05.9     	13.91 	71.3      	13.90
02:06.8     	13.82 	71.4      	13.90
02:07.6     	13.76 	71.7      	13.90
02:08.6     	13.70 	71.9      	13.90
02:09.5     	13.63 	72.5      	13.89
02:10.4     	13.70 	72.8      	13.89
02:11.3     	13.84 	72.6      	13.89
02:12.2     	13.92 	72.4      	13.89
02:13.1     	13.95 	71.1      	13.89
02:14.0     	13.92 	70.4      	13.89
02:14.9     	13.92 	70.3      	13.89
02:15.7     	13.93 	70.8      	13.89
02:16.6     	13.93 	70.5      	13.89
02:17.5     	13.93 	70.3      	13.90
02:18.4     	13.93 	70.5      	13.90
02:19.4     	13.93 	71.1      	13.90
02:20.3     	13.92 	71.3      	13.90
02:21.2     	13.92 	71.2      	13.90
02:22.1     	13.96 	71.1      	13.91
02:23.0     	13.98 	71.6      	13.91
02:23.8     	13.98 	71.1      	13.92
02:24.7     	13.98 	70.7      	13.92
02:25.6     	13.97 	70.5      	13.92
02:26.5     	13.96 	70.7      	13.93
02:27.4     	13.99 	71.1      	13.93
02:28.3     	14.01 	70.9      	13.93
02:29.2     	14.03 	70.7      	13.94
02:30.0     	13.99 	70.5      	13.94
02:31.1     	13.88 	70.2      	13.94
02:32.0     	13.87 	70.7      	13.94
02:32.8     	13.86 	71.1      	13.94
02:33.7     	13.86 	71.0      	13.94
02:34.6     	13.85 	71.4      	13.94
02:35.5     	13.87 	71.8      	13.94
02:36.4     	13.92 	72.3      	13.94
02:37.3     	13.93 	71.0      	13.93
02:38.1     	13.92 	71.2      	13.94
02:39.0     	13.88 	70.8      	13.93
02:40.0     	13.85 	70.8      	13.94
02:40.8     	13.81 	70.6      	13.93
02:41.8     	13.78 	70.5      	13.93
02:42.7     	13.78 	70.9      	13.92
02:43.6     	13.80 	71.3      	13.92
02:44.5     	13.77 	72.1      	13.92
02:45.4     	13.74 	72.3      	13.91
02:46.2     	13.71 	72.0      	13.90
02:47.1     	13.77 	71.2      	13.90
02:48.0     	13.80 	70.9      	13.89
02:48.9     	13.81 	70.6      	13.89
02:49.8     	13.78 	70.9      	13.88
02:50.7     	13.74 	71.5      	13.88
02:51.5     	13.73 	72.1      	13.87
02:52.5     	13.71 	72.9      	13.87
02:53.5     	13.85 	73.0      	13.87
02:54.3     	13.93 	72.7      	13.87
02:55.2     	13.96 	73.2      	13.87
02:56.1     	14.01 	73.1      	13.87
02:57.0     	14.03 	72.3      	13.88
02:57.9     	14.05 	72.4      	13.88
02:58.8     	14.01 	71.2      	13.89
02:59.6     	13.97 	70.8      	13.89
03:00.5     	13.93 	70.5      	13.89
03:01.4     	13.91 	70.3      	13.90
03:02.3     	13.88 	70.3      	13.90
03:03.2     	13.87 	70.5      	13.90
03:04.2     	13.88 	70.9      	13.90
03:05.1     	13.92 	71.5      	13.90
03:06.0     	13.97 	71.7      	13.90
03:06.9     	13.96 	72.1      	13.91
03:07.7     	13.91 	71.7      	13.91
03:08.6     	13.90 	71.8      	13.91
03:09.5     	13.90 	71.2      	13.91
03:10.4     	13.88 	70.9      	13.91
03:11.8     	13.87 	70.6      	13.91
03:12.2     	13.83 	70.9      	13.91
03:13.1     	13.83 	71.4      	13.91
03:14.0     	13.80 	71.4      	13.91
03:15.0     	13.73 	70.9      	13.90
03:15.8     	13.68 	70.8      	13.90
03:16.7     	13.62 	71.0      	13.89
03:17.6     	13.56 	71.2      	13.89
03:18.5     	13.50 	72.0      	13.88
03:19.4     	13.47 	72.5      	13.87
03:20.3     	13.41 	73.3      	13.86
03:21.1     	13.54 	73.0      	13.84
03:22.0     	13.66 	72.8      	13.83
03:23.0     	13.76 	73.0      	13.83
03:23.8     	13.91 	73.4      	13.83
03:24.7     	13.94 	72.9      	13.83
03:25.7     	13.95 	72.8      	13.83
03:26.6     	14.00 	72.0      	13.83
03:27.5     	14.05 	71.4      	13.84
03:28.4     	14.10 	71.3      	13.84
03:29.2     	14.10 	70.9      	13.85
03:30.1     	14.12 	71.1      	13.86
03:31.0     	14.13 	71.5      	13.87
03:31.9     	14.13 	71.3      	13.88
03:32.8     	14.12 	71.4      	13.89
03:33.7     	14.13 	71.3      	13.90
03:34.6     	14.16 	71.4      	13.91
03:35.5     	14.19 	71.2      	13.92
03:36.4     	14.18 	70.9      	13.94
03:37.3     	14.16 	70.8      	13.95
03:38.2     	14.15 	70.9      	13.96
03:39.1     	14.17 	71.2      	13.97
03:40.0     	14.16 	71.6      	13.98
03:40.9     	14.17 	71.2      	13.99
03:41.8     	14.14 	71.4      	14.00
03:42.7     	14.09 	70.9      	14.01
03:43.6     	14.08 	71.1      	14.01
03:44.5     	14.08 	71.1      	14.02
03:45.3     	14.08 	71.1      	14.02
03:46.2     	14.02 	70.7      	14.02
03:47.1     	13.97 	70.4      	14.02
03:48.1     	13.93 	70.6      	14.02
03:49.0     	13.88 	70.6      	14.02
03:49.9     	13.80 	70.8      	14.02
03:50.7     	13.72 	71.6      	14.02
03:51.7     	13.72 	72.4      	14.01
03:52.6     	13.85 	72.3      	14.01
03:53.4     	13.83 	72.7      	14.01
03:54.3     	13.86 	73.0      	14.00
03:55.2     	13.93 	72.5      	14.00
03:56.1     	13.96 	71.4      	13.99
03:57.0     	13.94 	70.8      	13.99
03:57.9     	13.92 	70.1      	13.99
03:58.7     	13.93 	69.8      	13.99
03:59.7     	13.95 	69.8      	13.99
04:00.6     	13.98 	69.8      	13.99
04:01.5     	14.01 	71.0      	13.99
04:02.4     	13.99 	70.2      	13.99
04:03.3     	13.98 	69.9      	13.99
04:04.2     	13.96 	69.5      	13.98
04:05.1     	13.95 	69.7      	13.98
04:06.0     	13.97 	69.6      	13.98
04:06.8     	13.97 	69.6      	13.98
04:07.7     	13.97 	70.2      	13.98
04:08.6     	13.94 	69.9      	13.98
04:09.5     	13.91 	69.6      	13.97
04:10.5     	13.86 	69.4      	13.96
04:11.4     	13.86 	69.8      	13.96
04:12.3     	13.87 	70.2      	13.95
04:13.2     	13.88 	70.1      	13.95
04:14.1     	13.82 	69.9      	13.94
04:15.0     	13.77 	69.4      	13.93
04:15.8     	13.76 	69.4      	13.92
04:16.7     	13.76 	69.5      	13.92
04:17.6     	13.81 	70.4      	13.91
04:18.5     	13.91 	70.8      	13.91
04:19.4     	13.99 	70.7      	13.91
04:20.3     	14.01 	70.6      	13.91
04:21.3     	13.99 	70.0      	13.92
04:22.1     	13.90 	69.4      	13.92
04:23.1     	13.86 	69.5      	13.92
04:23.9     	13.83 	69.9      	13.92
04:24.8     	13.80 	70.3      	13.92
04:25.7     	13.78 	70.4      	13.92
04:26.6     	13.76 	70.1      	13.91
04:27.5     	13.72 	70.2      	13.91
04:28.4     	13.69 	70.0      	13.90
04:29.2     	13.67 	70.3      	13.89
04:30.1     	13.66 	69.9      	13.88
04:31.0     	13.65 	69.3      	13.86
04:32.0     	13.60 	69.2      	13.85
04:32.9     	13.60 	69.6      	13.84
04:33.8     	13.62 	69.9      	13.82
04:34.7     	13.62 	70.4      	13.81
04:35.6     	13.64 	70.3      	13.81
04:36.5     	13.63 	69.9      	13.80
04:37.3     	13.63 	69.9      	13.78
04:38.2     	13.63 	69.2      	13.77
04:39.1     	13.66 	69.8      	13.76
04:40.0     	13.70 	69.5      	13.75
04:40.9     	13.73 	69.7      	13.75
04:41.9     	13.78 	69.7      	13.75
04:42.7     	13.80 	70.0      	13.75
04:43.6     	13.81 	70.7      	13.75
04:44.5     	13.83 	70.7      	13.75
04:45.4     	13.85 	70.5      	13.76
04:46.3     	13.86 	70.2      	13.76
04:47.2     	13.85 	69.7      	13.77
04:48.1     	13.86 	69.7      	13.77
04:49.0     	13.86 	69.9      	13.78
04:49.9     	13.88 	69.8      	13.79
04:50.7     	13.92 	69.9      	13.79
04:51.6     	13.93 	70.2      	13.80
04:52.6     	13.91 	70.6      	13.81
04:53.5     	13.79 	69.6      	13.80
04:54.4     	13.68 	69.4      	13.78
04:55.3     	13.60 	69.3      	13.78
04:56.2     	13.56 	69.6      	13.77
04:57.1     	13.58 	69.8      	13.77
04:58.0     	13.58 	70.7      	13.76
04:58.8     	13.62 	69.7      	13.76
04:59.7     	13.70 	69.8      	13.76
05:00.6     	13.71 	70.0      	13.75
05:01.5     	13.69 	69.6      	13.75
05:02.4     	13.68 	69.4      	13.75
05:03.3     	13.67 	69.3      	13.75
05:04.2     	13.67 	69.1      	13.75
05:05.1     	13.67 	69.3      	13.74
05:06.1     	13.68 	69.4      	13.74
05:06.9     	13.72 	69.7      	13.74
05:07.8     	13.72 	69.6      	13.74
05:08.7     	13.72 	69.4      	13.73
05:09.6     	13.73 	70.0      	13.73
05:10.5     	13.78 	70.0      	13.74
05:11.4     	13.81 	70.5      	13.74
05:12.2     	13.85 	70.4      	13.75
05:13.1     	13.87 	70.5      	13.75
05:14.0     	13.87 	70.3      	13.76
05:14.9     	13.87 	70.3      	13.76
05:15.9     	13.85 	70.7      	13.77
05:17.2     	13.83 	71.0      	13.78
05:17.7     	13.77 	71.2      	13.78
05:18.6     	13.75 	70.8      	13.78
05:19.5     	13.73 	70.9      	13.78
05:20.3     	13.68 	71.1      	13.78
05:21.2     	13.63 	71.1      	13.78
05:22.1     	13.63 	70.8      	13.77
05:23.0     	13.60 	71.1      	13.77
05:23.9     	13.55 	71.6      	13.76
05:24.8     	13.58 	71.3      	13.75
05:25.7     	13.60 	70.7      	13.74
