Time [mm:ss]	T [°C]	U [%r H]  	Tu Cap [°C]
00:00.9     	--    	59.2      	
00:00.9     	--    	0x51 29990	
00:01.8     	--    	59.3      	--
00:02.7     	--    	59.3      	--
00:03.6     	--    	59.3      	--
00:04.5     	--    	59.4      	--
00:05.1     	17.36 	62.6      	17.70
00:06.0     	17.37 	63.9      	17.68
00:07.4     	17.38 	65.2      	17.67
00:07.9     	17.36 	65.2      	17.67
00:08.9     	17.36 	--        	17.70
00:09.4     	17.36 	--        	17.71
00:10.1     	--    	--        	17.70
00:10.2     	--    	64.0      	17.70
00:10.4     	--    	64.0      	17.70
00:10.9     	17.36 	64.0      	--
00:11.5     	17.36 	64.0      	--
00:11.9     	17.36 	--        	--
00:12.1     	--    	--        	--
00:12.2     	--    	--        	--
00:12.3     	--    	--        	--
00:12.5     	--    	64.0      	--
00:13.0     	17.36 	64.0      	--
00:17.7     	13.48 	73.5      	17.48
00:18.6     	13.07 	75.6      	17.30
00:19.5     	12.94 	75.5      	17.11
00:20.5     	12.90 	75.1      	16.92
00:21.4     	12.88 	74.8      	16.72
00:22.8     	12.87 	74.6      	16.53
00:23.0     	12.87 	74.6      	16.53
00:23.2     	12.87 	75.3      	16.41
00:24.1     	12.90 	73.8      	16.27
00:25.0     	12.90 	73.5      	16.10
00:25.8     	12.90 	73.7      	15.93
00:26.7     	12.87 	73.1      	15.73
00:27.6     	12.87 	72.7      	15.58
00:28.5     	12.88 	72.7      	15.46
00:29.4     	12.88 	72.9      	15.35
00:30.3     	12.88 	74.0      	15.24
00:31.2     	12.91 	73.8      	15.12
00:32.1     	12.94 	73.9      	15.03
00:33.0     	12.97 	73.2      	14.95
00:33.9     	13.00 	73.0      	14.88
00:34.8     	13.01 	73.0      	14.81
00:35.7     	12.99 	73.3      	14.74
00:36.6     	12.99 	73.2      	14.67
00:37.5     	12.98 	73.5      	14.60
00:38.4     	12.96 	72.9      	14.53
00:39.3     	12.95 	73.0      	14.46
00:40.2     	12.94 	73.1      	14.40
00:41.1     	12.93 	73.5      	14.34
00:42.0     	12.94 	72.9      	14.28
00:42.8     	12.98 	72.3      	14.23
00:43.7     	12.99 	72.0      	14.18
00:44.6     	12.99 	72.0      	14.13
00:45.5     	12.97 	72.1      	14.08
00:46.4     	12.94 	72.5      	14.02
00:47.4     	12.87 	72.4      	13.95
00:48.3     	12.84 	72.0      	13.89
00:49.2     	12.83 	72.2      	13.84
00:50.1     	12.79 	72.6      	13.78
00:50.9     	12.82 	71.8      	13.72
00:51.8     	12.86 	71.7      	13.68
00:52.7     	12.89 	71.7      	13.65
00:53.6     	12.89 	72.1      	13.61
00:54.5     	12.87 	72.6      	13.59
00:55.4     	12.80 	73.6      	13.56
00:56.3     	12.76 	74.4      	13.53
00:57.2     	12.79 	73.4      	13.50
00:58.1     	12.83 	73.1      	13.47
00:58.9     	12.84 	72.3      	13.45
00:59.9     	12.84 	72.3      	13.43
01:00.8     	12.83 	72.5      	13.41
01:01.7     	12.85 	72.4      	13.39
01:02.6     	12.85 	72.4      	13.38
01:03.5     	12.82 	73.0      	13.36
01:04.4     	12.78 	73.4      	13.34
01:05.3     	12.76 	73.3      	13.32
01:06.2     	12.73 	73.4      	13.29
01:07.0     	12.72 	73.1      	13.26
01:07.9     	12.72 	72.8      	13.22
01:08.8     	12.71 	73.1      	13.21
01:09.7     	12.75 	72.6      	13.19
01:10.6     	12.79 	72.0      	13.18
01:11.7     	12.82 	72.2      	13.16
01:12.4     	12.85 	71.7      	13.15
01:13.4     	12.87 	71.8      	13.14
01:14.3     	12.87 	71.9      	13.13
01:15.1     	12.87 	72.4      	13.12
01:16.0     	12.90 	71.9      	13.12
01:17.0     	12.92 	71.2      	13.11
01:17.8     	12.94 	71.4      	13.11
01:18.7     	12.96 	71.5      	13.10
01:20.1     	12.99 	71.7      	13.10
01:20.3     	12.99 	71.7      	13.10
01:20.5     	12.96 	72.1      	13.10
01:21.4     	12.90 	71.8      	13.10
01:22.3     	12.85 	71.7      	13.09
01:23.1     	12.82 	71.6      	13.09
01:24.1     	12.83 	71.4      	13.09
01:25.0     	12.84 	71.1      	13.08
01:25.8     	12.86 	71.2      	13.08
01:26.8     	12.82 	72.1      	13.07
01:27.7     	12.85 	71.6      	13.07
01:28.6     	12.85 	71.6      	13.06
01:29.5     	12.84 	71.7      	13.06
01:30.9     	12.82 	71.9      	13.05
01:31.1     	12.82 	71.9      	13.05
01:31.3     	12.85 	71.3      	13.05
01:32.2     	12.86 	71.4      	13.05
01:33.1     	12.84 	71.5      	13.05
01:33.9     	12.81 	71.8      	13.04
01:34.8     	12.80 	72.1      	13.04
01:35.7     	12.82 	72.1      	13.03
01:37.1     	12.84 	72.1      	13.03
01:37.5     	12.81 	71.9      	13.02
01:38.4     	12.83 	71.1      	13.02
01:39.2     	12.85 	71.1      	13.01
01:40.3     	12.84 	71.2      	13.01
01:41.2     	12.85 	70.9      	13.01
01:42.0     	12.85 	71.0      	13.01
01:42.9     	12.81 	71.9      	13.01
01:43.8     	12.82 	73.0      	13.00
01:44.7     	12.81 	72.9      	13.00
01:46.0     	12.80 	72.8      	12.99
01:46.5     	12.83 	72.6      	12.99
01:47.4     	12.83 	71.7      	12.98
01:48.3     	12.83 	71.0      	12.98
01:49.2     	12.84 	71.4      	12.97
01:50.0     	12.84 	70.3      	12.98
01:50.9     	12.84 	70.2      	12.96
01:51.8     	12.84 	70.4      	12.96
01:52.7     	12.85 	71.0      	12.96
01:53.7     	12.87 	71.0      	12.96
01:54.6     	12.89 	70.8      	12.97
01:55.4     	12.91 	70.9      	12.97
01:56.4     	12.92 	70.9      	12.97
01:57.3     	12.93 	70.7      	12.98
01:58.1     	12.91 	70.9      	12.98
01:59.5     	12.90 	71.2      	12.98
01:59.7     	12.90 	71.2      	12.98
01:59.9     	12.88 	71.5      	12.99
02:00.8     	12.86 	71.5      	12.99
02:01.7     	12.86 	71.2      	12.99
02:02.6     	12.86 	70.9      	12.99
02:03.4     	12.86 	70.9      	12.99
02:04.4     	12.86 	70.8      	12.99
02:05.3     	12.88 	70.6      	12.99
02:06.1     	12.89 	70.5      	13.00
02:07.0     	12.90 	70.5      	13.00
02:08.0     	12.91 	71.0      	13.01
02:08.9     	12.90 	71.0      	13.01
02:09.8     	12.90 	71.2      	13.01
02:10.7     	12.89 	71.2      	13.01
02:11.6     	12.87 	71.4      	13.01
02:12.5     	12.85 	71.7      	13.01
02:13.4     	12.82 	71.9      	13.00
02:14.2     	12.79 	72.3      	12.99
02:15.1     	12.80 	71.5      	12.99
02:16.0     	12.82 	70.8      	12.98
02:16.9     	12.84 	70.7      	12.98
02:17.8     	12.87 	70.4      	12.98
02:18.7     	12.88 	70.2      	12.98
02:19.6     	12.90 	70.1      	12.99
02:20.6     	12.88 	70.4      	12.99
02:21.5     	12.86 	70.4      	12.99
02:22.3     	12.85 	70.5      	12.99
02:23.2     	12.86 	70.7      	12.99
02:24.1     	12.85 	70.8      	12.99
02:25.0     	12.84 	70.9      	12.99
02:25.9     	12.81 	71.6      	12.99
02:26.8     	12.77 	71.9      	12.99
02:27.7     	12.78 	71.7      	12.99
02:28.6     	12.77 	71.7      	12.99
02:29.5     	12.76 	71.9      	12.99
02:30.3     	12.73 	72.3      	12.99
02:31.2     	12.71 	72.3      	12.98
02:32.1     	12.72 	72.2      	12.98
02:33.0     	12.73 	72.1      	12.98
02:34.0     	12.73 	72.3      	12.97
02:34.9     	12.76 	71.9      	12.97
02:35.8     	12.78 	71.6      	12.97
02:36.7     	12.81 	71.3      	12.96
02:37.6     	12.85 	71.3      	12.96
02:38.4     	12.86 	71.9      	12.96
02:39.3     	12.84 	71.3      	12.96
02:40.2     	12.85 	71.2      	12.96
02:41.1     	12.87 	71.0      	12.96
02:42.0     	12.88 	71.0      	12.96
02:42.9     	12.87 	71.4      	12.96
02:43.8     	12.91 	70.9      	12.96
02:44.7     	12.93 	71.0      	12.96
02:45.6     	12.96 	70.8      	12.96
02:46.4     	12.96 	70.7      	12.97
02:47.4     	12.97 	70.5      	12.97
02:48.3     	12.98 	70.3      	12.98
02:49.2     	12.96 	71.3      	12.98
02:50.1     	12.93 	71.8      	12.98
02:51.0     	12.92 	71.8      	12.98
02:51.9     	12.93 	71.7      	12.99
02:52.8     	12.93 	71.6      	13.00
02:53.7     	12.95 	71.7      	13.00
02:54.5     	12.97 	71.9      	13.01
02:55.4     	12.98 	71.6      	13.02
02:56.4     	12.95 	72.0      	13.02
02:57.2     	12.92 	71.9      	13.03
02:58.1     	12.89 	72.3      	13.03
02:59.0     	12.87 	72.1      	13.04
02:59.9     	12.87 	71.8      	13.04
03:00.9     	12.89 	72.0      	13.04
03:01.8     	12.92 	72.1      	13.04
03:02.6     	12.92 	72.7      	13.05
03:03.6     	12.93 	72.3      	13.05
03:04.5     	12.93 	72.6      	13.06
03:05.3     	12.94 	72.1      	13.06
03:06.2     	12.94 	72.4      	13.06
03:07.1     	12.91 	73.0      	13.07
03:08.0     	12.89 	73.1      	13.07
03:08.9     	12.87 	72.8      	13.07
03:09.8     	12.86 	72.2      	13.07
03:10.7     	12.86 	72.3      	13.07
03:11.6     	12.86 	72.3      	13.07
03:12.5     	12.85 	72.7      	13.07
03:13.4     	12.82 	72.4      	13.06
03:14.3     	12.80 	72.3      	13.06
03:15.2     	12.79 	72.2      	13.05
03:16.1     	12.81 	71.9      	13.05
03:17.0     	12.83 	71.9      	13.04
03:17.9     	12.83 	72.2      	13.04
03:18.7     	12.83 	72.1      	13.04
03:19.7     	12.81 	72.4      	13.03
03:20.6     	12.80 	72.4      	13.03
03:21.4     	12.80 	72.5      	13.03
03:22.3     	12.80 	72.4      	13.02
03:23.2     	12.80 	72.6      	13.02
03:24.6     	12.80 	72.7      	13.01
03:24.8     	12.80 	72.7      	13.01
03:25.0     	12.80 	73.0      	13.00
03:25.9     	12.80 	73.1      	13.00
03:26.8     	12.83 	72.4      	12.99
03:27.8     	12.85 	72.5      	12.99
03:28.7     	12.86 	72.4      	12.99
03:29.5     	12.85 	72.7      	12.99
03:30.4     	12.84 	72.5      	12.99
03:31.3     	12.82 	73.1      	12.99
03:32.2     	12.79 	73.2      	12.98
03:33.5     	12.77 	73.3      	12.98
03:34.4     	12.77 	73.3      	12.98
03:34.9     	12.80 	73.1      	12.98
03:35.8     	12.80 	73.1      	12.98
03:36.7     	12.80 	73.2      	12.97
03:37.5     	12.78 	73.2      	12.97
03:38.4     	12.80 	72.5      	12.97
03:39.3     	12.81 	72.5      	12.97
03:40.2     	12.79 	73.1      	12.96
03:41.2     	12.75 	73.2      	12.96
03:42.1     	12.71 	73.7      	12.95
03:43.0     	12.67 	74.1      	12.95
03:43.9     	12.69 	73.2      	12.94
03:45.2     	12.71 	72.3      	12.93
03:45.6     	12.76 	72.1      	12.92
03:46.5     	12.72 	72.5      	12.92
03:47.4     	12.69 	72.6      	12.91
03:48.3     	12.73 	72.1      	12.90
03:49.2     	12.76 	71.8      	12.89
03:50.1     	12.76 	71.6      	12.88
