Time [mm:ss]	T [°C] 	U [%r H]	Tu Cap [°C]
00:00.7     	--     	54.3    	
00:00.7     	--     	0x48 0  	
00:01.5     	--     	54.3    	--
00:02.5     	--     	54.3    	--
00:03.4     	--     	54.3    	--
00:04.2     	--     	54.3    	--
00:05.1     	--     	54.3    	--
00:06.0     	--     	54.3    	--
00:06.7     	21.04  	58.0    	20.83
00:07.7     	21.05  	57.2    	20.83
00:08.6     	21.05  	57.2    	20.83
00:09.5     	21.06  	57.1    	20.83
00:10.3     	21.08  	57.2    	20.83
00:11.2     	21.07  	57.3    	20.83
00:12.1     	21.07  	57.3    	20.84
00:13.0     	21.06  	57.3    	20.84
00:13.9     	21.07  	57.2    	20.84
00:14.8     	21.08  	57.1    	20.84
00:15.7     	21.10  	57.1    	20.84
00:16.6     	21.11  	57.1    	20.84
00:17.5     	21.13  	57.0    	20.85
00:18.3     	21.14  	57.2    	20.84
00:19.2     	21.19  	57.3    	20.84
00:20.1     	21.21  	57.2    	20.85
00:21.0     	21.21  	57.1    	20.85
00:22.0     	21.25  	57.0    	20.86
00:22.9     	21.27  	57.0    	20.86
00:23.8     	21.29  	57.0    	20.87
00:24.7     	21.30  	56.9    	20.87
00:25.6     	21.31  	56.9    	20.87
00:26.4     	21.30  	56.8    	20.88
00:27.3     	21.30  	56.8    	20.88
00:28.3     	21.31  	56.8    	20.88
00:29.1     	21.31  	56.7    	20.89
00:30.0     	21.33  	56.7    	20.89
00:30.9     	21.34  	56.6    	20.90
00:31.8     	21.33  	56.6    	20.90
00:32.7     	21.32  	56.6    	20.90
00:33.6     	21.35  	56.5    	20.91
00:34.4     	21.36  	56.5    	20.91
00:35.4     	21.34  	56.6    	20.94
00:36.4     	21.33  	56.6    	20.94
00:37.2     	21.38  	56.5    	20.96
00:38.1     	21.35  	56.7    	20.93
00:39.0     	21.39  	56.6    	20.94
00:39.9     	21.40  	56.7    	20.94
00:40.8     	21.43  	56.8    	20.95
00:41.7     	21.45  	57.0    	20.94
00:42.6     	21.46  	56.9    	21.01
00:43.5     	21.63  	56.4    	21.03
00:44.4     	21.72  	56.7    	20.99
00:45.2     	21.90  	56.1    	21.06
00:46.1     	22.02  	55.7    	21.01
00:47.0     	22.16  	54.5    	21.03
00:47.9     	22.28  	53.4    	21.05
00:48.8     	22.46  	52.5    	21.06
00:49.7     	22.74  	51.5    	21.11
00:50.7     	22.99  	51.0    	21.14
00:51.6     	23.38  	49.7    	21.19
00:52.5     	23.74  	48.3    	21.25
00:53.4     	23.98  	47.8    	21.30
00:54.2     	24.14  	48.1    	21.39
00:55.1     	24.23  	47.8    	21.45
00:56.0     	24.63  	46.3    	21.52
00:56.9     	24.88  	45.9    	21.61
00:57.8     	24.71  	47.5    	21.69
00:58.7     	24.53  	48.2    	21.76
00:59.6     	24.22  	47.8    	21.82
01:00.5     	22.95  	49.5    	21.86
01:01.4     	20.45  	51.9    	21.88
01:02.2     	18.42  	55.9    	21.84
01:03.1     	16.71  	60.5    	21.75
01:04.0     	15.24  	65.3    	21.69
01:05.0     	14.25  	68.9    	21.58
01:05.9     	13.47  	71.9    	21.45
01:06.8     	12.82  	74.7    	21.27
01:07.7     	12.19  	77.3    	21.05
01:08.6     	11.80  	78.1    	20.82
01:09.5     	11.58  	78.5    	20.58
01:10.3     	11.41  	78.8    	20.36
01:11.3     	11.27  	79.1    	20.12
01:12.2     	11.17  	79.3    	19.88
01:13.0     	11.05  	79.7    	19.65
01:13.9     	10.89  	80.5    	19.40
01:14.8     	10.79  	80.6    	19.13
01:15.7     	10.73  	80.8    	18.82
01:16.6     	10.74  	79.9    	18.57
01:17.5     	10.76  	79.3    	18.33
01:18.3     	10.79  	78.8    	18.13
01:19.4     	10.80  	78.6    	17.93
01:20.3     	10.81  	78.3    	17.75
01:21.1     	10.82  	78.1    	17.58
01:22.0     	10.80  	78.3    	17.41
01:22.9     	10.80  	78.2    	17.25
01:23.8     	10.78  	78.2    	17.11
01:24.7     	10.74  	78.4    	16.96
01:25.6     	10.63  	79.1    	16.83
01:26.5     	10.54  	79.7    	16.69
01:27.4     	10.43  	80.2    	16.56
01:28.3     	10.29  	81.1    	16.42
01:29.1     	10.22  	81.3    	16.29
01:30.0     	10.13  	81.7    	16.16
01:30.9     	10.06  	82.0    	16.04
01:31.8     	9.97   	82.4    	15.91
01:32.7     	9.90   	82.7    	15.80
01:33.7     	9.86   	82.8    	15.68
01:34.6     	9.80   	83.1    	15.57
01:35.5     	9.75   	83.4    	15.45
01:36.4     	9.70   	83.7    	15.34
01:37.2     	9.67   	84.8    	15.22
01:38.1     	9.65   	85.5    	15.10
01:39.0     	9.67   	84.9    	14.97
01:39.9     	9.68   	85.0    	14.84
01:40.8     	9.72   	84.8    	14.72
01:41.7     	9.76   	84.4    	14.60
01:42.6     	9.79   	83.9    	14.48
01:43.5     	9.83   	83.4    	14.38
01:44.4     	9.87   	82.8    	14.27
01:45.2     	9.96   	81.7    	14.17
01:46.1     	10.02  	81.1    	14.08
01:47.2     	10.01  	81.3    	13.96
01:48.0     	10.09  	80.6    	13.86
01:48.9     	10.14  	80.0    	13.78
01:49.8     	10.20  	79.7    	13.70
01:50.7     	10.25  	79.5    	13.61
01:51.6     	10.30  	79.8    	13.53
01:52.5     	10.34  	79.6    	13.46
01:53.3     	10.36  	79.4    	13.37
01:54.3     	10.39  	79.2    	13.31
01:55.2     	10.41  	79.0    	13.24
