Time [mm:ss]	T [°C]	U [%r H]   	Tu Cap [°C]
00:00.7     	--    	50.7       	
00:00.7     	--    	0x07 -2.000	
00:01.6     	--    	50.9       	--
00:02.5     	--    	50.9       	--
00:03.4     	--    	51.0       	--
00:04.2     	--    	51.0       	--
00:05.2     	--    	51.0       	--
00:06.1     	--    	51.2       	--
00:07.0     	--    	50.4       	--
00:07.9     	--    	49.2       	--
00:08.6     	18.87 	52.8       	19.03
00:09.5     	18.84 	53.6       	19.04
00:10.3     	18.80 	53.7       	19.05
00:11.2     	18.69 	53.8       	19.06
00:12.1     	18.59 	53.9       	19.07
00:13.0     	18.47 	53.8       	19.07
00:13.9     	18.40 	53.7       	19.08
00:14.8     	18.33 	53.7       	19.08
00:15.7     	18.16 	53.8       	19.08
00:16.6     	18.09 	53.9       	19.08
00:17.5     	17.95 	54.4       	19.08
00:18.4     	17.81 	54.8       	19.07
00:19.3     	17.84 	54.7       	19.07
00:20.2     	17.86 	54.8       	19.06
00:21.1     	17.86 	55.0       	19.05
00:22.0     	17.87 	55.1       	19.05
00:22.9     	17.80 	55.0       	19.03
00:23.8     	17.68 	55.2       	19.02
00:24.7     	17.59 	55.7       	19.00
00:25.6     	17.55 	56.3       	18.97
00:26.4     	17.54 	56.5       	18.95
00:27.3     	17.57 	56.5       	18.93
00:28.3     	17.60 	56.4       	18.90
00:29.1     	17.69 	56.4       	18.88
00:30.0     	17.84 	56.1       	18.86
00:30.9     	17.95 	55.9       	18.85
00:31.9     	17.92 	55.8       	18.83
00:32.8     	17.75 	56.1       	18.81
00:33.7     	17.83 	56.0       	18.79
00:34.5     	17.91 	55.4       	18.77
00:35.4     	17.93 	55.4       	18.75
00:36.3     	17.97 	55.9       	18.74
00:37.2     	18.00 	56.2       	18.72
00:38.1     	17.94 	56.5       	18.71
00:39.0     	17.93 	56.6       	18.70
00:39.9     	17.92 	56.7       	18.69
00:40.8     	17.95 	56.6       	18.68
00:41.7     	17.94 	56.4       	18.67
00:42.5     	17.94 	55.8       	18.66
00:43.5     	17.91 	55.2       	18.65
00:44.4     	17.72 	54.7       	18.63
00:45.3     	17.62 	54.7       	18.62
00:46.2     	17.60 	54.9       	18.60
00:47.1     	17.65 	56.2       	18.59
00:48.0     	17.70 	56.6       	18.57
00:48.9     	17.73 	56.8       	18.56
00:49.8     	17.74 	56.9       	18.55
00:50.6     	17.65 	57.5       	18.54
00:51.6     	17.59 	57.7       	18.53
00:52.5     	17.50 	57.9       	18.53
00:53.3     	17.47 	57.7       	18.52
00:54.2     	17.48 	57.9       	18.51
00:55.1     	17.49 	58.0       	18.50
00:56.0     	17.50 	57.7       	18.49
00:56.9     	17.55 	57.4       	18.48
00:57.9     	17.65 	57.3       	18.48
00:58.7     	17.69 	57.3       	18.47
00:59.7     	17.72 	57.2       	18.47
01:00.6     	17.79 	56.9       	18.46
01:01.4     	17.82 	56.6       	18.46
01:02.3     	17.83 	56.5       	18.45
01:03.2     	17.89 	56.2       	18.45
01:04.1     	17.91 	56.1       	18.45
01:05.0     	17.95 	55.9       	18.45
01:05.9     	17.94 	55.6       	18.45
01:06.8     	18.01 	54.9       	18.45
01:07.7     	18.09 	54.8       	18.45
01:08.6     	18.12 	55.0       	18.45
01:09.4     	18.19 	54.9       	18.45
01:10.3     	18.22 	54.6       	18.46
01:11.3     	18.22 	54.6       	18.46
01:12.7     	18.22 	54.5       	18.46
01:12.9     	18.22 	54.5       	18.46
01:13.1     	18.28 	54.5       	18.47
01:14.0     	18.37 	54.3       	18.47
01:14.9     	18.35 	54.5       	18.48
01:15.8     	18.29 	54.6       	18.49
01:16.7     	18.22 	54.9       	18.49
01:17.5     	18.16 	55.3       	18.50
01:18.4     	18.09 	55.6       	18.50
01:19.3     	18.13 	55.6       	18.51
01:20.2     	18.06 	56.0       	18.50
01:21.1     	17.98 	56.1       	18.52
01:22.0     	18.05 	55.9       	18.53
01:22.9     	18.11 	55.8       	18.53
01:23.8     	18.11 	55.8       	18.54
01:24.8     	18.22 	55.5       	18.54
01:25.6     	18.24 	55.3       	18.54
01:26.5     	18.27 	55.2       	18.55
01:27.4     	18.24 	55.3       	18.55
01:28.8     	18.21 	55.4       	18.55
01:29.2     	18.19 	55.4       	18.56
01:30.1     	18.05 	54.4       	18.56
01:31.0     	17.98 	54.1       	18.56
01:31.9     	17.94 	54.6       	18.56
01:32.8     	17.91 	54.8       	18.56
01:33.6     	17.88 	54.6       	18.57
01:34.5     	17.85 	54.6       	18.56
01:35.4     	17.84 	54.9       	18.56
01:36.3     	17.84 	54.8       	18.56
01:37.2     	17.88 	54.6       	18.57
01:38.2     	17.85 	55.2       	18.54
01:39.1     	17.93 	54.5       	18.60
01:40.0     	17.77 	54.8       	18.58
01:40.9     	17.52 	55.4       	18.57
01:41.7     	17.43 	55.5       	18.56
01:42.6     	17.27 	55.8       	18.55
01:43.5     	17.24 	55.9       	18.54
01:44.4     	17.16 	56.2       	18.51
01:45.3     	17.08 	56.3       	18.46
01:46.2     	17.07 	56.4       	18.42
01:47.1     	17.12 	56.5       	18.40
01:48.0     	17.19 	56.3       	18.38
01:48.9     	17.23 	56.1       	18.35
01:49.7     	17.18 	55.6       	18.34
01:50.6     	17.18 	55.4       	18.32
01:51.7     	17.13 	55.7       	18.30
01:52.5     	17.08 	55.7       	18.29
01:53.4     	17.13 	55.7       	18.25
01:54.3     	17.04 	55.6       	18.24
01:55.7     	16.95 	55.5       	18.23
01:55.8     	16.95 	55.5       	18.23
01:56.1     	17.04 	55.8       	18.23
01:57.0     	16.93 	56.1       	18.22
01:57.8     	16.66 	56.2       	18.14
01:58.8     	16.49 	57.2       	18.12
01:59.7     	16.42 	58.0       	18.10
02:00.5     	16.37 	58.3       	18.07
02:01.7     	16.31 	57.8       	18.06
02:02.3     	16.18 	58.3       	18.03
02:03.2     	16.22 	58.5       	18.01
02:04.1     	16.27 	58.6       	18.00
02:05.1     	16.33 	58.1       	17.99
02:05.9     	16.28 	58.1       	17.98
02:06.9     	16.26 	58.4       	17.97
02:07.8     	16.34 	58.6       	17.97
02:08.6     	16.63 	57.9       	17.96
02:09.5     	16.97 	57.0       	17.96
02:10.4     	17.22 	56.4       	17.96
02:11.3     	17.24 	55.5       	17.97
02:12.2     	17.23 	55.0       	17.97
02:13.1     	17.23 	54.8       	17.98
02:14.0     	17.28 	55.2       	18.00
02:14.9     	17.15 	55.7       	18.01
02:15.8     	17.22 	55.8       	18.02
02:16.6     	17.36 	55.8       	18.03
02:17.5     	17.50 	55.6       	18.04
02:18.5     	17.64 	54.8       	18.06
02:19.4     	17.62 	54.1       	18.08
02:20.3     	17.60 	54.0       	18.10
02:21.2     	17.64 	53.7       	18.12
02:22.1     	17.63 	53.6       	18.13
02:23.0     	17.64 	54.2       	18.21
02:23.9     	17.32 	53.1       	18.20
02:24.8     	16.89 	54.0       	18.20
02:25.6     	16.64 	54.8       	18.20
02:26.5     	16.42 	55.4       	18.16
02:27.4     	16.20 	56.1       	18.11
02:28.3     	16.11 	55.8       	18.17
02:29.2     	16.06 	57.4       	18.15
02:30.1     	16.09 	57.8       	18.13
02:31.0     	16.13 	58.7       	18.10
02:32.0     	16.20 	59.6       	18.08
02:32.9     	16.47 	58.3       	18.07
02:33.7     	16.83 	57.0       	18.13
02:34.6     	17.18 	55.0       	18.16
02:35.6     	17.44 	54.5       	18.23
02:36.4     	17.76 	53.5       	18.25
02:37.3     	17.91 	52.9       	18.29
02:38.2     	18.04 	51.6       	18.36
02:39.1     	17.69 	51.7       	18.43
02:40.0     	17.67 	51.3       	18.48
02:40.9     	17.25 	52.8       	18.53
02:41.7     	17.02 	53.9       	18.62
02:42.6     	16.83 	55.2       	18.69
02:43.6     	16.90 	55.4       	18.86
02:44.4     	17.09 	56.1       	18.91
02:45.3     	17.01 	55.9       	18.93
02:46.3     	16.76 	57.3       	18.94
02:47.2     	16.59 	58.6       	18.95
02:48.1     	16.47 	59.6       	18.96
02:49.0     	16.56 	60.0       	18.99
02:49.8     	16.52 	60.9       	18.95
02:50.7     	16.51 	59.5       	18.95
02:51.7     	16.24 	57.0       	18.96
02:52.5     	15.99 	57.6       	18.97
02:53.4     	15.96 	58.0       	18.99
02:54.3     	15.93 	58.5       	19.00
02:55.2     	16.01 	60.4       	19.02
02:56.1     	16.12 	60.6       	19.05
02:57.0     	16.37 	61.6       	19.07
02:57.9     	16.66 	60.9       	19.06
02:58.8     	16.75 	60.1       	19.07
02:59.7     	16.76 	59.7       	19.07
03:00.6     	16.69 	59.6       	19.06
03:01.5     	16.66 	59.6       	19.07
03:02.4     	16.65 	59.3       	19.08
03:03.3     	16.59 	59.5       	19.09
03:04.2     	16.66 	59.9       	19.09
03:05.1     	16.88 	59.1       	19.11
03:05.9     	17.15 	58.9       	19.14
03:06.8     	17.27 	58.4       	19.16
03:07.7     	17.41 	57.7       	19.19
03:08.6     	17.40 	58.2       	19.22
03:09.5     	17.38 	58.2       	19.25
03:10.4     	17.46 	58.4       	19.24
03:11.4     	17.67 	57.7       	19.32
03:12.3     	17.80 	58.0       	19.35
03:13.2     	18.00 	57.3       	19.37
03:14.0     	18.09 	57.6       	19.36
03:14.9     	18.11 	58.1       	19.40
03:15.8     	18.18 	57.7       	19.45
03:16.7     	18.26 	57.2       	19.51
03:17.6     	18.42 	56.5       	19.57
03:18.5     	18.53 	56.2       	19.59
03:19.4     	18.54 	55.7       	19.66
03:20.3     	18.46 	55.4       	19.73
03:21.2     	18.21 	54.2       	19.87
03:22.0     	17.88 	54.2       	19.89
03:22.9     	17.63 	54.4       	19.95
03:23.8     	17.58 	55.2       	19.99
03:24.8     	17.56 	57.3       	20.02
03:25.7     	17.76 	56.6       	20.13
03:26.6     	17.95 	56.8       	20.16
03:27.5     	18.09 	56.9       	20.22
03:28.4     	17.96 	57.7       	20.16
03:29.3     	17.83 	58.5       	20.09
03:30.1     	17.74 	59.5       	20.01
03:31.0     	17.60 	60.4       	19.98
03:32.0     	17.36 	58.8       	19.94
03:32.8     	16.91 	57.0       	19.89
03:33.7     	16.47 	57.7       	19.83
03:34.6     	16.23 	59.0       	19.78
03:35.5     	16.02 	59.2       	19.74
03:36.4     	16.02 	61.3       	19.72
03:37.4     	15.97 	62.0       	19.66
03:38.2     	16.02 	63.0       	19.61
03:39.1     	15.97 	62.3       	19.54
03:40.0     	16.00 	61.9       	19.48
03:40.9     	16.02 	61.0       	19.41
03:41.8     	15.97 	61.6       	19.34
03:42.7     	15.91 	58.9       	19.24
03:44.1     	15.85 	56.3       	19.12
03:44.5     	15.89 	62.4       	19.06
03:45.4     	15.67 	59.8       	18.98
