Flight Information:
Launch Date:            	      	                       	Tuesday, 15 December 2020	     	                   	          	Launch Time: 	     	            	08:30:05 	       	     	End of Ascent:	     	         	02:27:17
Station name:           	      	                       	OKSTATE USRI             	     	                   	          	Serialnumber:	     	            	20028035
Ground values:
Pressure:               	      	                       	1021.1 hPa               	     	                   	          	Temperature: 	     	            	11.2 ?C  	       	     	Humidity:     	     	         	76 %
Wind Direction:         	      	                       	203 ?                    	     	                   	          	Wind Speed:  	     	            	2 m/s    	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	      	                       	-73.161 ?                	     	                   	          	Latitude:    	     	            	-39.236 ?	       	     	Altitude:     	     	         	3 m
Staff:
Company:                	      	                       	
Operator:               	      	                       	                         	     	                   	          	
Events:
Highest Point:          	      	                       	14.2 hPa                 	     	                   	          	29155 m
Tropopauses:            	      	                       	1.: 190.6 hPa            	     	                   	          	             	     	            	
Max Winds:              	      	                       	1.: 257.1 hPa            	     	                   	          	             	     	            	
Remarks:

Profile Data:
Time                    	P     	T                      	Hu                       	Ws   	Wd                 	Long.     	Lat.         	Alt  	Geopot      	MRI      	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range 	D
[sec]                   	[hPa] 	[?C]                   	[%]                      	[m/s]	[?]                	[?]       	[?]          	[m]  	[m]         	         	       	[?C] 	[?C]          	[m/s]	[?]      	[?]     	[m]   	[kg/m3]
0                       	1021.1	11.2                   	76                       	1.5  	203                	-73.160513	-39.236371   	3    	3           	282.638  	282.167	7.1  	12.3          	0.0  	39.2     	180     	0     	1.251218
2                       	1020.2	10.7                   	76                       	1.6  	196                	-73.160553	-39.236316   	11   	11          	284.087  	282.422	6.6  	11.7          	3.8  	49.5     	329     	10    	1.252322
4                       	1019.2	10.2                   	76                       	1.8  	190                	-73.160593	-39.236261   	18   	18          	285.520  	282.679	6.1  	11.2          	3.8  	48.1     	330     	21    	1.253431
6                       	1018.3	9.7                    	76                       	1.9  	184                	-73.160633	-39.236205   	26   	26          	286.971  	282.936	5.6  	10.6          	3.8  	47.8     	330     	31    	1.254545
8                       	1017.4	9.2                    	75                       	2.1  	179                	-73.160673	-39.236150   	33   	33          	288.406  	283.178	5.1  	10.1          	3.8  	47.6     	330     	41    	1.255658
10                      	1016.5	8.9                    	75                       	2.2  	175                	-73.160713	-39.236094   	41   	41          	289.611  	283.205	4.6  	9.7           	3.8  	47.5     	330     	52    	1.255904
12                      	1015.5	8.8                    	74                       	2.3  	171                	-73.160753	-39.236039   	48   	48          	290.531  	282.932	4.4  	9.7           	3.8  	47.4     	330     	62    	1.254835
14                      	1014.5	8.8                    	73                       	2.5  	167                	-73.160793	-39.235984   	56   	56          	291.431  	282.639	4.3  	9.7           	3.8  	47.4     	330     	72    	1.253674
16                      	1013.5	8.8                    	72                       	2.6  	164                	-73.160849	-39.235929   	64   	64          	292.409  	282.345	4.1  	9.7           	4.1  	47.3     	329     	84    	1.252515
