Time [mm:ss]	T [°C]	U [%r H]    	Tu Cap [°C]
00:00.7     	--    	49.8        	
00:00.7     	--    	0x47 31.0400	
00:01.5     	--    	49.8        	--
00:02.4     	--    	49.8        	--
00:03.3     	--    	49.8        	--
00:04.2     	--    	49.8        	--
00:05.1     	--    	49.8        	--
00:06.1     	--    	49.8        	--
00:06.9     	--    	49.8        	--
00:07.6     	21.61 	53.4        	21.13
00:08.5     	21.61 	51.8        	21.12
00:09.4     	21.61 	51.8        	21.12
00:10.3     	21.61 	51.9        	21.11
00:11.2     	21.60 	51.9        	21.11
00:12.1     	21.60 	51.9        	21.10
00:12.9     	21.60 	51.9        	21.10
00:13.8     	21.59 	51.9        	21.09
00:14.8     	21.59 	51.9        	21.09
00:15.6     	21.59 	51.9        	21.09
00:16.5     	21.58 	51.9        	21.08
00:17.4     	21.58 	51.9        	21.08
00:18.3     	21.58 	51.9        	21.07
00:19.3     	21.58 	51.9        	21.07
00:20.2     	21.58 	51.9        	21.07
00:21.0     	21.58 	51.9        	21.06
00:22.0     	21.57 	51.9        	21.06
00:22.9     	21.57 	51.9        	21.06
00:23.7     	21.56 	52.0        	21.05
00:24.6     	21.56 	52.1        	21.05
00:25.5     	21.55 	52.1        	21.04
00:26.4     	21.55 	52.2        	21.04
00:27.3     	21.54 	52.2        	21.04
00:28.2     	21.53 	52.1        	21.03
00:29.0     	21.53 	52.1        	21.03
00:29.9     	21.52 	52.1        	21.02
00:30.8     	21.52 	52.1        	21.02
00:31.8     	21.51 	52.1        	21.02
00:32.7     	21.51 	52.1        	21.02
00:33.6     	21.49 	52.3        	21.01
00:34.5     	21.45 	52.5        	21.04
00:35.4     	21.44 	52.7        	21.01
00:36.3     	21.35 	52.9        	20.99
00:37.1     	21.33 	53.0        	20.98
00:38.1     	21.31 	53.0        	20.98
00:39.0     	21.32 	53.1        	21.00
00:39.8     	21.32 	53.5        	21.00
00:40.7     	21.32 	53.6        	21.00
00:41.6     	21.31 	53.6        	21.01
00:42.5     	21.31 	53.7        	21.01
00:43.4     	21.31 	53.9        	21.01
00:44.3     	21.31 	54.0        	21.02
00:45.3     	21.31 	54.1        	21.02
00:46.2     	21.31 	54.1        	21.02
00:47.1     	21.31 	53.9        	21.03
00:48.0     	21.31 	53.5        	21.10
