Flight Information:
Launch Date:            	      	                       	Tuesday, 15 December 2020	     	                       	          	Launch Time: 	     	            	06:31:14  	          	        	End of Ascent:	     	         	02:13:06
Station name:           	      	                       	                         	     	                       	          	Serialnumber:	     	            	20027453
Ground values:
Pressure:               	      	                       	1021.5 hPa               	     	                       	          	Temperature: 	     	            	8.2 ?C    	          	        	Humidity:     	     	         	75 %
Wind Direction:         	      	                       	142 ?                    	     	                       	          	Wind Speed:  	     	            	2 m/s     	          	        	Cloud group:  	     	         	9////
Position:
Longitude:              	      	                       	-73.160 ?                	     	                       	          	Latitude:    	     	            	-39.236 ? 	          	        	Altitude:     	     	         	3 m
Staff:
Company:                	      	                       	
Operator:               	      	                       	                         	     	                       	          	
Events:
Highest Point:          	      	                       	8.4 hPa                  	     	                       	          	32415 m
Tropopauses:            	      	                       	1.: 189.5 hPa            	     	                       	          	2.: 80.9 hPa 	     	            	
Max Winds:              	      	                       	1.: 243.5 hPa            	     	                       	          	             	     	            	
Remarks:

Profile Data:
Time                    	P     	T                      	Hu                       	Ws   	Wd                     	Long.     	Lat.         	Alt  	Geopot      	MRI       	RI        	Dewp.   	Virt. Temp    	Rs   	Elevation	Azimuth 	Range 	D
[sec]                   	[hPa] 	[?C]                   	[%]                      	[m/s]	[?]                    	[?]       	[?]          	[m]  	[m]         	          	          	[?C]    	[?C]          	[m/s]	[?]      	[?]     	[m]   	[kg/m3]
0                       	1021.5	8.2                    	75                       	1.6  	142                    	-73.160497	-39.236330   	3    	3           	285.748   	285.277   	4.0     	9.0           	0.0  	39.2     	180     	0     	1.265055
1                       	1020.9	8.3                    	74                       	1.7  	142                    	-73.160524	-39.236307   	8    	8           	286.164   	284.955   	4.0     	9.2           	4.7  	57.7     	313     	6     	1.263758
2                       	1020.3	8.5                    	74                       	1.8  	142                    	-73.160551	-39.236284   	13   	12          	286.596   	284.633   	4.1     	9.3           	4.7  	56.1     	316     	12    	1.262462
3                       	1019.8	8.6                    	73                       	1.8  	142                    	-73.160577	-39.236262   	17   	17          	287.012   	284.312   	4.1     	9.4           	4.7  	55.4     	316     	18    	1.261168
4                       	1019.2	8.7                    	72                       	1.9  	142                    	-73.160604	-39.236239   	22   	22          	287.429   	283.991   	4.0     	9.6           	4.7  	55.0     	317     	23    	1.259875
5                       	1018.6	8.8                    	72                       	2.0  	142                    	-73.160631	-39.236216   	27   	27          	287.846   	283.670   	4.0     	9.7           	4.7  	54.8     	317     	29    	1.258584
6                       	1018.0	9.0                    	71                       	2.1  	142                    	-73.160657	-39.236193   	31   	31          	288.280   	283.350   	4.0     	9.8           	4.7  	54.7     	317     	35    	1.257295
7                       	1017.4	9.0                    	71                       	2.2  	143                    	-73.160684	-39.236170   	36   	36          	288.789   	283.122   	4.0     	9.9           	4.7  	54.6     	317     	41    	1.256408
8                       	1016.8	9.0                    	70                       	2.3  	143                    	-73.160711	-39.236147   	41   	41          	289.406   	283.000   	3.9     	9.8           	4.7  	54.5     	317     	47    	1.255905
9                       	1016.3	8.9                    	70                       	2.3  	143                    	-73.160737	-39.236125   	46   	46          	290.026   	282.882   	3.8     	9.8           	4.7  	54.5     	317     	53    	1.255402
10                      	1015.7	8.9                    	70                       	2.4  	143                    	-73.160764	-39.236102   	50   	50          	290.661   	282.764   	3.7     	9.7           	4.7  	54.5     	317     	58    	1.254900
11                      	1015.1	8.8                    	70                       	2.5  	143                    	-73.160791	-39.236079   	55   	55          	291.281   	282.646   	3.6     	9.6           	4.7  	54.4     	317     	64    	1.254397
12                      	1014.5	8.8                    	70                       	2.6  	143                    	-73.160817	-39.236056   	60   	60          	291.901   	282.528   	3.6     	9.6           	4.7  	54.4     	317     	70    	1.253895
13                      	1013.9	8.7                    	70                       	2.7  	143                    	-73.160844	-39.236033   	64   	64          	292.520   	282.409   	3.5     	9.5           	4.7  	54.3     	317     	76    	1.253387
14                      	1013.4	8.7                    	69                       	2.8  	143                    	-73.160871	-39.236010   	69   	69          	293.155   	282.290   	3.4     	9.5           	4.7  	54.4     	317     	82    	1.252880
15                      	1012.8	8.6                    	69                       	2.8  	143                    	-73.160901	-39.235984   	74   	74          	293.773   	282.171   	3.3     	9.4           	4.7  	54.0     	318     	88    	1.252372
16                      	1012.2	8.6                    	69                       	2.9  	143                    	-73.160942	-39.235945   	79   	79          	294.392   	282.052   	3.2     	9.4           	4.7  	53.0     	318     	95    	1.251865
17                      	1011.6	8.5                    	69                       	3.0  	143                    	-73.160983	-39.235905   	83   	83          	295.027   	281.933   	3.2     	9.3           	4.8  	52.1     	318     	102   	1.251358
18                      	1011.0	8.5                    	69                       	3.1  	143                    	-73.161025	-39.235866   	88   	88          	295.677   	281.814   	3.1     	9.3           	4.9  	51.4     	318     	110   	1.250851
19                      	1010.4	8.4                    	69                       	3.2  	143                    	-73.161066	-39.235827   	93   	93          	296.308   	281.692   	3.0     	9.2           	4.9  	50.7     	318     	117   	1.250328
20                      	1009.8	8.4                    	69                       	3.3  	143                    	-73.161107	-39.235788   	98   	98          	296.959   	281.573   	3.0     	9.2           	4.9  	50.1     	319     	124   	1.249803
21                      	1009.3	8.3                    	69                       	3.3  	143                    	-73.161148	-39.235749   	103  	103         	297.603   	281.447   	2.9     	9.1           	4.9  	49.6     	319     	132   	1.249242
22                      	1008.7	8.3                    	69                       	3.4  	143                    	-73.161190	-39.235710   	108  	108         	298.231   	281.322   	2.9     	9.1           	4.9  	49.1     	319     	139   	1.248681
23                      	1008.1	8.3                    	68                       	3.5  	143                    	-73.161231	-39.235671   	113  	113         	298.875   	281.197   	2.8     	9.1           	4.9  	48.7     	319     	146   	1.248120
24                      	1007.5	8.2                    	68                       	3.6  	143                    	-73.161272	-39.235632   	117  	117         	299.503   	281.072   	2.8     	9.0           	4.9  	48.3     	319     	154   	1.247560
25                      	1006.9	8.2                    	68                       	3.7  	143                    	-73.161313	-39.235593   	122  	122         	300.147   	280.946   	2.7     	9.0           	4.9  	48.0     	319     	161   	1.246999
26                      	1006.3	8.1                    	68                       	3.7  	143                    	-73.161354	-39.235554   	127  	127         	300.792   	280.821   	2.7     	8.9           	4.9  	47.7     	319     	168   	1.246438
27                      	1005.7	8.1                    	68                       	3.8  	143                    	-73.161396	-39.235515   	132  	132         	301.420   	280.696   	2.7     	8.9           	4.9  	47.4     	319     	176   	1.245878
28                      	1005.1	8.1                    	68                       	3.9  	143                    	-73.161437	-39.235476   	137  	137         	302.064   	280.571   	2.6     	8.9           	4.9  	47.1     	319     	183   	1.245318
29                      	1004.5	8.0                    	68                       	4.0  	143                    	-73.161478	-39.235437   	142  	142         	302.708   	280.446   	2.6     	8.8           	4.9  	46.9     	319     	190   	1.244758
30                      	1003.9	8.0                    	68                       	4.1  	143                    	-73.161519	-39.235398   	147  	147         	303.337   	280.321   	2.5     	8.8           	4.9  	46.7     	319     	198   	1.244199
31                      	1003.3	8.0                    	68                       	4.2  	143                    	-73.161560	-39.235359   	152  	151         	303.981   	280.196   	2.5     	8.7           	4.9  	46.5     	319     	205   	1.243639
32                      	1002.7	7.9                    	68                       	4.2  	143                    	-73.161602	-39.235320   	156  	156         	304.610   	280.071   	2.4     	8.7           	4.9  	46.3     	320     	213   	1.243080
33                      	1002.1	7.9                    	68                       	4.3  	143                    	-73.161643	-39.235281   	161  	161         	305.254   	279.946   	2.4     	8.6           	4.9  	46.1     	320     	220   	1.242520
34                      	1001.6	7.8                    	68                       	4.4  	143                    	-73.161684	-39.235242   	166  	166         	305.887   	279.810   	2.4     	8.6           	4.9  	45.9     	320     	227   	1.241915
35                      	1001.0	7.8                    	68                       	4.5  	143                    	-73.161725	-39.235203   	171  	171         	306.499   	279.668   	2.3     	8.6           	4.9  	45.8     	320     	235   	1.241283
36                      	1000.4	7.8                    	68                       	4.6  	143                    	-73.161766	-39.235164   	176  	176         	307.127   	279.526   	2.3     	8.6           	4.9  	45.6     	320     	242   	1.240652
37                      	999.8 	7.8                    	68                       	4.7  	143                    	-73.161808	-39.235125   	181  	181         	307.755   	279.385   	2.3     	8.5           	4.9  	45.5     	320     	250   	1.240020
38                      	999.2 	7.8                    	68                       	4.8  	143                    	-73.161849	-39.235086   	186  	185         	308.367   	279.243   	2.3     	8.5           	4.9  	45.4     	320     	257   	1.239389
39                      	998.6 	7.7                    	68                       	4.8  	143                    	-73.161890	-39.235047   	190  	190         	308.994   	279.101   	2.2     	8.5           	4.9  	45.2     	320     	264   	1.238758
40                      	998.0 	7.7                    	68                       	4.9  	143                    	-73.161931	-39.235008   	195  	195         	309.606   	278.960   	2.2     	8.5           	4.9  	45.1     	320     	272   	1.238127
41                      	997.4 	7.7                    	68                       	5.0  	143                    	-73.161972	-39.234969   	200  	200         	310.234   	278.819   	2.2     	8.5           	4.9  	45.0     	320     	279   	1.237497
42                      	996.8 	7.7                    	68                       	5.1  	143                    	-73.162014	-39.234930   	205  	205         	310.862   	278.677   	2.1     	8.4           	4.9  	44.9     	320     	287   	1.236867
43                      	996.3 	7.6                    	68                       	5.2  	143                    	-73.162055	-39.234891   	210  	210         	311.475   	278.536   	2.1     	8.4           	4.9  	44.8     	320     	294   	1.236239
44                      	995.7 	7.6                    	68                       	5.3  	143                    	-73.162096	-39.234852   	215  	215         	312.103   	278.395   	2.1     	8.4           	4.9  	44.7     	320     	301   	1.235612
45                      	995.1 	7.6                    	68                       	5.3  	143                    	-73.162137	-39.234812   	220  	219         	312.732   	278.255   	2.1     	8.4           	4.9  	44.6     	320     	309   	1.234984
46                      	994.5 	7.6                    	68                       	5.4  	143                    	-73.162178	-39.234767   	224  	224         	313.345   	278.114   	2.0     	8.3           	4.8  	44.5     	320     	317   	1.234357
47                      	993.9 	7.6                    	68                       	5.5  	143                    	-73.162220	-39.234711   	229  	229         	313.955   	277.970   	2.0     	8.3           	4.8  	44.2     	320     	325   	1.233728
48                      	993.3 	7.5                    	68                       	5.6  	143                    	-73.162261	-39.234655   	234  	234         	314.578   	277.824   	1.9     	8.3           	4.8  	43.9     	321     	333   	1.233089
49                      	992.8 	7.5                    	68                       	5.7  	143                    	-73.162303	-39.234599   	239  	239         	315.186   	277.679   	1.9     	8.3           	4.8  	43.7     	321     	342   	1.232454
50                      	992.2 	7.5                    	67                       	5.8  	143                    	-73.162344	-39.234543   	244  	244         	315.794   	277.533   	1.9     	8.2           	4.8  	43.5     	321     	350   	1.231818
51                      	991.6 	7.5                    	67                       	5.9  	143                    	-73.162386	-39.234487   	249  	248         	316.402   	277.388   	1.8     	8.2           	4.8  	43.2     	321     	359   	1.231184
52                      	991.0 	7.5                    	67                       	5.9  	143                    	-73.162427	-39.234432   	253  	253         	317.026   	277.243   	1.8     	8.2           	4.8  	43.0     	322     	367   	1.230549
53                      	990.4 	7.4                    	67                       	6.0  	143                    	-73.162469	-39.234376   	258  	258         	317.635   	277.097   	1.8     	8.2           	4.8  	42.8     	322     	376   	1.229915
54                      	989.9 	7.4                    	67                       	6.1  	144                    	-73.162510	-39.234320   	263  	263         	318.243   	276.952   	1.7     	8.2           	4.8  	42.6     	322     	384   	1.229281
55                      	989.3 	7.4                    	67                       	6.2  	144                    	-73.162552	-39.234264   	268  	268         	318.852   	276.807   	1.7     	8.1           	4.8  	42.5     	322     	393   	1.228647
56                      	988.7 	7.4                    	67                       	6.3  	144                    	-73.162593	-39.234208   	273  	273         	319.476   	276.662   	1.6     	8.1           	4.8  	42.3     	322     	401   	1.228013
57                      	988.1 	7.4                    	67                       	6.4  	144                    	-73.162635	-39.234152   	278  	277         	320.085   	276.517   	1.6     	8.1           	4.8  	42.1     	323     	410   	1.227380
58                      	987.5 	7.3                    	67                       	6.4  	144                    	-73.162676	-39.234096   	282  	282         	320.693   	276.372   	1.6     	8.1           	4.8  	42.0     	323     	418   	1.226748
59                      	987.0 	7.3                    	67                       	6.5  	144                    	-73.162718	-39.234040   	287  	287         	321.302   	276.228   	1.5     	8.1           	4.8  	41.8     	323     	427   	1.226115
60                      	986.4 	7.3                    	67                       	6.6  	144                    	-73.162759	-39.233984   	292  	292         	321.929   	276.085   	1.5     	8.0           	4.8  	41.7     	323     	435   	1.225483
61                      	985.8 	7.3                    	67                       	6.7  	144                    	-73.162801	-39.233928   	297  	297         	322.543   	275.946   	1.5     	8.0           	4.8  	41.5     	323     	444   	1.224856
62                      	985.2 	7.3                    	67                       	6.7  	144                    	-73.162842	-39.233872   	302  	301         	323.158   	275.807   	1.5     	8.0           	4.8  	41.4     	323     	452   	1.224232
63                      	984.6 	7.2                    	67                       	6.7  	145                    	-73.162884	-39.233816   	307  	306         	323.789   	275.669   	1.4     	8.0           	4.8  	41.2     	324     	461   	1.223608
64                      	984.1 	7.2                    	67                       	6.8  	145                    	-73.162925	-39.233761   	311  	311         	324.404   	275.530   	1.4     	7.9           	4.8  	41.1     	324     	469   	1.222984
65                      	983.5 	7.2                    	67                       	6.8  	146                    	-73.162967	-39.233705   	316  	316         	325.019   	275.392   	1.4     	7.9           	4.8  	41.0     	324     	478   	1.222360
66                      	982.9 	7.2                    	67                       	6.9  	146                    	-73.163008	-39.233649   	321  	321         	325.635   	275.253   	1.4     	7.9           	4.8  	40.9     	324     	486   	1.221737
67                      	982.3 	7.2                    	67                       	6.9  	146                    	-73.163050	-39.233593   	326  	326         	326.265   	275.115   	1.4     	7.9           	4.8  	40.7     	324     	495   	1.221114
68                      	981.8 	7.1                    	67                       	7.0  	147                    	-73.163091	-39.233537   	331  	330         	326.881   	274.977   	1.3     	7.9           	4.8  	40.6     	324     	504   	1.220491
69                      	981.2 	7.1                    	67                       	7.0  	147                    	-73.163133	-39.233481   	335  	335         	327.496   	274.838   	1.3     	7.8           	4.8  	40.5     	324     	512   	1.219868
70                      	980.6 	7.1                    	67                       	7.0  	147                    	-73.163174	-39.233425   	340  	340         	328.112   	274.700   	1.3     	7.8           	4.8  	40.4     	324     	521   	1.219246
71                      	980.0 	7.1                    	67                       	7.1  	148                    	-73.163215	-39.233369   	345  	345         	328.743   	274.562   	1.3     	7.8           	4.8  	40.3     	324     	529   	1.218624
72                      	979.5 	7.0                    	67                       	7.1  	148                    	-73.163257	-39.233313   	350  	350         	329.358   	274.424   	1.3     	7.8           	4.8  	40.2     	325     	538   	1.218002
