Flight Information:
Launch Date:            	      	                       	Tuesday, 15 December 2020	     	                        	          	Launch Time: 	       	            	11:30:10  	       	     	End of Ascent:	     	         	01:38:08
Station name:           	      	                       	OKSTATE USRI             	     	                        	          	Serialnumber:	       	            	20027521
Ground values:
Pressure:               	      	                       	1022.0 hPa               	     	                        	          	Temperature: 	       	            	9.9 ?C    	       	     	Humidity:     	     	         	71 %
Wind Direction:         	      	                       	140 ?                    	     	                        	          	Wind Speed:  	       	            	2 m/s     	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	      	                       	-73.160 ?                	     	                        	          	Latitude:    	       	            	-39.236 ? 	       	     	Altitude:     	     	         	3 m
Staff:
Company:                	      	                       	
Operator:               	      	                       	                         	     	                        	          	
Events:
Highest Point:          	      	                       	7.3 hPa                  	     	                        	          	33288 m
Tropopauses:            	      	                       	1.: 195.7 hPa            	     	                        	          	2.: 107.3 hPa	       	            	
Max Winds:              	      	                       	1.: 258.2 hPa            	     	                        	          	             	       	            	
Remarks:

Profile Data:
Time                    	P     	T                      	Hu                       	Ws   	Wd                      	Long.     	Lat.         	Alt    	Geopot      	MRI       	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range  	D
[sec]                   	[hPa] 	[?C]                   	[%]                      	[m/s]	[?]                     	[?]       	[?]          	[m]    	[m]         	          	       	[?C] 	[?C]          	[m/s]	[?]      	[?]     	[m]    	[kg/m3]
0                       	1022.0	9.9                    	71                       	1.7  	140                     	-73.160496	-39.236382   	3      	3           	283.964   	283.493	4.9  	10.8          	0.0  	39.2     	180     	0      	1.258073
2                       	1020.5	10.1                   	69                       	1.8  	142                     	-73.160538	-39.236345   	15     	15          	285.145   	282.805	4.6  	11.0          	5.9  	66.6     	316     	13     	1.255479
4                       	1019.1	10.3                   	66                       	1.9  	143                     	-73.160581	-39.236308   	27     	27          	286.311   	282.119	4.3  	11.1          	5.9  	65.7     	317     	26     	1.252890
6                       	1017.6	10.4                   	64                       	2.0  	144                     	-73.160624	-39.236270   	39     	39          	287.494   	281.434	4.0  	11.3          	5.9  	65.4     	317     	39     	1.250307
8                       	1016.2	10.3                   	63                       	2.1  	145                     	-73.160667	-39.236233   	50     	50          	289.032   	281.120	3.6  	11.1          	5.9  	65.3     	318     	53     	1.249116
10                      	1014.7	10.1                   	63                       	2.2  	146                     	-73.160710	-39.236196   	62     	62          	290.687   	280.906	3.4  	11.0          	5.9  	65.2     	318     	66     	1.248141
12                      	1013.3	9.9                    	63                       	2.3  	147                     	-73.160753	-39.236158   	74     	74          	292.341   	280.692	3.3  	10.8          	5.9  	65.2     	318     	79     	1.247167
14                      	1011.7	9.8                    	63                       	2.4  	148                     	-73.160796	-39.236121   	86     	86          	293.949   	280.447	3.1  	10.6          	5.9  	65.1     	318     	92     	1.246051
16                      	1010.2	9.6                    	63                       	2.6  	149                     	-73.160843	-39.236072   	99     	99          	295.761   	280.202	2.9  	10.4          	6.6  	64.8     	319     	107    	1.244936
18                      	1008.6	9.4                    	63                       	2.7  	150                     	-73.160903	-39.235990   	113    	113         	297.620   	279.957	2.7  	10.2          	6.7  	63.1     	321     	123    	1.243823
20                      	1007.0	9.2                    	63                       	2.8  	150                     	-73.160962	-39.235909   	126    	126         	299.454   	279.688	2.6  	10.0          	6.7  	61.8     	322     	140    	1.242573
