Time [mm:ss]	T [°C]	U [%r H]	Tu Cap [°C]
00:00.7     	--    	--      	--
00:00.7     	      	        	
00:01.1     	--    	49.8    	--
00:02.0     	--    	49.8    	--
00:02.9     	--    	49.8    	--
00:03.8     	--    	49.8    	--
00:04.7     	--    	49.8    	--
00:05.5     	--    	49.8    	20.10
00:06.2     	19.64 	54.7    	20.10
00:07.2     	19.66 	54.6    	20.11
00:08.1     	19.66 	54.6    	20.11
00:09.0     	19.67 	54.7    	20.11
00:09.9     	19.68 	54.6    	20.10
00:10.8     	19.69 	54.6    	20.11
00:11.6     	19.70 	54.6    	20.11
00:12.5     	19.72 	55.2    	20.11
00:13.4     	19.88 	54.9    	20.11
00:14.3     	19.93 	54.6    	20.12
00:15.2     	20.03 	54.4    	20.12
00:16.1     	20.10 	54.2    	20.12
00:17.0     	20.15 	54.0    	20.13
00:17.9     	20.21 	53.9    	20.13
00:18.8     	20.24 	53.9    	20.14
00:19.6     	20.25 	53.8    	20.15
00:20.6     	20.27 	53.6    	20.15
00:21.6     	20.25 	53.5    	20.16
00:22.4     	20.22 	53.4    	20.16
00:23.3     	20.19 	53.4    	20.16
00:24.2     	20.16 	53.4    	20.17
00:25.1     	20.13 	53.4    	20.17
00:26.0     	20.10 	53.5    	20.18
00:26.9     	20.07 	53.5    	20.18
00:27.7     	20.05 	53.6    	20.19
00:28.7     	20.03 	53.6    	20.19
00:29.6     	20.02 	53.6    	20.19
00:30.4     	20.01 	53.6    	20.20
00:31.3     	20.00 	53.6    	20.20
00:32.2     	19.99 	53.7    	20.20
00:33.1     	19.99 	53.7    	20.20
00:34.1     	19.98 	53.7    	20.21
00:35.0     	19.95 	53.8    	20.21
00:35.9     	19.97 	53.7    	20.21
00:36.8     	19.96 	53.7    	20.22
00:37.7     	19.96 	53.7    	20.23
00:38.5     	20.05 	53.6    	20.26
00:39.4     	20.16 	53.4    	20.28
00:40.3     	20.26 	53.6    	20.28
00:41.2     	20.33 	53.7    	20.29
00:42.1     	20.42 	53.4    	20.29
00:43.0     	20.49 	53.1    	20.30
00:43.9     	20.53 	52.9    	20.30
00:44.8     	20.58 	52.3    	20.31
00:45.7     	20.65 	52.3    	20.31
00:46.5     	20.64 	52.3    	20.31
00:47.4     	20.73 	52.8    	20.34
