Time [mm:ss]	T [°C]	U [%r H]  	Tu Cap [°C]
00:00.7     	--    	46.8      	
00:00.7     	--    	0x51 31810	
00:01.6     	--    	46.8      	--
00:02.4     	--    	46.7      	--
00:03.3     	--    	46.7      	--
00:04.3     	--    	46.8      	--
00:05.0     	20.64 	50.1      	20.67
00:05.8     	20.53 	50.5      	20.67
00:06.8     	20.54 	50.7      	20.67
00:07.7     	20.56 	50.7      	20.68
00:08.5     	20.45 	50.8      	20.68
00:09.4     	20.47 	50.7      	20.68
00:10.3     	20.43 	51.2      	20.67
00:11.2     	20.37 	51.6      	20.67
00:12.1     	20.39 	51.3      	20.70
00:13.0     	20.35 	51.5      	20.68
00:13.9     	20.38 	50.9      	20.68
00:14.8     	20.45 	50.9      	20.70
00:15.7     	20.49 	50.9      	20.71
00:16.5     	20.58 	50.6      	20.71
00:17.5     	20.69 	50.4      	20.72
00:18.4     	20.79 	50.2      	20.73
00:19.3     	20.87 	50.1      	20.74
00:20.2     	20.96 	49.9      	20.75
00:21.1     	21.04 	50.6      	20.76
00:22.0     	21.10 	50.2      	20.77
00:22.9     	21.15 	51.5      	20.79
00:23.8     	21.22 	55.1      	20.80
00:24.6     	21.37 	52.6      	20.86
00:25.5     	21.60 	50.6      	20.87
00:26.4     	21.73 	50.0      	20.89
00:27.3     	21.82 	49.8      	20.90
00:28.2     	21.85 	49.7      	20.88
00:29.1     	21.92 	49.2      	20.89
00:30.0     	21.94 	49.1      	20.91
00:31.0     	21.96 	49.1      	20.92
00:31.9     	21.98 	48.4      	20.95
00:32.8     	22.05 	47.9      	20.96
00:33.6     	22.33 	46.7      	20.98
00:34.5     	22.46 	46.0      	21.00
00:35.4     	22.59 	45.8      	21.03
00:36.3     	22.65 	45.6      	21.05
00:37.2     	22.76 	47.3      	21.09
00:38.1     	22.83 	47.2      	21.13
00:39.0     	22.79 	47.1      	21.18
00:39.9     	22.77 	46.8      	21.17
00:40.8     	22.72 	46.6      	21.20
00:41.6     	22.69 	46.6      	21.23
00:42.5     	22.70 	46.4      	21.27
00:43.5     	22.70 	46.4      	21.30
00:44.4     	22.71 	46.4      	21.34
00:45.3     	22.71 	46.5      	21.36
00:46.2     	22.70 	46.6      	21.39
00:47.1     	22.70 	47.2      	21.40
00:48.0     	22.70 	47.4      	21.43
00:48.9     	22.86 	46.9      	21.45
00:49.7     	22.97 	47.0      	21.47
00:50.6     	23.07 	47.2      	21.49
00:51.5     	23.13 	47.6      	21.52
00:52.4     	23.18 	47.7      	21.54
00:53.3     	23.21 	47.7      	21.57
00:54.2     	23.21 	47.2      	21.59
00:55.1     	23.20 	47.3      	21.61
00:56.1     	23.19 	47.2      	21.63
00:57.0     	23.17 	47.1      	21.65
00:57.8     	23.17 	47.0      	21.67
00:58.7     	23.16 	46.8      	21.70
00:59.7     	23.17 	46.7      	21.71
01:00.5     	23.20 	46.4      	21.73
01:01.4     	23.17 	46.4      	21.75
01:02.3     	23.14 	46.5      	21.75
01:03.2     	23.17 	46.7      	21.78
01:04.1     	23.20 	46.5      	21.80
01:05.0     	23.20 	46.2      	21.83
01:05.8     	23.24 	45.6      	21.86
01:06.7     	23.20 	45.3      	21.87
01:07.7     	23.17 	45.1      	21.90
01:08.5     	23.25 	44.9      	21.92
01:09.4     	23.26 	44.5      	21.95
01:10.4     	23.23 	44.6      	21.98
01:11.3     	23.21 	45.8      	22.01
01:12.2     	23.07 	46.2      	22.02
01:13.1     	22.85 	46.0      	22.05
01:13.9     	22.74 	46.5      	22.07
01:14.8     	22.71 	46.8      	22.09
01:15.8     	22.67 	47.0      	22.10
01:16.6     	22.48 	46.6      	22.12
01:17.5     	22.16 	46.9      	22.13
01:18.4     	22.05 	47.3      	22.14
01:19.3     	22.11 	47.4      	22.15
01:20.2     	22.19 	47.4      	22.16
01:21.1     	22.37 	46.7      	22.16
01:21.9     	22.17 	44.7      	22.16
01:23.0     	21.88 	44.5      	22.16
01:23.9     	20.57 	46.2      	22.15
01:24.7     	19.74 	46.5      	22.13
