Time [mm:ss]	T [°C]	U [%r H]    	Tu Cap [°C]
00:01.2     	--    	48.1        	
00:01.2     	--    	0x06 -30.613	
00:02.1     	--    	48.1        	--
00:02.8     	22.27 	51.8        	23.02
00:03.7     	22.31 	54.3        	23.02
00:04.6     	22.36 	54.4        	23.01
00:05.5     	22.42 	54.2        	23.02
00:06.4     	22.44 	54.2        	23.02
00:07.3     	22.23 	54.2        	23.02
00:08.2     	22.15 	53.6        	23.02
00:09.0     	22.15 	53.5        	23.01
00:09.9     	22.17 	53.5        	23.01
00:10.8     	22.21 	53.6        	23.00
00:11.7     	22.24 	53.6        	23.00
00:12.6     	22.29 	53.6        	23.00
00:13.5     	22.35 	53.5        	23.00
00:14.5     	22.41 	53.5        	22.99
00:15.4     	22.51 	53.4        	22.99
00:16.3     	22.57 	53.3        	22.99
00:17.1     	22.54 	53.5        	22.99
00:18.0     	22.58 	53.3        	22.99
00:18.9     	22.61 	53.2        	22.99
00:19.8     	22.65 	53.2        	22.99
00:20.7     	22.67 	53.2        	22.99
00:21.6     	22.68 	53.1        	22.99
00:22.5     	22.71 	53.1        	22.99
00:23.4     	22.68 	53.1        	22.99
00:24.3     	22.74 	52.8        	22.99
00:25.2     	22.73 	52.8        	22.99
00:26.1     	22.72 	52.8        	22.99
00:27.0     	22.71 	52.8        	22.99
00:27.9     	22.67 	52.9        	22.99
00:28.8     	22.67 	52.8        	22.99
00:29.7     	22.67 	52.8        	22.99
00:30.6     	22.71 	52.7        	23.01
00:31.5     	22.84 	52.7        	22.99
00:32.4     	22.88 	52.9        	23.05
00:33.2     	22.92 	52.7        	23.06
00:34.1     	22.87 	52.9        	23.02
00:35.0     	23.02 	52.6        	23.02
00:35.9     	23.10 	53.6        	23.03
00:36.9     	23.17 	54.6        	23.04
00:37.8     	23.25 	54.8        	23.04
00:38.7     	23.29 	54.4        	23.03
00:39.6     	23.29 	53.4        	23.03
00:40.5     	23.30 	53.2        	23.04
00:41.4     	23.22 	53.2        	23.05
00:42.2     	23.29 	52.7        	23.10
00:43.1     	23.40 	52.8        	23.14
00:44.0     	23.48 	51.9        	23.20
00:44.9     	23.43 	51.8        	23.20
00:45.8     	23.41 	52.2        	23.19
00:46.7     	23.44 	51.8        	23.20
00:47.6     	23.58 	52.6        	23.23
00:48.5     	23.58 	52.7        	23.23
00:49.5     	23.56 	51.7        	23.23
00:50.3     	23.51 	51.9        	23.21
00:51.2     	23.44 	51.2        	23.22
00:52.1     	23.46 	50.5        	23.24
00:53.0     	23.36 	53.7        	23.25
00:53.9     	23.29 	52.7        	23.25
00:54.8     	22.67 	48.7        	23.25
00:55.6     	20.73 	46.3        	23.23
00:56.5     	19.27 	47.6        	23.17
00:57.4     	18.41 	49.9        	23.05
00:58.3     	17.39 	53.4        	22.93
00:59.3     	16.36 	54.9        	22.81
01:00.2     	15.56 	57.1        	22.64
01:01.1     	14.68 	57.4        	22.42
01:02.0     	14.14 	58.1        	22.07
01:02.9     	13.65 	59.4        	21.71
01:03.7     	13.37 	60.3        	21.42
01:04.6     	13.21 	61.0        	21.14
01:05.5     	13.09 	63.7        	20.74
01:06.4     	13.18 	63.7        	20.57
01:07.3     	13.17 	60.9        	20.32
01:08.2     	13.15 	59.7        	20.13
01:09.2     	13.15 	59.7        	20.00
01:10.0     	13.16 	60.0        	19.84
01:11.0     	13.05 	60.0        	19.63
01:11.8     	13.01 	60.6        	19.42
01:12.7     	13.02 	60.5        	19.23
01:13.6     	12.91 	60.3        	19.03
01:14.5     	12.86 	59.5        	18.83
01:15.4     	12.75 	58.9        	18.69
01:16.3     	12.73 	58.8        	18.61
01:17.1     	12.74 	58.9        	18.54
01:18.0     	12.78 	59.0        	18.48
01:18.9     	12.91 	60.8        	18.45
01:19.9     	12.95 	60.9        	18.42
01:20.8     	13.02 	61.5        	18.36
01:21.7     	13.07 	62.8        	18.29
01:22.6     	13.27 	63.8        	18.24
01:23.5     	13.37 	63.2        	18.17
01:24.4     	13.38 	63.3        	18.01
01:25.2     	13.37 	63.5        	17.85
01:26.1     	13.32 	62.9        	17.72
01:27.0     	13.30 	62.7        	17.58
01:27.9     	13.30 	62.9        	17.48
01:28.8     	13.31 	63.4        	17.37
01:29.7     	13.28 	63.2        	17.26
01:30.6     	13.26 	62.3        	17.14
01:31.6     	13.26 	62.0        	17.05
01:32.5     	13.30 	62.2        	16.96
01:33.3     	13.25 	64.5        	16.87
01:34.2     	13.26 	65.1        	16.85
01:35.1     	13.36 	65.7        	16.82
01:36.0     	13.43 	62.8        	16.80
01:36.9     	13.49 	63.3        	16.77
01:37.8     	13.54 	62.6        	16.77
01:38.6     	13.58 	63.6        	16.79
01:39.5     	13.63 	64.5        	16.79
01:40.4     	13.68 	63.3        	16.79
01:41.4     	13.68 	61.6        	16.79
01:42.3     	13.67 	63.0        	16.80
01:43.2     	13.67 	61.5        	16.80
01:44.0     	13.61 	60.1        	16.79
