Time [mm:ss]	T [°C]	U [%r H]	Tu Cap [°C]
00:00.8     	--    	--      	--
00:00.8     	      	        	
00:01.2     	--    	49.3    	--
00:02.1     	--    	49.2    	--
00:03.0     	--    	49.2    	--
00:03.6     	20.76 	52.6    	21.22
00:04.5     	20.76 	54.2    	21.22
00:05.4     	20.76 	54.2    	21.22
00:06.4     	20.76 	54.2    	21.21
00:07.3     	20.76 	54.2    	21.21
00:08.2     	20.76 	54.2    	21.21
00:09.0     	20.73 	54.2    	21.21
00:10.0     	20.75 	54.2    	21.21
00:10.9     	20.76 	54.2    	21.19
00:11.7     	20.72 	54.3    	21.19
00:12.6     	20.73 	54.2    	21.19
00:13.5     	20.72 	54.2    	21.19
00:15.0     	20.71 	54.2    	21.18
00:15.3     	20.71 	54.2    	21.18
00:15.5     	--    	54.2    	--
00:16.1     	--    	56.7    	21.24
00:16.7     	21.18 	55.3    	21.22
00:17.6     	21.30 	55.8    	21.22
00:18.5     	21.61 	57.2    	21.23
00:19.4     	21.77 	57.0    	21.25
00:20.4     	21.93 	56.0    	21.32
00:21.3     	21.88 	55.1    	21.38
00:21.7     	21.83 	55.1    	21.31
00:22.1     	21.72 	53.0    	21.32
00:23.1     	21.73 	51.5    	21.33
00:24.0     	21.71 	51.2    	21.34
00:24.8     	21.59 	50.9    	21.30
00:25.7     	21.62 	50.8    	21.32
00:26.6     	21.80 	50.9    	21.34
00:27.5     	22.09 	50.8    	21.35
00:28.4     	22.35 	50.2    	21.37
00:29.3     	22.52 	49.0    	21.40
00:30.1     	22.58 	48.6    	21.45
00:31.1     	22.66 	48.7    	21.48
00:32.1     	22.77 	49.4    	21.50
00:32.9     	22.89 	49.1    	21.51
00:33.8     	22.97 	48.8    	21.55
00:34.7     	23.00 	48.5    	21.59
00:35.6     	23.08 	48.2    	21.66
00:36.5     	23.18 	48.1    	21.69
00:37.4     	23.19 	47.8    	21.72
00:38.3     	23.25 	47.7    	21.75
00:39.2     	23.30 	47.6    	21.77
00:40.1     	23.34 	48.3    	21.79
00:40.9     	23.37 	49.3    	21.80
00:41.8     	23.42 	49.3    	21.83
00:42.7     	23.50 	49.5    	21.83
00:43.6     	23.57 	48.8    	21.88
00:44.5     	23.56 	48.7    	21.89
00:45.4     	23.72 	48.9    	21.92
00:46.4     	23.74 	48.8    	21.96
00:47.3     	23.71 	48.8    	21.99
00:48.2     	23.70 	49.2    	22.02
00:49.0     	23.69 	48.3    	22.06
00:49.9     	23.60 	48.2    	22.09
00:50.8     	23.61 	48.3    	22.12
00:51.7     	23.58 	48.5    	22.14
00:52.6     	23.53 	48.5    	22.17
00:53.5     	23.51 	48.4    	22.20
00:54.4     	23.49 	48.4    	22.22
00:55.3     	23.51 	48.5    	22.25
00:56.2     	23.52 	48.3    	22.27
00:57.0     	23.50 	48.2    	22.29
00:57.9     	23.48 	48.1    	22.32
00:58.8     	23.45 	48.0    	22.34
00:59.7     	23.45 	47.9    	22.36
01:00.7     	23.45 	47.8    	22.34
01:01.6     	23.45 	47.9    	22.40
01:02.5     	23.44 	47.9    	22.42
01:03.4     	23.40 	47.8    	22.43
01:04.3     	23.39 	47.7    	22.45
01:05.1     	23.37 	47.5    	22.48
01:06.0     	23.34 	47.5    	22.50
01:06.9     	23.34 	47.3    	22.52
01:07.8     	23.32 	47.2    	22.53
01:08.7     	23.30 	47.1    	22.55
01:09.6     	23.30 	46.9    	22.57
01:10.5     	23.28 	46.8    	22.58
01:11.4     	23.25 	46.6    	22.60
01:12.3     	23.21 	46.4    	22.62
01:13.1     	23.17 	46.4    	22.63
01:14.0     	23.16 	46.4    	22.65
01:15.0     	23.16 	46.5    	22.66
01:15.9     	23.16 	46.7    	22.68
01:16.8     	23.16 	46.8    	22.69
01:17.7     	23.17 	46.9    	22.70
01:18.6     	23.17 	47.0    	22.72
01:19.5     	23.18 	47.1    	22.74
01:20.4     	23.21 	47.0    	22.75
01:21.2     	23.22 	47.1    	22.76
01:22.1     	23.24 	47.2    	22.77
01:23.0     	23.29 	47.3    	22.78
01:23.9     	23.35 	47.5    	22.79
01:24.8     	23.47 	47.4    	22.81
01:25.7     	23.48 	47.3    	22.83
01:26.6     	23.49 	47.1    	22.84
01:27.6     	23.48 	47.0    	22.85
01:28.5     	23.46 	46.9    	22.86
01:29.3     	23.44 	46.9    	22.87
01:30.2     	23.44 	46.8    	22.88
01:31.2     	23.43 	46.8    	22.89
01:32.0     	23.43 	46.9    	22.90
01:32.9     	23.44 	47.0    	22.91
01:33.8     	23.49 	47.1    	22.90
01:34.7     	23.52 	47.1    	22.92
01:35.6     	23.37 	47.1    	22.93
01:36.5     	23.21 	47.2    	22.94
01:37.4     	23.10 	47.4    	22.96
01:38.3     	23.11 	47.4    	22.97
01:39.2     	23.10 	47.6    	22.98
01:40.0     	23.09 	47.6    	22.99
01:41.0     	23.15 	47.6    	23.01
01:41.9     	23.13 	48.0    	23.02
01:42.8     	23.21 	47.8    	23.03
01:43.7     	23.33 	47.4    	23.04
01:44.6     	23.37 	47.5    	23.05
01:45.5     	23.28 	47.7    	23.05
01:46.4     	23.28 	47.7    	23.06
01:47.3     	23.34 	47.7    	23.08
01:48.1     	23.47 	47.5    	23.10
01:49.0     	23.53 	47.5    	23.10
01:49.9     	23.56 	47.6    	23.11
01:50.8     	23.65 	47.4    	23.13
01:51.7     	23.70 	47.7    	23.14
01:52.6     	23.80 	47.1    	23.17
01:53.5     	23.79 	46.8    	23.15
