Time [mm:ss]	T [°C]	U [%r H]	Tu Cap [°C]
00:00.6     	--    	--      	--
00:00.6     	      	        	
00:01.0     	--    	43.7    	--
00:01.9     	--    	43.4    	--
00:02.8     	--    	43.2    	--
00:03.7     	--    	43.0    	--
00:04.6     	--    	43.0    	--
00:05.5     	--    	42.9    	--
00:06.5     	--    	42.8    	--
00:07.4     	--    	42.7    	--
00:08.0     	21.09 	46.2    	22.23
00:08.9     	21.07 	49.8    	22.23
00:09.8     	21.04 	48.9    	22.13
00:10.7     	21.08 	50.7    	22.16
00:11.6     	21.14 	51.1    	22.15
00:12.5     	21.19 	52.7    	22.14
00:13.4     	21.30 	54.4    	22.14
00:14.2     	21.36 	53.9    	22.14
00:15.1     	21.47 	54.2    	22.13
00:16.0     	21.61 	52.4    	22.17
00:16.9     	21.74 	51.0    	22.25
00:17.8     	21.77 	52.1    	22.25
00:18.7     	21.74 	53.0    	22.23
00:19.7     	21.85 	51.3    	22.28
00:20.6     	21.93 	50.0    	22.28
00:21.5     	21.98 	49.3    	22.26
00:22.3     	21.95 	49.2    	22.25
00:23.2     	21.89 	48.0    	22.23
00:24.1     	21.90 	46.7    	22.15
00:25.0     	21.92 	47.2    	22.14
00:25.9     	21.94 	47.1    	22.14
00:26.8     	21.95 	47.0    	22.15
00:27.7     	21.90 	47.1    	22.12
00:28.6     	21.86 	46.9    	22.13
00:29.5     	21.88 	47.2    	22.13
00:30.3     	21.89 	47.3    	22.13
00:31.2     	21.89 	46.9    	22.13
00:32.1     	21.91 	48.1    	22.14
00:33.0     	21.99 	47.8    	22.14
00:34.0     	22.08 	47.4    	22.16
00:34.9     	22.15 	47.7    	22.15
00:35.8     	22.26 	47.6    	22.16
00:36.7     	22.32 	50.2    	22.16
00:37.6     	22.37 	48.7    	22.17
00:38.4     	22.39 	47.9    	22.18
00:39.3     	22.38 	47.1    	22.18
00:40.3     	22.29 	47.0    	22.20
00:41.1     	22.29 	46.8    	22.20
00:42.0     	22.25 	47.2    	22.20
00:42.9     	22.36 	48.6    	22.20
00:43.8     	22.44 	48.1    	22.22
00:44.7     	22.39 	47.0    	22.21
00:45.6     	21.69 	46.2    	22.22
00:46.4     	21.00 	45.3    	22.22
00:47.4     	20.08 	46.8    	22.21
00:48.4     	19.33 	48.8    	22.18
00:49.2     	18.75 	49.9    	22.18
00:50.1     	17.81 	49.0    	22.13
00:51.0     	16.89 	52.6    	22.04
00:51.9     	16.47 	56.1    	22.03
00:52.8     	16.00 	55.8    	21.89
00:53.7     	15.72 	55.8    	21.79
00:54.5     	15.56 	58.3    	21.66
00:55.5     	15.44 	58.1    	21.55
00:56.4     	15.29 	57.6    	21.38
00:57.2     	15.09 	55.7    	21.23
00:58.1     	14.96 	56.6    	21.08
00:59.0     	15.03 	58.0    	20.96
00:59.9     	15.27 	59.2    	20.83
01:00.9     	15.54 	60.1    	20.72
01:01.8     	15.86 	60.3    	20.60
01:02.6     	16.17 	60.5    	20.49
01:03.6     	16.46 	60.9    	20.41
01:04.5     	16.83 	61.9    	20.37
01:05.3     	17.07 	62.1    	20.30
01:06.2     	17.05 	55.6    	20.22
01:07.1     	17.02 	54.2    	20.15
01:08.0     	16.89 	53.4    	20.08
01:08.9     	16.81 	52.2    	20.02
01:09.8     	16.70 	51.7    	19.95
01:10.6     	16.72 	54.0    	19.89
01:11.5     	16.79 	56.1    	19.83
01:12.4     	16.83 	56.6    	19.77
01:13.4     	16.75 	57.7    	19.71
01:14.3     	16.71 	58.5    	19.65
01:15.2     	16.60 	56.1    	19.59
01:16.1     	16.47 	57.5    	19.52
01:17.0     	16.33 	58.2    	19.44
01:17.9     	15.95 	57.8    	19.35
01:18.7     	15.87 	61.1    	19.25
01:19.6     	15.90 	57.8    	19.14
01:20.6     	15.50 	53.8    	19.03
01:21.4     	15.39 	58.2    	18.92
01:22.3     	15.90 	67.0    	18.83
01:23.2     	15.94 	58.7    	18.74
01:24.1     	16.11 	63.8    	18.67
01:25.0     	16.48 	64.5    	18.61
01:25.9     	16.59 	63.0    	18.55
01:26.8     	16.80 	62.0    	18.50
01:27.7     	16.54 	56.8    	18.45
01:28.7     	16.31 	56.5    	18.40
01:29.5     	16.03 	55.2    	18.35
01:30.4     	15.92 	56.6    	18.29
01:31.3     	15.69 	55.5    	18.23
01:32.2     	15.46 	53.8    	18.15
01:33.1     	15.32 	53.8    	18.10
01:34.0     	15.38 	55.8    	18.06
01:34.9     	15.47 	57.2    	18.02
01:35.7     	15.52 	56.6    	17.99
01:36.7     	15.90 	60.8    	17.95
01:37.6     	15.97 	58.4    	17.93
01:38.4     	15.77 	55.3    	17.90
01:39.3     	15.70 	56.2    	17.87
01:40.3     	15.67 	57.2    	17.84
