Flight Information:
Launch Date:            	      	                       	Sunday, 13 December 2020	     	                       	          	Launch Time: 	       	            	16:01:23  	          	        	End of Ascent:	     	         	01:31:04
Station name:           	      	                       	                        	     	                       	          	Serialnumber:	       	            	20027715
Ground values:
Pressure:               	      	                       	1023.7 hPa              	     	                       	          	Temperature: 	       	            	15.5 °C   	          	        	Humidity:     	     	         	53 %
Wind Direction:         	      	                       	207 °                   	     	                       	          	Wind Speed:  	       	            	4 m/s     	          	        	Cloud group:  	     	         	9////
Position:
Longitude:              	      	                       	-73.161 °               	     	                       	          	Latitude:    	       	            	-39.236 ° 	          	        	Altitude:     	     	         	3 m
Staff:
Company:                	      	                       	
Operator:               	      	                       	                        	     	                       	          	
Events:
Highest Point:          	      	                       	10.7 hPa                	     	                       	          	30704 m
Tropopauses:            	      	                       	1.: 189.7 hPa           	     	                       	          	2.: 98.2 hPa 	       	            	
Max Winds:              	      	                       	1.: 191.9 hPa           	     	                       	          	             	       	            	
Remarks:

Profile Data:
Time                    	P     	T                      	Hu                      	Ws   	Wd                     	Long.     	Lat.         	Alt    	Geopot      	MRI       	RI        	Dewp.   	Virt. Temp    	Rs   	Elevation	Azimuth 	Range  	D
[sec]                   	[hPa] 	[°C]                   	[%]                     	[m/s]	[°]                    	[°]       	[°]          	[m]    	[m]         	          	          	[°C]    	[°C]          	[m/s]	[°]      	[°]     	[m]    	[kg/m3]
0                       	1023.7	15.5                   	53                      	3.5  	207                    	-73.160400	-39.236200   	3      	3           	278.053   	277.582   	6.0     	16.5          	0.0  	1.9      	078     	9      	1.235718
1                       	1023.0	15.2                   	52                      	3.6  	208                    	-73.160304	-39.236135   	9      	9           	279.045   	277.664   	5.5     	16.1          	5.8  	17.6     	062     	20     	1.236217
2                       	1022.3	14.9                   	51                      	3.8  	210                    	-73.160209	-39.236070   	15     	15          	280.054   	277.746   	5.0     	15.8          	5.8  	21.8     	057     	32     	1.236718
3                       	1021.6	14.6                   	51                      	3.9  	211                    	-73.160113	-39.236005   	21     	21          	281.047   	277.828   	4.5     	15.4          	5.8  	23.5     	055     	45     	1.237220
4                       	1020.9	14.2                   	50                      	4.1  	212                    	-73.160018	-39.235939   	26     	26          	282.040   	277.911   	4.0     	15.1          	5.8  	24.5     	054     	57     	1.237725
5                       	1020.2	13.9                   	49                      	4.2  	213                    	-73.159922	-39.235874   	32     	32          	283.033   	277.994   	3.5     	14.8          	5.8  	25.1     	053     	69     	1.238231
6                       	1019.5	13.6                   	48                      	4.3  	214                    	-73.159827	-39.235809   	38     	38          	284.043   	278.077   	2.9     	14.4          	5.8  	25.6     	052     	82     	1.238738
7                       	1018.8	13.4                   	48                      	4.5  	215                    	-73.159731	-39.235744   	44     	44          	284.926   	278.049   	2.5     	14.2          	5.8  	25.9     	052     	94     	1.238757
8                       	1018.1	13.4                   	48                      	4.6  	215                    	-73.159636	-39.235679   	50     	50          	285.691   	277.903   	2.6     	14.2          	5.8  	26.1     	051     	106    	1.238057
9                       	1017.4	13.3                   	48                      	4.7  	216                    	-73.159540	-39.235614   	55     	55          	286.458   	277.761   	2.6     	14.1          	5.8  	26.3     	051     	119    	1.237357
10                      	1016.7	13.3                   	48                      	4.9  	217                    	-73.159445	-39.235549   	61     	61          	287.242   	277.618   	2.7     	14.1          	5.8  	26.5     	051     	131    	1.236657
11                      	1016.0	13.3                   	49                      	5.0  	218                    	-73.159349	-39.235484   	67     	67          	288.010   	277.475   	2.7     	14.1          	5.8  	26.6     	051     	144    	1.235957
12                      	1015.3	13.2                   	49                      	5.2  	218                    	-73.159253	-39.235418   	73     	73          	288.778   	277.332   	2.8     	14.0          	5.8  	26.7     	051     	156    	1.235258
13                      	1014.6	13.2                   	49                      	5.3  	219                    	-73.159158	-39.235353   	79     	79          	289.547   	277.192   	2.8     	14.0          	5.8  	26.8     	050     	168    	1.234567
14                      	1013.9	13.2                   	49                      	5.4  	220                    	-73.159062	-39.235288   	85     	85          	290.333   	277.051   	2.8     	14.0          	5.8  	26.9     	050     	181    	1.233876
15                      	1013.2	13.1                   	50                      	5.6  	220                    	-73.158971	-39.235225   	90     	90          	291.103   	276.910   	2.9     	13.9          	5.8  	27.0     	050     	193    	1.233186
16                      	1012.5	13.1                   	50                      	5.7  	221                    	-73.158909	-39.235177   	96     	96          	291.873   	276.769   	2.9     	13.9          	5.8  	27.5     	050     	202    	1.232496
17                      	1011.8	13.0                   	50                      	5.8  	221                    	-73.158847	-39.235130   	102    	102         	292.643   	276.629   	3.0     	13.9          	5.8  	28.0     	050     	212    	1.231806
18                      	1011.1	13.0                   	51                      	6.0  	222                    	-73.158785	-39.235082   	108    	108         	293.366   	276.489   	3.0     	13.8          	5.5  	28.3     	050     	221    	1.231117
19                      	1010.6	13.0                   	51                      	6.1  	222                    	-73.158722	-39.235034   	112    	112         	293.938   	276.401   	3.1     	13.8          	4.2  	28.4     	049     	230    	1.230665
20                      	1010.1	12.9                   	51                      	6.2  	223                    	-73.158660	-39.234986   	116    	116         	294.498   	276.317   	3.1     	13.7          	4.2  	28.4     	049     	238    	1.230228
21                      	1009.6	12.9                   	51                      	6.3  	223                    	-73.158598	-39.234938   	120    	120         	295.079   	276.239   	3.1     	13.7          	4.2  	28.4     	049     	247    	1.229813
22                      	1009.1	12.8                   	52                      	6.5  	223                    	-73.158536	-39.234890   	124    	124         	295.645   	276.161   	3.2     	13.7          	4.2  	28.4     	049     	255    	1.229398
23                      	1008.6	12.8                   	52                      	6.6  	224                    	-73.158474	-39.234843   	128    	128         	296.226   	276.083   	3.2     	13.6          	4.2  	28.4     	049     	264    	1.228983
24                      	1008.1	12.8                   	52                      	6.8  	224                    	-73.158412	-39.234795   	133    	132         	296.808   	276.005   	3.3     	13.6          	4.2  	28.4     	049     	273    	1.228569
25                      	1007.6	12.7                   	53                      	6.9  	225                    	-73.158349	-39.234747   	137    	137         	297.374   	275.927   	3.3     	13.5          	4.2  	28.4     	049     	281    	1.228154
26                      	1007.1	12.7                   	53                      	7.1  	225                    	-73.158287	-39.234699   	141    	141         	297.955   	275.849   	3.3     	13.5          	4.2  	28.5     	049     	290    	1.227739
27                      	1006.6	12.6                   	53                      	7.2  	225                    	-73.158225	-39.234651   	145    	145         	298.521   	275.772   	3.4     	13.5          	4.2  	28.5     	048     	298    	1.227325
28                      	1006.1	12.6                   	54                      	7.3  	226                    	-73.158163	-39.234603   	149    	149         	299.102   	275.694   	3.4     	13.4          	4.2  	28.5     	048     	307    	1.226910
29                      	1005.6	12.5                   	54                      	7.5  	226                    	-73.158101	-39.234555   	153    	153         	299.668   	275.616   	3.5     	13.4          	4.2  	28.5     	048     	316    	1.226496
30                      	1005.1	12.5                   	54                      	7.6  	226                    	-73.158039	-39.234508   	157    	157         	300.250   	275.538   	3.5     	13.3          	4.2  	28.5     	048     	324    	1.226082
31                      	1004.6	12.4                   	54                      	7.6  	226                    	-73.157977	-39.234460   	162    	161         	300.816   	275.461   	3.5     	13.3          	4.2  	28.5     	048     	333    	1.225667
32                      	1004.1	12.4                   	55                      	7.6  	226                    	-73.157914	-39.234412   	166    	166         	301.398   	275.383   	3.6     	13.2          	4.2  	28.5     	048     	341    	1.225253
33                      	1003.6	12.3                   	55                      	7.5  	226                    	-73.157852	-39.234364   	170    	170         	301.964   	275.305   	3.6     	13.2          	4.2  	28.5     	048     	350    	1.224839
34                      	1003.1	12.3                   	55                      	7.5  	226                    	-73.157790	-39.234316   	174    	174         	302.529   	275.211   	3.6     	13.2          	4.2  	28.5     	048     	359    	1.224394
35                      	1002.6	12.3                   	55                      	7.5  	226                    	-73.157728	-39.234268   	178    	178         	303.075   	275.113   	3.6     	13.1          	4.2  	28.5     	048     	367    	1.223949
36                      	1002.1	12.2                   	55                      	7.5  	226                    	-73.157666	-39.234221   	182    	182         	303.637   	275.016   	3.5     	13.1          	4.2  	28.5     	048     	376    	1.223504
37                      	1001.6	12.2                   	55                      	7.4  	226                    	-73.157604	-39.234173   	186    	186         	304.183   	274.919   	3.5     	13.0          	4.2  	28.5     	048     	384    	1.223059
38                      	1001.1	12.2                   	55                      	7.4  	225                    	-73.157541	-39.234125   	191    	191         	304.745   	274.821   	3.5     	13.0          	4.2  	28.6     	048     	393    	1.222614
39                      	1000.6	12.1                   	55                      	7.4  	225                    	-73.157479	-39.234077   	195    	195         	305.292   	274.724   	3.4     	13.0          	4.2  	28.6     	048     	402    	1.222169
