Time [mm:ss]	T [°C]	U [%r H]	Tu Cap [°C]
00:00.8     	--    	--      	--
00:00.8     	      	        	
00:01.3     	--    	48.4    	--
00:02.2     	--    	48.7    	--
00:03.1     	--    	48.6    	--
00:04.0     	--    	48.5    	--
00:04.7     	20.32 	51.7    	20.91
00:05.6     	20.33 	53.7    	20.91
00:06.5     	20.35 	53.6    	20.91
00:07.4     	20.36 	53.6    	20.91
00:08.2     	20.36 	53.6    	20.92
00:09.1     	20.38 	53.5    	20.92
00:10.0     	20.42 	53.4    	20.91
00:10.9     	20.41 	53.5    	20.91
00:11.8     	20.57 	53.7    	20.88
00:12.8     	20.65 	53.0    	20.92
00:13.7     	20.68 	53.8    	20.93
00:14.6     	20.88 	54.4    	20.94
00:15.5     	20.99 	54.4    	20.94
00:16.3     	21.03 	53.7    	20.95
00:17.2     	21.04 	53.1    	20.96
00:18.1     	21.05 	52.7    	20.96
00:19.0     	21.05 	52.5    	20.97
00:19.9     	21.04 	52.4    	20.96
00:20.8     	21.06 	52.2    	20.97
00:21.6     	21.11 	51.6    	21.01
00:22.6     	21.09 	51.8    	20.99
00:23.5     	21.05 	51.7    	21.02
00:24.4     	21.00 	52.2    	21.02
00:25.3     	20.95 	52.5    	21.05
00:26.2     	20.92 	52.6    	21.03
00:27.1     	20.83 	52.3    	21.03
00:28.0     	20.74 	52.5    	21.01
00:28.9     	20.70 	52.6    	21.01
00:29.7     	20.68 	53.0    	21.00
00:30.6     	20.75 	53.8    	21.01
00:31.5     	20.80 	54.1    	21.01
00:32.4     	20.81 	53.9    	21.02
00:33.4     	20.79 	53.5    	21.02
00:34.3     	20.76 	53.0    	21.02
00:35.2     	20.71 	52.6    	21.01
00:36.1     	20.62 	52.6    	21.03
00:36.9     	20.14 	53.4    	21.03
00:37.8     	19.72 	54.6    	21.02
00:38.7     	19.35 	55.1    	21.00
00:39.6     	18.03 	55.2    	20.82
00:40.5     	16.47 	58.6    	20.65
00:41.4     	15.50 	62.8    	20.50
00:42.3     	14.96 	66.3    	20.33
00:43.1     	14.68 	65.4    	20.11
00:44.1     	14.41 	66.3    	19.88
00:45.0     	14.34 	68.2    	19.67
00:45.9     	14.47 	69.5    	19.46
00:46.8     	14.64 	70.8    	19.25
00:47.7     	14.71 	68.3    	19.06
00:48.6     	14.55 	66.2    	18.87
00:49.5     	14.52 	66.4    	18.71
00:50.4     	14.40 	66.3    	18.53
00:51.2     	14.36 	65.2    	18.36
00:52.1     	14.26 	66.9    	18.21
00:53.0     	14.44 	68.5    	18.06
00:53.9     	14.59 	67.0    	17.91
00:54.8     	14.52 	67.6    	17.77
00:55.8     	14.58 	66.9    	17.61
00:56.7     	14.82 	67.0    	17.47
00:57.5     	14.73 	66.5    	17.35
00:58.5     	14.68 	65.4    	17.22
00:59.4     	14.59 	66.0    	17.11
01:00.2     	14.63 	65.3    	17.02
01:01.1     	14.72 	67.2    	16.94
01:02.0     	14.98 	67.2    	16.87
01:02.9     	14.95 	66.3    	16.81
01:03.8     	15.00 	65.3    	16.76
01:04.7     	14.94 	65.0    	16.70
01:05.5     	14.82 	63.8    	16.64
01:06.5     	14.52 	64.0    	16.57
01:07.4     	14.44 	64.5    	16.50
01:08.3     	14.36 	64.1    	16.42
01:09.2     	14.26 	66.0    	16.34
01:10.1     	14.44 	67.1    	16.28
01:11.0     	14.69 	66.7    	16.23
01:11.9     	14.62 	64.3    	16.18
01:12.8     	14.42 	64.2    	16.13
01:13.6     	14.55 	66.0    	16.10
01:14.5     	14.79 	64.8    	16.06
01:15.4     	14.76 	65.2    	16.03
01:16.4     	14.81 	64.1    	15.99
01:17.3     	14.65 	64.1    	15.94
01:18.2     	14.61 	63.4    	15.94
01:19.0     	14.58 	64.2    	15.93
01:20.0     	14.51 	63.6    	15.91
01:20.9     	14.32 	63.0    	15.89
01:21.7     	14.13 	63.7    	15.85
01:22.6     	14.07 	65.4    	15.82
01:23.5     	14.11 	64.3    	15.78
01:24.4     	13.95 	63.9    	15.74
01:25.3     	13.93 	64.8    	15.70
01:26.2     	13.94 	64.3    	15.66
01:27.1     	13.91 	65.0    	15.62
01:28.0     	14.10 	66.3    	15.59
01:28.9     	13.98 	64.2    	15.55
01:29.8     	14.05 	66.5    	15.50
01:30.7     	14.24 	65.7    	15.46
01:31.6     	14.27 	63.9    	15.43
01:32.5     	14.26 	66.3    	15.40
01:33.4     	14.35 	67.2    	15.38
01:34.3     	14.27 	63.8    	15.35
01:35.1     	14.30 	65.9    	15.34
01:36.0     	14.72 	67.9    	15.34
01:36.9     	14.94 	66.1    	15.35
01:37.9     	14.91 	65.5    	15.36
01:38.8     	14.73 	64.2    	15.37
01:39.7     	14.82 	65.9    	15.39
01:40.6     	14.84 	64.2    	15.40
01:41.5     	14.52 	64.5    	15.41
01:42.4     	14.39 	64.4    	15.41
01:43.2     	14.42 	65.2    	15.42
01:44.1     	14.48 	65.1    	15.42
01:45.0     	14.67 	68.0    	15.43
01:45.9     	15.03 	69.2    	15.45
01:46.8     	15.35 	68.3    	15.48
01:47.7     	15.22 	66.0    	15.51
01:48.6     	15.27 	66.8    	15.55
01:49.5     	15.35 	65.8    	15.59
01:50.5     	14.99 	64.3    	15.61
01:51.3     	14.88 	64.2    	15.63
01:52.2     	14.74 	64.7    	15.65
01:53.1     	14.72 	65.9    	15.66
01:54.0     	14.69 	65.4    	15.68
01:54.9     	14.73 	65.5    	15.69
01:55.8     	14.84 	67.0    	15.70
