Flight Information:
Launch Date:            	      	                       	Sunday, 13 December 2020	        	                       	          	Launch Time: 	       	            	21:00:12  	       	     	End of Ascent:	     	         	01:56:41
Station name:           	      	                       	OKSTATE USRI            	        	                       	          	Serialnumber:	       	            	20028047
Ground values:
Pressure:               	      	                       	1023.4 hPa              	        	                       	          	Temperature: 	       	            	15.1 ?C   	       	     	Humidity:     	     	         	56 %
Wind Direction:         	      	                       	199 ?                   	        	                       	          	Wind Speed:  	       	            	3 m/s     	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	      	                       	-73.161 ?               	        	                       	          	Latitude:    	       	            	-39.236 ? 	       	     	Altitude:     	     	         	3 m
Staff:
Company:                	      	                       	
Operator:               	      	                       	                        	        	                       	          	
Events:
Highest Point:          	      	                       	7.0 hPa                 	        	                       	          	33937 m
Tropopauses:            	      	                       	1.: 186.8 hPa           	        	                       	          	2.: 71.9 hPa 	       	            	
Max Winds:              	      	                       	1.: 188.3 hPa           	        	                       	          	2.: 9.4 hPa  	       	            	
Remarks:

Profile Data:
Time                    	P     	T                      	Hu                      	Ws      	Wd                     	Long.     	Lat.         	Alt    	Geopot      	MRI       	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range  	D
[sec]                   	[hPa] 	[?C]                   	[%]                     	[m/s]   	[?]                    	[?]       	[?]          	[m]    	[m]         	          	       	[?C] 	[?C]          	[m/s]	[?]      	[?]     	[m]    	[kg/m3]
0                       	1023.4	15.1                   	56                      	2.7     	199                    	-73.160525	-39.236416   	0      	0           	278.024   	278.024	6.4  	16.1          	-    	-82.3    	180     	3      	1.237070
2                       	1021.8	14.7                   	56                      	3.0     	204                    	-73.160390	-39.236347   	13     	13          	280.019   	277.978	6.2  	15.7          	6.5  	37.0     	058     	17     	1.236740
4                       	1020.3	14.4                   	57                      	3.2     	209                    	-73.160256	-39.236279   	26     	26          	282.014   	277.932	6.0  	15.4          	6.5  	40.2     	057     	36     	1.236412
6                       	1018.7	14.0                   	57                      	3.5     	213                    	-73.160121	-39.236210   	39     	39          	284.009   	277.886	5.7  	15.0          	6.5  	41.2     	057     	55     	1.236086
8                       	1017.1	13.8                   	58                      	3.7     	216                    	-73.159987	-39.236142   	52     	52          	285.857   	277.693	5.6  	14.8          	6.5  	41.7     	057     	74     	1.235115
10                      	1015.6	13.6                   	58                      	4.0     	220                    	-73.159852	-39.236074   	65     	65          	287.642   	277.437	5.6  	14.6          	6.5  	42.0     	057     	93     	1.233880
12                      	1014.0	13.5                   	58                      	4.3     	222                    	-73.159718	-39.236005   	78     	78          	289.443   	277.181	5.5  	14.4          	6.5  	42.2     	057     	112    	1.232647
14                      	1012.4	13.3                   	59                      	4.5     	225                    	-73.159584	-39.235937   	91     	91          	291.227   	276.925	5.5  	14.3          	6.5  	42.4     	057     	131    	1.231409
16                      	1010.9	13.2                   	59                      	4.8     	227                    	-73.159452	-39.235862   	104    	104         	293.012   	276.668	5.4  	14.1          	6.5  	42.4     	057     	150    	1.230172
18                      	1009.3	13.0                   	60                      	5.0     	228                    	-73.159324	-39.235781   	117    	117         	294.797   	276.413	5.3  	14.0          	6.5  	42.4     	056     	170    	1.228938
20                      	1007.7	12.9                   	60                      	5.3     	230                    	-73.159195	-39.235699   	130    	130         	296.592   	276.151	5.3  	13.8          	6.5  	42.4     	055     	189    	1.227674
22                      	1006.2	12.7                   	60                      	5.5     	232                    	-73.159067	-39.235617   	143    	143         	298.369   	275.871	5.3  	13.7          	6.5  	42.4     	055     	208    	1.226318
24                      	1004.6	12.6                   	61                      	5.8     	233                    	-73.158939	-39.235535   	156    	156         	300.130   	275.591	5.3  	13.6          	6.5  	42.4     	055     	228    	1.224963
26                      	1003.0	12.5                   	61                      	6.1     	234                    	-73.158811	-39.235453   	169    	169         	301.907   	275.312	5.2  	13.4          	6.5  	42.4     	054     	247    	1.223607
28                      	1001.5	12.3                   	62                      	6.3     	235                    	-73.158683	-39.235372   	183    	182         	303.685   	275.032	5.2  	13.3          	6.5  	42.4     	054     	266    	1.222253
30                      	999.9 	12.2                   	62                      	6.6     	236                    	-73.158554	-39.235290   	196    	195         	305.447   	274.754	5.2  	13.2          	6.5  	42.4     	054     	286    	1.220900
32                      	998.4 	12.1                   	63                      	6.6     	236                    	-73.158426	-39.235208   	209    	209         	307.225   	274.475	5.2  	13.0          	6.5  	42.4     	054     	305    	1.219547
34                      	996.8 	12.0                   	63                      	6.7     	235                    	-73.158298	-39.235126   	222    	222         	308.992   	274.201	5.1  	12.9          	6.5  	42.4     	053     	324    	1.218223
36                      	995.3 	11.8                   	63                      	6.8     	234                    	-73.158170	-39.235045   	235    	235         	310.781   	273.933	5.1  	12.8          	6.5  	42.4     	053     	344    	1.216935
38                      	993.7 	11.7                   	64                      	6.8     	234                    	-73.158042	-39.234963   	248    	248         	312.570   	273.665	5.0  	12.6          	6.5  	42.4     	053     	363    	1.215646
40                      	992.2 	11.5                   	64                      	6.9     	233                    	-73.157914	-39.234881   	261    	261         	314.343   	273.397	5.0  	12.5          	6.5  	42.4     	053     	383    	1.214359
42                      	990.6 	11.4                   	64                      	7.0     	233                    	-73.157785	-39.234799   	274    	274         	316.132   	273.130	4.9  	12.3          	6.5  	42.4     	053     	402    	1.213073
