Time [sec]	P [hPa]	T [°C]	Hu [%]	Ws [m/s]	Wd [°]	Ws U [m/s]	Ws V [m/s]	Alt [m]	Geopot [m]	Lon [°]   	Lat [°]   	Dew [°C]	Vi Te [°C]	RI       	MRI      	Rs [m/s]	Elevation [°]	Azimuth [°]	Range [m]	D [kg/m3]
0         	1023.2 	14.4  	61    	5.2     	209   	2.5       	4.5       	3      	3         	-73.160545	-39.236217	7.0     	15.5      	278.88   	279.35   	0.0     	39.2         	180        	0        	1.239839
1         	1022.5 	14.3  	999999	5.2     	210   	2.6       	4.5       	9      	9         	-73.160495	-39.236209	999999.0	999999.0  	999999.00	999999.00	5.8     	54.6         	083        	7        	1.239453
2         	1021.8 	14.2  	999999	5.2     	211   	2.7       	4.4       	15     	15        	-73.160445	-39.236201	999999.0	999999.0  	999999.00	999999.00	5.8     	54.0         	081        	15       	1.239067
3         	1021.1 	14.1  	999999	5.2     	212   	2.8       	4.4       	21     	21        	-73.160395	-39.236194	999999.0	999999.0  	999999.00	999999.00	5.8     	53.6         	080        	22       	1.238681
4         	1020.4 	14.0  	999999	5.3     	214   	2.9       	4.4       	26     	26        	-73.160345	-39.236186	999999.0	999999.0  	999999.00	999999.00	5.8     	53.4         	080        	29       	1.238296
5         	1019.7 	13.9  	999999	5.3     	215   	3.0       	4.4       	32     	32        	-73.160295	-39.236178	999999.0	999999.0  	999999.00	999999.00	5.8     	53.4         	079        	37       	1.237911
6         	1019.0 	13.7  	999999	5.3     	216   	3.1       	4.3       	38     	38        	-73.160245	-39.236170	999999.0	999999.0  	999999.00	999999.00	5.8     	53.3         	079        	44       	1.237526
7         	1018.3 	13.7  	64    	5.3     	217   	3.2       	4.2       	44     	44        	-73.160195	-39.236162	7.1     	14.7      	278.42   	285.29   	5.8     	53.2         	079        	51       	1.237010
8         	1017.6 	13.6  	64    	5.3     	218   	3.3       	4.2       	50     	50        	-73.160145	-39.236154	7.0     	14.7      	278.30   	286.10   	5.8     	53.2         	079        	59       	1.236461
9         	1016.9 	13.5  	64    	5.3     	219   	3.3       	4.1       	56     	56        	-73.160095	-39.236146	7.0     	14.6      	278.18   	286.89   	5.8     	53.2         	079        	66       	1.235913
10        	1016.2 	13.5  	65    	5.3     	220   	3.4       	4.0       	61     	61        	-73.160046	-39.236138	6.9     	14.5      	278.06   	287.68   	5.8     	53.2         	079        	73       	1.235365
11        	1015.4 	13.4  	65    	5.4     	222   	3.6       	4.0       	67     	67        	-73.159996	-39.236130	6.8     	14.4      	277.94   	288.48   	5.8     	53.1         	079        	81       	1.234817
12        	1014.7 	13.3  	65    	5.4     	223   	3.7       	4.0       	73     	73        	-73.159946	-39.236122	6.8     	14.4      	277.82   	289.28   	5.8     	53.1         	079        	88       	1.234270
13        	1014.0 	13.2  	65    	5.4     	224   	3.7       	3.9       	79     	79        	-73.159896	-39.236115	6.7     	14.3      	277.70   	290.07   	5.8     	53.1         	079        	95       	1.233722
14        	1013.3 	13.2  	65    	5.4     	225   	3.8       	3.8       	85     	85        	-73.159846	-39.236107	6.7     	14.2      	277.58   	290.86   	5.8     	53.1         	079        	102      	1.233174
15        	1012.6 	13.1  	65    	5.4     	226   	3.9       	3.7       	91     	90        	-73.159791	-39.236090	6.6     	14.1      	277.46   	291.67   	5.8     	52.9         	078        	110      	1.232626
16        	1011.9 	13.0  	65    	5.4     	227   	4.0       	3.7       	96     	96        	-73.159729	-39.236059	6.5     	14.1      	277.34   	292.46   	5.8     	52.3         	076        	118      	1.232079
17        	1011.2 	13.0  	65    	5.4     	228   	4.0       	3.6       	102    	102       	-73.159668	-39.236028	6.5     	14.0      	277.22   	293.25   	5.8     	51.7         	075        	127      	1.231532
18        	1010.5 	12.9  	65    	5.4     	229   	4.1       	3.5       	108    	108       	-73.159606	-39.235997	6.4     	13.9      	277.10   	294.06   	5.8     	51.2         	073        	135      	1.230985
19        	1009.8 	12.8  	65    	5.5     	231   	4.2       	3.5       	114    	114       	-73.159544	-39.235966	6.4     	13.8      	276.98   	294.85   	5.8     	50.8         	072        	143      	1.230421
20        	1009.1 	12.8  	65    	5.5     	232   	4.3       	3.4       	120    	120       	-73.159483	-39.235936	6.3     	13.8      	276.85   	295.65   	5.8     	50.4         	071        	152      	1.229816
