Time [mm:ss]	T [°C]	U [%r H]	Tu Cap [°C]
00:00.8     	--    	53.1    	
00:00.8     	--    	0x48 0  	
00:01.7     	--    	53.4    	--
00:02.6     	--    	52.5    	--
00:03.5     	--    	52.1    	--
00:04.4     	--    	52.2    	--
00:05.3     	--    	52.4    	--
00:06.2     	--    	52.6    	--
00:06.8     	20.40 	56.6    	20.04
00:07.7     	20.22 	56.3    	20.02
00:08.6     	20.34 	55.8    	20.02
00:09.6     	20.34 	55.9    	20.02
00:10.5     	20.14 	55.5    	20.02
00:11.4     	19.90 	55.3    	20.01
00:12.3     	19.70 	55.8    	20.00
00:13.1     	19.84 	55.7    	19.99
00:14.0     	20.07 	55.0    	20.00
00:14.9     	20.15 	55.4    	19.99
00:15.8     	20.29 	55.2    	19.99
00:16.7     	20.45 	55.1    	19.98
00:17.6     	20.21 	54.3    	20.00
00:18.4     	19.95 	54.3    	19.97
00:19.3     	19.23 	55.9    	19.97
00:20.4     	18.57 	57.0    	19.95
00:21.7     	17.91 	58.2    	19.94
00:21.9     	17.91 	58.2    	19.94
00:22.1     	18.52 	58.5    	19.83
00:23.0     	18.51 	58.1    	19.80
00:24.0     	18.50 	57.7    	19.83
00:24.2     	18.50 	57.7    	19.83
00:24.7     	--    	--      	19.83
00:24.8     	--    	--      	19.83
00:26.0     	--    	--      	19.77
00:26.5     	20.97 	54.2    	19.70
00:27.4     	21.66 	51.9    	19.69
00:28.2     	22.11 	50.4    	19.68
00:29.1     	22.50 	49.1    	19.68
00:30.0     	22.97 	47.8    	19.69
00:30.9     	23.01 	47.5    	19.74
00:31.9     	22.78 	48.6    	19.72
00:32.8     	22.59 	49.3    	19.75
00:33.6     	22.24 	50.1    	19.73
00:34.5     	22.06 	50.7    	19.80
00:35.4     	21.94 	51.3    	19.84
00:36.3     	22.01 	50.8    	19.90
00:37.2     	20.38 	53.1    	19.94
00:38.1     	18.95 	56.4    	19.92
00:39.0     	17.43 	60.3    	19.89
00:39.9     	16.20 	64.2    	19.86
00:40.8     	15.43 	66.8    	19.81
00:41.6     	14.96 	68.3    	19.75
00:42.6     	14.57 	69.7    	19.63
00:43.5     	14.34 	70.2    	19.53
00:44.4     	14.20 	70.4    	19.45
00:45.3     	14.07 	70.9    	19.34
00:46.2     	13.96 	72.3    	19.24
00:47.0     	13.87 	73.3    	19.12
00:47.9     	13.87 	73.3    	19.01
00:48.8     	13.87 	73.2    	18.88
00:49.7     	13.81 	74.3    	18.76
00:50.6     	13.81 	74.6    	18.63
00:51.5     	13.81 	74.2    	18.50
00:52.5     	13.81 	74.1    	18.40
00:53.4     	13.81 	74.3    	18.29
00:54.3     	13.84 	74.6    	18.16
00:55.1     	13.89 	74.0    	18.06
00:56.0     	13.97 	73.5    	17.96
00:56.9     	13.98 	73.2    	17.87
00:57.8     	14.02 	73.2    	17.79
00:58.7     	14.05 	72.8    	17.72
00:59.6     	14.06 	72.2    	17.64
01:00.5     	14.01 	72.3    	17.55
01:01.4     	13.98 	72.3    	17.46
01:02.3     	13.94 	72.5    	17.37
01:03.2     	13.90 	72.8    	17.29
01:04.1     	13.87 	73.5    	17.21
01:05.0     	13.84 	73.8    	17.14
01:05.9     	13.82 	74.0    	17.08
01:06.8     	13.81 	73.9    	17.01
01:07.7     	13.82 	73.6    	16.96
01:08.6     	13.84 	73.2    	16.90
01:09.5     	13.85 	72.9    	16.85
01:10.4     	13.84 	73.3    	16.79
01:11.2     	13.85 	73.6    	16.74
01:12.1     	13.88 	72.9    	16.69
01:13.0     	13.89 	72.4    	16.64
01:13.9     	13.91 	72.2    	16.59
01:14.9     	13.90 	72.0    	16.53
01:15.8     	13.91 	71.5    	16.49
01:16.7     	13.92 	71.2    	16.44
01:17.5     	13.91 	71.3    	16.39
01:18.4     	13.90 	71.5    	16.34
01:19.3     	13.89 	71.5    	16.30
01:20.2     	13.88 	71.5    	16.26
01:21.1     	13.87 	71.3    	16.22
01:22.0     	13.86 	71.3    	16.18
01:22.9     	13.82 	71.3    	16.13
01:23.8     	13.82 	71.1    	16.08
01:24.7     	13.78 	72.4    	16.01
01:25.5     	13.76 	72.4    	15.96
01:26.5     	13.77 	72.0    	15.93
01:27.4     	13.76 	71.7    	15.87
01:28.3     	13.80 	71.5    	15.81
01:29.2     	13.83 	71.2    	15.77
01:30.1     	13.85 	70.8    	15.74
01:31.0     	13.82 	71.1    	15.68
01:31.9     	13.85 	70.7    	15.65
01:32.8     	13.79 	71.7    	15.59
01:33.6     	13.80 	71.3    	15.56
01:34.5     	13.77 	71.1    	15.48
01:35.4     	13.74 	69.8    	15.40
01:36.3     	13.56 	70.4    	15.32
01:37.3     	13.54 	69.9    	15.28
01:38.2     	13.49 	70.5    	15.23
01:39.0     	13.56 	69.7    	15.35
01:39.9     	13.66 	70.5    	15.19
01:40.8     	13.72 	69.8    	15.25
01:41.7     	13.60 	71.1    	15.20
01:42.6     	13.71 	70.1    	15.12
01:43.5     	13.77 	68.6    	15.09
01:44.4     	13.75 	69.0    	15.00
01:45.3     	13.76 	68.9    	14.96
01:46.2     	13.78 	69.1    	14.92
01:47.0     	13.71 	69.7    	14.84
01:48.0     	13.71 	69.6    	14.81
01:48.9     	13.68 	69.8    	14.77
01:49.8     	13.68 	69.4    	14.74
01:50.7     	13.70 	68.8    	14.71
01:51.6     	13.71 	69.0    	14.68
01:52.5     	13.72 	68.7    	14.65
01:53.4     	13.72 	68.8    	14.63
01:54.3     	13.67 	69.4    	14.60
01:55.1     	13.67 	69.4    	14.57
01:56.0     	13.68 	69.2    	14.55
01:56.9     	13.68 	69.1    	14.52
01:57.8     	13.68 	69.4    	14.50
01:58.8     	13.69 	69.9    	14.47
01:59.7     	13.70 	70.2    	14.45
02:00.6     	13.69 	70.7    	14.43
02:01.5     	13.70 	70.6    	14.41
02:02.4     	13.70 	70.7    	14.39
02:03.2     	13.67 	70.8    	14.37
02:04.1     	13.67 	70.8    	14.35
02:05.0     	13.66 	70.5    	14.33
02:05.9     	13.66 	70.3    	14.31
02:06.8     	13.66 	69.7    	14.29
02:07.7     	13.67 	69.0    	14.27
02:08.5     	13.66 	68.8    	14.25
02:09.5     	13.66 	69.0    	14.24
02:10.4     	13.66 	69.2    	14.25
02:11.3     	13.64 	69.4    	14.20
02:12.2     	13.61 	69.6    	14.19
02:13.1     	13.60 	69.4    	14.17
02:14.0     	13.63 	69.0    	14.15
02:14.9     	13.65 	68.7    	14.13
02:15.8     	13.64 	68.8    	14.12
02:16.6     	13.63 	68.9    	14.11
02:17.5     	13.60 	69.2    	14.09
02:18.4     	13.53 	70.2    	14.08
02:19.3     	13.46 	71.6    	14.07
02:20.5     	13.40 	71.5    	14.06
02:21.2     	13.52 	70.7    	14.04
02:22.0     	13.56 	70.2    	14.03
02:23.0     	13.62 	69.6    	14.02
02:23.9     	13.66 	69.3    	14.01
02:24.7     	13.68 	69.3    	14.00
02:25.6     	13.70 	68.8    	13.99
02:26.5     	13.69 	68.7    	13.98
02:27.4     	13.68 	67.6    	13.97
02:28.3     	13.68 	67.3    	13.97
02:29.2     	13.69 	68.1    	13.96
02:30.1     	13.71 	68.0    	13.95
02:31.0     	13.71 	68.1    	13.94
02:31.9     	13.71 	68.0    	13.94
02:32.8     	13.70 	68.1    	13.93
02:33.7     	13.71 	68.2    	13.93
02:34.6     	13.72 	68.3    	13.93
02:35.5     	13.72 	68.3    	13.93
02:36.4     	13.73 	68.5    	13.92
02:37.3     	13.74 	68.7    	13.92
02:38.1     	13.74 	68.7    	13.93
02:39.0     	13.74 	68.8    	13.93
02:39.9     	13.72 	69.5    	13.93
02:40.8     	13.69 	70.1    	13.93
02:41.7     	13.61 	70.9    	13.92
02:42.7     	13.56 	71.3    	13.92
02:43.6     	13.59 	70.6    	13.92
02:44.5     	13.62 	69.5    	13.92
02:45.4     	13.64 	69.2    	13.91
02:46.2     	13.64 	68.6    	13.91
02:47.1     	13.63 	68.0    	13.90
02:48.0     	13.63 	68.2    	13.89
02:48.9     	13.62 	68.2    	13.88
02:49.8     	13.62 	68.1    	13.88
02:50.7     	13.62 	68.2    	13.88
02:51.5     	13.61 	68.4    	13.87
02:52.5     	13.61 	67.6    	13.87
02:53.4     	13.60 	67.3    	13.87
02:54.3     	13.60 	67.4    	13.86
02:55.2     	13.60 	67.8    	13.86
02:56.1     	13.61 	67.9    	13.86
02:57.0     	13.61 	68.0    	13.85
02:57.9     	13.60 	68.3    	13.85
02:58.8     	13.59 	68.2    	13.85
02:59.6     	13.61 	67.9    	13.85
03:00.5     	13.62 	68.2    	13.84
03:01.4     	13.62 	68.5    	13.84
03:02.3     	13.60 	69.1    	13.84
03:03.3     	13.59 	68.9    	13.84
03:04.2     	13.60 	68.3    	13.84
03:05.1     	13.61 	68.6    	13.83
03:05.9     	13.60 	68.5    	13.83
03:06.9     	13.60 	68.2    	13.83
03:07.8     	13.60 	67.8    	13.83
03:09.2     	13.60 	67.4    	13.83
03:09.4     	13.60 	67.4    	13.83
03:10.5     	13.60 	--      	13.83
03:11.2     	13.60 	--      	13.83
03:11.8     	13.60 	68.1    	--
03:12.2     	13.57 	68.8    	13.82
03:13.1     	13.56 	68.1    	13.81
03:14.0     	13.55 	68.4    	13.81
03:14.9     	13.52 	68.5    	13.81
03:15.8     	13.54 	67.7    	13.80
03:16.7     	13.56 	67.6    	13.80
03:17.6     	13.57 	68.1    	13.80
03:18.5     	13.57 	68.6    	13.79
03:19.4     	13.56 	68.7    	13.79
03:20.3     	13.57 	68.4    	13.79
03:21.2     	13.55 	68.8    	13.79
03:22.0     	13.52 	69.2    	13.79
03:22.9     	13.49 	69.6    	13.79
03:23.8     	13.50 	68.9    	13.78
03:24.8     	13.53 	68.2    	13.78
03:25.7     	13.57 	68.0    	13.78
03:26.6     	13.59 	68.1    	13.78
03:27.5     	13.60 	68.2    	13.78
03:28.4     	13.61 	68.4    	13.77
03:29.3     	13.61 	68.5    	13.77
03:30.1     	13.58 	69.1    	13.77
03:31.0     	13.55 	69.6    	13.77
03:31.9     	13.51 	70.1    	13.77
03:32.8     	13.54 	69.8    	13.77
03:33.7     	13.55 	69.9    	13.77
03:34.6     	13.58 	69.7    	13.77
03:35.4     	13.61 	69.1    	13.77
03:36.5     	13.63 	69.1    	13.77
03:37.4     	13.66 	69.4    	13.77
03:38.2     	13.67 	69.6    	13.77
03:39.1     	13.67 	69.4    	13.78
03:40.0     	13.65 	69.8    	13.78
03:40.9     	13.64 	70.1    	13.78
03:41.8     	13.63 	70.3    	13.79
03:42.7     	13.61 	70.7    	13.79
03:43.5     	13.58 	70.8    	13.79
03:44.4     	13.57 	71.0    	13.79
03:45.3     	13.55 	70.9    	13.79
03:46.2     	13.56 	69.9    	13.79
03:47.2     	13.59 	68.9    	13.79
03:48.1     	13.62 	68.6    	13.79
03:49.0     	13.63 	68.5    	13.79
03:49.9     	13.62 	69.0    	13.80
03:50.8     	13.59 	69.7    	13.80
03:51.6     	13.59 	70.0    	13.80
03:52.5     	13.59 	70.1    	13.80
03:53.4     	13.60 	69.9    	13.80
03:54.3     	13.61 	70.1    	13.81
03:55.2     	13.62 	70.1    	13.81
03:56.1     	13.64 	70.1    	13.81
03:57.0     	13.65 	69.9    	13.81
03:58.0     	13.66 	69.5    	13.81
03:58.9     	13.67 	69.3    	13.82
03:59.7     	13.67 	69.0    	13.82
04:00.6     	13.67 	69.0    	13.82
04:01.5     	13.62 	70.0    	13.82
04:02.4     	13.58 	70.2    	13.83
04:03.3     	13.56 	70.6    	13.83
04:04.2     	13.54 	70.5    	13.83
04:05.1     	13.53 	70.4    	13.83
04:06.0     	13.52 	70.6    	13.83
04:06.9     	13.50 	71.0    	13.83
04:07.7     	13.57 	70.4    	13.83
04:08.6     	13.62 	69.9    	13.83
04:09.6     	13.66 	69.8    	13.83
04:10.5     	13.69 	70.1    	13.83
04:11.4     	13.70 	69.9    	13.83
04:12.3     	13.71 	69.7    	13.83
04:13.1     	13.71 	69.6    	13.84
04:14.0     	13.71 	69.7    	13.84
04:14.9     	13.73 	69.7    	13.84
04:15.8     	13.74 	70.0    	13.85
04:16.7     	13.76 	70.1    	13.85
04:17.6     	13.78 	70.2    	13.86
04:18.5     	13.78 	69.9    	13.86
04:19.4     	13.77 	69.7    	13.86
04:20.3     	13.78 	70.2    	13.87
04:21.2     	13.79 	70.1    	13.87
04:22.1     	13.79 	69.8    	13.88
04:23.0     	13.79 	69.7    	13.88
04:23.9     	13.80 	69.8    	13.89
04:24.8     	13.81 	69.9    	13.89
04:25.7     	13.81 	70.1    	13.90
04:26.6     	13.81 	70.7    	13.90
04:27.5     	13.82 	71.1    	13.91
04:28.4     	13.75 	72.0    	13.91
04:29.2     	13.75 	70.5    	13.92
04:30.1     	13.75 	69.9    	13.92
04:31.0     	13.74 	70.0    	13.92
04:32.0     	13.67 	69.6    	13.92
04:32.9     	13.64 	68.4    	13.92
04:33.8     	13.62 	67.8    	13.92
04:34.6     	13.62 	67.7    	13.92
04:35.6     	13.60 	68.2    	13.92
04:36.5     	13.60 	68.4    	13.92
04:37.3     	13.58 	69.0    	13.92
04:38.2     	13.56 	69.6    	13.91
04:39.1     	13.58 	69.3    	13.91
04:40.0     	13.60 	69.1    	13.91
04:40.9     	13.64 	69.1    	13.90
04:41.8     	13.63 	69.7    	13.90
04:42.7     	13.59 	70.4    	13.90
04:43.6     	13.52 	71.5    	13.89
04:44.5     	13.49 	71.9    	13.89
04:45.4     	13.53 	71.5    	13.88
04:46.3     	13.54 	71.2    	13.88
04:47.2     	13.57 	71.3    	13.87
04:48.1     	13.57 	69.2    	13.87
04:49.0     	13.59 	68.3    	13.86
04:49.9     	13.61 	68.3    	13.86
04:50.8     	13.58 	68.5    	13.86
04:51.6     	13.57 	68.8    	13.85
04:52.5     	13.55 	69.0    	13.85
04:53.5     	13.54 	69.5    	13.84
04:54.4     	13.58 	69.1    	13.84
04:55.3     	13.60 	69.0    	13.84
04:56.2     	13.59 	69.4    	13.84
04:57.0     	13.54 	69.1    	13.83
04:58.0     	13.56 	68.4    	13.83
04:58.9     	13.58 	68.2    	13.82
04:59.7     	13.61 	67.9    	13.81
05:00.6     	13.62 	67.9    	13.81
05:01.5     	13.61 	68.3    	13.81
05:02.4     	13.57 	69.5    	13.81
05:03.3     	13.60 	69.3    	13.81
05:04.2     	13.64 	68.5    	13.81
05:05.1     	13.67 	68.4    	13.81
05:06.0     	13.70 	68.7    	13.81
05:06.9     	13.72 	69.1    	13.81
05:07.8     	13.72 	69.5    	13.82
05:08.7     	13.72 	69.4    	13.82
05:09.6     	13.69 	70.0    	13.82
05:10.5     	13.70 	69.8    	13.83
05:11.4     	13.69 	69.6    	13.83
05:12.3     	13.70 	69.8    	13.83
05:13.1     	13.69 	69.8    	13.83
05:14.0     	13.67 	69.6    	13.84
05:14.9     	13.67 	69.3    	13.84
