Flight Information:
Launch Date:            	      	                       	Monday, 14 December 2020	     	                       	          	Launch Time: 	     	            	00:03:09 	       	     	End of Ascent:	     	         	01:31:28
Station name:           	      	                       	OKSTATE USRI            	     	                       	          	Serialnumber:	     	            	20027392
Ground values:
Pressure:               	      	                       	1020.5 hPa              	     	                       	          	Temperature: 	     	            	12.6 °C  	       	     	Humidity:     	     	         	75 %
Wind Direction:         	      	                       	345 °                   	     	                       	          	Wind Speed:  	     	            	0 m/s    	       	     	Cloud group:  	     	         	9////
Position:
Longitude:              	      	                       	-73.160 °               	     	                       	          	Latitude:    	     	            	-39.236 °	       	     	Altitude:     	     	         	3 m
Staff:
Company:                	      	                       	
Operator:               	      	                       	                        	     	                       	          	
Events:
Highest Point:          	      	                       	7.5 hPa                 	     	                       	          	33130 m
Tropopauses:            	      	                       	1.: 190.4 hPa           	     	                       	          	2.: 71.0 hPa 	     	            	
Max Winds:              	      	                       	1.: 185.3 hPa           	     	                       	          	2.: 9.6 hPa  	     	            	
Remarks:

Profile Data:
Time                    	P     	T                      	Hu                      	Ws   	Wd                     	Long.     	Lat.         	Alt  	Geopot      	MRI      	RI     	Dewp.	Virt. Temp    	Rs   	Elevation	Azimuth 	Range	D
[sec]                   	[hPa] 	[°C]                   	[%]                     	[m/s]	[°]                    	[°]       	[°]          	[m]  	[m]         	         	       	[°C] 	[°C]          	[m/s]	[°]      	[°]     	[m]  	[kg/m3]
0                       	1020.5	12.6                   	75                      	0.4  	345                    	-73.160446	-39.236323   	3    	3           	281.030  	280.559	8.3  	13.8          	0.0  	39.2     	180     	0    	1.244357
2                       	1019.2	12.6                   	74                      	0.8  	288                    	-73.160361	-39.236278   	14   	14          	282.351  	280.184	8.0  	13.7          	5.4  	52.1     	058     	14   	1.242921
4                       	1017.9	12.5                   	73                      	1.1  	261                    	-73.160277	-39.236234   	25   	25          	283.687  	279.809	7.7  	13.6          	5.4  	51.6     	057     	28   	1.241487
6                       	1016.6	12.5                   	71                      	1.5  	250                    	-73.160192	-39.236189   	36   	36          	285.008  	279.434	7.4  	13.6          	5.4  	51.3     	056     	42   	1.240055
8                       	1015.3	12.4                   	70                      	1.8  	245                    	-73.160108	-39.236144   	46   	46          	286.339  	279.070	7.2  	13.5          	5.4  	51.2     	056     	56   	1.238610
10                      	1013.9	12.4                   	70                      	2.2  	242                    	-73.160023	-39.236099   	57   	57          	287.698  	278.733	7.1  	13.5          	5.4  	51.1     	056     	70   	1.237158
12                      	1012.6	12.4                   	70                      	2.5  	240                    	-73.159938	-39.236055   	68   	68          	289.072  	278.396	7.0  	13.5          	5.4  	51.1     	056     	84   	1.235709
14                      	1011.3	12.3                   	69                      	2.9  	238                    	-73.159854	-39.236010   	79   	79          	290.421  	278.065	6.9  	13.4          	5.4  	51.0     	056     	98   	1.234281
16                      	1010.1	12.3                   	69                      	3.2  	237                    	-73.159761	-39.235959   	89   	89          	291.769  	277.733	6.8  	13.4          	5.3  	50.5     	056     	112  	1.232855
